,requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
134,Breeding,6,2,CIAT-BH-22-4454,Urochloa humidicola,Grass,13.42,14.52,52.87,45.38
135,Breeding,9,1,CIAT-PM-21-3595,Megathyrsus maximus,Grass,14.84,16.26,50.57,45.29
136,Breeding,9,1,CIAT-PM-21-3550,Megathyrsus maximus,Grass,14.62,16.61,50.76,45.11
137,Breeding,7,2,CIAT-CIAT-6986,Megathyrsus maximus,Grass,13.64,15.09,51.0,45.09
138,Breeding,7,2,CIAT-BR-19-5217,Urochloa interespecific,Grass,12.76,14.24,50.98,45.08
139,Breeding,9,2,CIAT-PM-21-6629,Megathyrsus maximus,Grass,13.68,15.16,47.95,44.82
140,Benchmark,9,3,CIAT-6962-Mombaza-Opt,Megathyrsus maximus ,Grass,12.74,14.16,54.15,44.76
141,LMF,3,1,Sample-4,Cynodon nlemfuensis ,Grass,14.63,15.44,49.69,44.69
142,Breeding,9,2,CIAT-CIAT-26124,Urochloa interespecific,Grass,13.51,14.36,53.17,43.78
143,Breeding,9,2,CIAT-BR-02-0465,Urochloa interespecific,Grass,12.13,14.13,51.44,43.68
144,Breeding,9,2,CIAT-BR-05-1435,Urochloa interespecific,Grass,12.36,14.27,45.58,43.49
145,Breeding,9,1,CIAT-PM-21-3522,Megathyrsus maximus,Grass,13.74,15.62,50.63,43.41
146,Breeding,9,3,CIAT-BR-09-4467,Urochloa interespecific,Grass,12.24,13.63,63.78,43.36
147,Breeding,7,4,CIAT-BH-22-0528,Urochloa humidicola,Grass,13.67,14.81,61.79,43.19
148,Breeding,9,2,CIAT-CIAT-16021,Megathyrsus maximus,Grass,14.68,16.19,55.86,42.94
149,Breeding,7,2,CIAT-PM-21-0078,Megathyrsus maximus,Grass,13.74,15.27,50.97,42.9
150,Breeding,9,1,CIAT-PM-21-4449,Megathyrsus maximus,Grass,14.56,16.39,52.89,42.72
151,Breeding,6,2,CIAT-BH-22-1267,Urochloa humidicola,Grass,12.68,14.02,56.47,42.58
152,Breeding,9,3,CIAT-PM-21-4448,Megathyrsus maximus,Grass,13.54,14.88,62.72,42.41
153,Breeding,7,2,CIAT-CIAT-26438,Urochloa humidicola,Grass,12.54,13.91,54.8,42.4
154,Breeding,9,1,CIAT-CIAT-6799,Megathyrsus maximus,Grass,14.92,16.22,51.97,42.1
155,Breeding,7,2,CIAT-BH-22-1375,Urochloa humidicola,Grass,12.43,14.07,58.78,41.97
156,Breeding,7,2,CIAT-BH-22-1370,Urochloa humidicola,Grass,12.9,13.96,48.47,41.92
157,Breeding,7,2,CIAT-PM-21-0876,Megathyrsus maximus,Grass,13.43,14.91,53.15,41.2
158,Benchmark,9,3,CIAT-6294-Marandu-Opt,Urochloa interespecific,Grass,13.07,13.68,58.91,41.19
159,Breeding,6,2,CIAT-CIAT-679,Urochloa humidicola,Grass,12.4,13.89,62.47,41.12
160,Breeding,7,2,CIAT-CIAT-6133,Urochloa humidicola,Grass,12.4,13.93,57.67,40.88
161,Breeding,8,2,CIAT-BH-22-2508,Urochloa humidicola,Grass,13.3,14.46,67.68,40.88
162,Breeding,8,2,CIAT-BH-22-1872,Urochloa humidicola,Grass,12.99,14.32,81.86,40.81
