,requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
68,Genetic_bank,8,1,CIAT-32365,Desmanthus virgatus,Shrub_Trees,12.9,14.73,37.06,35.6
69,Genetic_bank,9,1,CIAT-21514,Desmanthus virgatus,Shrub_Trees,13.74,15.01,46.93,35.54
70,Genetic_bank,5,4,CIAT-8056,Mimosa diplotricha,Shrub_Trees,12.74,14.22,58.67,35.26
71,Genetic_bank,8,4,CIAT-21810,Acacia angustissima,Shrub_Trees,10.94,11.11,26.04,33.76
72,Genetic_bank,5,4,CIAT-13262,Dendrolobium triangulare,Shrub_Trees,13.46,14.98,45.6,32.71
73,Genetic_bank,8,2,CIAT-22510,Desmanthus bicornutus,Shrub_Trees,12.46,14.39,51.7,32.63
74,Genetic_bank,6,2,CIAT-18700,Cajanus cajan,Shrub_Trees,13.9,15.46,59.27,32.23
75,Genetic_bank,8,4,CIAT-21242,Leucaena diversifolia,Shrub_Trees,11.32,12.5,35.98,32.08
76,Genetic_bank,7,4,CIAT-13529,Dendrolobium triangulare,Shrub_Trees,13.73,15.62,55.06,31.83
77,Genetic_bank,7,4,CIAT-33508,Dendrolobium umbellatum,Shrub_Trees,14.74,16.94,67.34,31.78
78,Genetic_bank,9,2,CIAT-18701,Cajanus cajan,Shrub_Trees,13.36,15.11,54.17,31.19
79,Genetic_bank,7,4,CIAT-22316,Calliandra calothyrsus,Shrub_Trees,12.41,12.6,28.14,31.08
80,Genetic_bank,8,4,CIAT-33383,Dendrolobium sp.,Shrub_Trees,14.32,15.94,56.51,30.62
81,Genetic_bank,7,4,CIAT-17514,Mimosa pudica,Shrub_Trees,13.73,15.13,69.97,30.36
82,Genetic_bank,8,4,CIAT-23734,Dendrolobium triangulare,Shrub_Trees,15.12,16.26,60.39,30.16
83,Genetic_bank,7,4,CIAT-17725,Mimosa polycarpa,Shrub_Trees,13.0,14.85,71.03,30.02
84,Genetic_bank,8,4,CIAT-21601,Erythrina fusca,Shrub_Trees,13.99,14.78,52.41,29.92
