id_lab,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-0989,9,11.63,13.19,63.62,30.51
F25-0990,9,14.63,16.41,49.04,51.43
F25-0991,9,14.62,16.61,50.76,45.11
F25-0992,9,14.84,16.26,50.57,45.29
F25-0993,9,14.82,16.59,51.77,45.62
F25-0994,8,15.24,16.67,48.72,48.5
F25-0995,9,14.37,16.5,50.84,46.89
F25-0996,9,14.64,16.56,52.38,47.29
F25-0997,9,14.93,16.89,53.87,45.79
F25-0998,9,15.08,16.84,50.46,45.89
F25-0999,9,14.59,16.22,47.31,53.76
F25-1000,9,14.89,16.81,56.0,47.61
F25-1001,9,14.33,16.21,47.38,52.75
F25-1002,9,14.13,15.91,45.83,49.71
F25-1003,9,14.21,16.2,47.43,50.41
F25-1004,9,14.56,16.39,52.89,42.72
F25-1005,9,14.92,16.22,51.97,42.1
F25-1006,9,14.16,16.3,49.43,46.4
F25-1007,9,14.17,15.99,46.72,46.81
F25-1008,9,14.43,16.14,50.93,48.46
F25-1009,9,14.26,15.93,49.68,47.86
F25-1010,9,14.24,15.97,43.9,47.9
F25-1011,9,14.2,16.39,48.85,49.0
F25-1012,9,13.74,15.62,50.63,43.41
F25-1013,9,13.96,15.8,51.57,45.38
F25-1014,9,13.73,15.55,43.95,48.6
F25-1651,9,13.6,15.1,49.82,56.06
F25-1652,9,13.27,14.61,48.15,54.91
F25-1653,9,12.4,13.61,46.66,34.84
F25-1654,9,12.77,14.19,47.09,40.82
F25-1655,9,12.16,13.57,46.61,49.82
F25-1656,9,12.01,13.39,46.73,41.49
F25-1657,7,12.93,14.08,47.33,53.08
F25-1658,9,13.27,14.55,54.88,51.55
F25-1659,6,12.85,14.54,57.97,34.08
F25-1660,5,12.26,13.61,43.95,32.17
F25-1661,6,11.52,12.55,60.55,28.81
F25-1662,6,12.63,13.78,55.64,26.65
F25-1663,7,13.53,14.84,63.72,35.13
F25-1664,9,14.01,15.34,59.88,40.81
F25-1665,9,14.03,15.13,46.58,61.94
F25-1666,9,11.7,12.72,40.33,67.03
F25-1667,6,11.8,12.81,36.32,30.44
F25-1668,7,10.47,13.39,48.33,44.55
F25-1669,9,11.9,13.9,53.64,49.69
F25-1670,9,12.41,13.34,35.94,43.29
F25-1671,9,12.69,13.42,37.73,57.81
F25-1672,8,11.94,12.99,34.58,40.21
F25-1673,8,11.69,13.27,42.99,29.5
F25-1674,8,13.15,14.86,40.6,53.62
F25-1675,9,13.22,14.67,43.22,56.65
F25-1676,7,12.6,13.4,40.71,39.68
F25-1677,9,10.61,10.63,30.94,39.33
F25-1678,9,9.61,10.98,26.25,41.83
F25-1679,9,10.54,12.68,36.32,38.16
F25-1680,9,11.91,13.68,43.08,41.54
F25-1681,9,11.93,13.6,42.73,42.69
F25-1682,9,13.7,15.73,44.73,50.74
F25-1683,9,12.7,14.43,45.99,39.92
F25-1684,9,12.79,13.98,43.71,54.8
F25-1685,6,12.92,14.4,47.6,60.57
F25-1686,9,13.31,14.14,41.24,64.53
F25-1687,7,12.43,13.29,37.14,47.14
F25-1688,9,11.08,12.48,41.64,33.72
F25-1689,9,12.71,14.63,43.97,53.36
F25-1690,7,14.79,16.48,60.59,45.35
F25-1691,9,14.27,15.89,54.85,55.02
F25-1693,5,11.14,12.98,46.78,29.68
F25-1694,8,13.85,15.11,43.98,47.26
F25-1695,9,11.34,14.44,51.22,47.61
F25-1696,9,11.04,13.32,46.65,45.14
F25-1697,9,13.3,14.79,47.36,50.04
F25-1698,6,12.53,13.72,43.09,41.0
F25-1699,8,12.52,14.94,54.14,45.74
F25-1700,9,14.27,15.72,49.32,56.46
F25-1701,9,11.96,13.75,36.67,64.41
F25-1702,9,12.94,13.07,35.78,56.21
F25-1703,9,11.08,13.51,33.46,55.88
F25-1704,9,12.19,13.73,38.25,57.33
F25-1705,9,11.99,13.19,36.8,56.83
F25-1706,9,13.08,14.05,40.25,54.93
F25-1707,9,11.84,13.31,39.18,50.61
