id_lab,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-2165,6,13.15,14.31,56.26,39.81
F25-2166,7,13.67,14.81,61.79,43.19
F25-2167,8,12.8,13.95,88.9,25.03
F25-2168,6,12.87,13.84,56.84,36.45
F25-2169,9,12.93,14.05,76.17,27.59
F25-2170,5,13.96,14.43,69.89,36.68
F25-2171,7,13.04,14.14,71.64,40.48
F25-2172,6,12.77,13.95,69.18,33.38
F25-2173,6,13.08,13.92,55.84,36.99
F25-2174,9,13.33,14.6,59.36,45.93
F25-2175,6,13.02,13.9,49.34,51.84
F25-2176,7,13.07,14.05,60.01,46.12
F25-2177,8,12.99,14.32,81.86,40.81
F25-2178,6,12.98,14.11,47.41,46.77
F25-2179,6,13.42,14.52,52.87,45.38
F25-2180,6,12.68,14.02,56.47,42.58
F25-2181,6,13.0,14.14,53.84,45.5
F25-2182,8,13.3,14.46,67.68,40.88
F25-2183,7,12.5,13.83,68.15,39.13
F25-2184,5,14.06,14.79,129.3,22.13
F25-2185,6,14.28,14.91,77.18,37.18
F25-2186,8,14.35,14.8,75.5,34.63
F25-2187,6,13.9,14.78,75.1,40.8
F25-2188,7,13.94,14.66,73.82,36.11
F25-2189,5,14.0,14.44,66.84,39.83
F25-2190,5,13.58,14.19,154.85,20.76
F25-2193,7,29.81,3.54,45.56,13.48
F25-2566,7,12.43,13.74,58.75,26.61
F25-2567,8,13.12,13.68,70.74,19.02
F25-2568,6,12.72,13.52,53.78,17.8
F25-2574,6,13.77,15.23,55.45,39.09
F25-2575,8,11.22,13.79,43.25,51.39
F25-2576,8,12.38,14.79,50.26,56.45
F25-2577,8,11.58,13.23,52.88,37.99
F25-2578,8,12.19,13.66,53.49,40.95
F25-2579,8,13.2,14.71,84.23,40.55
F25-2580,6,10.87,13.13,60.41,35.99
F25-2581,8,11.0,13.35,85.57,29.9
F25-2582,8,11.35,12.68,57.03,33.68
F25-2583,6,13.4,14.7,67.86,40.83
F25-2584,8,13.18,14.6,78.97,37.31
F25-2585,7,11.7,13.68,55.33,46.92
F25-2586,6,14.05,15.85,78.43,34.88
F25-2587,8,13.38,14.83,66.85,34.59
F25-2588,7,12.27,13.35,53.29,51.76
F25-2589,8,12.7,15.12,65.41,37.41
F25-2590,7,12.16,13.58,62.07,44.24
F25-2591,6,12.0,12.72,50.54,46.3
F25-2592,8,12.82,13.98,46.71,59.88
F25-2593,8,12.9,14.7,57.38,47.09
F25-2594,7,12.33,14.86,61.18,35.27
F25-2595,7,12.43,14.65,48.49,50.85
F25-2596,7,11.29,13.31,51.61,42.25
F25-2597,7,11.17,13.42,44.51,55.06
F25-2598,8,12.11,14.31,56.13,47.79
F25-2599,6,14.07,15.36,49.56,46.73
F25-2600,6,14.68,15.99,76.03,34.39
F25-2601,6,13.08,14.88,64.77,31.24
F25-2602,6,12.42,14.44,51.22,39.46
F25-2603,6,12.62,13.8,51.46,32.47
F25-2604,6,13.88,13.92,51.33,39.31
F25-2605,7,12.03,13.02,49.98,33.48
F25-2606,8,13.71,15.7,53.55,45.87
F25-2607,6,14.15,15.04,105.58,25.96
F25-2608,8,14.34,16.28,49.36,57.06
F25-2609,7,13.5,14.82,42.49,64.95
F25-2610,8,13.81,15.0,51.39,56.26
F25-2611,8,14.11,15.66,69.81,38.29
F25-2612,8,13.0,14.48,56.65,36.61
F25-2613,8,13.49,15.07,60.64,44.04
F25-2614,8,12.88,14.35,40.93,56.78
F25-2615,6,12.92,14.38,46.92,50.41
F25-2616,8,13.89,15.32,62.43,43.12
F25-2617,8,12.9,14.44,47.68,55.34
F25-2618,8,13.5,15.4,56.11,54.28
F25-2619,8,13.48,15.2,56.27,49.93
F25-2620,8,13.74,15.67,64.72,49.46
F25-2621,8,13.89,15.41,58.17,46.55
F25-2622,8,14.09,15.22,56.72,54.02
F25-2623,6,12.32,13.84,45.74,53.14
F25-2624,8,14.1,15.13,53.09,51.57
F25-2625,6,13.38,14.5,48.27,58.75
F25-2626,9,13.33,14.44,52.25,56.72
F25-2627,9,13.62,14.68,51.03,55.11
F25-2628,9,13.48,14.77,50.2,55.73
F25-2629,9,14.19,15.32,51.76,55.34
F25-2630,9,14.76,15.96,58.65,55.21
F25-2631,9,14.87,15.89,63.42,48.13
F25-2632,8,14.6,15.62,53.15,57.75
F25-2633,7,14.39,15.48,53.06,54.8
F25-2634,9,14.48,15.64,56.29,53.03
F25-2635,9,14.82,15.81,60.83,47.39
F25-2636,9,15.33,16.3,59.93,49.44
F25-2637,9,13.94,15.24,55.55,40.83
F25-2638,9,12.72,13.7,32.84,46.97
F25-2639,6,12.95,13.95,44.28,61.81
F25-2640,8,12.99,13.37,50.17,50.22
F25-2641,7,13.69,14.98,45.48,55.91
F26-0013,7,13.09,14.56,55.65,44.66
F26-0014,7,11.24,13.13,48.69,38.62
F26-0015,7,13.93,15.38,52.87,45.19
F26-0016,7,12.11,13.85,46.31,42.42
F26-0017,5,13.26,15.08,58.91,38.77
F26-0018,6,12.6,13.22,51.65,19.42
F26-0019,7,14.04,15.41,96.04,21.4
F26-0020,7,13.34,14.91,60.76,38.61
F26-0021,7,12.81,14.44,53.04,41.56
F26-0022,7,15.06,16.61,66.38,45.42
F26-0023,7,12.21,14.63,54.79,44.37
F26-0024,7,13.91,15.55,59.59,47.3
F26-0025,7,14.99,16.7,68.15,39.26
F26-0026,7,14.43,16.25,71.68,36.64
F26-0027,7,12.94,14.37,64.16,32.87
F26-0028,7,14.54,15.59,84.68,35.63
F26-0029,7,14.79,15.42,58.31,33.78
F26-0030,7,13.69,14.84,60.55,31.27
F26-0031,6,14.05,15.67,59.13,54.61
F26-0032,5,14.54,14.7,66.79,40.75
F26-0033,7,12.96,13.76,61.51,28.95
F26-0034,5,12.74,14.22,58.67,35.26
F26-0035,7,13.73,15.13,69.97,30.36
F26-0036,7,13.0,14.85,71.03,30.02
F26-0037,7,13.67,13.76,41.93,51.99
F26-0038,7,14.66,15.21,56.24,44.03
F26-0039,7,14.06,14.81,61.07,36.07
F26-0040,5,14.6,15.26,73.03,26.23
F26-0041,7,16.24,16.82,56.97,46.73
