id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-0950,CIAT-21603,2,239.0,Genetic_bank,Lablab purpureus,Herbaceous_legumes,2,94.28,8.46,91.54,18.15,20.07,52.44,8.0,13.82,15.45,56.99,53.45
F24-3654,CIAT-22156,2,93.0,Genetic_bank,Arachis pintoi,Herbaceous_legumes,2,89.7,10.45,89.55,20.83,24.72,41.79,9.0,12.54,14.41,53.44,56.59
F24-3657,CIAT-22598,2,99.0,Genetic_bank,Lablab purpureus,Herbaceous_legumes,2,88.94,12.58,87.42,31.13,28.04,45.42,7.0,15.1,15.84,45.23,52.73
F25-0932,CIAT-22768,2,203.0,Genetic_bank,Lablab purpureus,Herbaceous_legumes,2,94.18,8.72,91.28,23.69,23.94,49.53,9.0,14.17,15.71,49.54,64.18
F25-0933,CIAT-22770,2,205.0,Genetic_bank,Lablab purpureus,Herbaceous_legumes,2,93.29,7.62,92.38,21.39,21.71,40.34,8.0,14.1,15.65,47.68,68.75
F24-3659,CIAT-25113,2,103.0,Genetic_bank,Centrosema brasilianum,Herbaceous_legumes,2,91.8,11.89,88.11,22.96,29.7,53.7,8.0,14.56,15.63,50.97,46.38
F25-0984,CIAT-25522,2,313.0,Genetic_bank,Centrosema macrocarpum,Herbaceous_legumes,2,95.3,9.9,90.1,20.98,28.86,50.65,6.0,13.87,15.27,45.94,52.0
F25-0985,CIAT-25704,2,315.0,Genetic_bank,Centrosema molle x acutifolium,Herbaceous_legumes,2,95.74,7.2,92.8,24.11,32.58,58.64,7.0,13.13,14.05,52.85,38.46
F24-3547,CIAT-2613,2,125.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,2,91.94,13.26,86.74,12.31,37.2,76.95,6.0,11.4,12.03,40.06,38.22
F25-0987,CIAT-33827,2,319.0,Genetic_bank,Desmodium incanum,Herbaceous_legumes,2,93.88,15.54,84.46,16.09,40.08,49.1,6.0,12.48,14.67,68.58,22.28
F25-0959,CIAT-350,2,263.0,Genetic_bank,Desmodium heterocarpon,Herbaceous_legumes,2,94.34,8.73,91.27,14.87,40.83,51.36,7.0,12.3,13.37,32.84,41.39
