id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-2162,CIAT-BH-22-4169,2,501.0,Breeding,Urochloa humidicola,Grass,2,97.63,12.27,87.73,7.41,35.74,72.26,8.0,12.9,14.2,74.49,30.14
F25-2168,CIAT-BH-22-4253,2,513.0,Breeding,Urochloa humidicola,Grass,2,97.97,13.12,86.88,8.47,32.1,68.01,6.0,12.87,13.84,56.84,36.45
F25-2179,CIAT-BH-22-4454,2,541.0,Breeding,Urochloa humidicola,Grass,2,97.61,11.16,88.84,6.53,31.12,68.58,6.0,13.42,14.52,52.87,45.38
F25-2160,CIAT-BH-22-4865,2,497.0,Breeding,Urochloa humidicola,Grass,2,97.48,15.16,84.84,8.77,32.48,67.33,8.0,12.82,14.07,61.35,36.5
F25-1721,CIAT-BR-02-0465,2,173.0,Breeding,Urochloa interespecific,Grass,2,96.88,13.78,86.22,13.86,32.8,65.62,9.0,12.13,14.13,51.44,43.68
F25-1722,CIAT-BR-04-3025,2,175.0,Breeding,Urochloa interespecific,Grass,2,95.84,11.31,88.69,12.25,32.72,67.42,9.0,13.46,14.64,54.31,48.78
F25-1723,CIAT-BR-05-1435,2,177.0,Breeding,Urochloa interespecific,Grass,2,96.06,14.7,85.29,16.1,30.82,63.96,9.0,12.36,14.27,45.58,43.49
F25-2104,CIAT-BR-06-1348,2,387.0,Breeding,Urochloa interespecific,Grass,4,93.09,14.48,85.52,12.23,25.64,59.76,7.0,13.46,14.59,51.5,54.58
F25-1724,CIAT-BR-09-3660,2,179.0,Breeding,Urochloa interespecific,Grass,2,96.24,13.64,86.36,12.77,29.05,61.25,8.0,12.94,14.27,47.59,47.25
F25-2105,CIAT-BR-09-4467,2,389.0,Breeding,Urochloa interespecific,Grass,4,92.31,14.63,85.37,13.66,24.32,58.96,9.0,12.71,14.34,67.18,42.32
