requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
Genetic_bank,9.0,3,CIAT-9934,Aeschynomene americana,Shrub_Trees,11.9,13.9,53.64,49.69
Breeding,9.0,3,,Tithonia diversifolia,Shrub_Trees,12.72,13.7,32.84,46.97
Breeding,6.0,3,,Gliricidia sepium ,Shrub_Trees,12.95,13.95,44.28,61.81
Genetic_bank,8.0,4,CIAT-13258,Dendrolobium lanceolatum,Shrub_Trees,12.89,13.15,41.85,19.8
Genetic_bank,8.0,4,CIAT-13260,Dendrolobium lanceolatum,Shrub_Trees,13.58,14.5,60.35,18.9
Genetic_bank,5.0,4,CIAT-13262,Dendrolobium triangulare,Shrub_Trees,13.46,14.98,45.6,32.71
Genetic_bank,8.0,4,CIAT-13494,Desmodium tortuosum,Shrub_Trees,12.11,14.31,56.13,47.79
Genetic_bank,8.0,4,CIAT-13528,Dendrolobium lanceolatum,Shrub_Trees,12.78,14.42,46.62,25.89
Genetic_bank,7.0,4,CIAT-13529,Dendrolobium triangulare,Shrub_Trees,13.73,15.62,55.06,31.83
Genetic_bank,6.0,4,CIAT-13562,Desmodium tortuosum,Shrub_Trees,14.07,15.36,49.56,46.73
Genetic_bank,7.0,4,CIAT-13710,Dendrolobium lanceolatum,Shrub_Trees,13.91,15.26,63.86,18.1
Genetic_bank,7.0,4,CIAT-17263,Leucaena leucocephala,Shrub_Trees,12.34,13.6,35.31,48.81
Genetic_bank,8.0,4,CIAT-17459,Erythrina berteroana,Shrub_Trees,13.12,14.15,35.84,55.9
Genetic_bank,7.0,4,CIAT-17482,Leucaena leucocephala,Shrub_Trees,10.94,12.1,32.96,48.79
Genetic_bank,8.0,4,CIAT-17502,Leucaena leucocephala,Shrub_Trees,11.68,13.15,35.97,48.39
Genetic_bank,7.0,4,CIAT-17514,Mimosa pudica,Shrub_Trees,13.73,15.13,69.97,30.36
Genetic_bank,7.0,4,CIAT-17725,Mimosa polycarpa,Shrub_Trees,13.0,14.85,71.03,30.02
Genetic_bank,7.0,4,CIAT-18947,Sesbania sesban,Shrub_Trees,13.67,13.76,41.93,51.99
Genetic_bank,7.0,4,CIAT-19165,Sesbania keniensis,Shrub_Trees,14.66,15.21,56.24,44.03
Genetic_bank,8.0,4,CIAT-19384,Prosopis juliflora,Shrub_Trees,8.28,5.6,4.92,60.95
Genetic_bank,6.0,4,CIAT-19460,Sesbania cannabina,Shrub_Trees,14.15,15.04,105.58,25.96
Genetic_bank,8.0,4,CIAT-19571,Senna cobanensis,Shrub_Trees,13.84,15.97,61.87,44.59
Genetic_bank,6.0,4,CIAT-20126,Acacia angustissima,Shrub_Trees,12.2,12.18,35.13,25.99
Genetic_bank,7.0,4,CIAT-20788,Senna pallida,Shrub_Trees,12.93,15.23,47.31,67.1
Genetic_bank,8.0,4,CIAT-21242,Leucaena diversifolia,Shrub_Trees,11.32,12.5,35.98,32.08
Genetic_bank,8.0,4,CIAT-21512,Calliandra calothyrsus,Shrub_Trees,11.1,12.11,27.96,25.15
Genetic_bank,8.0,4,CIAT-21601,Erythrina fusca,Shrub_Trees,13.99,14.78,52.41,29.92
Genetic_bank,8.0,4,CIAT-21809,Acacia farnesiana,Shrub_Trees,13.66,15.72,54.95,38.97
Genetic_bank,8.0,4,CIAT-21810,Acacia angustissima,Shrub_Trees,10.94,11.11,26.04,33.76
Genetic_bank,7.0,4,CIAT-21888,Leucaena leucocephala,Shrub_Trees,11.14,12.68,39.88,46.47
Genetic_bank,7.0,4,CIAT-21899,Sesbania sesban,Shrub_Trees,14.06,14.81,61.07,36.07
Genetic_bank,7.0,4,CIAT-22004,Dendrolobium triangulare,Shrub_Trees,13.47,15.14,61.95,23.51
Genetic_bank,7.0,4,CIAT-22310,Calliandra calothyrsus,Shrub_Trees,10.89,11.49,32.88,22.65
Genetic_bank,,4,CIAT-22311,Calliandra calothyrsus,Shrub_Trees,,,,
Genetic_bank,7.0,4,CIAT-22316,Calliandra calothyrsus,Shrub_Trees,12.41,12.6,28.14,31.08
Genetic_bank,8.0,4,CIAT-22480,Sesbania cannabina,Shrub_Trees,13.81,15.0,51.39,56.26
Genetic_bank,6.0,4,CIAT-23104,Dendrolobium triangulare,Shrub_Trees,14.43,15.96,80.77,18.16
Genetic_bank,7.0,4,CIAT-23106,Dendrolobium triangulare,Shrub_Trees,14.54,16.08,69.06,18.83
Genetic_bank,5.0,4,CIAT-23107,Dendrolobium triangulare,Shrub_Trees,14.26,16.04,62.47,18.22
Genetic_bank,7.0,4,CIAT-23108,Dendrolobium triangulare,Shrub_Trees,13.61,15.79,71.58,17.48
Genetic_bank,8.0,4,CIAT-23116,Desmodium tortuosum,Shrub_Trees,14.11,15.66,69.81,38.29
Genetic_bank,7.0,4,CIAT-23239,Dendrolobium triangulare,Shrub_Trees,13.71,15.68,72.83,22.69
Genetic_bank,7.0,4,CIAT-23412,Dendrolobium triangulare,Shrub_Trees,13.51,14.92,58.16,19.64
