id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm,ch4_category,tddm_category,lmf_category,lmf_category_rank,quartile,quartile_rank
F24-3516,CIAT-21263,1,341,Genetic_bank,Sesbania rostrata,Shrub_Trees,2,92.58,13.36,86.64,25.01,15.32,40.69,9,14.32,15.06,37.31,60.43,Low,High,Category_1a,10,Q1,21
F24-3517,CIAT-21514,1,343,Genetic_bank,Desmanthus virgatus,Shrub_Trees,2,93.55,9.91,90.08,23.25,15.23,55.95,9,13.74,15.01,46.93,35.54,Low,Not High,Category_2,60,Q3,97
F24-3518,CIAT-21565,1,345,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,2,92.64,7.89,92.11,19.59,33.72,58.3,9,12.47,14.73,39.86,57.7,Low,Not High,Category_2,28,Q1,72
F24-3519,CIAT-21709,1,347,Genetic_bank,Crotalaria juncea,Shrub_Trees,2,92.16,16.8,83.2,25.97,23.18,43.06,9,14.92,15.88,42.07,57.17,Low,Not High,Category_2,35,Q1,27
F24-3520,CIAT-22286,1,349,Genetic_bank,Crotalaria micans,Shrub_Trees,2,93.58,10.4,89.6,25.3,24.48,43.59,9,14.86,15.96,43.2,59.54,Low,Not High,Category_2,42,Q1,23
F24-3521,CIAT-22475,1,351,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,94.16,12.42,87.57,17.41,31.68,64.15,9,14,15.47,44.51,43.56,Low,Not High,Category_2,65,Q3,219
F24-3522,CIAT-22481,1,353,Genetic_bank,Sesbania cochinchinensis,Shrub_Trees,2,91.97,10.46,89.54,31.18,26.64,61.96,9,13.89,14.44,31.77,51.99,Low,Not High,Category_2,9,Q2,41
F24-3523,CIAT-22520,1,355,Genetic_bank,Arachis pusilla,Herbaceous_legumes,2,93.06,14.93,85.07,20.36,22.79,61.22,9,13.09,14.92,40.72,51.33,Low,Not High,Category_2,33,Q2,151
F24-3524,CIAT-22570,1,357,Genetic_bank,Desmanthus bicornutus,Shrub_Trees,2,92.67,8.46,91.54,32.64,19.87,64.71,8,13.38,14.61,24.79,36.77,Low,Not High,Category_2,3,Q3,93
F24-3525,CIAT-22594,1,359,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,2,94.58,8.87,91.13,27.26,23.96,58.58,9,13.66,14.94,35.36,38.96,Low,Not High,Category_2,16,Q3,90
F24-3526,CIAT-22754,1,361,Genetic_bank,Lablab purpureus,Herbaceous_legumes,2,91.68,12.14,87.86,30.03,24.88,51.34,8,13.58,15.12,43.14,51.68,Low,Not High,Category_2,51,Q2,145
F24-3527,CIAT-22915,1,363,Genetic_bank,Aeschynomene villosa,Herbaceous_legumes,2,92.06,7.92,92.07,27.06,34.54,64.51,9,13.71,15.35,41.67,58.09,Low,Not High,Category_2,40,Q1,70
F24-3528,CIAT-23259,1,365,Genetic_bank,Desmodium gangeticum,Shrub_Trees,2,92.86,12.96,87.04,23.04,24.96,56.45,8,15.36,16.83,37.41,51.49,Low,Not High,Category_2,23,Q2,44
F24-3529,CIAT-23339,1,367,Genetic_bank,Desmodium gangeticum,Shrub_Trees,2,93.7,15,85,22.09,14.57,55.68,9,15.24,16.87,35.07,53.81,Low,Not High,Category_2,13,Q1,32
F24-3530,CIAT-23761,1,369,Genetic_bank,Uraria picta,Herbaceous_legumes,2,95,13.68,86.32,18.09,26.64,61.9,9,12.26,13.68,33.56,44.14,Low,Not High,Category_2,10,Q3,213
F24-3531,CIAT-24360,1,371,Genetic_bank,Vigna umbellata,Herbaceous_legumes,2,92.73,17.22,82.78,23.17,28.73,53.68,9,13.99,15.44,37.12,52.16,Low,Not High,Category_2,18,Q2,137
F24-3508,CIAT-20113,1,325,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,94.64,15.79,84.21,18.07,15.92,48.43,9,13.02,15.11,38.26,65.3,Low,High,Category_1a,10,Q1,19
