id_lab,id,subset,no,requisitioner,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
F25-2597,CIAT-12411,4,443,Genetic_bank,Stylosanthes sympodialis,Herbaceous_legumes,2.69,2.03,4.43,5.77,0.36,0.33,0.19,0.7,5.56,0.24,7
F25-2598,CIAT-13494,4,446,Genetic_bank,Desmodium tortuosum,Shrub_Trees,2.53,4.03,8.73,9.53,0.66,0.2,0.08,1.2,12.45,0.84,8
F25-2599,CIAT-13562,4,449,Genetic_bank,Desmodium tortuosum,Shrub_Trees,3.33,5.21,11.4,3.16,0.39,0.34,0.28,1.84,6.45,12.15,6
F25-2600,CIAT-13593,4,452,Genetic_bank,Desmodium scorpiurus,Herbaceous_legumes,2.49,4.29,9.48,9.58,0.7,0.38,0.23,1.6,39.35,2.55,6
F25-2601,CIAT-13608,4,455,Genetic_bank,Desmodium incanum,Herbaceous_legumes,2.62,3.84,8.3,5.69,0.52,0.39,0.27,1.24,13.36,1.2,6
F25-2602,CIAT-18277,4,458,Genetic_bank,Indigofera jamaicensis,Herbaceous_legumes,2.63,3.78,8.41,6.78,0.6,0.29,0.18,1.2,12.03,0.68,6
F25-2603,CIAT-18952,4,461,Genetic_bank,Indigofera atriceps,Herbaceous_legumes,1.49,2.72,6.01,9.54,0.99,0.44,0.23,0.91,21.31,0.08,6
F25-2604,CIAT-18953,4,783,Genetic_bank,Indigofera atriceps,Herbaceous_legumes,2.9,4.52,10.13,6.1,0.34,0.74,0.72,2.12,7.22,0.4,6
F25-2605,CIAT-18954,4,785,Genetic_bank,Indigofera atriceps,Herbaceous_legumes,3.51,4.2,9.0,9.21,0.63,0.96,0.63,1.86,9.42,0.49,7
F25-2606,CIAT-19198,4,788,Genetic_bank,Tephrosia villosa,Herbaceous_legumes,10.09,19.16,42.3,7.31,1.74,0.9,0.68,7.11,16.54,2.6,8
F25-2607,CIAT-19460,4,791,Genetic_bank,Sesbania cannabina,Shrub_Trees,5.08,5.66,12.41,8.3,0.42,0.63,0.54,2.74,24.01,0.31,6
F25-2608,CIAT-20044,4,794,Genetic_bank,Tephrosia purpurea,Herbaceous_legumes,4.78,10.81,23.43,8.22,0.66,0.85,0.27,3.96,8.01,3.24,8
F25-2609,CIAT-22423,4,797,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,5.73,6.05,13.32,7.85,0.36,0.67,0.68,3.1,5.25,0.51,7
F25-2610,CIAT-22480,4,800,Genetic_bank,Sesbania cannabina,Shrub_Trees,5.76,7.25,15.72,5.65,0.23,0.6,0.53,3.26,5.22,13.07,8
F25-2611,CIAT-23116,4,803,Genetic_bank,Desmodium tortuosum,Shrub_Trees,5.35,9.1,19.64,5.38,0.42,0.55,0.45,3.58,12.99,10.08,8
F25-2612,CIAT-23416,4,806,Genetic_bank,Codariocalyx motorius,Shrub_Trees,3.32,4.38,9.45,8.86,0.65,0.62,0.46,1.87,16.93,3.03,14
F25-2613,CIAT-23806,4,809,Genetic_bank,Desmodium angustifolium,Herbaceous_legumes,5.17,7.73,16.69,3.12,0.28,0.66,0.66,3.49,9.69,3.12,8
F25-2614,CIAT-24104,4,812,Genetic_bank,Macroptilium atropurpureum,Herbaceous_legumes,5.67,6.89,14.91,6.19,0.51,0.68,0.63,3.04,7.31,0.82,8
F25-2615,CIAT-24565,4,815,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,4.89,9.06,20.11,6.76,0.22,0.78,0.7,3.84,5.32,2.31,6
F25-2616,CIAT-33561,4,818,Genetic_bank,Desmodium wigginsii,Herbaceous_legumes,6.04,9.1,19.78,6.77,0.31,0.55,0.49,3.74,8.19,3.9,8
F25-2617,CIAT-34038,4,821,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,4.43,8.61,18.75,8.78,0.4,0.44,0.45,3.27,8.41,1.12,8
F25-2618,CIAT-34040,4,824,Genetic_bank,Vigna aconitifolia,Herbaceous_legumes,6.48,8.88,19.6,6.85,0.26,0.65,0.45,3.73,6.35,17.65,8
F25-2619,CIAT-34042,4,827,Genetic_bank,Vigna aconitifolia,Herbaceous_legumes,5.09,10.35,22.75,6.92,0.26,0.68,0.49,4.22,6.27,6.55,8
F25-2620,CIAT-34044,4,832,Genetic_bank,Vigna aconitifolia,Herbaceous_legumes,7.74,15.03,32.8,13.34,0.4,0.61,0.41,5.68,10.66,4.4,8
F25-2621,CIAT-34148,4,835,Genetic_bank,Vigna radiata,Herbaceous_legumes,5.13,11.34,25.27,9.35,0.45,0.57,0.29,4.03,11.14,39.55,8
F25-2622,CIAT-34159,4,838,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,5.01,8.48,18.75,8.33,0.44,0.59,0.55,3.65,11.18,2.11,8
F25-2623,CIAT-34347,4,841,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,6.41,8.53,19.1,8.84,0.19,0.6,0.8,3.91,2.28,1.77,6
F25-2624,CIAT-6294-Marandu-Exc,3,969,Benchmark,Urochloa interespecific,Grass,12.48,17.28,34.14,7.04,0.25,0.46,0.29,4.83,4.29,22.03,8
F25-2625,CIAT-36087-MulatoII-Exc,3,1080,Benchmark,Urochloa interespecific,Grass,3.07,3.5,7.61,1.9,0.07,0.34,0.32,1.47,1.31,5.8,6
F25-2626,CIAT-606-Basilisk-Exc,3,975,Benchmark,Urochloa interespecific,Grass,3.17,3.89,8.09,2.85,0.15,0.4,0.18,1.46,3.07,14.83,9
F25-2627,BR-02-1752-Cayman-Exc,3,978,Benchmark,Urochloa interespecific,Grass,2.47,5.77,11.7,3.42,0.18,0.32,0.25,1.62,2.69,13.04,9
F25-2628,BR-06-423-Cayman-Exc,3,981,Benchmark,Urochloa interespecific,Grass,3.19,4.86,10.1,2.41,0.23,0.41,0.2,1.66,4.27,20.57,9
F25-2629,CIAT-20692,3,984,Genetic_bank,Clitoria ternatea ,Herbaceous_legumes,4.13,4.19,7.94,5.76,0.29,0.65,0.37,0.8,5.42,25.04,9
F25-2630,CIAT-20692,3,987,Genetic_bank,Clitoria ternatea ,Herbaceous_legumes,5.39,12.01,26.46,2.65,0.33,0.32,0.36,4.67,8.92,40.9,9
F25-2633,CIAT-712,3,998,Genetic_bank,Clitoria ternatea ,Herbaceous_legumes,5.3,5.22,12.6,3.79,0.27,0.25,0.16,1.85,4.39,19.64,7
F25-2634,CIAT-712,3,999,Genetic_bank,Clitoria ternatea ,Herbaceous_legumes,2.96,2.62,9.17,4.1,0.27,0.23,0.21,1.63,6.0,24.36,9
F25-2635,CIAT-9432,3,1002,Genetic_bank,Clitoria ternatea ,Herbaceous_legumes,4.44,4.45,13.66,6.36,0.35,0.25,0.15,2.15,8.86,41.62,9
F25-2636,CIAT-9432,3,1005,Genetic_bank,Clitoria ternatea ,Herbaceous_legumes,5.08,3.45,8.88,5.54,0.33,0.22,0.27,1.71,7.68,35.71,9
