id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
F24-3457,CIAT-9254,1,173.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,0.05,0.05,0.05,5.89,0.95,0.06,2
F24-3458,CIAT-9283,1,175.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,0.06,0.03,0.03,3.73,0.27,1.16,2
F24-3459,CIAT-9288,1,177.0,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,0.08,0.03,0.03,6.93,0.19,0.22,2
F24-3460,CIAT-9336,1,179.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.03,0.0,0.0,2.86,0.38,0.04,2
F24-3461,CIAT-9349,1,181.0,Genetic_bank,Mucuna pruriens,Herbaceous_legumes,0.13,0.0,0.0,1.52,0.03,0.45,2
F24-3462,CIAT-9356,1,183.0,Genetic_bank,Tephrosia noctiflora,Shrub_Trees,0.07,0.05,0.05,0.41,0.09,0.35,2
F24-3463,CIAT-9432,1,185.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.04,0.01,0.01,0.47,0.62,2.17,2
F24-3464,CIAT-9433,1,187.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.03,0.06,0.06,1.54,0.02,1.66,2
F24-3465,CIAT-9435,1,189.0,Genetic_bank,Desmanthus pubescens,Shrub_Trees,0.01,0.02,0.02,0.06,0.29,0.82,2
F24-3466,CIAT-9530,1,191.0,Genetic_bank,Crotalaria maypurensis,Herbaceous_legumes,0.06,0.07,0.07,0.0,0.49,1.07,2
F24-3467,CIAT-9562,1,193.0,Genetic_bank,Eriosema diffusum,Herbaceous_legumes,0.03,0.15,0.15,0.0,0.06,0.3,2
F24-3468,CIAT-9982,1,195.0,Genetic_bank,Crotalaria incana,Herbaceous_legumes,0.08,0.05,0.05,0.0,0.5,0.54,2
F24-3470,CIAT-11194,1,199.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.01,0.25,0.25,0.0,0.3,0.36,2
F24-3471,CIAT-11999,1,201.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.09,0.28,0.28,0.0,1.44,2.22,2
F24-3472,CIAT-12318,1,203.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.0,0.02,0.02,0.0,0.3,1.91,2
F24-3473,CIAT-13575,1,205.0,Genetic_bank,Desmodium incanum,Herbaceous_legumes,0.05,0.04,0.04,0.0,0.96,0.69,2
F24-3474,CIAT-13609,1,207.0,Genetic_bank,Desmodium incanum,Herbaceous_legumes,0.08,0.25,0.25,0.0,1.85,0.94,2
F24-3475,CIAT-15551,1,209.0,Genetic_bank,Centrosema molle,Herbaceous_legumes,0.03,0.02,0.02,0.0,0.46,1.07,2
F24-3476,CIAT-17024,1,211.0,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,0.02,0.06,0.06,0.0,0.29,0.47,2
F24-3477,CIAT-17091,1,213.0,Genetic_bank,Crotalaria micans,Shrub_Trees,0.54,0.03,0.03,0.0,0.28,0.36,2
F24-3478,CIAT-17365,1,215.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.01,0.17,0.17,0.0,0.46,1.2,2
F24-3479,CIAT-17451,1,217.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.01,0.16,0.16,0.0,0.15,0.29,2
F24-3480,CIAT-17775,1,219.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,0.33,0.06,0.06,0.0,0.55,2.66,2
F24-3481,CIAT-18016,1,221.0,Genetic_bank,Sesbania emerus,Shrub_Trees,0.3,0.12,0.12,0.0,1.38,0.62,2
F24-3482,CIAT-18044,1,223.0,Genetic_bank,Christia sp.,Herbaceous_legumes,0.06,0.01,0.01,0.0,0.47,1.1,2
F24-3483,CIAT-18288,1,225.0,Genetic_bank,Sesbania exasperata,Shrub_Trees,0.04,0.06,0.06,0.0,0.12,0.58,2
F24-3484,CIAT-18447,1,227.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.16,0.07,0.07,0.0,0.22,2.46,2
F24-3485,CIAT-18455,1,229.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,0.01,0.07,0.07,0.0,0.14,0.8,2
F24-3486,CIAT-18707,1,231.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,0.09,0.17,0.17,0.0,0.11,2.12,2
F24-3487,CIAT-18749,1,233.0,Genetic_bank,Arachis pintoi,Herbaceous_legumes,0.15,0.03,0.03,0.0,0.23,0.66,2
F24-3488,CIAT-18813,1,235.0,Genetic_bank,Crotalaria nitens,Herbaceous_legumes,0.21,0.23,0.23,0.0,0.52,1.06,2
F24-3489,CIAT-18848,1,237.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.05,0.05,0.05,0.0,0.9,1.03,2
F24-3490,CIAT-18862,1,239.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.05,0.08,0.08,0.0,0.09,1.74,2
F24-3491,CIAT-18931,1,241.0,Genetic_bank,Tephrosia linearis,Shrub_Trees,0.05,0.12,0.12,0.0,0.84,2.43,2
F24-3492,CIAT-19038,1,243.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.01,0.16,0.16,0.0,0.0,1.72,2
F24-3493,CIAT-19118,1,245.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.07,0.04,0.04,0.0,0.42,0.14,2
F24-3494,CIAT-19127,1,247.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.06,0.12,0.12,0.0,0.2,1.2,2
F24-3495,CIAT-19128,1,249.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.06,0.03,0.03,0.0,0.33,0.51,2
F24-3496,CIAT-19129,1,251.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.08,0.62,0.62,0.0,0.24,1.09,2
F24-3497,CIAT-19133,1,253.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.02,0.27,0.27,0.0,0.51,0.9,2
F24-3498,CIAT-19137,1,255.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.03,0.09,0.09,0.0,0.55,0.96,2
F24-3499,CIAT-19138,1,257.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.14,0.03,0.03,0.0,1.05,2.12,2
F24-3500,CIAT-19139,1,259.0,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,0.01,0.98,0.98,0.0,0.31,0.5,2
F24-3501,CIAT-19213,1,311.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.07,2.11,2.11,0.0,0.5,0.3,2
F24-3502,CIAT-19421,1,313.0,Genetic_bank,Uraria lagopodioides,Herbaceous_legumes,0.14,0.36,0.36,0.0,0.08,1.11,2
F24-3503,CIAT-19566,1,315.0,Genetic_bank,Tephrosia noctiflora,Shrub_Trees,2.14,2.45,2.45,0.0,0.13,1.98,2
F24-3504,CIAT-19667,1,317.0,Genetic_bank,Indigofera hirsuta,Herbaceous_legumes,0.0,0.02,0.02,0.0,0.5,0.11,2
F24-3505,CIAT-19673,1,319.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.01,0.28,0.28,0.0,0.08,0.06,2
F24-3506,CIAT-19895,1,321.0,Genetic_bank,Aeschynomene americana,Shrub_Trees,0.09,0.12,0.12,0.0,0.91,1.01,2
F24-3507,CIAT-20093,1,323.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.05,0.04,0.04,0.0,0.33,1.16,2
F24-3508,CIAT-20113,1,325.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.01,0.16,0.16,0.0,0.06,1.91,2
F24-3509,CIAT-20125,1,327.0,Genetic_bank,Coursetia caribaea,Shrub_Trees,0.04,0.18,0.18,0.0,0.09,0.37,2
