id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
F24-3463,CIAT-9432,1,185.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,91.28,8.03,91.97,31.25,17.92,44.95,2
F24-3464,CIAT-9433,1,187.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,94.27,9.44,90.56,31.68,21.94,43.14,2
F24-3465,CIAT-9435,1,189.0,Genetic_bank,Desmanthus pubescens,Shrub_Trees,94.59,8.48,91.52,26.78,36.06,53.83,2
F24-3466,CIAT-9530,1,191.0,Genetic_bank,Crotalaria maypurensis,Herbaceous_legumes,93.26,8.79,91.21,32.65,10.84,32.2,2
F24-3467,CIAT-9562,1,193.0,Genetic_bank,Eriosema diffusum,Herbaceous_legumes,93.93,8.4,91.6,18.11,51.96,64.55,2
F24-3468,CIAT-9982,1,195.0,Genetic_bank,Crotalaria incana,Herbaceous_legumes,93.82,8.65,91.35,26.86,14.33,46.83,2
F24-3470,CIAT-11194,1,199.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,92.89,9.61,90.39,21.18,30.18,55.94,2
F24-3471,CIAT-11999,1,201.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,93.5,10.46,89.54,20.09,33.9,61.32,2
F24-3472,CIAT-12318,1,203.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,94.1,11.08,88.92,22.05,29.34,55.26,2
F24-3473,CIAT-13575,1,205.0,Genetic_bank,Desmodium incanum,Herbaceous_legumes,94.14,11.52,88.48,23.17,44.09,57.61,2
F24-3474,CIAT-13609,1,207.0,Genetic_bank,Desmodium incanum,Herbaceous_legumes,93.4,11.58,88.42,20.01,40.85,58.78,2
F24-3475,CIAT-15551,1,209.0,Genetic_bank,Centrosema molle,Herbaceous_legumes,93.75,10.48,89.52,22.31,23.67,61.59,2
F24-3476,CIAT-17024,1,211.0,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,92.53,8.23,91.77,24.63,32.03,58.24,2
F24-3477,CIAT-17091,1,213.0,Genetic_bank,Crotalaria micans,Shrub_Trees,94.56,8.37,91.63,24.38,17.15,49.73,2
F24-3478,CIAT-17365,1,215.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,93.39,7.63,92.37,32.12,23.37,51.72,2
F24-3479,CIAT-17451,1,217.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,91.64,19.48,80.53,22.34,20.08,49.14,2
