gene_bank_breeding_id,tax_name,functional_group,ch4_percentage_8h,ch4_percentage_24h,ch4_intensity_ml_g_tddm,tddm_mg_g,ch4_intensity_decrease_percentage,benchmark_vs_control,ch4_intensity_category,tddm_category,score_ch4_intensity,score_tddm,composite_score,x,overall_rank,selected,ch4_percentage_8h_reduction_percentage,ch4_percentage_24h_reduction,top_10_percentage_of_methane_emitters
Gene bank / Breeding ID,Tax Name,"Functional 
Group",CH4% (8h),CH4% (24h),"CH4 Intensity 
[ml/g TDDM]",TDDM [mg/g],CH4 Intensity  Decrease%,Benchmark vs. Control,"CH4 Intensity 
Category","TDDM 
Category","Score
CH4 Intensity","Score
TDDM","Composite 
Score",,"Overall 
Rank",Selected,"CH4% (8h)
Reduction%","CH4% (24h)
Reduction%",Top 10% of methane emitters
CIAT-852,Dioclea sericea,Climber,12.625,14.06177283,47.75477299,46.55186377,0.31,,Medium,Not High,0,0,0,-99,0,0,0.097,0.102,
CIAT-8702,Calopogonium caeruleum,Climber,13.38571429,15.00368541,55.22922007,45.28150402,0.2,,Medium,Not High,0,0,0,-99,0,0,0.043,0.042,
CIAT-8719,Canavalia sp.,Climber,14.66388889,16.92290927,35.82828163,69.01484696,0.48,,Low,High,1.189,1.92,4.298,4.298,5,1,-0.049,-0.081,
CIAT-8797,Desmanthus virgatus,Shrub,13.60555556,15.90633759,39.30177088,49.25748774,0.43,,Low,Not High,0,0,0,-99,0,0,0.027,-0.016,
CIAT-8816,Crotalaria micans,Herbaceous legume,13.32222222,14.68445207,47.10012958,46.7021594,0.32,,Medium,Not High,0,0,0,-99,0,0,0.047,0.062,
CIAT-8819,Coursetia caribaea,Herbaceous legume,16.56777778,18.43514176,40.70647497,65.13841256,0.41,,Low,High,0.703,1.514,2.92,2.92,40,1,-0.185,-0.177,
CIAT-887,Calopogonium mucunoides,Climber,12.825,14.01458092,47.23500694,46.8764695,0.32,,Medium,Not High,0,0,0,-99,0,0,0.083,0.105,
CIAT-905,Canavalia brasiliensis,Climber,12.07777778,15.39794365,40.88064539,63.41720623,0.41,,Low,High,0.686,1.334,2.706,2.706,45,1,0.136,0.017,
CIAT-907,Dioclea virgata,Climber,13.17777778,14.78603126,45.97682481,52.30124557,0.34,,Medium,Not High,0,0,0,-99,0,0,0.058,0.056,
CIAT-913,Cajanus cajan,Shrub,13.53333333,16.14330515,32.8325974,60.86471966,0.53,,Low,High,1.487,1.067,4.041,4.041,10,1,0.032,-0.031,
