subset,id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
4,F26-0027,CIAT-23503,Desmodium macrodesmum,Herbaceous_legumes,12.94,16.06,64.16,32.87
4,F25-1692,CIAT-23715,Desmodium sequax,Shrub_Trees,12.42,15.01,,
4,F25-1741,CIAT-23734,Dendrolobium triangulare,Shrub_Trees,15.12,17.51,60.39,30.16
4,F26-0041,CIAT-23767,Desmodium nicaraguense,Shrub_Trees,16.24,17.46,56.97,46.73
4,F25-2613,CIAT-23806,Desmodium angustifolium,Herbaceous_legumes,13.49,16.55,60.64,44.04
4,F25-1742,CIAT-23932,Dendrolobium triangulare,Shrub_Trees,14.7,17.95,73.46,22.76
4,F25-1743,CIAT-23933,Dendrolobium triangulare,Shrub_Trees,14.86,17.27,65.72,22.87
4,F25-1744,CIAT-23934,Dendrolobium triangulare,Shrub_Trees,14.45,17.16,58.42,29.86
4,F25-1745,CIAT-23936,Dendrolobium triangulare,Shrub_Trees,14.15,17.39,69.63,21.51
4,F25-2614,CIAT-24104,Macroptilium atropurpureum,Herbaceous_legumes,12.88,16.04,40.93,56.78
4,F26-0028,CIAT-24333,Macroptilium bracteatum,Herbaceous_legumes,14.54,16.7,84.68,35.63
4,F25-2615,CIAT-24565,Vigna unguiculata,Herbaceous_legumes,13.0,15.45,46.92,50.41
4,F25-1775,CIAT-33116,Dendrolobium triangulare,Shrub_Trees,13.2,17.55,51.55,26.21
4,F25-1746,CIAT-33119,Dendrolobium triangulare,Shrub_Trees,14.42,17.95,60.37,29.76
4,F26-0042,CIAT-33127,Codariocalyx motorius,Shrub_Trees,14.5,16.09,,
4,F26-0029,CIAT-33235,Desmodium scorpiurus,Herbaceous_legumes,14.79,16.11,58.31,33.78
4,F25-1747,CIAT-33383,Dendrolobium sp.,Shrub_Trees,14.32,17.41,56.51,30.62
4,F25-1748,CIAT-33402,Dendrolobium triangulare,Shrub_Trees,14.39,17.26,60.27,29.73
4,F25-1749,CIAT-33508,Dendrolobium umbellatum,Shrub_Trees,14.76,19.05,67.34,31.78
4,F25-1750,CIAT-33515,Dendrolobium triangulare,Shrub_Trees,14.54,15.99,79.12,18.94
4,F25-2616,CIAT-33561,Desmodium wigginsii,Herbaceous_legumes,13.89,16.8,62.43,43.12
4,F26-0030,CIAT-33605,Desmodium sandwicense x intortum,Herbaceous_legumes,13.69,16.0,60.55,31.27
4,F25-2617,CIAT-34038,Vigna unguiculata,Herbaceous_legumes,12.9,15.74,47.68,55.34
4,F25-2618,CIAT-34040,Vigna aconitifolia,Herbaceous_legumes,13.5,17.31,56.11,54.28
4,F25-2619,CIAT-34042,Vigna aconitifolia,Herbaceous_legumes,13.48,16.7,56.27,49.93
4,F25-2620,CIAT-34044,Vigna aconitifolia,Herbaceous_legumes,13.74,17.54,64.72,49.46
4,F26-0031,CIAT-34144,Vigna radiata,Herbaceous_legumes,14.09,16.96,59.13,54.61
4,F25-2621,CIAT-34148,Vigna radiata,Herbaceous_legumes,13.89,16.59,58.17,46.55
4,F25-2622,CIAT-34159,Vigna unguiculata,Herbaceous_legumes,14.09,16.38,56.72,54.02
4,F25-2623,CIAT-34347,Vigna unguiculata,Herbaceous_legumes,12.41,15.45,45.74,53.14
4,F25-2184,CIAT-BH-22-0303,Urochloa humidicola,Grass,13.95,15.35,129.3,22.13
4,F25-2186,CIAT-BH-22-0468,Urochloa humidicola,Grass,14.35,15.11,75.5,34.63
4,F25-2191,CIAT-BH-22-0517,Urochloa humidicola,Grass,13.81,15.03,,
4,F25-2192,CIAT-BH-22-0519,Urochloa humidicola,Grass,14.04,15.78,,
4,F25-2193,CIAT-BH-22-0521,Urochloa humidicola,Grass,14.24,15.44,45.56,13.48
4,F25-2166,CIAT-BH-22-0528,Urochloa humidicola,Grass,13.67,15.51,61.79,43.19
4,F25-2185,CIAT-BH-22-1594,Urochloa humidicola,Grass,14.18,15.19,77.18,37.18
4,F25-2188,CIAT-BH-22-1710,Urochloa humidicola,Grass,14.0,15.29,73.82,36.11
4,F25-2189,CIAT-BH-22-2365,Urochloa humidicola,Grass,14.12,15.02,66.84,39.83
4,F25-2190,CIAT-BH-22-3572,Urochloa humidicola,Grass,13.69,14.75,154.85,20.76
4,F25-2187,CIAT-BH-22-3830,Urochloa humidicola,Grass,13.88,15.44,75.1,40.8
4,F25-2104,CIAT-BR-06-1348,Brachiaria interespecifico,Grass,13.46,15.49,51.5,54.58
4,F25-2641,,Gliricidia sepium ,Shrub_Trees,13.66,16.15,45.48,55.91
4,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,14.96,16.26,86.08,27.04
