subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
1,531,Breeding,F24-3587,ABC-BR-15-0722,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,1,69.0,32.81900054,74.9674473,4.496203074,10.43913407,13.7,13.92488933,157.4375231,111.390345,36.86490542,59.46848526
1,532,Breeding,F24-3587,ABC-BR-15-0722,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,2,70.0,32.81900054,72.31242703,4.496203074,10.14376306,13.7,14.02768995,151.8314119,122.6958993,37.27024102,57.14596723
1,533,Breeding,F24-3587,ABC-BR-15-0722,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,3,71.0,31.93399378,73.63993716,4.374957148,10.29720111,13.7,13.98317476,154.5878248,107.7887108,36.12253116,59.84155876
1,534,Breeding,F24-3588,ABC-BR-15-6487,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,1,72.0,34.58901405,73.63993716,4.531160841,9.959239153,13.1,13.52423635,154.7934623,103.7094096,34.62514153,60.46078883
1,535,Breeding,F24-3588,ABC-BR-15-6487,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,2,73.0,32.81900054,71.86992365,4.529022074,10.07425316,13.8,14.01734223,151.0426539,107.18771,35.27086499,60.02735037
1,536,Breeding,F24-3588,ABC-BR-15-6487,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,3,74.0,34.58901405,75.85245405,4.634927883,10.45307292,13.4,13.78079728,159.5398898,89.37313886,33.88957691,64.875017
1,539,Breeding,F24-3589,ABC-BR-19-0029,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,1,77.0,38.12904108,78.9499777,5.071162463,11.03101921,13.3,13.97216254,164.2272243,114.9083385,37.27498651,61.55896184
1,540,Breeding,F24-3589,ABC-BR-19-0029,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,2,78.0,,,,,12.5,,,,,
1,541,Breeding,F24-3589,ABC-BR-19-0029,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,3,79.0,38.12904108,79.83498446,4.994904381,11.08397211,13.1,13.88360277,166.1677857,98.14898135,35.44058228,65.09507974
1,542,Breeding,F24-3590,ABC-BR-19-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,1,80.0,39.89905459,86.03003175,5.386372369,11.93697113,13.5,13.87535362,180.2433581,103.8214308,38.55619332,64.86481461
