id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-1652,CIAT-822,Calopogonium mucunoides,Herbaceous_legumes,13.78,14.98,46.32,50.76
F25-1663,CIAT-8434,Dioclea sericea,Herbaceous_legumes,13.53,15.0,80.8,28.68
F25-1653,CIAT-852,Dioclea sericea,Herbaceous_legumes,11.81,12.99,42.28,26.2
F25-1664,CIAT-8702,Calopogonium caeruleum,Herbaceous_legumes,14.31,15.82,59.43,39.44
F25-1665,CIAT-8816,Crotalaria micans,Herbaceous_legumes,13.76,15.02,45.05,65.32
F25-1666,CIAT-8826,Zapoteca formosa,Shrub_Trees,10.9,11.8,36.29,67.6
F25-1654,CIAT-907,Dioclea virgata,Herbaceous_legumes,13.4,15.24,55.34,40.95
F25-1667,CIAT-9578,Dioclea sericea,Herbaceous_legumes,11.89,12.92,36.11,30.81
F25-1668,CIAT-9740,Chamaecrista desvauxii,Herbaceous_legumes,10.03,13.34,49.7,47.18
F25-1669,CIAT-9934,Aeschynomene americana,Herbaceous_legumes,12.91,14.26,54.27,53.37
F25-2170,CIAT-BH22_0765,Urochloa humidicola,Grass,13.61,14.19,88.6,35.49
F25-2171,CIAT-BH22_2531,Urochloa humidicola,Grass,12.7,14.1,105.66,36.25
F25-2105,CIAT-BR09_4467,Brachiaria interespecifico,Grass,12.38,13.79,68.51,40.78
F25-2101,CIAT-CIAT_16071,Megathyrsus maximus,Grass,13.51,15.57,90.05,32.01
F25-2096,CIAT-PM21_4448,Megathyrsus maximus,Grass,13.82,15.19,76.96,39.76
F25-2625,CIAT_36087_MulatoII_Exc,Urochloa interespecifico,Grass,13.21,14.35,50.69,56.24
F25-2139,CIAT_36087_MulatoII_Opt, Brachiaria interespecifico,Grass,12.77,13.6,46.25,52.77
F25-2626,CIAT_606_Basilisk_Exc,Urochloa interespecifico,Grass,13.5,14.53,52.09,57.88
F25-2140,CIAT_6133_Llanero _Opt,Brachiaria humidicola,Grass,13.67,14.0,54.66,45.88
F25-2624,CIAT_6294_Marandu_Exc,Urochloa interespecifico,Grass,13.81,14.97,53.9,57.28
F25-2136,CIAT_6962_Mombaza _Ex,Megathyrsus maximus,Grass,12.87,13.34,57.01,39.34
F25-2141,CIAT_6962_Mombaza _Opt,Megathyrsus maximus ,Grass,12.74,14.16,54.15,44.76
