id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
0,Tissa,Grass,16.72,16.65,16.72,68.75
0,ArabiAbiad/Arar//H.spont.41-5/Tadmor/3/Zanbakian/4/Furat-2,Grass,11.93,13.55,11.93,56.78
0,Morex - HB2032,Grass,17.88,16.74,17.88,44.41
0,Tadmor//ER/Apm/3/H.spont.38-3/Akrash-01/4/Tichedrette,Grass,12.17,13.52,12.17,55.07
0,Emir - A17,Grass,12.43,12.16,12.43,41.94
0,Alanda,Grass,12.57,2.94,12.57,42.71
0,Emir - A17/1,Grass,12.5,12.16,12.5,38.88
0,H.spont.41-3/SLB34-40/7/Lignee527//Bahtim/DL71/3/Api/CM67//Mzq/5/Alanda-01/4/WI2291/3/Api/CM67//L2966-69/6/Lignee527/Chn-01//Arar/Rhn-03,Grass,12.5,11.71,12.5,36.78
0,Soufara-02/3/RM1508/Por//WI2269/4/Hml-02/ArabiAbiad//ER/Apm/5/H.spont.41-1,Grass,15.18,15.19,15.18,42.99
0,Morex - HB2032,Grass,15.01,15.48,15.01,39.84
0,Alanda/5/Aths/4/Pro/TolI//Cer*2/TolI/3/5106/6/Baca'S'/3/AC253//CI08887/CI05761/7/IG 145502/8/LAMOLINA96/FALCON-BAR,Grass,14.56,15.22,14.56,44.79
0,Rosalind/IG 1074426,Grass,16.13,16.05,16.13,43.79
0,SLB 15-05/4/H.spont.96-3/3/Roho//Alger/Ceres362-1-1/5/Furat-2,Grass,16.72,16.47,16.72,42.68
0,Arta/3/Hml-02//Esp/1808-4L/4/ArabiAbiad/Arar//H.spont.41-5/Tadmor/5/Rihane 03,Grass,15.92,16.09,15.92,45.91
0,ArabiAbiad/Arar//H.spont.41-5/Tadmor/3/Zanbakian/4/HARMAL,Grass,15.97,16.22,15.97,41.85
0,V Morales,Grass,15.27,16.43,15.27,38.43
0,YEA389-3/YEA475-4/4/Hma-02//11012-2/CM67/3/Marageh/5/Alanda 01,Grass,11.37,12.96,11.37,50.95
0,CANELA/Malt 2/5/Arar/H.spont.19-15//Hml/3/H.spont.41-1/Tadmor/4/Tadmor//ER/Apm,Grass,11.9,13.48,11.9,52.63
0,ANAKIN,Grass,13.21,14.58,13.21,56.97
0,Arta/3/Hml-02//Esp/1808-4L/4/ArabiAbiad/Arar//H.spont.41-5/Tadmor/5/Furat-3,Grass,8.2,7.85,8.2,38.76
0,Emir - A17/1,Grass,16.79,17.42,16.79,57.3
16162,Medicago noeana,Herbaceous_legumes,14.42,15.23,14.42,63.17
16635,Astragalus boeticus,Herbaceous_legumes,13.17,14.19,13.17,75.92
49160,Pisum sativum var. arvense,Herbaceous_legumes,,,,
49164,Pisum sativum,Herbaceous_legumes,14.57,15.23,14.57,79.19
49166,Pisum sativum,Herbaceous_legumes,13.83,15.22,41.64,76.56
49171,Pisum sativum,Herbaceous_legumes,13.65,14.98,43.32,76.95
49174,Pisum sativum,Herbaceous_legumes,13.13,14.69,42.47,73.99
49175,Pisum sativum,Herbaceous_legumes,14.23,15.86,49.06,75.6
49176,Pisum sativum,Herbaceous_legumes,13.23,14.77,48.41,76.35
49199,Pisum sativum,Herbaceous_legumes,13.02,14.76,47.74,76.82
49206,Pisum sativum,Herbaceous_legumes,14.07,15.56,47.13,74.61
49208,Pisum sativum var. arvense,Herbaceous_legumes,,,,
49208,Pisum sativum var. arvense,Herbaceous_legumes,13.77,14.79,13.77,71.75
49211,Pisum sativum,Herbaceous_legumes,13.93,15.33,42.43,83.55
49219,Pisum sativum,Herbaceous_legumes,14.05,15.54,42.95,74.38
49224,Pisum sativum,Herbaceous_legumes,13.45,14.84,39.47,79.04
49233,Pisum sativum,Herbaceous_legumes,13.7,15.1,44.41,83.09
49237,Pisum sativum,Herbaceous_legumes,13.87,15.46,48.62,78.27
49251,Pisum sativum,Herbaceous_legumes,13.13,14.75,46.81,77.98
49288,Pisum sativum var. arvense,Herbaceous_legumes,,,,
49312,Pisum sativum,Herbaceous_legumes,13.18,14.66,41.69,80.02
49315,Pisum sativum,Herbaceous_legumes,13.12,14.47,40.87,71.48
49317,Pisum sativum,Herbaceous_legumes,13.03,14.59,41.04,78.3
49319,Pisum sativum,Herbaceous_legumes,13.53,15.25,46.66,80.63
49333,Pisum sativum,Herbaceous_legumes,13.05,14.67,43.55,74.52
49337,Pisum sativum,Herbaceous_legumes,12.75,14.61,38.44,78.6
49354,Pisum sativum,Herbaceous_legumes,13.03,14.61,38.38,78.61
49373,Pisum sativum,Herbaceous_legumes,13.08,15.01,40.91,73.88
49399,Pisum sativum,Herbaceous_legumes,12.93,14.69,40.98,79.45
49503,Pisum sativum,Herbaceous_legumes,12.97,14.94,43.5,74.86
49574,Pisum sativum,Herbaceous_legumes,12.57,14.45,42.13,79.06
49603,Pisum sativum,Herbaceous_legumes,13.18,15.02,42.95,83.04
49715,Pisum sativum,Herbaceous_legumes,12.67,14.72,40.46,81.93
49795,Pisum sativum,Herbaceous_legumes,13.08,15.06,42.94,75.69
49919,Pisum sativum,Herbaceous_legumes,13.4,15.16,47.64,82.68
49951,Pisum sativum,Herbaceous_legumes,13.82,15.53,50.28,80.34
50145,Pisum sativum,Herbaceous_legumes,13.28,15.67,33.06,87.09
50223,Pisum sativum,Herbaceous_legumes,13.58,15.02,37.5,85.5
50229,Pisum sativum,Herbaceous_legumes,13.82,14.99,35.43,80.03
50268,Pisum sativum,Herbaceous_legumes,13.12,14.78,41.52,76.75
50302,Pisum sativum,Herbaceous_legumes,12.93,14.78,39.2,80.35
50422,Pisum sativum,Herbaceous_legumes,13.1,14.97,40.86,78.49
50471,Pisum sativum,Herbaceous_legumes,13.9,14.11,40.22,79.82
