subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,23,Genetic bank,F24-3442,CIAT-7757,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,3,92,8.260869565,91.73913043,24.74722085,22.60477034,58.40376201
1,24,Genetic bank,F24-3442,CIAT-7757,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,3,92.2,8.242950108,91.75704989,24.74722085,21.30367312,56.08182306
1,25,Genetic bank,F24-3443,CIAT-7759,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,3,93.5,5.882352941,94.11764706,16.46449484,14.53118256,58.97473059
1,26,Genetic bank,F24-3443,CIAT-7759,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,3,93.6,5.876068376,94.12393162,16.46449484,14.83181429,62.64878872
1,27,Genetic bank,F24-3444,CIAT-7790,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,3,92.2,5.965292842,94.03470716,27.43905179,19.81624028,69.18318261
1,28,Genetic bank,F24-3444,CIAT-7790,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,3,92.1,5.754614549,94.24538545,27.43905179,20.33920323,65.98392579
1,29,Genetic bank,F24-3445,CIAT-7792,Fabales,Fabaceae,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Herbaceous_legumes,3,92.9,8.073196986,91.92680301,20.02103028,22.86232699,63.66665084
1,30,Genetic bank,F24-3445,CIAT-7792,Fabales,Fabaceae,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Herbaceous_legumes,3,93,8.064516129,91.93548387,20.02103028,24.10132483,64.22020909
1,31,Genetic bank,F24-3446,CIAT-7816,Fabales,Fabaceae,Indigofera,spicata,Indigofera spicata,Herbaceous_legumes,3,92.4,17.53246753,82.46753247,28.00898398,23.70542578,52.81745526
1,32,Genetic bank,F24-3446,CIAT-7816,Fabales,Fabaceae,Indigofera,spicata,Indigofera spicata,Herbaceous_legumes,3,92.6,17.71058315,82.28941685,28.00898398,22.50797596,56.66913846
1,33,Genetic bank,F24-3447,CIAT-7858,Fabales,Fabaceaee,Crotalaria,incana,Crotalaria incana,Herbaceous_legumes,3,93.1,9.129967777,90.87003222,31.03415068,25.70977869,61.74390856
1,34,Genetic bank,F24-3447,CIAT-7858,Fabales,Fabaceaee,Crotalaria,incana,Crotalaria incana,Herbaceous_legumes,3,93.3,9.217577706,90.78242229,31.03415068,21.42712438,59.70685356
1,35,Genetic bank,F24-3448,CIAT-7972,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,3,91.9,17.51904244,82.48095756,26.52781626,23.17741101,56.60692904
1,36,Genetic bank,F24-3448,CIAT-7972,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,3,92,18.15217391,81.84782609,26.52781626,24.5278786,55.52594465
1,37,Genetic bank,F24-3449,CIAT-8205,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,3,92.1,14.54940282,85.45059718,24.22786897,27.04056493,51.6842826
1,38,Genetic bank,F24-3449,CIAT-8205,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,3,92.3,14.73456121,85.26543879,24.22786897,26.47893339,50.73210501
1,39,Genetic bank,F24-3450,CIAT-8402,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,3,91.9,17.62785637,82.37214363,26.88970109,18.67389258,46.30410467
1,40,Genetic bank,F24-3450,CIAT-8402,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,3,92.1,17.80673181,82.19326819,26.88970109,19.3165009,49.50549834
1,41,Genetic bank,F24-3451,CIAT-8408,Fabales,Fabaceae,Chamaecrista,nictitans,Chamaecrista nictitans,Herbaceous_legumes,3,94,6.808510638,93.19148936,23.37980179,38.78359549,58.48434029
1,42,Genetic bank,F24-3451,CIAT-8408,Fabales,Fabaceae,Chamaecrista,nictitans,Chamaecrista nictitans,Herbaceous_legumes,3,94.1,6.907545165,93.09245484,23.37980179,37.95585188,58.78223559
