#,Treatment,Additive,Batch,Run,Replication,Syrange_No,Sample_weight_g,DM_Incubated_mg,Digested_feed_mg,CH4_24h_ml,Gas_ml_g_DM_Incubated_24h,TDDM_percentage,Part_Fact,CH4_percentage_in_gas_8h,CH4_percentage_in_gas_24h,CH4_ml_g_DM_incubated_24h,"CH4_ml_g_DMD,_24h",CH4_g_g_DM_incubated_24h,CH4_g_g_DMD_24h,pH,NH4_ppm,BLANK_24H_promedio_corrida_ppm,Amonio_corregido_ppm
154,T24,TRIPLE_TN-A,95,1,1,77,0.5003,459.9,320.9,14.6,194.4,69.8,3.6,15.1,16.3,31.7,45.4,17.6,25.2,7.22,348.7,419.25,-70.55
155,T24,TRIPLE_TN-A,95,1,2,78,0.5003,459.9,319.5,15.7,212.9,69.5,3.3,14.7,16,34.1,49.1,18.9,27.2,7.35,375,419.25,-44.25
156,T24,TRIPLE_TN-A,95,1,3,79,0.5003,459.9,340.7,14.5,204.2,74.1,3.6,14.3,15.5,31.6,42.6,17.5,23.7,7.14,354.1,419.25,-65.15
157,T24,TRIPLE_TN-A,96,2,1,77,0.5004,460,324.8,16.8,211.1,70.6,3.3,15.2,17.3,36.5,51.7,20.3,28.7,7.42,426.3,363.4,62.9
158,T24,TRIPLE_TN-A,96,2,2,78,0.5003,459.9,319.3,18.2,217.7,69.4,3.2,16.3,18.1,39.5,56.8,21.9,31.5,7.52,371.8,363.4,8.4
159,T24,TRIPLE_TN-A,96,2,3,80,0.5001,459.7,301.6,19.4,233,65.6,2.8,16.4,18.2,42.3,64.5,23.5,35.8,7.62,373.2,363.4,9.8
160,T24,TRIPLE_TN-A,97,3,1,77,0.5002,459.8,331.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,607.5,439.525,167.975
161,T24,TRIPLE_TN-A,97,3,2,120,0.5001,459.7,319.9,17.6,203.3,69.6,3.4,17.3,18.8,38.3,55,21.2,30.5,7.21,662.4,439.525,222.875
162,T24,TRIPLE_TN-A,97,3,3,79,0.5,459.7,316.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16,617.6,439.525,178.075
163,T25,TRIPLE_TN-B,95,1,1,80,0.5001,459.7,321.2,15.4,208.6,69.9,3.3,13.5,16,33.5,47.9,18.6,26.6,7.17,460.2,419.25,40.95
164,T25,TRIPLE_TN-B,95,1,2,81,0.5004,460,349.4,16,211.7,76,3.6,14,16.4,34.7,45.7,19.2,25.3,7.39,438.7,419.25,19.45
165,T25,TRIPLE_TN-B,95,1,3,82,0.5001,459.7,315.6,14.5,194.5,68.7,3.5,13.8,16.3,31.6,46.1,17.6,25.6,7.41,525,419.25,105.75
166,T25,TRIPLE_TN-B,96,2,1,118,0.5003,459.9,308,13.7,214.4,67,3.1,7.6,13.9,29.9,44.6,16.6,24.7,7.57,400.5,363.4,37.1
167,T25,TRIPLE_TN-B,96,2,2,81,0.5004,460,311.8,14.4,219.8,67.8,3.1,7.7,14.2,31.2,46.1,17.3,25.6,7.46,406,363.4,42.6
168,T25,TRIPLE_TN-B,96,2,3,82,0.5004,460,325,12.2,214.4,70.7,3.3,6,12.4,26.6,37.6,14.7,20.9,7.62,359.3,363.4,-4.1
169,T25,TRIPLE_TN-B,97,3,1,80,0.5001,459.7,309.4,15.8,195.7,67.3,3.4,14.9,17.6,34.5,51.2,19.1,28.4,7.28,636.4,439.525,196.875
170,T25,TRIPLE_TN-B,97,3,2,81,0.5002,459.8,305,17,202.2,66.3,3.3,15.4,18.3,36.9,55.7,20.5,30.9,7.18,723.4,439.525,283.875
171,T25,TRIPLE_TN-B,97,3,3,82,0.5002,459.8,314.7,16.6,192.4,68.4,3.6,16.5,18.8,36.2,52.8,20.1,29.3,7.26,720.3,439.525,280.775
172,T26,AGO_2x_DIR,95,1,1,83,0.5003,459.9,323.1,16,204.2,70.3,3.4,15.5,17.1,34.8,49.6,19.3,27.5,7.44,456.1,419.25,36.85
173,T26,AGO_2x_DIR,95,1,2,84,0.5001,459.7,316.3,16.5,212.9,68.8,3.2,15.6,16.9,35.9,52.2,19.9,29,7.41,495.1,419.25,75.85
174,T26,AGO_2x_DIR,95,1,3,85,0.5001,459.7,295.9,15.3,195.5,64.4,3.3,15.9,17.1,33.4,51.9,18.5,28.8,7.26,436.7,419.25,17.45
175,T26,AGO_2x_DIR,96,2,1,83,0.5002,459.8,324.9,15.5,202.5,70.7,3.5,14.9,16.7,33.7,47.8,18.7,26.5,7.42,291.8,363.4,-71.6
