id_lab,id,subset,no,requisitioner,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
F24-3515,CIAT-21212,1,1378,Genetic_bank,Canavalia sp.,Herbaceous_legumes,39.43,77.07,164.44,66.3,4.07,13.34,16.14,26.58,40.3,281.56,9
F24-3516,CIAT-21263,1,1381,Genetic_bank,Sesbania rostrata,Shrub_Trees,38.45,68.47,147.82,60.43,4.16,14.32,15.06,22.31,37.31,899.24,9
F24-3517,CIAT-21514,1,1384,Genetic_bank,Desmanthus virgatus,Shrub_Trees,27.93,48.55,103.75,35.54,3.65,13.74,15.01,15.6,46.93,-218.72,9
F24-3518,CIAT-21565,1,1387,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,36.78,71.66,154.6,57.7,3.81,12.47,14.73,22.85,39.86,156.23,9
F24-3519,CIAT-21709,1,1390,Genetic_bank,Crotalaria juncea,Herbaceous_legumes,39.28,69.74,151.26,57.17,3.84,14.92,15.88,24.04,42.07,151.59,9
F24-3520,CIAT-22286,1,1393,Genetic_bank,Crotalaria micans,Herbaceous_legumes,36.48,74.76,159.67,59.54,3.76,14.86,15.96,25.49,43.2,1203.16,9
F24-3521,CIAT-22475,1,1396,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,31.22,59.17,125.61,43.56,3.56,14.0,15.47,19.51,44.51,97.12,9
F24-3522,CIAT-22481,1,1399,Genetic_bank,Sesbania cochinchinensis,Shrub_Trees,30.63,52.58,114.3,51.99,4.62,13.89,14.44,16.5,31.77,130.73,9
F24-3523,CIAT-22520,1,1402,Genetic_bank,Arachis pusilla,Herbaceous_legumes,32.79,64.53,138.62,51.33,3.77,13.09,14.92,20.77,40.72,107.82,9
F24-3524,CIAT-22570,1,1405,Genetic_bank,Desmanthus bicornutus,Shrub_Trees,20.63,28.26,60.98,36.77,6.51,13.38,14.61,9.06,24.79,-1394.92,8
F24-3525,CIAT-22594,1,1408,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,27.09,43.49,91.94,38.96,4.29,13.66,14.94,13.77,35.36,-536.91,9
F24-3526,CIAT-22754,1,1412,Genetic_bank,Lablab purpureus,Herbaceous_legumes,42.09,67.48,147.12,51.68,3.53,13.58,15.12,22.29,43.14,287.96,8
F24-3527,CIAT-22915,1,1414,Genetic_bank,Aeschynomene villosa,Herbaceous_legumes,40.76,72.35,157.1,58.09,3.7,13.71,15.35,24.14,41.67,115.98,9
F24-3528,CIAT-23259,1,1417,Genetic_bank,Desmodium gangeticum,Shrub_Trees,27.44,53.1,114.29,51.49,4.56,15.36,16.83,19.24,37.41,-17.74,8
F24-3529,CIAT-23339,1,1420,Genetic_bank,Desmodium gangeticum,Shrub_Trees,27.34,52.34,111.66,53.81,4.9,15.24,16.87,18.86,35.07,236.82,9
F24-3530,CIAT-23761,1,1423,Genetic_bank,Uraria picta,Herbaceous_legumes,32.55,50.91,107.11,44.14,4.23,12.26,13.68,14.71,33.56,443.23,9
F24-3531,CIAT-24360,1,1426,Genetic_bank,Vigna umbellata,Herbaceous_legumes,32.75,57.94,124.94,52.16,4.19,13.99,15.44,19.32,37.12,-1517.27,9
F24-3532,CIAT-24466,1,1429,Genetic_bank,Vigna umbellata,Herbaceous_legumes,37.51,60.16,129.53,61.87,4.85,13.63,14.71,19.08,31.71,321.02,9
F24-3533,CIAT-32246,1,1432,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,33.19,55.68,121.6,42.36,3.56,13.48,15.7,19.15,46.27,94.81,9
F24-3534,CIAT-32365,1,1435,Genetic_bank,Desmanthus virgatus,Shrub_Trees,25.61,40.89,89.89,35.6,4.1,12.9,14.73,13.35,37.06,120.66,8
F24-3535,CIAT-32373,1,1438,Genetic_bank,Desmanthus pubescens,Shrub_Trees,28.32,43.44,94.05,42.56,4.62,12.34,14.13,13.35,31.7,69.85,9
F24-3536,CIAT-32379,2,4,Genetic_bank,Desmanthus pubescens,Shrub_Trees,29.21,58.07,124.89,48.67,3.9,12.51,14.68,18.35,38.16,294.76,8
F24-3537,CIAT-32380,2,6,Genetic_bank,Desmanthus pubescens,Shrub_Trees,25.84,52.84,113.23,39.27,3.47,12.96,15.24,17.25,44.36,379.47,9
F24-3538,CIAT-33249,2,9,Genetic_bank,Desmodium velutinum,Shrub_Trees,31.15,61.99,133.06,41.65,3.13,14.49,15.65,20.83,50.33,376.46,9
F24-3539,CIAT-172,2,488,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,31.77,74.82,164.07,39.14,2.38,12.82,14.22,23.32,64.24,498.96,6
F24-3540,CIAT-1467,3,4,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,43.23,96.82,208.93,46.13,3.16,13.2,14.72,30.75,48.69,245.37,5
F24-3541,CIAT-1475,3,6,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,42.26,89.06,196.12,54.17,2.81,13.27,14.77,28.97,53.96,245.02,9
F24-3542,CIAT-1650,2,392,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,32.46,70.56,153.47,41.78,2.72,12.96,14.21,21.77,52.62,230.68,7
F24-3543,CIAT-1706,2,396,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,36.01,73.09,157.6,39.5,2.51,12.77,14.31,22.53,58.93,275.23,7
F24-3544,CIAT-1727,2,398,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,36.78,73.8,160.16,36.15,2.25,11.83,14.23,22.72,64.29,288.8,9
F24-3546,CIAT-1964,2,404,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,28.74,67.77,150.08,40.86,2.72,13.22,14.24,21.35,52.88,395.68,6
F24-3547,CIAT-2613,2,407,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,28.09,57.51,125.03,38.22,3.04,11.4,12.03,15.02,40.06,414.44,6
F24-3548,CIAT-2783,3,673,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,40.99,96.06,214.01,48.58,2.27,12.25,13.7,29.32,64.2,288.18,6
F24-3549,CIAT-10440,3,675,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,38.18,81.25,179.98,54.2,4.78,12.24,13.73,24.84,45.94,207.39,9
F24-3550,CIAT-10613,3,678,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,37.35,79.09,170.29,39.5,2.32,12.26,13.87,23.62,63.05,292.79,9
F24-3551,CIAT-10627,3,681,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,35.52,76.43,163.6,47.71,2.92,12.49,13.61,22.26,46.84,218.84,9
F24-3552,CIAT-10634,3,684,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,39.63,88.53,190.25,50.55,2.65,12.53,13.56,25.78,52.78,245.61,9
F24-3553,CIAT-10639,3,687,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,40.85,88.31,189.43,51.87,2.74,12.8,14.27,27.04,52.7,245.67,9
F24-3554,CIAT-10725,3,690,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,35.63,74.59,161.39,45.73,2.84,12.91,14.14,22.82,51.65,238.69,9
F24-3555,CIAT-11199,3,695,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,39.64,85.79,186.8,46.13,2.47,12.94,14.61,27.29,61.65,283.14,7
F24-3556,CIAT-11215,3,698,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,38.18,85.81,184.7,58.15,3.15,13.08,14.14,26.11,45.54,211.59,9
F24-3557,CIAT-11220,3,701,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,41.02,91.47,199.06,52.76,2.66,12.84,14.34,28.54,56.23,258.37,9
F24-3558,CIAT-11232,3,704,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,40.57,91.03,199.47,49.49,2.48,12.5,14.31,28.54,59.02,269.37,9
F24-3559,CIAT-11313,3,707,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,31.63,75.47,163.71,41.97,2.57,12.26,13.51,22.11,55.16,254.3,9
F24-3560,CIAT-11417,3,710,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,30.79,68.81,150.35,43.31,2.87,12.13,12.21,18.36,43.95,201.15,9
F24-3561,CIAT-11624,3,713,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,37.52,82.64,179.53,49.47,2.77,12.16,13.26,23.8,51.7,238.0,9
F24-3562,CIAT-11690,3,716,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,38.29,80.64,177.81,41.84,2.36,12.24,13.52,24.03,61.77,280.14,9
F24-3563,CIAT-11762,3,719,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,40.9,85.53,188.52,44.09,2.34,13.2,14.58,27.48,64.94,294.64,9
F24-3564,CIAT-11778,3,722,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,42.52,87.86,190.81,52.53,2.83,12.7,14.19,27.12,53.43,246.04,9
F24-3565,CIAT-11784,3,725,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,37.68,81.25,175.99,41.61,2.39,13.21,14.46,25.42,64.6,298.25,9
