subset,id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
1,F24-3441,ABC-7714,Alysicarpus glumaceus,Herbaceous_legumes,15.09,16.6,36.76,64.72
1,F24-3421,ABC-772,Clitoria ternatea,Herbaceous_legumes,13.46,14.99,37.92,65.1
1,F24-3442,ABC-7757,Clitoria ternatea,Herbaceous_legumes,15.67,17.25,46.06,64.37
1,F24-3443,ABC-7759,Clitoria ternatea,Herbaceous_legumes,15.8,16.82,47.01,64.84
1,F24-3444,ABC-7790,Crotalaria pallida,Herbaceous_legumes,16.07,18.89,46.83,61.25
1,F24-3445,ABC-7792,Chamaecrista rotundifolia,Herbaceous_legumes,14.69,16.83,40.68,65.8
1,F24-3446,ABC-7816,Indigofera spicata,Herbaceous_legumes,13.37,15.95,32.93,65.79
1,F24-3447,ABC-7858,Crotalaria incana,Herbaceous_legumes,14.73,16.32,38.79,75.03
1,F24-3448,ABC-7972,Canavalia brasiliensis,Herbaceous_legumes,13.76,16.13,35.17,68.52
1,F24-3422,ABC-819,Indigofera suffruticosa,Herbaceous_legumes,14.22,16.94,39.4,60.93
1,F24-3449,ABC-8205,Indigofera suffruticosa,Herbaceous_legumes,16.87,18.02,36.31,63.4
1,F24-3450,ABC-8402,Indigofera suffruticosa,Herbaceous_legumes,16.26,17.93,35.27,64.85
1,F24-3451,ABC-8408,Chamaecrista nictitans,Herbaceous_legumes,15.03,18.27,50.04,48.31
1,F24-3452,ABC-8409,Chamaecrista nictitans,Herbaceous_legumes,15.29,18.6,42.31,52.95
1,F24-3453,ABC-8719,Canavalia sp. ,Herbaceous_legumes,14.29,16.47,34.19,69.74
1,F24-3454,ABC-8797,Desmanthus virgatus,Shrub_Trees,13.23,15.52,37.41,49.41
1,F24-3455,ABC-8819,Coursetia caribaea,Herbaceous_legumes,16.19,17.87,38.36,65.65
1,F24-3423,ABC-905,Canavalia brasiliensis,Herbaceous_legumes,12.08,15.4,40.88,63.42
1,F24-3424,ABC-913,Cajanus cajan,Shrub_Trees,13.53,16.14,32.83,60.86
1,F24-3456,ABC-9170,Indigofera lespedezioides,Herbaceous_legumes,15.12,16.69,38.2,42.54
1,F24-3457,ABC-9254,Crotalaria pallida,Herbaceous_legumes,18.25,20.76,52.29,59.58
1,F24-3458,ABC-9283,Crotalaria pallida,Herbaceous_legumes,18.13,20.82,50.83,60.12
1,F24-3459,ABC-9288,Indigofera suffruticosa,Herbaceous_legumes,19.38,22.66,49.11,68.02
1,F24-3460,ABC-9336,Clitoria ternatea,Herbaceous_legumes,18.63,20.19,50.58,69.15
1,F24-3461,ABC-9349,Mucuna pruriens,Herbaceous_legumes,17.35,18.52,43.23,56.47
1,F24-3462,ABC-9356,Tephrosia noctiflora,Shrub_Trees,18.7,20.48,49.48,53.77
1,F24-3463,ABC-9432,Clitoria ternatea,Herbaceous_legumes,17.47,18.95,54.34,55.33
1,F24-3464,ABC-9433,Clitoria ternatea,Herbaceous_legumes,17.95,19.36,46.43,61.82
1,F24-3465,ABC-9435,Desmanthus pubescens,Shrub_Trees,16.03,18.91,44.69,43.26
1,F24-3466,ABC-9530,Crotalaria maypurensis,Herbaceous_legumes,17.02,19.21,51.12,68.2
1,F24-3425,ABC-955,Clitoria ternatea,Herbaceous_legumes,12.82,14.54,45.45,59.65
1,F24-3467,ABC-9562,Eriosema diffusum,Herbaceous_legumes,16.7,18.01,40.6,35.83
1,F24-3426,ABC-989,Indigofera hirsuta,Herbaceous_legumes,14.92,15.99,29.71,50.48
1,F24-3468,ABC-9982,Crotalaria incana,Herbaceous_legumes,17.05,19.0,47.26,72.64
1,F24-3602,ABC-BH08_1149,Brachiaria humidicola,Grass,16.71,18.65,55.06,58.29
1,F24-3606,ABC-BH16B_0733,Brachiaria humidicola,Grass,16.61,18.55,54.65,57.87
1,F24-3607,ABC-BH16B_0741,Brachiaria humidicola,Grass,16.41,18.67,53.66,58.82
1,F24-3608,ABC-BH16B_1194,Brachiaria humidicola,Grass,15.93,17.98,56.09,57.89
1,F24-3609,ABC-BH16B_1618,Brachiaria humidicola,Grass,16.37,17.53,49.87,55.96
1,F24-3610,ABC-BH16B_1707,Brachiaria humidicola,Grass,15.83,17.95,58.33,56.99
1,F24-3603,ABC-BH16_0550,Brachiaria humidicola,Grass,16.28,18.26,58.06,56.56
1,F24-3604,ABC-BH16_0562,Brachiaria humidicola,Grass,15.79,18.02,57.88,56.42
1,F24-3605,ABC-BH16_3249,Brachiaria humidicola,Grass,16.17,18.16,55.41,59.07
1,F24-3582,ABC-BR02_1752,Brachiaria interespecifico,Grass,13.98,14.61,33.83,67.39
1,F24-3583,ABC-BR02_1794,Brachiaria interespecifico,Grass,13.79,14.51,35.77,63.97
1,F24-3584,ABC-BR06_0423,Brachiaria interespecifico,Grass,13.06,14.39,34.29,64.5
1,F24-3585,ABC-BR09_1232,Brachiaria interespecifico,Grass,13.71,14.37,36.04,66.64
1,F24-3586,ABC-BR12_4951,Brachiaria interespecifico,Grass,14.34,15.02,35.76,65.93
1,F24-3587,ABC-BR15_0722,Brachiaria interespecifico,Grass,14.28,14.74,36.15,60.89
1,F24-3588,ABC-BR15_6487,Brachiaria interespecifico,Grass,14.01,14.41,36.06,61.15
1,F24-3589,ABC-BR19_0029,Brachiaria interespecifico,Grass,13.78,14.87,38.23,62.0
1,F24-3590,ABC-BR19_0423,Brachiaria interespecifico,Grass,13.93,14.41,37.16,63.48
1,F25-0994,ABC-CIAT_16048,Megathyrsus maximus,Grass,15.06,16.67,48.72,48.5
1,F25-0997,ABC-CIAT_16051,Megathyrsus maximus,Grass,14.93,16.89,53.87,45.79
1,F24-3611,ABC-CIAT_16888,Brachiaria humidicola,Grass,16.38,18.25,62.67,53.26
1,F25-1005,ABC-CIAT_6799,Megathyrsus maximus,Grass,14.92,16.22,51.97,42.1
1,F25-1001,ABC-CIAT_6890,Megathyrsus maximus,Grass,14.33,16.21,47.38,52.75
1,F24-3591,ABC-CIAT_6962,Megathyrsus maximus,Grass,14.82,15.87,40.73,56.51
1,F24-3592,ABC-Mulato_II,Brachiaria interespecifico,Grass,14.21,14.64,34.27,65.32
1,F25-1008,ABC-PM21_0047,Megathyrsus maximus,Grass,14.43,16.14,50.93,48.46
1,F25-1003,ABC-PM21_0052,Megathyrsus maximus,Grass,14.21,16.2,47.43,50.41
1,F25-0990,ABC-PM21_0053,Megathyrsus maximus,Grass,14.63,16.41,49.04,51.43
1,F25-1006,ABC-PM21_0055,Megathyrsus maximus,Grass,14.16,16.3,49.43,46.4
1,F25-1011,ABC-PM21_0059,Megathyrsus maximus,Grass,14.2,16.39,48.85,49.0
1,F25-1013,ABC-PM21_0062,Megathyrsus maximus,Grass,13.96,15.8,51.57,45.38
1,F25-1000,ABC-PM21_0076,Megathyrsus maximus,Grass,14.89,16.81,56.0,47.61
1,F25-0993,ABC-PM21_0086,Megathyrsus maximus,Grass,14.82,16.59,51.77,45.62
1,F25-0995,ABC-PM21_0185,Megathyrsus maximus,Grass,14.37,16.5,50.84,46.89
1,F24-3593,ABC-PM21_0215,Megathyrsus maximus,Grass,14.73,16.37,47.15,51.02
1,F24-3594,ABC-PM21_0631,Megathyrsus maximus,Grass,14.13,15.82,43.25,57.12
1,F25-1014,ABC-PM21_0906,Megathyrsus maximus,Grass,13.73,15.55,43.95,48.6
1,F24-3595,ABC-PM21_2195,Megathyrsus maximus,Grass,14.32,15.85,46.88,50.39
1,F25-1010,ABC-PM21_2627,Megathyrsus maximus,Grass,14.24,15.97,43.9,47.9
1,F24-3596,ABC-PM21_3522,Megathyrsus maximus,Grass,14.07,15.76,45.99,51.2
1,F24-3597,ABC-PM21_3534,Megathyrsus maximus,Grass,17.12,18.84,50.14,58.31
1,F24-3598,ABC-PM21_3537,Megathyrsus maximus,Grass,17.09,19.29,50.43,65.81
1,F24-3599,ABC-PM21_3545,Megathyrsus maximus,Grass,16.87,18.98,51.18,58.21
1,F25-0991,ABC-PM21_3550,Megathyrsus maximus,Grass,14.62,16.61,50.76,45.11
1,F25-0992,ABC-PM21_3595,Megathyrsus maximus,Grass,14.84,16.26,50.57,45.29
1,F24-3600,ABC-PM21_3670,Megathyrsus maximus,Grass,16.6,18.79,48.38,58.76
1,F25-0999,ABC-PM21_3684,Megathyrsus maximus,Grass,14.59,16.22,47.31,53.76
1,F25-1004,ABC-PM21_4449,Megathyrsus maximus,Grass,14.56,16.39,52.89,42.72
1,F25-0998,ABC-PM21_6080,Megathyrsus maximus,Grass,15.08,16.84,50.46,45.89
1,F25-1007,ABC-PM21_6529,Megathyrsus maximus,Grass,14.17,15.99,46.72,46.81
1,F24-3601,ABC-PM21_6628,Megathyrsus maximus,Grass,17.23,19.34,49.84,60.12
1,F25-1002,ABC-PM21_6638,Megathyrsus maximus,Grass,14.13,15.91,45.83,49.71
1,F25-0769,AMC-ICARDA-156302,Trifolium repens,Herbaceous_legumes,15.97,16.19,43.67,72.0
1,F25-0770,AMC-ICARDA-165072,Vicia tenuifolia,,14.37,16.59,56.12,56.78
1,F25-0773,AMC-ICARDA-168125,Lathyrus sylvestris,,15.53,16.67,55.1,42.32
1,F25-0914,CIAT ABC 10625 1,Stylosanthes scabra,Herbaceous_legumes,12.83,15.12,48.76,58.39
1,F25-0913,CIAT ABC 1853 1,Stylosanthes guianensis,Herbaceous_legumes,12.33,14.85,43.71,63.99
1,F25-0908,CIAT ABC 22192 1,Leucaena diversifolia,Shrub_Trees,10.4,12.42,25.86,36.2
1,F25-0904,CIAT ABC 22752 1,Labalab purpureues,Herbaceous_legumes,13.23,15.19,40.64,71.48
1,F25-0926,CIAT ABC 6818 1,Panicum maximum,Grass,13.03,16.9,55.81,51.66
1,FAO,FAO,FAO,FAO,16.04,16.07,,
1,F25-0017,Hohenheimer Heustandard,Hohenheimer Heustandard,Forage,16.32,17.74,65.42,56.33
1,F25-0018,Homenheim Concentrate,Homenheim Concentrate,Concentrate,16.76,18.28,67.39,66.13
1,F25-0772,ICARDA 165563,Trifolium pratense,Herbaceous_legumes,13.83,16.31,47.84,61.79
1,F25-0788,ICARDA J13,Cichorium pumilum,Herbaceous_legumes,12.8,14.5,38.58,73.92
1,F25-0783,ICARDA J8,Daucus carota,Herbaceous_legumes,8.97,12.24,30.27,77.75
1,F25-0784,ICARDA J9,Fumaria bracteosa,Herbaceous_legumes,8.7,11.8,30.05,62.61
1,F25-0813,ICARDA T216003,Rhus tripartita (Ucria) Grande,Shrub_Trees,9.37,10.35,31.72,37.28
1,F25-0820,ICARDA T216010,Retama raetam (Forssk.) Webb.,Shrub_Trees,12.9,14.75,42.06,46.12
1,F25-0798,ICARDA-IFLA-ENT27,Lathyrus sativus,,15.3,17.55,66.26,54.67
1,F25-0814,ICARDA-T-216004,Vicia narbonensis L.,,13.93,15.51,55.07,52.37
1,F25-0818,ICARDA-T-216008,Hedysarum coronarium L.,,13.63,15.09,43.58,62.41
1,F25-0819,ICARDA-T-216009,Hedysarum carnosum Desf.,,12.03,13.36,37.57,54.6
1,F25-0837,ILRI 10920 16 119721,Arachis pintoi,Herbaceous_legumes,12.6,15.39,44.63,69.04
1,F25-0824,ILRI 10925 3 119708,Arachis glabrata,Herbaceous_legumes,13.47,15.87,47.71,65.32
1,F25-0861,ILRI 14539 40 119745,Centrosema virginianum,Herbaceous_legumes,13.7,14.95,49.76,44.27
1,F25-0845,ILRI 21682 24 119729,Leucaena pallida,Shrub_Trees,10.07,12.02,35.26,33.45
1,F25-0848,ILRI 2273 27 119732,Trifolium burchellianum,Herbaceous_legumes,10.13,11.97,19.76,49.89
