32_no,32_date,32_requisitioner,32_gene_bank_id,32_genus,32_species,32_tax_name,32_family,32_order,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_ndf_digestibillity_in_24h,32_remarks
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
40,45789,Genetic bank,ABC-5568,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,F24-3621,14,34,1,2,41,0.5739,0.8117,,0.2378,220.19158,48.07764807,267.6273798,29.82737977,11.1451152,
41,45789,Genetic bank,ABC-5568,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,F24-3621,14,34,1,3,42,0.5695,0.8253,,0.2558,202.5579,44.19208221,267.8414389,12.04143887,4.495734087,
42,45789,Genetic bank,ABC-5657,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24-3622,14,34,1,1,43,0.5858,0.7784,,0.1926,266.666835,58.06359499,248.0040909,55.4040909,22.33999072,
43,45789,Genetic bank,ABC-5657,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24-3622,14,34,1,2,44,0.5668,0.8216,,0.2548,204.375,44.50917406,247.9545,-6.8455,-2.760788774,
44,45789,Genetic bank,ABC-5657,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24-3622,14,34,1,3,45,0.5944,0.8116,,0.2172,241.975,52.69777318,247.9545,30.7545,12.40328367,
45,45789,Genetic bank,ABC-5744,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,F24-3623,14,34,1,1,46,0.5831,0.8603,,0.2772,191.055785,40.80158561,266.4843672,-10.71563276,-4.021111207,
46,45789,Genetic bank,ABC-5744,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,F24-3623,14,34,1,2,47,0.615,0.9243,,0.3093,158.955785,33.94635797,266.4843672,-42.81563276,-16.06684595,
47,45789,Genetic bank,ABC-5744,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,F24-3623,14,34,1,3,48,0.601,0.8592,,0.2582,209.96219,44.84817324,266.4311023,8.231102329,3.089392438,
48,45789,Genetic bank,ABC-7131,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,F24-3624,14,34,1,1,49,0.6249,0.9906,,0.3657,95.81105,20.76029382,285.5138111,-80.18618892,-28.08487219,
49,45789,Genetic bank,ABC-7131,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,F24-3624,14,34,1,2,50,0.5962,0.9365,,0.3403,121.11884,26.24921861,285.4567654,-54.84323463,-19.21244871,
50,45789,Genetic bank,ABC-7131,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,F24-3624,14,34,1,3,51,0.591,0.9495,,0.3585,102.82663,22.28933326,285.3997196,-73.10028035,-25.61329788,
51,45789,,BLANK 8H,,,BLANK 8H,,,,BLANK 8H,14,34,1,1,52,,,,,,,,,,
52,45789,,BLANK 8H,,,BLANK 8H,,,,BLANK 8H,14,34,1,2,53,,,,,,,,,,
53,45789,Genetic bank,ABC-7318,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24-3625,14,34,1,1,54,0.6035,0.8152,,0.2117,250.81205,54.22821957,190.8093462,-20.89065377,-10.94844366,
54,45789,Genetic bank,ABC-7318,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24-3625,14,34,1,2,55,0.5808,0.8702,,0.2894,173.01964,37.416153,190.7712225,-98.62877752,-51.70002909,
55,45789,Genetic bank,ABC-7318,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24-3625,14,34,1,3,56,0.597,0.79,,0.193,269.05,58.22962883,190.6187275,-2.3812725,-1.249233237,
56,45789,Genetic bank,ABC-7395,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,F24-3626,14,34,1,1,57,0.5952,0.8558,,0.2606,198.483625,43.23474291,220.2453691,-40.35463091,-18.32257862,
57,45789,Genetic bank,ABC-7395,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,F24-3626,14,34,1,2,58,0.5698,0.7596,,0.1898,269.100175,58.6402424,220.157359,30.35735896,13.78893674,
58,45789,Genetic bank,ABC-7395,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,F24-3626,14,34,1,3,59,0.5857,0.9032,,0.3175,141.30845,30.79900773,220.1133539,-97.38664611,-44.2438609,
59,45789,Genetic bank,ABC-7648,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3627,14,34,1,1,60,0.5723,0.7326,,0.1603,299.99294,65.17435179,188.2137832,27.91378317,14.83089214,
60,45789,Genetic bank,ABC-7648,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3627,14,34,1,2,61,0.5723,0.7432,,0.1709,289.76088,62.90112588,188.3642338,17.46423383,9.271523302,
61,45789,Genetic bank,ABC-7648,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3627,14,34,1,3,62,0.5646,0.8978,,0.3332,126.90897,27.5823725,188.1385578,-145.0614422,-77.10351554,
62,45789,Genetic bank,ABC-7746,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,F24-3628,14,34,1,1,63,0.6028,0.8008,,0.198,262.85236,57.03613192,198.4430262,0.443026216,0.223251088,
63,45789,Genetic bank,ABC-7746,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,F24-3628,14,34,1,2,64,0.5525,0.7859,,0.2334,227.26824,49.33447116,198.3637441,-35.03625586,-17.66263084,
64,45789,Genetic bank,ABC-7746,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,F24-3628,14,34,1,3,65,0.5922,0.7405,,0.1483,312.27618,67.80120066,198.3241031,50.02410311,25.22341073,
65,45789,Genetic bank,ABC-7813,Indigofera,cryptantha,Indigofera cryptantha,Fabaceae,Fabales,Herbaceous,F24-3629,14,34,1,1,66,0.599,0.8427,,0.2437,207.63098,46.00414977,138.5360443,-105.1639557,-75.91089829,
66,45789,Genetic bank,ABC-7813,Indigofera,cryptantha,Indigofera cryptantha,Fabaceae,Fabales,Herbaceous,F24-3629,14,34,1,2,67,0.5899,0.7075,,0.1176,333.37042,73.92290164,138.4253704,20.82537042,15.04447512,
67,45789,Genetic bank,ABC-7813,Indigofera,cryptantha,Indigofera cryptantha,Fabaceae,Fabales,Herbaceous,F24-3629,14,34,1,3,69,0.5769,0.8451,,0.2682,182.77042,40.52825017,138.4253704,-129.7746296,-93.7506103,
68,45789,Genetic bank,ABC-7831,Tephrosia,rhodesica,Tephrosia rhodesica,Fabaceae,Fabales,Shrub,F24-3630,14,34,1,1,70,0.6152,0.8447,,0.2295,238.475,50.95891875,243.1832088,13.68320875,5.626707872,
69,45789,Genetic bank,ABC-7831,Tephrosia,rhodesica,Tephrosia rhodesica,Fabaceae,Fabales,Shrub,F24-3630,14,34,1,2,71,0.5848,0.8619,,0.2771,190.875,40.78743523,243.1832088,-33.91679125,-13.94701198,
70,45789,Genetic bank,ABC-7831,Tephrosia,rhodesica,Tephrosia rhodesica,Fabaceae,Fabales,Shrub,F24-3630,14,34,1,3,72,0.5368,0.7174,,0.1806,287.468595,61.4159117,243.2318454,62.63184539,25.74985413,
71,45789,Genetic bank,ABC-7894,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3631,14,34,1,1,73,0.537,0.8077,,0.2707,196.168355,42.01791638,191.0425309,-79.65746913,-41.69619653,
72,45789,Genetic bank,ABC-7894,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3631,14,34,1,2,74,0.5153,0.6934,,0.1781,288.955065,61.86745133,191.1189326,13.0189326,6.811953385,
73,45789,Genetic bank,ABC-7894,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3631,14,34,1,3,75,0.5639,0.9164,,0.3525,114.83513,24.57232993,191.2335352,-161.2664648,-84.32959451,
