"id_lab","net_gas_8h_ml","net_gas_8h_ml_SE","net_gas_24h_ml","net_gas_24h_ml_SE","ch4_8h_ml","ch4_8h_ml_SE","ch4_24h_ml","ch4_24h_ml_SE","ch4_percentage_in_gas_8h","ch4_percentage_in_gas_8h_SE","ch4_percentage_in_gas_24h","ch4_percentage_in_gas_24h_SE","gas_ml_g_dm_incubated_24h","gas_ml_g_dm_incubated_24h_SE","ch4_ml_g_ndf_digested_24h","ch4_ml_g_ndf_digested_24h_SE","methane_intensity","methane_intensity_SE","tddm","tddm_SE"
"F25-2086",37.8166953596499,1.21192245565369,79.3544660133589,2.50858881773146,5.09263822508969,0.169447633459445,11.988751228955,0.415554257700546,13.4470283730372,0.22821319006166,16.5241875109778,0.193178010326506,157.15102957272,5.65212739742746,22.8134280836675,13.1517964891478,-15.4201673137229,40.5203216727131,61.4133179055455,6.43189968835223
"F25-2087",34.0554166463165,1.21192245565369,77.4369513766923,2.50858881773146,4.91199851308969,0.169447633459445,12.4455118222883,0.415554257700546,14.3970283730372,0.22821319006166,17.2908541776445,0.193178010326506,151.146573189386,5.65212739742746,19.0325484706675,13.1517964891478,-5.99338503538954,40.5203216727131,54.2019752022122,6.43189968835224
"F25-2088",32.5804053896499,1.21192245565369,73.4544209716923,2.50858881773146,4.38859076708969,0.169447633459445,11.2916805756217,0.415554257700546,13.4803617063706,0.22821319006166,16.8075208443112,0.193178010326506,143.834884006053,5.65212739742746,23.1114776816675,13.1517964891478,-18.5906811387229,40.5203216727131,60.9453746605455,6.43189968835223
"F25-2089",39.6604594363165,1.21192245565369,81.7144840300256,2.50858881773146,5.51385227392302,0.169447633459445,12.5909602256217,0.415554257700546,13.8636950397039,0.22821319006166,16.7408541776445,0.193178010326506,157.41419657272,5.65212739742746,17.6867236336675,13.1517964891478,-11.0080298187229,40.5203216727131,58.0524780305455,6.43189968835223
"F25-2090",31.9904008846499,1.21192245565369,73.7494232250256,2.50858881773146,4.28283245975636,0.169447633459445,11.0747875456217,0.415554257700546,13.4136950397039,0.22821319006166,16.1575208443112,0.193178010326506,143.87767592272,5.65212739742746,22.6539010036675,13.1517964891478,-12.5672014320562,40.5203216727131,54.9814584122121,6.43189968835223
"F25-2091",39.1442054963165,1.21192245565369,78.6169603850256,2.50858881773146,5.54241832558969,0.169447633459445,12.339915763955,0.415554257700546,14.1136950397039,0.22821319006166,17.1575208443112,0.193178010326506,153.900660756053,5.65212739742746,20.9709234466675,13.1517964891478,-15.0659858570562,40.5203216727131,61.6034749038788,6.43189968835224
"F25-2092",33.5391627063165,1.21192245565369,73.2331692850256,2.50858881773146,4.42622813775636,0.169447633459445,10.918601058955,0.415554257700546,13.1970283730372,0.22821319006166,16.2741875109778,0.193178010326506,147.388630656053,5.65212739742746,16.8676349540009,13.1517964891478,-9.70943269205627,40.5203216727131,54.3126929655455,6.43189968835224
"F25-2093",34.2029177746499,1.21192245565369,77.8794547550256,2.50858881773146,4.63894934525636,0.169447633459445,11.9748996432883,0.415554257700546,13.5803617063706,0.22821319006166,16.7075208443112,0.193178010326506,153.387662883204,5.90451273447139,9.67492291533274,13.3930412269422,27.2508136820801,42.2422418959298,51.1945352295439,6.69895739790136
"F25-2094",24.3203423296499,1.21192245565369,64.2356005966923,2.50858881773146,3.39738320025636,0.169447633459445,10.0210984991217,0.415554257700546,14.0970283730372,0.22821319006166,16.5075208443112,0.193178010326506,127.92340897272,5.65212739742746,13.2267261283342,13.1517964891478,3.77675916294375,40.5203216727131,49.5199021255455,6.43189968835223
"F25-2095",30.9578930013165,1.21192245565369,72.0531602750256,2.50858881773146,4.19863390042302,0.169447633459445,10.9647135986217,0.415554257700546,13.6303617063706,0.22821319006166,16.3575208443112,0.193178010326506,139.082784239386,5.65212739742746,14.1267695633342,13.1517964891478,5.28942775961039,40.5203216727131,52.9790011188788,6.43189968835224
"F25-2096",29.2616300513165,1.21192245565369,73.233169283359,2.50858881773146,4.04987901458969,0.169447633459445,11.285580173955,0.415554257700546,13.8803617063706,0.22821319006166,16.3408541776445,0.193178010326506,139.463895856053,5.65212739742746,17.6490184266675,13.1517964891478,22.3234689379438,40.5203216727131,52.0984359653788,6.43189968835223
"F25-2097",31.1053941279832,1.21192245565369,73.0119175950256,2.50858881773146,4.10000481408969,0.169447633459445,10.8476763732883,0.415554257700546,13.2470283730372,0.22821319006166,16.0075208443112,0.193178010326506,143.08207997272,5.65212739742746,18.6865907016675,13.1517964891478,-8.71388767705626,40.5203216727131,55.7033303088788,6.43189968835223
