subset,requisitioner,no,id_lab,id,n_replicates,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,Genetic bank,345,F24-3518,CIAT-21565,2,Fabales,Fabaceae,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Herbaceous_legumes,10,92.64,7.89,92.11,19.59,33.72,58.3
1,Genetic bank,347,F24-3519,CIAT-21709,2,Fabales,Fabaceae,Crotalaria ,juncea,Crotalaria juncea,Herbaceous_legumes,10,92.16,16.8,83.2,25.97,23.18,43.06
1,Genetic bank,349,F24-3520,CIAT-22286,2,Fabales,Fabaceae,Crotalaria,micans,Crotalaria micans,Herbaceous_legumes,10,93.58,10.4,89.6,25.3,24.48,43.59
1,Genetic bank,351,F24-3521,CIAT-22475,2,Fabales,Fabaceae,Alysicarpus ,rugosus,Alysicarpus rugosus,Herbaceous_legumes,10,94.16,12.42,87.57,17.41,31.68,64.15
1,Genetic bank,353,F24-3522,CIAT-22481,2,Fabales,Fabaceae,Sesbania,cochinchinensis,Sesbania cochinchinensis,Shrub_Trees,10,91.97,10.46,89.54,31.18,26.64,61.96
1,Genetic bank,355,F24-3523,CIAT-22520,2,Fabales,Fabaceae,Arachis,pusilla,Arachis pusilla,Herbaceous_legumes,10,93.06,14.93,85.07,20.36,22.79,61.22
1,Genetic bank,357,F24-3524,CIAT-22570,2,Fabales,Fabaceae,Desmanthus,bicornutus,Desmanthus bicornutus,Shrub_Trees,10,92.67,8.46,91.54,32.64,19.87,64.71
1,Genetic bank,359,F24-3525,CIAT-22594,2,Fabales,Fabaceae,Desmanthus,pernambucanus,Desmanthus pernambucanus,Shrub_Trees,10,94.58,8.87,91.13,27.26,23.96,58.58
1,Genetic bank,361,F24-3526,CIAT-22754,2,Fabales,Fabaceae,Lablab ,purpureus,Lablab purpureus,Herbaceous_legumes,10,91.68,12.14,87.86,30.03,24.88,51.34
1,Genetic bank,363,F24-3527,CIAT-22915,2,Fabales,Fabaceae,Aeschynomene ,villosa,Aeschynomene villosa,Herbaceous_legumes,10,92.06,7.92,92.07,27.06,34.54,64.51
1,Genetic bank,365,F24-3528,CIAT-23259,2,Fabales,Fabaceae,Desmodium,gangeticum,Desmodium gangeticum,Shrub_Trees,10,92.86,12.96,87.04,23.04,24.96,56.45
1,Genetic bank,367,F24-3529,CIAT-23339,2,Fabales,Fabaceae,Desmodium,gangeticum,Desmodium gangeticum,Shrub_Trees,10,93.7,15.0,85.0,22.09,14.57,55.68
1,Genetic bank,369,F24-3530,CIAT-23761,2,Fabales,Fabaceae,Uraria,picta,Uraria picta,Herbaceous_legumes,10,95.0,13.68,86.32,18.09,26.64,61.9
1,Genetic bank,371,F24-3531,CIAT-24360,2,Fabales,Fabaceae,Vigna,umbellata,Vigna umbellata,Herbaceous_legumes,10,92.73,17.22,82.78,23.17,28.73,53.68
1,Genetic bank,373,F24-3532,CIAT-24466,2,Fabales,Fabaceae,Vigna,umbellata,Vigna umbellata,Herbaceous_legumes,10,92.86,19.77,80.23,22.39,20.0,37.53
1,Genetic bank,375,F24-3533,CIAT-32246,2,Fabales,Fabaceae,Chamaecrista,nictitans,Chamaecrista nictitans,Herbaceous_legumes,10,91.54,8.03,91.97,26.83,26.64,79.4
1,Genetic bank,377,F24-3534,CIAT-32365,2,Fabales,Fabaceae,Desmanthus,virgatus,Desmanthus virgatus,Shrub_Trees,10,90.93,7.5,92.5,30.19,28.73,75.76
1,Genetic bank,379,F24-3535,CIAT-32373,2,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,10,92.34,8.66,91.34,28.4,19.99,77.89
1,Genetic bank,115,F24-3428,CIAT-3240,4,Fabales,Fabaceae,Desmodium,cinereum,Desmodium cinereum,Herbaceous_legumes,5,92.86,12.01,87.99,22.63,24.91,56.34
1,Genetic bank,117,F24-3429,CIAT-3522,2,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,5,93.28,11.05,88.95,17.94,47.97,64.48
1,Genetic bank,119,F24-3430,CIAT-4134,2,Fabales,Fabaceae,Macroptilium,lathyroides,Macroptilium lathyroides,Herbaceous_legumes,5,91.91,14.36,85.64,22.09,24.29,43.65
1,Genetic bank,121,F24-3431,CIAT-4279,2,Fabales,Fabaceae,Vigna,umbellata,Vigna umbellata,Herbaceous_legumes,5,91.04,11.02,88.98,25.72,13.14,52.82
1,Genetic bank,123,F24-3432,CIAT-5124,2,Fabales,Fabaceae,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Herbaceous_legumes,5,91.54,10.36,89.64,25.78,37.61,65.51
1,Genetic bank,125,F24-3433,CIAT-5234,2,Fabales,Fabaceae,Centrosema,brasilianum,Centrosema brasilianum,Herbaceous_legumes,5,92.53,11.22,88.78,17.22,33.38,60.63
1,Genetic bank,1,F24-3416,CIAT-705,2,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,91.97,12.68,87.32,33.01,28.05,45.22
1,Genetic bank,3,F24-3417,CIAT-707,2,Fabales,Fabaceae,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Herbaceous_legumes,1,90.09,12.07,87.93,25.4,25.44,54.11
1,Genetic bank,5,F24-3418,CIAT-712,2,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.3,7.76,92.24,31.19,25.82,54.88
