id_lab,id,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
F24-3468,CIAT-9982,Crotalaria incana,Herbaceous_legumes,93.82,8.65,91.35,26.86,14.33,46.83,45.21,84.79,180.65,72.64,4.02,17.05,19.0,34.32,47.26,178.64
F24-3469,CIAT-10647,Stylosanthes scabra,Herbaceous_legumes,92.93,9.36,90.64,20.02,32.44,56.19,43.31,79.2,170.35,67.34,3.95,15.9,18.79,32.01,48.31,151.04
F24-3470,CIAT-11194,Stylosanthes hamata,Herbaceous_legumes,92.89,9.61,90.39,21.18,30.18,55.94,33.85,70.41,151.51,59.25,3.91,15.17,18.02,27.31,46.12,184.66
F24-3471,CIAT-11999,Stylosanthes guianensis,Herbaceous_legumes,93.5,10.46,89.54,20.09,33.9,61.32,34.49,78.22,167.21,58.55,3.5,12.98,16.25,27.25,46.61,139.83
F24-3472,CIAT-12318,Stylosanthes hamata,Herbaceous_legumes,94.1,11.08,88.92,22.05,29.34,55.26,39.9,82.4,175.02,56.88,3.25,13.99,16.96,29.75,52.27,259.42
F24-3473,CIAT-13575,Desmodium incanum,Herbaceous_legumes,94.14,11.52,88.48,23.17,44.09,57.61,25.6,51.93,110.26,42.85,3.89,13.6,16.23,17.97,42.43,502.53
F24-3474,CIAT-13609,Desmodium incanum,Herbaceous_legumes,93.4,11.58,88.42,20.01,40.85,58.78,27.51,50.25,107.53,38.4,3.58,13.66,16.31,17.58,46.39,-1188.43
F24-3475,CIAT-15551,Centrosema molle,Herbaceous_legumes,93.75,10.48,89.52,22.31,23.67,61.59,32.77,65.88,140.48,49.72,3.55,14.79,17.49,24.68,50.03,290.19
F24-3476,CIAT-17024,Desmanthus pernambucanus,Shrub_Trees,92.53,8.23,91.77,24.63,32.03,58.24,28.59,50.45,108.95,40.14,3.7,14.17,16.84,18.45,46.29,-1508.62
F24-3477,CIAT-17091,Crotalaria micans,Herbaceous_legumes,94.56,8.37,91.63,24.38,17.15,49.73,41.67,87.22,184.37,66.12,3.59,15.17,17.47,32.25,48.83,212.3
F24-3478,CIAT-17365,Clitoria ternatea,Herbaceous_legumes,93.39,7.63,92.37,32.12,23.37,51.72,47.57,86.39,184.9,63.39,3.43,15.12,17.56,32.55,51.29,221.13
F24-3479,CIAT-17451,Canavalia sp.,Herbaceous_legumes,91.64,19.48,80.53,22.34,20.08,49.14,35.57,68.16,148.64,62.07,4.18,12.8,15.61,23.25,37.55,223.01
F24-3480,CIAT-17775,Christia obcordata,Herbaceous_legumes,94.3,10.72,89.28,16.05,26.04,54.97,45.41,83.24,176.41,59.09,3.35,15.26,18.43,32.55,55.22,244.5
F24-3481,CIAT-18016,Sesbania emerus,Shrub_Trees,93.22,7.68,92.32,24.16,28.12,56.38,31.79,61.95,132.84,50.31,3.8,14.23,15.96,21.31,42.47,612.91
F24-3482,CIAT-18044,Christia sp.,Herbaceous_legumes,93.67,14.44,85.56,21.0,22.69,54.68,36.57,70.56,150.62,58.33,3.87,15.28,18.25,27.52,47.47,250.94
F24-3483,CIAT-18288,Sesbania exasperata,Shrub_Trees,92.91,8.89,91.11,23.18,27.95,51.1,39.39,73.99,159.19,55.66,3.49,14.9,16.94,27.04,48.91,-1024.53
F24-3484,CIAT-18447,Clitoria ternatea,Herbaceous_legumes,92.93,7.5,92.5,29.41,26.2,54.05,45.21,80.39,172.89,55.28,3.2,14.51,16.92,29.34,53.02,361.74
