id_lab,id,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
F24-3541,CIAT-1475,Stylosanthes hamata,Herbaceous_legumes,90.79,8.75,91.24,17.29,37.43,72.12,45.1,94.34,206.28,56.26,2.73,13.22,14.72,30.38,54.15,247.53
F24-3542,CIAT-1650,Stylosanthes guianensis,Herbaceous_legumes,91.92,12.67,87.33,15.65,34.65,103.48,32.46,70.56,153.47,41.78,2.72,12.96,14.21,21.77,52.62,230.68
F24-3543,CIAT-1706,Stylosanthes humilis,Herbaceous_legumes,92.7,14.73,85.27,19.4,31.88,99.59,36.01,73.09,157.6,39.5,2.51,12.77,14.31,22.53,58.93,275.23
F24-3544,CIAT-1727,Stylosanthes humilis,Herbaceous_legumes,92.12,13.82,86.18,18.76,34.12,101.34,36.78,73.8,160.16,36.15,2.25,11.83,14.23,22.72,64.29,288.8
F24-3546,CIAT-1964,Stylosanthes guianensis,Herbaceous_legumes,90.29,9.43,90.57,16.9,34.86,79.75,28.74,67.77,150.08,40.86,2.72,13.22,14.24,21.35,52.88,395.68
F24-3547,CIAT-2613,Stylosanthes guianensis,Herbaceous_legumes,91.94,13.26,86.74,12.31,37.2,76.95,28.09,57.51,125.03,38.22,3.04,11.4,12.03,15.02,40.06,414.44
F24-3548,CIAT-2783,Stylosanthes humilis,Herbaceous_legumes,89.75,10.11,89.89,4.07,31.3,49.65,41.15,96.56,215.11,50.74,2.35,12.3,13.71,29.48,61.98,278.2
F24-3549,CIAT-10440,Stylosanthes humilis,Herbaceous_legumes,90.24,11.91,88.09,17.78,31.37,51.77,41.79,91.86,203.9,51.58,2.54,12.27,13.77,28.08,57.24,257.78
F24-3550,CIAT-10613,Stylosanthes scabra,Herbaceous_legumes,92.84,7.89,92.11,19.44,46.21,59.51,34.85,73.47,159.51,45.3,4.59,12.26,13.8,22.13,50.74,234.03
F24-3551,CIAT-10627,Stylosanthes scabra,Herbaceous_legumes,93.39,13.71,86.29,15.96,39.59,57.5,36.13,77.82,166.9,42.54,2.56,12.31,13.63,22.76,56.51,263.33
F24-3552,CIAT-10634,Stylosanthes scabra,Herbaceous_legumes,93.02,10.56,89.44,11.83,33.59,56.99,37.85,83.92,180.11,50.7,2.83,12.52,13.58,24.43,49.55,230.87
F24-3553,CIAT-10639,Stylosanthes scabra,Herbaceous_legumes,93.2,11.08,88.92,15.74,35.04,53.94,40.9,88.97,191.0,51.6,2.7,12.81,14.09,26.9,52.82,246.04
F24-3554,CIAT-10725,Stylosanthes scabra,Herbaceous_legumes,92.39,11.55,88.45,15.72,41.09,58.81,37.24,78.75,169.85,47.39,2.8,12.89,14.22,24.15,52.85,244.98
F24-3555,CIAT-11199,Stylosanthes hamata,Herbaceous_legumes,91.82,8.77,91.23,15.0,36.3,58.28,39.57,85.64,186.47,48.04,2.58,12.9,14.58,27.2,57.28,263.09
F24-3556,CIAT-11215,Stylosanthes hamata,Herbaceous_legumes,92.9,10.52,89.48,14.8,27.87,52.53,37.96,85.25,184.22,51.59,2.81,13.06,14.32,26.38,54.75,253.05
F24-3557,CIAT-11220,Stylosanthes hamata,Herbaceous_legumes,91.88,8.42,91.58,18.31,26.31,56.95,40.07,89.31,193.65,55.83,2.89,12.89,14.22,27.54,50.46,232.65
F24-3558,CIAT-11232,Stylosanthes hamata,Herbaceous_legumes,91.23,7.32,92.68,17.37,34.64,54.2,40.68,91.36,199.74,48.31,2.42,12.58,14.31,28.58,61.27,280.24
F24-3559,CIAT-11313,Stylosanthes guianensis,Herbaceous_legumes,92.19,11.54,88.46,15.09,38.82,55.96,35.07,81.53,177.53,47.02,2.65,12.37,13.81,24.59,53.3,244.88
F24-3560,CIAT-11417,Stylosanthes guianensis,Herbaceous_legumes,91.5,12.06,87.94,14.94,41.48,57.23,31.07,70.64,153.96,41.34,2.68,12.21,12.62,19.46,50.02,229.62
F24-3561,CIAT-11624,Stylosanthes humilis,Herbaceous_legumes,92.04,12.04,87.96,12.26,33.73,54.88,34.9,77.97,169.68,48.45,2.87,12.07,12.87,21.9,47.32,217.47
F24-3562,CIAT-11690,Stylosanthes humilis,Herbaceous_legumes,90.68,12.89,87.11,15.62,33.51,54.33,38.18,81.36,178.5,46.09,2.58,12.26,13.46,24.03,54.81,249.85
F24-3563,CIAT-11762,Stylosanthes hamata,Herbaceous_legumes,90.71,8.06,91.94,16.73,39.8,58.73,39.74,83.75,184.63,40.89,2.22,12.92,14.23,26.28,68.27,309.67
F24-3564,CIAT-11778,Stylosanthes hamata,Herbaceous_legumes,92.06,8.58,91.42,15.95,26.27,54.21,42.63,86.14,188.01,51.18,2.79,12.86,14.31,26.96,55.78,255.33
F24-3565,CIAT-11784,Stylosanthes hamata,Herbaceous_legumes,92.3,8.64,91.36,16.99,35.91,59.39,39.13,84.53,183.26,45.06,2.48,12.97,14.35,26.26,61.02,281.5
F24-3566,CIAT-11820,Stylosanthes scabra,Herbaceous_legumes,91.81,11.13,88.87,16.9,31.38,52.89,39.35,83.03,180.49,43.83,2.42,12.76,14.12,25.48,61.0,280.7
F24-3567,CIAT-12042,Stylosanthes humilis,Herbaceous_legumes,91.35,15.08,84.92,18.06,31.39,53.81,39.13,81.75,178.59,42.08,2.35,12.37,13.56,24.23,62.04,283.92
F24-3568,CIAT-12115,Stylosanthes humilis,Herbaceous_legumes,92.48,8.91,91.09,15.32,34.71,55.55,44.26,92.32,199.53,53.03,2.67,60.02,35.86,71.15,138.08,638.94
F24-3569,CIAT-12140,Stylosanthes humilis,Herbaceous_legumes,91.57,11.22,88.78,19.39,28.23,54.15,45.37,90.67,197.46,62.29,3.16,64.69,39.24,77.61,125.2,575.45
F24-3570,CIAT-12184,Stylosanthes humilis,Herbaceous_legumes,92.54,10.37,89.63,15.38,25.67,48.49,44.69,91.84,199.11,58.15,2.92,60.32,36.34,72.38,121.69,561.21
F24-3571,CIAT-12202,Stylosanthes humilis,Herbaceous_legumes,92.63,10.68,89.32,18.22,24.08,48.06,44.46,93.41,201.65,56.07,2.78,60.93,36.5,73.54,131.51,609.11
F24-3572,CIAT-12311,Stylosanthes guianensis,Herbaceous_legumes,91.76,15.04,84.96,16.63,34.79,53.68,42.22,91.14,197.87,56.11,2.84,58.96,34.85,68.42,120.15,553.28
F24-3573,CIAT-12381,Stylosanthes hamata,Herbaceous_legumes,92.25,13.21,86.79,17.11,33.25,56.81,46.22,93.81,203.63,52.37,2.58,60.36,37.23,74.97,142.12,654.68
F24-3574,CIAT-12374,Stylosanthes hamata,Herbaceous_legumes,91.94,8.79,91.21,17.42,30.52,56.26,48.86,97.11,210.95,55.63,2.64,62.96,39.34,82.36,150.77,694.06
F24-3575,CIAT-12457,Stylosanthes hamata,Herbaceous_legumes,93.7,11.91,88.09,16.96,27.69,55.43,47.06,96.57,207.43,56.09,2.71,62.11,38.04,77.99,143.7,668.99
F24-3576,CIAT-12462,Stylosanthes hamata,Herbaceous_legumes,92.55,9.45,90.55,19.36,26.71,57.45,45.89,94.07,202.38,59.37,2.94,60.81,37.42,74.98,124.74,579.81
F24-3577,CIAT-12485,Stylosanthes scabra,Herbaceous_legumes,93.95,13.35,86.65,14.59,30.78,55.79,38.62,79.31,169.78,52.97,3.12,51.44,32.64,55.39,108.65,507.69
F24-3578,CIAT-12615,Stylosanthes guianensis,Herbaceous_legumes,89.76,10.4,89.6,14.07,35.32,53.46,35.42,79.01,173.57,53.5,3.12,50.65,30.52,51.88,98.51,448.35
F24-3579,CIAT-12686,Stylosanthes hamata,Herbaceous_legumes,90.96,10.25,89.75,16.0,34.52,48.94,38.19,86.67,191.31,53.61,2.8,55.56,32.48,61.14,115.9,525.26
F24-3580,CIAT-12710,Stylosanthes scabra,Herbaceous_legumes,91.72,11.21,88.79,11.5,38.43,58.38,37.66,81.29,177.89,48.79,2.76,67.48,39.02,68.53,138.37,632.76
F24-3581,CIAT-12758,Stylosanthes guianensis,Herbaceous_legumes,91.38,9.52,90.48,14.95,34.11,56.97,36.29,76.67,167.51,45.31,2.7,50.1,30.0,49.73,114.65,524.79
F24-3612,CIAT-398,Desmodium incanum,Herbaceous_legumes,91.78,17.46,82.54,17.92,37.86,50.73,25.59,55.35,120.53,37.94,3.15,13.99,15.66,18.88,49.86,-398.95
F24-3614,CIAT-442,Centrosema molle x acutifolium,Herbaceous_legumes,93.94,17.65,82.35,17.82,30.34,55.32,34.83,66.12,140.7,43.3,3.08,14.57,15.9,22.38,52.27,-10615.89
F24-3615,CIAT-466,Vigna umbellata,Herbaceous_legumes,92.76,18.26,81.74,16.36,18.73,45.1,44.62,84.7,182.53,62.6,3.43,14.22,15.95,29.12,46.59,1409.84
F24-3616,CIAT-715,Canavalia ensiformis,Herbaceous_legumes,90.62,18.66,81.34,20.82,18.46,41.73,37.49,72.02,158.87,55.83,3.51,13.9,15.42,24.51,44.06,1212.1
F24-3617,CIAT-887,Calopogonium mucunoides,Herbaceous_legumes,92.18,12.7,87.3,21.0,25.91,44.12,32.87,62.18,134.86,52.78,3.91,14.44,16.22,21.88,41.52,-1933.48
F24-3618,CIAT-923,Galactia latisiliqua,Herbaceous_legumes,92.82,15.71,84.3,18.23,16.14,46.7,42.36,90.16,194.09,63.67,3.28,14.04,16.3,31.65,49.82,728.15
F24-3619,CIAT-3813,Desmodium sequax,Herbaceous_legumes,93.1,13.82,86.18,17.62,46.86,54.96,19.89,34.95,75.02,23.81,3.18,13.71,15.03,11.27,47.74,-137.16
F24-3620,CIAT-5512,Centrosema brasilianum,Herbaceous_legumes,92.27,9.81,90.19,22.16,28.68,46.39,45.26,77.92,168.82,59.21,3.51,14.28,16.09,27.16,45.89,1170.89
F24-3621,CIAT-5568,Centrosema acutifolium,Herbaceous_legumes,91.58,11.85,88.15,17.29,39.06,58.44,35.23,67.15,146.58,44.5,3.04,14.09,15.92,23.35,52.67,1886.25
F24-3622,CIAT-5657,Centrosema brasilianum,Herbaceous_legumes,91.84,10.66,89.34,21.64,30.82,54.0,41.23,72.9,158.7,50.66,3.2,12.8,14.93,23.68,47.4,484.04
F24-3623,CIAT-5744,Centrosema macrocarpum,Herbaceous_legumes,93.6,14.86,85.14,17.67,33.74,56.91,33.92,59.04,126.09,39.53,3.14,14.21,16.11,20.32,52.4,640.22
F24-3624,CIAT-7131,Eriosema diffusum,Herbaceous_legumes,92.21,7.09,92.91,16.02,49.78,61.86,19.48,38.41,83.25,23.05,2.76,13.3,14.58,12.13,55.01,-265.17
F24-3625,CIAT-7318,Canavalia sp.,Herbaceous_legumes,92.41,17.32,82.68,17.71,20.9,41.26,40.22,81.53,176.37,55.31,3.16,12.61,14.96,26.4,48.52,-5919.72
F24-3626,CIAT-7395,Galactia striata,Herbaceous_legumes,91.72,16.66,83.34,13.71,20.78,47.98,32.81,69.61,151.69,51.78,3.45,12.74,15.1,22.95,47.01,393.38
F24-3627,CIAT-7648,Canavalia brasiliensis,Herbaceous_legumes,91.98,18.02,81.98,22.05,17.99,40.89,38.11,73.49,159.69,57.02,3.59,12.66,15.17,24.27,43.86,-24.7
F24-3628,CIAT-7746,Crotalaria paulina,Herbaceous_legumes,92.06,22.45,77.55,14.81,21.01,43.06,38.08,72.31,156.99,57.79,3.69,12.88,14.83,23.29,41.13,5746.12
F24-3629,CIAT-7813,Indigofera cryptantha,Herbaceous_legumes,90.14,12.32,87.68,26.44,20.9,30.7,44.9,91.27,202.34,61.75,3.06,14.09,17.11,34.62,57.58,789.63
F24-3630,CIAT-7831,Tephrosia rhodesica,Shrub_Trees,93.6,17.2,82.8,21.67,19.27,51.96,38.42,73.54,157.09,51.58,3.31,14.91,17.57,27.61,54.47,808.04
F24-3631,CIAT-7894,Canavalia brasiliensis,Herbaceous_legumes,93.35,21.76,78.24,21.16,19.12,40.92,37.79,73.06,156.45,52.77,3.39,12.3,15.04,23.54,45.89,-134.01
F24-3632,CIAT-7991,Indigofera suffruticosa,Herbaceous_legumes,92.96,23.02,76.97,24.54,23.24,39.11,30.66,64.0,137.63,39.55,2.9,14.83,16.72,23.12,63.57,-221.88
F24-3633,CIAT-8202,Chamaecrista rotundifolia,Herbaceous_legumes,92.66,17.52,82.48,24.37,22.99,45.97,46.14,74.23,160.13,51.8,3.24,13.61,15.52,24.86,48.87,1005.71
F24-3634,CIAT-9189,Indigofera suffruticosa,Herbaceous_legumes,92.22,24.08,75.91,29.1,20.19,39.4,36.85,68.25,147.93,57.89,3.92,15.22,17.47,25.84,45.56,962.5
F24-3635,CIAT-9434,Clitoria ternatea,Herbaceous_legumes,90.76,16.82,83.18,25.12,17.44,47.68,41.23,81.72,179.93,54.0,3.03,14.98,16.4,29.55,56.61,-224307.05
F24-3636,CIAT-11162,Stylosanthes scabra,Herbaceous_legumes,91.46,22.3,77.69,17.11,23.0,51.4,44.2,84.99,185.75,56.82,3.07,12.46,14.92,27.72,50.47,-1411.29
F24-3637,CIAT-13301,Desmodium sequax,Herbaceous_legumes,92.57,20.83,79.17,19.83,51.0,58.71,21.65,36.71,79.25,26.72,3.42,14.0,15.79,12.51,48.61,-287.68
F24-3638,CIAT-15401,Centrosema brasilianum,Herbaceous_legumes,93.22,17.65,82.35,17.11,28.58,49.64,42.28,70.33,150.83,52.1,3.47,13.84,15.7,23.67,45.47,-30307.6
F24-3639,CIAT-17360,Alysicarpus vaginalis,Herbaceous_legumes,92.85,21.71,78.29,24.55,20.16,37.06,37.19,68.51,147.48,62.8,4.26,15.72,16.94,24.99,39.91,-1689.12
F24-3640,CIAT-17768,Clitoria ternatea,Herbaceous_legumes,93.48,6.89,93.11,15.45,12.14,48.08,48.48,96.71,206.79,62.31,3.02,14.83,16.26,33.63,54.62,1076.52
F24-3641,CIAT-18004,Chamaecrista rotundifolia,Herbaceous_legumes,92.94,6.78,93.22,15.74,14.9,45.46,43.61,92.53,199.03,58.72,2.95,13.81,15.73,31.32,53.53,1161.41
F24-3642,CIAT-18430,Alysicarpus vaginalis,Herbaceous_legumes,92.65,12.1,87.9,24.28,21.54,40.06,42.43,78.86,170.13,62.24,3.66,15.38,16.74,28.48,46.1,297.36
F24-3644,CIAT-18708,Crotalaria pallida,Herbaceous_legumes,92.86,10.77,89.22,23.89,18.17,42.86,44.0,80.49,173.23,59.88,3.47,15.06,17.16,29.73,49.94,-62035.89
F24-3645,CIAT-18850,Alysicarpus rugosus,Herbaceous_legumes,93.94,14.28,85.72,23.09,20.43,40.56,37.07,71.34,151.79,58.68,3.87,15.3,15.95,24.2,41.53,207.48
F24-3646,CIAT-18865,Alysicarpus rugosus,Herbaceous_legumes,93.43,13.54,86.46,18.24,23.38,41.27,36.04,71.98,154.0,51.17,3.32,14.34,15.09,23.25,45.67,-941.73
F24-3647,CIAT-19032,Canavalia sp.,Herbaceous_legumes,92.42,14.73,85.28,23.96,17.66,39.85,37.81,80.83,174.84,59.15,3.39,13.27,15.33,26.81,45.7,-1866.4
F24-3648,CIAT-19119,Alysicarpus rugosus,Herbaceous_legumes,92.5,23.76,76.24,20.28,22.2,41.36,38.55,66.18,143.02,56.58,3.95,14.11,15.47,22.13,40.18,-661.24
F24-3650,CIAT-20303,Canavalia brasiliensis,Herbaceous_legumes,88.98,16.2,83.8,21.53,12.76,33.06,39.58,84.67,190.21,58.61,3.09,13.51,15.82,30.08,52.89,-292.82
F24-3651,CIAT-20589,Uraria lagopodioides,Herbaceous_legumes,92.04,21.08,78.93,20.68,21.06,38.55,34.42,63.62,138.18,55.03,3.99,14.99,16.47,22.78,41.75,124.42
F24-3652,CIAT-21687,Desmanthus virgatus,Shrub_Trees,91.86,8.54,91.46,28.43,32.71,47.95,30.24,58.13,126.5,45.4,3.58,12.63,14.66,18.59,42.42,-2025.92
F24-3653,CIAT-22048,Aeschynomene americana,Herbaceous_legumes,89.4,10.14,89.85,21.74,16.05,41.36,51.18,86.56,193.58,63.48,3.28,13.2,14.47,28.01,44.16,1378.74
F24-3654,CIAT-22156,Arachis pintoi,Herbaceous_legumes,89.7,10.45,89.55,20.83,24.72,41.79,43.04,91.27,203.44,56.59,2.78,12.54,14.41,29.31,53.44,58.01
F24-3655,CIAT-22507,Desmanthus subulatus,Shrub_Trees,89.94,9.48,90.52,29.9,32.22,43.71,30.8,54.98,122.18,42.78,3.51,12.19,13.98,17.07,40.95,-313.27
F24-3656,CIAT-22510,Desmanthus bicornutus,Shrub_Trees,87.95,10.54,89.46,25.93,36.07,42.87,26.07,48.27,109.68,32.63,3.02,12.46,14.39,15.78,51.7,-129.72
F24-3657,CIAT-22598,Lablab purpureus,Herbaceous_legumes,88.94,12.58,87.42,31.13,28.04,45.42,34.61,64.75,145.54,52.73,3.63,15.1,15.84,23.06,45.23,389.46
F24-3658,CIAT-22784,Desmanthus bicornutus,Shrub_Trees,92.62,10.43,89.57,30.03,30.63,41.66,28.66,53.14,114.68,39.85,3.46,12.88,14.99,17.19,44.64,-217.67
F24-3659,CIAT-25113,Centrosema brasilianum,Herbaceous_legumes,91.8,11.89,88.11,22.96,29.7,53.7,40.45,66.74,145.32,46.38,3.2,14.56,15.63,22.7,50.97,743.17
F24-3660,CIAT-33114,Dendrolobium sp.,Shrub_Trees,91.53,13.54,86.46,18.81,40.5,55.0,25.02,44.28,96.72,26.15,2.7,13.69,15.27,14.74,58.31,-213.51
F24-3662,CIAT-43477,Desmodium cinereum,Shrub_Trees,91.15,13.83,86.17,24.66,17.46,38.35,33.17,57.35,125.78,36.81,2.92,15.09,15.83,19.9,57.22,-158.14
F25-0929,CIAT-15474,Centrosema molle,Herbaceous_legumes,92.3,9.16,90.84,30.58,34.16,56.03,29.24,54.85,118.8,47.0,3.98,13.15,13.56,16.13,35.27,1242.16
F25-0930,CIAT-15470,Centrosema molle,Herbaceous_legumes,94.26,9.21,90.79,24.65,32.1,58.39,30.78,57.8,122.56,45.55,3.73,13.77,14.6,17.91,40.38,717.4
F25-0931,CIAT-13268,Tadehagi triquetrum,Herbaceous_legumes,94.21,7.54,92.46,14.85,42.8,50.67,21.73,42.65,90.5,38.94,4.31,11.21,12.93,11.71,30.9,-670.09
F25-0932,CIAT-22768,Lablab purpureus,Herbaceous_legumes,94.18,8.72,91.28,23.69,23.94,49.53,54.92,93.93,199.4,64.18,3.22,14.17,15.71,31.33,49.54,937.42
F25-0933,CIAT-22770,Lablab purpureus,Herbaceous_legumes,93.29,7.62,92.38,21.39,21.71,40.34,50.39,95.71,205.06,68.75,3.36,14.1,15.65,32.08,47.68,515.45
F25-0934,CIAT-18701,Cajanus cajan,Shrub_Trees,94.79,7.06,92.94,23.9,48.14,60.12,23.55,47.08,99.27,31.19,3.18,13.36,15.11,14.99,54.17,3921.96
F25-0935,CIAT-20891,Cajanus cajan,Shrub_Trees,95.25,8.19,91.81,20.08,43.44,53.83,26.16,45.26,94.97,29.51,3.11,12.92,14.44,13.72,47.98,-250.72
F25-0936,CIAT-5172,Centrosema molle,Herbaceous_legumes,93.66,10.84,89.16,26.38,37.64,61.88,30.43,54.95,117.3,35.41,3.03,13.16,14.26,16.73,50.12,-103.62
F25-0937,CIAT-5452,Centrosema macrocarpum,Herbaceous_legumes,94.72,16.57,83.43,15.2,33.25,50.51,40.82,62.13,131.12,32.09,2.45,12.71,14.26,18.7,58.64,-263.83
F25-0938,CIAT-5733,Centrosema macrocarpum,Herbaceous_legumes,95.24,12.32,87.68,15.96,30.02,47.8,40.26,66.64,139.87,43.99,3.17,13.21,14.72,20.58,48.62,-672.07
F25-0939,CIAT-5735,Centrosema macrocarpum,Herbaceous_legumes,94.0,8.92,91.08,26.53,30.74,50.72,45.14,73.33,155.99,51.89,3.33,13.9,15.3,23.86,47.18,406.03
F25-0940,CIAT-5749,Centrosema plumieri,Herbaceous_legumes,93.08,8.7,91.3,21.84,26.07,61.28,43.24,77.5,166.45,52.88,3.21,12.87,15.15,25.27,49.14,779.35
F25-0941,CIAT-5911,Centrosema macrocarpum,Herbaceous_legumes,95.34,11.54,88.46,15.5,30.38,53.06,46.19,76.4,160.22,43.41,2.71,13.08,14.91,23.9,57.79,-252.48
F25-0942,CIAT-13692,Desmodium velutinum,Shrub_Trees,94.92,10.58,89.42,18.55,32.17,55.22,35.79,60.55,127.54,40.73,3.26,15.48,16.96,21.64,56.63,-706.56
F25-0943,CIAT-15121,Centrosema macrocarpum,Herbaceous_legumes,93.92,11.18,88.82,19.77,30.28,50.42,39.47,69.08,147.06,53.13,3.62,13.62,15.27,22.45,43.07,-866.37
F25-0944,CIAT-15150,Centrosema molle,Herbaceous_legumes,93.1,8.72,91.28,20.03,28.83,62.44,33.48,66.25,142.28,43.89,3.09,13.48,14.24,20.27,48.67,773.0
F25-0945,CIAT-15154,Centrosema molle,Herbaceous_legumes,94.36,7.93,92.07,26.23,33.34,65.84,26.8,53.03,112.33,34.19,3.04,13.42,14.17,15.94,50.54,12656.79
F25-0946,CIAT-15561,Centrosema molle,Herbaceous_legumes,92.51,9.54,90.46,25.06,39.02,70.84,33.47,59.49,128.56,47.01,3.66,13.34,14.8,19.08,41.13,394.94
F25-0947,CIAT-15799,Centrosema macrocarpum,Herbaceous_legumes,92.82,19.53,80.47,17.46,31.86,59.55,36.0,57.61,124.07,47.56,3.83,13.26,14.06,17.45,37.78,-509.2
F25-0948,CIAT-15816,Centrosema acutifolium,Herbaceous_legumes,95.74,10.18,89.82,20.6,27.52,51.4,40.01,68.46,142.98,46.2,3.23,13.39,14.86,21.26,47.5,-37.69
F25-0949,CIAT-20304,Canavalia brasiliensis,Herbaceous_legumes,94.54,12.08,87.92,22.84,20.76,47.58,46.35,85.14,180.0,65.02,3.61,13.52,16.93,30.49,47.76,334.29
F25-0950,CIAT-21603,Lablab purpureus,Herbaceous_legumes,94.28,8.46,91.54,18.15,20.07,52.44,47.51,89.84,190.52,53.45,2.82,13.82,15.45,29.46,56.99,-5460.16
F25-0951,CIAT-23248,Desmodium velutinum,Shrub_Trees,94.94,10.48,89.52,18.85,22.8,42.05,43.81,75.85,159.69,53.11,3.32,14.16,16.2,25.88,49.94,105.02
F25-0952,CIAT-23271,Desmodium velutinum,Shrub_Trees,95.06,13.78,86.22,17.34,21.92,45.84,43.22,69.01,145.11,53.06,3.66,13.81,16.05,23.3,45.15,-84.07
F25-0953,CIAT-23279,Desmodium velutinum,Shrub_Trees,93.49,10.63,89.37,19.89,22.24,45.64,44.25,75.84,162.17,46.68,2.88,14.41,16.41,26.61,59.41,405.58
F25-0954,CIAT-23326,Desmodium velutinum,Shrub_Trees,95.84,15.05,84.95,18.11,23.0,40.0,41.98,81.19,172.6,59.89,3.53,14.14,15.89,27.36,46.38,217.91
F25-0955,CIAT-33255,Desmodium velutinum,Shrub_Trees,94.96,13.77,86.23,18.56,25.18,45.4,40.9,62.63,131.85,44.57,3.38,15.11,16.67,21.97,51.85,116.47
F25-0956,CIAT-33428,Desmodium velutinum,Shrub_Trees,96.18,9.49,90.5,17.04,34.06,50.62,31.75,55.66,115.68,52.17,4.54,14.39,15.82,18.3,35.5,-387.46
F25-0957,CIAT-33451,Desmodium velutinum,Shrub_Trees,96.0,7.8,92.2,14.71,34.35,45.9,28.22,51.28,106.79,47.19,4.41,13.02,13.92,14.89,31.73,-185932.36
F25-0958,CIAT-33463,Desmodium velutinum,Shrub_Trees,96.22,15.16,84.84,16.13,23.84,39.72,35.02,57.76,119.98,61.64,5.15,14.44,16.29,19.55,31.74,1783.58
F25-0959,CIAT-350,Desmodium heterocarpon,Herbaceous_legumes,94.34,8.73,91.27,14.87,40.83,51.36,23.72,47.5,100.69,41.39,4.11,12.3,13.37,13.46,32.84,-737.07
F25-0960,CIAT-3187,Desmodium cajanifolium,Shrub_Trees,94.04,11.9,88.1,20.67,22.2,35.94,42.6,79.96,169.94,70.3,4.14,12.83,14.49,24.62,35.08,855.03
F25-0961,CIAT-4028,Galactia glaucescens,Herbaceous_legumes,94.52,11.85,88.15,12.55,46.68,65.42,19.69,41.07,86.86,30.52,3.52,11.34,13.36,11.61,40.58,497.51
F25-0962,CIAT-5277,Centrosema acutifolium,Herbaceous_legumes,91.43,7.55,92.45,19.78,31.58,61.88,41.52,79.91,174.71,57.08,3.26,13.27,14.97,26.16,46.87,1988.85
F25-0963,CIAT-7227,Galactia texana,Herbaceous_legumes,93.04,16.05,83.96,12.52,26.88,41.77,32.47,62.26,133.75,51.21,3.8,10.43,11.52,15.4,31.16,38491.0
F25-0964,CIAT-8013,Crotalaria paulina,Herbaceous_legumes,93.74,10.6,89.4,22.95,17.85,61.05,45.15,88.15,188.0,68.31,3.63,13.18,14.46,27.18,40.57,330.68
F25-0965,CIAT-8156,Chamaecrista rotundifolia,Herbaceous_legumes,94.11,9.97,90.03,24.22,33.74,58.74,41.84,60.21,127.92,50.26,3.92,14.38,16.11,20.62,42.34,-4182.55
F25-0966,CIAT-9323,Crotalaria vitellina,Herbaceous_legumes,92.4,6.06,93.94,25.36,17.48,45.44,55.63,96.53,208.83,64.57,3.1,14.66,15.74,32.86,51.69,844.04
F25-0967,CIAT-9537,Crotalaria sagittalis,Herbaceous_legumes,91.78,13.02,86.98,22.86,19.84,50.48,38.23,84.97,185.1,63.64,3.44,13.62,14.68,27.16,43.17,812.79
F25-0968,CIAT-9690,Aeschynomene histrix,Herbaceous_legumes,93.78,11.43,88.56,20.22,17.6,49.99,44.88,81.56,173.86,60.47,3.48,14.29,15.56,27.05,45.88,-186.15
F25-0969,CIAT-9900,Pueraria phaseoloides,Herbaceous_legumes,92.79,10.57,89.43,18.92,32.74,55.46,25.52,60.43,130.19,45.12,3.47,14.05,14.64,19.05,43.37,352.88
F25-0970,CIAT-11998,Stylosanthes guianensis,Herbaceous_legumes,94.6,12.78,87.22,14.22,33.38,63.5,30.5,65.3,138.0,44.05,3.18,11.15,11.91,16.43,38.27,-545.97
F25-0971,CIAT-13149,Desmodium strigillosum,Herbaceous_legumes,93.78,8.18,91.82,13.45,35.33,49.68,38.15,70.39,148.87,52.81,3.53,13.58,14.95,22.36,42.43,200.5
F25-0972,CIAT-13389,Desmodium sequax,Herbaceous_legumes,93.82,8.25,91.76,14.94,48.34,57.13,23.64,33.61,71.62,21.43,2.98,12.72,13.54,9.7,48.91,-137.82
F25-0973,CIAT-13651,Desmodium heterocarpon,Herbaceous_legumes,95.04,9.16,90.84,16.15,38.99,55.6,25.55,50.22,105.62,26.5,2.51,13.16,14.0,14.78,60.65,-274.1
F25-0974,CIAT-13946,Desmodium sequax,Herbaceous_legumes,93.82,6.8,93.2,14.37,53.08,60.83,24.47,42.2,89.95,32.25,3.89,12.26,13.16,12.18,35.66,167.31
F25-0975,CIAT-15160,Centrosema molle,Herbaceous_legumes,94.54,10.0,90.0,21.46,35.17,61.86,28.67,56.67,119.87,33.15,2.78,13.45,14.19,17.01,57.4,-633.03
F25-0976,CIAT-17000,Chamaecrista rotundifolia,Herbaceous_legumes,94.58,7.84,92.16,17.38,24.2,48.8,38.68,71.33,150.8,42.81,2.84,4.96,9.02,13.6,31.98,-599.89
F25-0977,CIAT-17009,Canavalia brasiliensis,Herbaceous_legumes,94.78,11.77,88.23,22.97,15.64,39.88,44.27,85.3,179.93,47.23,2.63,13.86,16.38,29.47,64.87,-1490.33
F25-0978,CIAT-18700,Cajanus cajan,Shrub_Trees,93.9,7.36,92.64,22.88,42.28,54.12,28.2,53.11,113.06,32.23,2.84,13.9,15.46,17.47,59.27,-872.46
