ch4_ml_g_ndf_digested_24h,CH4_Decrease_Pct,Benchmark_vs_Control,CH4_Category,TDDM_Category,Z_Score_CH4,Z_Score_TDDM,Composite_Score,Overall_Rank,CH4_8h_Reduction_Pct,CH4_24h_Reduction_Pct,Accession_ID,CH4_Intensity,TDDM,CH4_8h,category,functional_group
406.9538942,47.71291493,16.39520249,Low,Not High,0.653647382,0.508877813,0.653647382,23,0.799299074,#N/A,CIAT-PM-21-0072,42.66521705,53.17177667,13.56666667,Category_2,Grasses
374.128588,47.34564965,15.80796113,Low,Not High,0.632145947,0.798951178,0.632145947,24,-1.313082764,#N/A,CIAT-CIAT-16031,42.96489818,55.92977696,13.85555556,Category_2,Grasses
525.2143627,47.01317554,15.27634935,Low,Not High,0.612681351,0.272810981,0.612681351,25,9.16758097,#N/A,CIAT-BR-15-8919,43.23619042,50.92726728,12.42222222,Category_2,Grasses
125.156944,46.99299162,15.24407611,Low,Not High,0.611499689,0.924056525,0.611499689,26,-3.344219147,#N/A,CIAT-PM-21-0631,43.2526601,57.11927115,14.13333333,Category_2,Grasses
350.1031207,46.6459921,14.68923882,Low,Not High,0.591184707,0.676440627,0.591184707,27,8.030144596,#N/A,CIAT-BH-16-B-2165,43.53580477,54.76495394,12.57777778,Category_2,Grasses
441.8928559,46.38598057,14.27349158,Low,Not High,0.57596241,0.483181694,0.57596241,28,9.005090059,#N/A,CIAT-CIAT-26149,43.74796899,52.9274595,12.44444444,Category_2,Grasses
422.5231423,46.35783902,14.22849446,Low,Not High,0.574314872,0.155260439,0.574314872,29,7.380180953,#N/A,CIAT-BH-16-B-2167,43.77093193,49.80960373,12.66666667,Category_2,Grasses
154.8980326,46.20343753,13.98161312,Low,Not High,0.565275483,-0.045779157,0.565275483,30,-4.1566737,#N/A,CIAT-PM-21-2627,43.89692047,47.89813121,14.24444444,Category_2,Grasses
142.2565502,46.1397808,13.87982876,Low,Not High,0.561548719,0.02833922,0.561548719,31,-0.419382756,#N/A,CIAT-PM-21-0906,43.94886308,48.60284433,13.73333333,Category_2,Grasses
394.5250056,45.99129628,13.64240841,Low,Not High,0.552855738,0.382636423,0.552855738,32,7.78640823,#N/A,CIAT-CIAT-26146,44.07002348,51.97148105,12.61111111,Category_2,Grasses
463.978618,45.91026401,13.51284129,Low,Not High,0.548111727,0.44051489,0.548111727,33,6.242744579,#N/A,CIAT-CIAT-26160,44.1361442,52.52178607,12.82222222,Category_2,Grasses
414.2955901,45.90123463,13.4984037,Low,Not High,0.547583105,0.565287362,0.547583105,34,-5.53784644,#N/A,CIAT-CIAT-26936,44.143512,53.70811531,14.43333333,Category_2,Grasses
495.4161195,45.78426636,13.31137647,Low,Not High,0.540735233,0.160598466,0.540735233,35,-0.17564639,#N/A,CIAT-PM-21-6640,44.23895577,49.86035737,13.7,Category_2,Grasses
731.1054198,45.26653376,12.48354435,Low,Not High,0.510424735,0.235423039,0.510424735,36,6.811462766,#N/A,CIAT-BR-12-5049,44.66141522,50.57178496,12.74444444,Category_2,Grasses
-2378.792121,44.69567599,11.57076735,Low,Not High,0.477004039,0.078392676,0.477004039,37,15.50472648,#N/A,CIAT-CIAT-26646,45.12722376,49.07874962,11.55555556,Category_2,Grasses
-932.5610931,44.49065364,11.24294544,Low,Not High,0.465001067,0.293291838,0.465001067,38,6.40523549,#N/A,CIAT-BR-15-1851,45.29451791,51.12199805,12.8,Category_2,Grasses
600.2987608,44.48345131,11.23142922,Low,Not High,0.464579409,0.387517238,0.464579409,39,9.736299157,#N/A,CIAT-BR-19-5515,45.30039486,52.01788755,12.34444444,Category_2,Grasses
612.4997511,44.3000552,10.93818674,Low,Not High,0.453842539,-0.022111293,0.453842539,40,2.627321818,#N/A,CIAT-CIAT-26570,45.45004243,48.12316386,13.31666667,Category_2,Grasses
431.2473274,44.20452787,10.78544265,Low,Not High,0.44824992,0.61093889,0.44824992,41,0.433694525,#N/A,CIAT-PM-21-0070,45.52799082,54.14216732,13.61666667,Category_2,Grasses
