CH4_Decrease_Pct,Benchmark_vs_Control,CH4_Category,TDDM_Category,Z_Score_CH4,Z_Score_TDDM,Composite_Score,Overall_Rank,CH4_8h_Reduction_Pct,CH4_24h_Reduction_Pct,Accession_ID,CH4_Intensity,TDDM,CH4_8h,CH4_24h,category,functional_group
62.04837017,49.13570987,Low,Not High,2.373508397,-0.738791439,2.373508397,2,29.58631178,28.40993373,CIAT-17896,26.25107614,41.83160319,9.611111111,10.9811475,Category_2,Herbaceous_legumes
55.33030158,40.13188601,Low,Not High,1.905548745,-1.010830959,1.905548745,3,17.86426426,15.70379952,CIAT-13268,30.89795246,38.94227608,11.21111111,12.93013206,Category_2,Herbaceous_legumes
55.26546069,40.04498366,Low,Not High,1.901032131,-0.974750839,1.901032131,4,22.26003208,30.72036726,CIAT-17519,30.9428028,39.32548243,10.61111111,10.6267518,Category_2,Herbaceous_legumes
54.95074946,39.62319511,Low,Not High,1.879110331,0.144293776,1.879110331,5,23.5624818,24.89647464,CIAT-7227,31.160488,51.21083623,10.43333333,11.5200744,Category_2,Herbaceous_legumes
53.76564297,38.03486805,Low,Not High,1.796559519,-0.647101833,1.796559519,6,63.64333699,41.17897134,CIAT-17000,31.9802241,42.80543694,4.9625,9.022514232,Category_2,Herbaceous_legumes
52.99141513,36.99721698,Low,Not High,1.742629228,-0.458602073,1.742629228,7,4.269945261,6.690542997,CIAT-19667,32.51575614,44.80748968,13.06666667,14.31266884,Category_2,Herbaceous_legumes
52.52447463,36.37140467,Low,Not High,1.710103613,-0.780624906,1.710103613,8,9.886759697,12.84058534,CIAT-350,32.83873807,41.38729065,12.3,13.36931837,Category_2,Herbaceous_legumes
52.50204499,36.34134356,Low,Not High,1.708541234,0.248199751,1.708541234,9,-14.04575399,-9.425423982,CIAT-989,32.85425262,52.31441982,15.56666667,16.78468513,Category_2,Herbaceous_legumes
51.4859675,34.97955594,Low,Not High,1.637764454,-0.521610115,1.637764454,10,10.21237213,10.78987518,CIAT-23761,33.55707164,44.13828234,12.25555556,13.68387529,Category_2,Herbaceous_legumes
51.10412796,34.46779934,Low,Not High,1.611166705,0.432686257,1.611166705,11,-3.544753085,1.350269928,CIAT-19421,33.82118938,54.27384786,14.13333333,15.13180939,Category_2,Herbaceous_legumes
50.56557977,33.74601553,Low,Not High,1.573653122,0.705818515,1.573653122,12,-6.231055642,-10.20381635,CIAT-18848,34.19370223,57.17478092,14.5,16.90408217,Category_2,Herbaceous_legumes
49.81294979,32.73731077,Low,Not High,1.521227271,0.401988728,1.521227271,13,-17.62749073,-15.09978406,CIAT-7339,34.71429507,53.94780993,16.05555556,17.65507104,Category_2,Herbaceous_legumes
49.00709911,31.65727751,Low,Not High,1.465094233,-0.252540896,1.465094233,14,3.659421953,11.58299155,CIAT-15474,35.27170058,46.99606193,13.15,13.56221976,Category_2,Herbaceous_legumes
48.03865602,30.35933139,Low,Not High,1.397635515,-0.601795384,1.397635515,15,9.072728619,13.01470266,CIAT-13158,35.94157098,43.28663596,12.41111111,13.34261065,Category_2,Herbaceous_legumes
47.49870303,29.63566484,Low,Not High,1.360024078,-1.084599006,1.360024078,16,22.74845073,17.31962359,CIAT-18123,36.31505552,38.15878691,10.54444444,12.682282,Category_2,Herbaceous_legumes
47.48783849,29.62110375,Low,Not High,1.359267288,-1.810993791,1.359267288,17,13.54989955,16.51477476,CIAT-9578,36.3225705,30.44376027,11.8,12.80573717,Category_2,Herbaceous_legumes
46.34141757,28.08462463,Low,Not High,1.279411191,0.233638448,1.279411191,18,-2.486512684,-0.638248113,CIAT-24360,37.11554785,52.15976447,13.98888889,15.4368267,Category_2,Herbaceous_legumes
46.30675208,28.03816456,Low,Not High,1.276996502,-0.239303441,1.276996502,19,8.94480945,13.36394605,CIAT-20927,37.13952591,47.13665671,12.42857143,13.28904046,Category_2,Herbaceous_legumes
46.30273862,28.03278556,Low,Not High,1.276716937,0.528390631,1.276716937,20,-1.102659852,-1.577112908,CIAT-21031,37.14230201,55.29032239,13.8,15.58083848,Category_2,Herbaceous_legumes
45.37551037,26.79007723,Low,Not High,1.212129116,-0.199850751,1.212129116,21,2.886092429,8.344909038,CIAT-15799,37.78366418,47.55568307,13.25555556,14.05890685,Category_2,Herbaceous_legumes
44.80839808,26.03001068,Low,Not High,1.172625847,-0.153209084,1.172625847,22,-15.34820371,-12.0942987,CIAT-7292,38.17593476,48.05106342,15.74444444,17.19406186,Category_2,Herbaceous_legumes
