subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,109.0,Breeding,F24-3611,CIAT-CIAT-16888,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.74,11.63,88.37,6.11,30.34,69.32
1,110.0,Breeding,F24-3611,CIAT-CIAT-16888,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.82,11.75,88.25,6.11,31.27,70.68
1,261.0,Breeding,F25-0990,CIAT-PM-21-0053,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,95.81,11.33,88.67,14.97,32.54,68.53
1,262.0,Breeding,F25-0990,CIAT-PM-21-0053,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,95.79,11.5,88.5,14.88,32.78,67.33
1,263.0,Breeding,F25-0991,CIAT-PM-21-3550,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,96.61,14.46,85.54,14.61,30.37,69.19
1,264.0,Breeding,F25-0991,CIAT-PM-21-3550,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,96.74,14.09,85.91,14.66,29.9,69.17
1,265.0,Breeding,F25-0992,CIAT-PM-21-3595,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,95.85,16.74,83.26,14.25,30.99,68.02
1,266.0,Breeding,F25-0992,CIAT-PM-21-3595,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,95.91,16.48,83.52,14.27,30.74,69.45
1,267.0,Breeding,F25-0993,CIAT-PM-21-0086,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,96.84,14.86,85.14,14.79,31.13,67.37
1,268.0,Breeding,F25-0993,CIAT-PM-21-0086,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,98.1,15.86,84.14,14.83,30.9,67.39
1,269.0,Breeding,F25-0994,CIAT-CIAT-16048,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,97.4,15.36,84.64,17.38,31.71,67.29
1,270.0,Breeding,F25-0994,CIAT-CIAT-16048,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,97.72,15.19,84.81,17.29,32.28,66.92
1,271.0,Breeding,F25-0995,CIAT-PM-21-0185,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,96.4,13.85,86.15,16.74,28.14,67.13
1,272.0,Breeding,F25-0995,CIAT-PM-21-0185,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,96.57,13.92,86.08,16.71,27.66,66.53
1,273.0,Breeding,F25-0996,CIAT-PM-21-0215,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,95.47,13.57,86.43,15.17,30.53,67.39
1,274.0,Breeding,F25-0996,CIAT-PM-21-0215,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,95.71,13.86,86.14,15.16,29.96,67.08
1,275.0,Breeding,F25-0997,CIAT-CIAT-16051,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,95.99,13.92,86.08,14.96,30.84,68.17
1,276.0,Breeding,F25-0997,CIAT-CIAT-16051,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,96.31,14.04,85.96,14.87,32.38,68.26
1,277.0,Breeding,F25-0998,CIAT-PM-21-6080,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,96.23,15.38,84.62,18.25,32.95,67.99
1,278.0,Breeding,F25-0998,CIAT-PM-21-6080,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,96.46,15.5,84.5,18.33,31.03,66.95
1,279.0,Breeding,F25-0999,CIAT-PM-21-3684,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,97.17,13.44,86.56,14.75,30.43,70.47
1,280.0,Breeding,F25-0999,CIAT-PM-21-3684,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,97.59,13.48,86.52,14.81,30.34,69.59
1,281.0,Breeding,F25-1000,CIAT-PM-21-0076,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,94.86,15.39,84.61,16.18,32.38,66.3
1,282.0,Breeding,F25-1000,CIAT-PM-21-0076,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,94.95,15.46,84.54,16.12,32.0,68.91
1,283.0,Breeding,F25-1001,CIAT-CIAT-6890,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,96.18,12.26,87.74,15.96,34.22,72.59
1,284.0,Breeding,F25-1001,CIAT-CIAT-6890,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,96.15,12.38,87.62,15.77,34.32,70.18
1,285.0,Breeding,F25-1002,CIAT-PM-21-6638,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,95.58,16.64,83.36,14.34,34.63,67.43
1,286.0,Breeding,F25-1002,CIAT-PM-21-6638,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,95.75,16.65,83.35,14.14,34.45,67.24
1,287.0,Breeding,F25-1003,CIAT-PM-21-0052,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,95.44,14.01,85.99,15.22,32.19,65.5
1,288.0,Breeding,F25-1003,CIAT-PM-21-0052,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,9,95.43,14.26,85.74,15.59,31.43,64.75
