id_lab,subset,no,requisitioner,id,tax_name,functional_group,batch,run,replication,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
F25-0999,1,1108,Breeding,CIAT-PM-21-3684,Megathyrsus maximus,Grass,23.0,1.0,1.0,37.37,75.09,154.08,53.76,3.48,14.59,16.22,24.99,47.31,115.73,9
F25-1000,1,1111,Breeding,CIAT-PM-21-0076,Megathyrsus maximus,Grass,23.0,1.0,1.0,35.2,71.8,151.21,47.61,3.16,14.89,16.81,25.42,56.0,81.02,9
F25-1001,1,1114,Breeding,CIAT-CIAT-6890,Megathyrsus maximus,Grass,23.0,1.0,1.0,34.66,73.91,153.66,52.75,3.43,14.33,16.21,24.91,47.38,104.95,9
F25-1002,1,1117,Breeding,CIAT-PM-21-6638,Megathyrsus maximus,Grass,23.0,1.0,1.0,33.58,67.81,141.67,49.71,3.51,14.13,15.91,22.53,45.83,152.59,9
F25-1003,1,1120,Breeding,CIAT-PM-21-0052,Megathyrsus maximus,Grass,23.0,1.0,1.0,33.83,70.08,146.81,50.41,3.43,14.21,16.2,23.78,47.43,164.15,9
F25-1004,1,1123,Breeding,CIAT-PM-21-4449,Megathyrsus maximus,Grass,23.0,1.0,1.0,29.7,65.7,136.64,42.72,3.13,14.56,16.39,22.39,52.89,199.67,9
F25-1005,1,1126,Breeding,CIAT-CIAT-6799,Megathyrsus maximus,Grass,23.0,1.0,1.0,27.0,64.22,133.68,42.1,3.15,14.92,16.23,21.69,51.97,175.55,9
F25-1006,1,1129,Breeding,CIAT-PM-21-0055,Megathyrsus maximus,Grass,23.0,1.0,1.0,32.6,67.57,140.3,46.4,3.32,14.16,16.3,22.86,49.43,197.07,9
F25-1007,1,1132,Breeding,CIAT-PM-21-6529,Megathyrsus maximus,Grass,23.0,1.0,1.0,30.63,65.85,136.31,46.81,3.44,14.17,15.99,21.81,46.72,165.2,9
F25-1008,1,1135,Breeding,CIAT-PM-21-0047,Megathyrsus maximus,Grass,23.0,1.0,1.0,35.1,72.44,150.62,48.46,3.2,14.43,16.14,24.31,50.93,-90.3,9
F25-1009,1,1138,Breeding,CIAT-PM-21-2195,Megathyrsus maximus,Grass,23.0,1.0,1.0,34.17,71.35,147.06,47.86,3.25,14.26,15.93,23.44,49.68,233.06,9
F25-1010,1,1141,Breeding,CIAT-PM-21-2627,Megathyrsus maximus,Grass,23.0,1.0,1.0,29.85,64.12,131.64,47.9,3.65,14.24,15.97,21.03,43.9,154.9,9
F25-1011,1,1144,Breeding,CIAT-PM-21-0059,Megathyrsus maximus,Grass,23.0,1.0,1.0,33.73,69.68,142.81,49.0,3.44,14.2,16.38,23.4,48.85,282.6,9
F25-1012,1,1147,Breeding,CIAT-PM-21-3522,Megathyrsus maximus,Grass,23.0,1.0,1.0,32.7,66.83,137.5,43.41,3.17,13.74,15.62,21.5,50.63,152.24,9
F25-1013,1,1150,Breeding,CIAT-PM-21-0062,Megathyrsus maximus,Grass,23.0,1.0,1.0,35.01,72.83,148.33,45.37,3.08,13.96,15.8,23.46,51.57,177.35,9
F25-1014,1,1153,Breeding,CIAT-PM-21-0906,Megathyrsus maximus,Grass,23.0,1.0,1.0,32.84,66.83,137.1,48.6,3.55,13.73,15.55,21.35,43.95,142.26,9
F25-2096,3,80,Breeding,CIAT-PM-21-4448,Megathyrsus maximus,Grass,46.0,1.0,1.0,41.32,86.9,183.13,47.46,2.58,13.27,14.66,26.8,59.28,281.71,9
F25-2101,3,83,Breeding,CIAT-CIAT-16071,Megathyrsus maximus,Grass,46.0,1.0,1.0,32.1,78.51,167.22,39.76,2.39,13.28,15.18,25.37,70.27,329.55,9
F25-2104,4,1066,Breeding,CIAT-BR-06-1348,Brachiaria interespecifico,Grass,64.0,1.0,1.0,39.3,89.04,191.18,54.58,2.86,13.46,14.59,27.9,51.5,0.63,7
F25-2105,3,86,Breeding,CIAT-BR-09-4467,Brachiaria interespecifico,Grass,46.0,1.0,1.0,36.65,84.67,182.91,42.32,2.31,12.71,14.34,26.13,67.18,311.09,9
F25-2166,4,1069,Breeding,CIAT-BH-22-0528,Urochloa humidicola,Grass,64.0,1.0,1.0,33.51,87.61,178.31,43.19,2.42,13.67,14.81,26.41,61.79,0.62,7
F25-2170,3,92,Breeding,CIAT-BH-22-0765,Urochloa humidicola,Grass,46.0,1.0,1.0,32.48,73.57,153.56,33.82,2.09,14.04,14.48,22.18,79.16,373.55,5
F25-2171,3,95,Breeding,CIAT-BH-22-2531,Urochloa humidicola,Grass,46.0,1.0,1.0,38.82,92.43,190.98,39.27,2.04,13.17,14.26,27.24,74.64,361.34,6
F25-2629,3,984,Breeding,CIAT-20692,Clitoria ternatea ,Herbaceous_legumes,55.0,1.0,1.0,47.65,88.77,185.06,55.79,3.02,58.42,38.68,71.14,130.1,623.58,15
F25-2630,3,987,Breeding,CIAT-20692,Clitoria ternatea ,Herbaceous_legumes,55.0,1.0,1.0,56.09,96.14,203.65,54.99,2.74,60.88,43.57,86.44,154.47,729.06,15
F25-2631,3,990,Breeding,CIAT-17768,Clitoria ternatea ,Herbaceous_legumes,55.0,1.0,1.0,50.95,86.23,184.94,47.45,2.58,57.95,41.0,77.54,157.16,733.16,15
F25-2632,3,994,Breeding,CIAT-17768,Clitoria ternatea ,Herbaceous_legumes,55.0,1.0,2.0,55.12,91.88,196.8,57.89,2.94,66.87,46.13,90.57,156.14,728.73,13
F25-2633,3,998,Breeding,CIAT-712,Clitoria ternatea ,Herbaceous_legumes,55.0,1.0,3.0,50.29,88.16,186.23,54.3,2.92,75.27,50.08,94.18,171.69,811.72,11
F25-2634,3,999,Breeding,CIAT-712,Clitoria ternatea ,Herbaceous_legumes,55.0,1.0,1.0,50.89,87.57,189.34,52.78,2.8,58.19,40.56,76.79,142.03,656.38,15
F25-2635,3,1002,Breeding,CIAT-9432,Clitoria ternatea ,Herbaceous_legumes,55.0,1.0,1.0,47.99,84.91,179.59,47.5,2.66,55.9,38.5,68.49,142.49,674.31,15
F25-2636,3,1005,Breeding,CIAT-9432,Clitoria ternatea ,Herbaceous_legumes,55.0,1.0,1.0,50.85,85.34,179.45,50.11,2.8,56.99,40.7,72.92,147.01,698.65,15
F25-2637,3,1008,Breeding,CIAT-17462,Leucaena leucocephala ,Shrub_Trees,55.0,1.0,1.0,34.75,68.17,145.94,40.81,2.81,46.05,31.61,47.55,111.92,523.13,15
F25-2638,3,1011,Breeding,,Tithonia diversifolia,Shrub_Trees,55.0,1.0,1.0,21.09,50.44,109.17,46.68,4.36,35.49,23.03,25.37,54.78,253.19,15
F25-2639,3,1017,Breeding,,Gliricidia sepium ,Shrub_Trees,55.0,1.0,2.0,42.55,84.66,190.3,62.2,3.28,55.68,34.61,65.7,105.78,470.59,10
