subset,no,requisitioner,id_lab,id,tax_name,functional_group,batch,run,replication,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
2,1729,Breding ,F25-2086,CIAT-PM-21-0819,Megathyrsus maximus,Grass,50.0,2.0,2.0,41.3,86.08,177.23,53.59,3.02,13.5,15.16,26.88,50.15,459.53
2,1730,Breding ,F25-2086,CIAT-PM-21-0819,Megathyrsus maximus,Grass,50.0,2.0,3.0,39.97,83.87,170.69,52.07,3.05,13.2,14.82,25.3,48.59,477.06
2,1731,Breding ,F25-2087,CIAT-CIAT-16021,Megathyrsus maximus,Grass,50.0,2.0,1.0,34.66,78.56,155.6,43.97,2.83,15.1,16.44,25.58,58.18,622.57
2,1732,Breding ,F25-2087,CIAT-CIAT-16021,Megathyrsus maximus,Grass,50.0,2.0,2.0,36.88,81.66,160.26,35.74,2.23,14.1,16.07,25.76,72.07,1440.32
2,1733,Breding ,F25-2087,CIAT-CIAT-16021,Megathyrsus maximus,Grass,50.0,2.0,3.0,35.11,80.77,155.98,47.32,3.03,14.5,16.2,25.26,53.39,513.3
2,1734,Breding ,F25-2088,CIAT-PM-21-6640,Megathyrsus maximus,Grass,50.0,2.0,1.0,35.11,75.9,148.73,46.82,3.15,13.9,15.62,23.23,49.62,622.85
2,1735,Breding ,F25-2088,CIAT-PM-21-6640,Megathyrsus maximus,Grass,50.0,2.0,2.0,35.11,81.21,157.04,55.2,3.51,13.3,15.46,24.27,43.98,394.93
2,1736,Breding ,F25-2088,CIAT-PM-21-6640,Megathyrsus maximus,Grass,50.0,2.0,3.0,34.22,78.12,156.14,50.65,3.24,13.9,15.7,24.51,48.39,493.18
2,1737,Breding ,F25-2089,CIAT-PM-21-0065,Megathyrsus maximus,Grass,50.0,2.0,1.0,40.86,85.64,165.52,46.77,2.83,14.2,15.66,25.93,55.43,747.7
2,1738,Breding ,F25-2089,CIAT-PM-21-0065,Megathyrsus maximus,Grass,50.0,2.0,2.0,42.19,84.75,157.82,51.07,3.24,13.9,15.51,24.47,47.92,535.12
2,1739,Breding ,F25-2089,CIAT-PM-21-0065,Megathyrsus maximus,Grass,50.0,2.0,3.0,41.3,84.31,159.65,50.5,3.16,13.8,15.48,24.72,48.95,550.96
2,1740,Breding ,F25-2090,CIAT-PM-21-6629,Megathyrsus maximus,Grass,50.0,2.0,1.0,30.68,73.69,139.09,44.45,3.2,13.8,15.38,21.39,48.11,473.86
2,1741,Breding ,F25-2090,CIAT-PM-21-6629,Megathyrsus maximus,Grass,50.0,2.0,2.0,35.55,78.12,155.13,43.64,2.81,13.3,15.1,23.42,53.67,517.36
2,1742,Breding ,F25-2090,CIAT-PM-21-6629,Megathyrsus maximus,Grass,50.0,2.0,3.0,33.78,77.67,151.1,45.63,3.02,13.5,15.2,22.96,50.32,462.47
2,1743,Breding ,F25-2091,CIAT-PM-21-6641,Megathyrsus maximus,Grass,50.0,2.0,1.0,39.97,79.89,152.66,50.43,3.3,14.3,15.75,24.04,47.68,587.85
2,1744,Breding ,F25-2091,CIAT-PM-21-6641,Megathyrsus maximus,Grass,50.0,2.0,2.0,40.86,80.33,157.56,52.49,3.33,14.3,15.87,25.01,47.64,516.7
2,1745,Breding ,F25-2091,CIAT-PM-21-6641,Megathyrsus maximus,Grass,50.0,2.0,3.0,40.86,81.21,158.83,47.33,2.98,14.1,15.84,25.16,53.15,779.87
2,1746,Breding ,F25-2092,CIAT-CIAT-16025,Megathyrsus maximus,Grass,50.0,2.0,1.0,32.45,74.13,145.99,48.72,3.34,13.7,15.22,22.22,45.6,444.4
2,1747,Breding ,F25-2092,CIAT-CIAT-16025,Megathyrsus maximus,Grass,50.0,2.0,2.0,33.78,72.81,147.37,35.19,2.39,13.1,14.92,21.99,62.5,1907.68
2,1748,Breding ,F25-2092,CIAT-CIAT-16025,Megathyrsus maximus,Grass,50.0,2.0,3.0,31.57,71.92,142.07,49.77,3.5,12.9,14.86,21.12,42.43,397.29
2,1751,Breding ,F25-2093,CIAT-PM-21-0070,Megathyrsus maximus,Grass,50.0,2.0,1.0,37.76,85.64,165.22,54.6,3.3,13.2,15.27,25.23,46.2,409.62
2,1752,Breding ,F25-2093,CIAT-PM-21-0070,Megathyrsus maximus,Grass,50.0,2.0,2.0,41.74,94.05,180.68,60.63,3.36,14.0,15.72,28.41,46.86,360.99
2,1753,Breding ,F25-2093,CIAT-PM-21-0070,Megathyrsus maximus,Grass,50.0,2.0,3.0,36.88,85.2,163.44,60.83,3.72,13.4,15.33,25.05,41.19,316.57
2,1754,Breding ,F25-2094,CIAT-PM-21-4926,Megathyrsus maximus,Grass,50.0,2.0,1.0,28.91,72.36,142.59,46.62,3.27,13.5,15.48,22.08,47.35,444.56
2,1755,Breding ,F25-2094,CIAT-PM-21-4926,Megathyrsus maximus,Grass,50.0,2.0,2.0,28.47,73.25,150.1,51.0,3.4,14.1,15.75,23.64,46.35,368.07
