40n_no,40n_set_ciat,40n_sample_id,40n_gene_bank_breeding_program_id,40n_genus,40n_species,40n_tax_name,40n_family,40n_order,40n_functional_group,40n_ot,40n_dm_percentage,40n_av_dm_105,40n_ash_dm,40n_av_ash_percentage,40n_om_percentage,40n_om_percentage,40n_pc_percentage_dm,40n_av_pc_percentage,40n_adf_percentage_dm,40n_av_adf_percentage_dm,40n_ndf_percentage_dm,40n_av_ndf_percentage_dm
No,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,OT,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
46,23,F25 1667,CIAT-9578,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,95.10146956,,7.265691564,,92.73430844,,14.70468713,,51.07227343,,63.60597027,
47,23,F25 1668,CIAT-9740,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,95.26189524,95.38162242,8.258246254,8.269140098,91.74175375,91.7308599,17.1158244,17.1158244,37.59678561,37.57409195,53.17945358,53.42921321
48,23,F25 1668,CIAT-9740,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,95.5013496,,8.280033942,,91.71996606,,17.1158244,,37.55139829,,53.67897284,
49,23,F25 1669,CIAT-9934,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,OT-008,93.82,93.805,7.899365705,7.856724055,92.10063429,92.14327594,18.35356516,18.35356516,23.44788858,23.99150083,60.95531778,61.13696239
50,23,F25 1669,CIAT-9934,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,OT-008,93.79,,7.814082405,,92.1859176,,18.35356516,,24.53511309,,61.318607,
51,23,F25 2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,OT-013,95.45,95.49,11.22,11.265,88.78,88.735,11.97,12.025,30.8,31.225,71.78,72.065
52,23,F25 2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,OT-013,95.53,,11.31,,88.69,,12.08,,31.65,,72.35,
53,23,F25 2101,CIAT-CIAT_16071,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,OT-013,92.96,93.03,13.6,13.63,86.4,86.37,16.88,16.955,28.86,28.87,66.57,66.515
54,23,F25 2101,CIAT-CIAT_16071,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,OT-013,93.1,,13.66,,86.34,,17.03,,28.88,,66.46,
55,23,F25 2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-013,92.32,92.305,14.58,14.625,85.42,85.375,13.61,13.655,24.69,24.32,59.75,58.96
56,23,F25 2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-013,92.29,,14.67,,85.33,,13.7,,23.95,,58.17,
57,23,F25 2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis, Poaceae,Poales,grasses,OT-016,92.11,92.175,9.45,9.295,90.55,90.705,5.75,5.74,39.56,40.04,77.29,77.785
58,23,F25 2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis, Poaceae,Poales,grasses,OT-016,92.24,,9.14,,90.86,,5.73,,40.52,,78.28,
59,23,F25 2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-020,97.37,97.485,10.96,10.745,89.04,89.255,9.8,9.79,37.41,36.16,73.32,72.255
60,23,F25 2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-020,97.6,,10.53,,89.47,,9.78,,34.91,,71.19,
61,23,F25 2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-020,96.47,96.45,12.31,12.34,87.69,87.66,6.21,6.22,32.78,33.045,70.94,71.22
62,23,F25 2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-020,96.43,,12.37,,87.63,,6.23,,33.31,,71.5,
63,23,F25 0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,0,0,0,OT-002,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
64,23,F25 0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,0,0,0,OT-002,91.32173565,,10.12699803,,89.87300197,,0,,0,,0,
65,23,F25 0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,OT-001,93.64063594,93.73093584,11.33,11.415,88.67058195,88.58614349,0,13.1,0,37.8,0,76.1
66,23,F25 0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,OT-001,93.82123575,,11.5,,88.50170503,,0,,0,,0,
67,24,F25 1667,CIAT-9578,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,95.05049495,95.07598225,7.22507715,7.245384357,92.77492285,92.75461564,14.70468713,14.70468713,49.077856,50.07506471,63.24887269,63.42742148
68,24,F25 1667,CIAT-9578,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,95.10146956,,7.265691564,,92.73430844,,14.70468713,,51.07227343,,63.60597027,
69,24,F25 1670,CIAT-13158,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,OT-008,93.45196441,93.51726569,7.29058379,7.322286218,92.70941621,92.67771378,16.80819025,16.5277926,37.46459205,38.16590332,49.74924242,50.2888795
70,24,F25 1670,CIAT-13158,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,OT-008,93.58256697,,7.353988645,,92.64601135,,16.24739495,,38.86721458,,50.82851659,
71,24,F25 1671,CIAT-13329,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,OT-008,94.08295852,94.17205315,11.51570699,11.52274237,88.48429301,88.47725763,20.27549341,20.27549341,26.2439701,25.92967063,52.02906088,52.31473756
72,24,F25 1671,CIAT-13329,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,OT-008,94.26114777,,11.52977775,,88.47022225,,20.27549341,,25.61537115,,52.60041423,
