40n_no,40n_set_ciat,40n_sample_id,40n_gene_bank_breeding_program_id,40n_genus,40n_species,40n_tax_name,40n_family,40n_order,40n_functional_group,40n_ot,40n_dm_percentage,40n_av_dm_105,40n_ash_dm,40n_av_ash_percentage,40n_om_percentage,40n_om_percentage,40n_pc_percentage_dm,40n_av_pc_percentage,40n_adf_percentage_dm,40n_av_adf_percentage_dm,40n_ndf_percentage_dm,40n_av_ndf_percentage_dm
No,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,OT,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
223,26,F25 2634,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,91.31086891,91.26306988,7.165380339,7.147163922,92.83461966,92.85283608,20.0349409,20.06408722,34.4972745,33.6978823,51.88354333,50.39099649
224,26,F25 2634,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,91.21527084,,7.128947504,,92.8710525,,20.09323354,,32.8984901,,48.89844964,
225,26,F25 2635,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,96.38,96.33018598,8.387817295,8.439297566,91.61218271,91.56070243,24.24979186,24.27831451,34.91776872,35.28468203,56.83156237,58.05173019
226,26,F25 2635,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,96.28037196,,8.490777837,,91.50922216,,24.30683715,,35.65159534,,59.271898,
227,26,F25 2636,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,94.35282359,94.46668277,6.85613322,7.005689889,93.14386678,92.99431011,19.63905813,19.50407785,35.76739675,34.980106,49.88292119,50.18459635
228,26,F25 2636,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,94.58054195,,7.155246558,,92.84475344,,19.36909757,,34.19281524,,50.48627152,
229,26,F25 2637,CIAT 17462,Leucaena ,leucocephala ,Leucaena leucocephala ,Leguminosae,Fabales,Arbustiva ,OT-033,92.6114777,92.62610682,6.940499259,6.876076172,93.05950074,93.12392383,29.88775894,29.8654513,38.6732834,39.13359514,58.55672921,57.51440363
230,26,F25 2637,CIAT 17462,Leucaena ,leucocephala ,Leucaena leucocephala ,Leguminosae,Fabales,Arbustiva ,OT-033,92.64073593,,6.811653086,,93.18834691,,29.84314365,,39.59390688,,56.47207805,
231,26,F25 2638,N/A,Tithonia ,diversifolia ,Tithonia diversifolia,Compositae,Asterales,Arbustiva ,OT-033,92.22388806,92.20889555,17.6900981,17.70635738,82.3099019,82.29364262,16.50953845,16.52959249,28.33401517,28.36022494,42.18083602,42.24462621
232,26,F25 2638,N/A,Tithonia ,diversifolia ,Tithonia diversifolia,Compositae,Asterales,Arbustiva ,OT-033,92.19390305,,17.72261666,,82.27738334,,16.54964653,,28.38643471,,42.3084164,
233,26,F25 2639,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,OT-033,88.90665601,88.948328,10.82001841,10.81202193,89.17998159,89.18797807,22.53378675,22.5254399,19.09963007,19.56643945,39.34867028,40.75942634
234,26,F25 2639,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,OT-033,88.99,,10.80402546,,89.19597454,,22.51709305,,20.03324883,,42.17018241,
235,26,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,0,0,0,0,89,89,9.5,9.5,89.53,89.53,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
236,26,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,0,0,0,0,89,,9.5,,89.53,,0,,0,,0,
237,26,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,0,0,0,0,89,89,9.1,9.1,89.58,89.58,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
238,26,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,0,0,0,0,89,,9.1,,89.58,,0,,0,,0,
239,26,F24 3568,ABC-12115-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),92.4,92.47574485,9.10509022,8.914978922,90.89490978,91.08502108,15.32414022,15.32414022,35.06593749,34.71126936,54.65835442,55.54869239
240,26,F24 3568,ABC-12115-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),92.5514897,,8.724867624,,91.27513238,,15.32414022,,34.35660123,,56.43903036,
241,26,F24 3569,ABC-12140-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),91.55,91.57,11.27006662,11.21546358,88.72993338,88.78453642,19.39058885,19.39058885,28.380861,28.23452539,53.46449684,54.15129619
242,26,F24 3569,ABC-12140-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),91.59,,11.16086054,,88.83913946,,19.39058885,,28.08818978,,54.83809555,
243,26,F24 3570,ABC-12184-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),92.14078592,92.53645314,10.22197607,10.36679888,89.77802393,89.63320112,15.38042263,15.38042263,25.75981408,25.67043224,46.83641859,48.48595278
244,26,F24 3570,ABC-12184-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),92.93212036,,10.51162169,,89.48837831,,15.38042263,,25.58105041,,50.13548697,
245,26,F24 3571,ABC-12202-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),92.5814837,92.62647471,10.68595175,10.68055481,89.31404825,89.31944519,18.21514073,18.21514073,24.87410292,24.08270746,47.97015418,48.05879332
246,26,F24 3571,ABC-12202-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),92.67146571,,10.67515786,,89.32484214,,18.21514073,,23.29131201,,48.14743247,
247,26,F24 3572,ABC-12311-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),91.67333067,91.76207279,15.02198652,15.03513625,84.97801348,84.96486375,16.63289803,16.63289803,35.04148121,34.79194319,52.67527835,53.68168372
248,26,F24 3572,ABC-12311-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),91.85081492,,15.04828598,,84.95171402,,16.63289803,,34.54240517,,54.6880891,
249,26,F24 3573,ABC-12381-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),92.2523243,92.24616215,13.23235332,13.21265705,86.76764668,86.78734295,17.10536308,17.10536308,33.29359135,33.25021625,56.60893353,56.8060671
250,26,F24 3573,ABC-12381-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),92.24,,13.19296079,,86.80703921,,17.10536308,,33.20684116,,57.00320067,
251,26,F24 3574,ABC-12374-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),91.27,91.94036946,8.407623381,8.793284266,91.59237662,91.20671573,17.41634934,17.41634934,30.45973111,30.51862479,56.96825623,56.26443289
252,26,F24 3574,ABC-12374-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),92.61073893,,9.178945151,,90.82105485,,17.41634934,,30.57751847,,55.56060956,
253,26,F24 3575,ABC-12457-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),93.63,93.69531197,11.84691077,11.90501352,88.15308923,88.09498648,16.95910506,16.95910506,28.31125958,27.68868071,57.25213931,55.42977173
254,26,F24 3575,ABC-12457-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),93.76062394,,11.96311627,,88.03688373,,16.95910506,,27.06610183,,53.60740415,
255,26,F24 3576,ABC-12462-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),92.4615077,92.55185752,9.484676576,9.446397189,90.51532342,90.55360281,19.36295011,19.36295011,27.16457821,26.71292012,59.10634175,57.4468751
256,26,F24 3576,ABC-12462-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),92.64220734,,9.408117802,,90.5918822,,19.36295011,,26.26126203,,55.78740844,
257,26,F24 3577,ABC-12485-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),94.06118776,93.95090185,13.11061017,13.34540708,86.88938983,86.65459292,14.59175284,14.59175284,30.83407709,30.77609226,56.53726026,55.78517656
258,26,F24 3577,ABC-12485-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),93.84061594,,13.580204,,86.419796,,14.59175284,,30.71810744,,55.03309286,
259,26,F24 3578,ABC-12615-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),89.78306508,89.75704599,10.41388533,10.3982165,89.58611467,89.6017835,14.06737697,14.06737697,35.9821802,35.31520225,54.7603639,53.46225478
260,26,F24 3578,ABC-12615-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),89.7310269,,10.38254768,,89.61745232,,14.06737697,,34.6482243,,52.16414567,
261,26,F24 3579,ABC-12686-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),90.94,90.95545145,10.2357801,10.24626166,89.7642199,89.75373834,16.00449418,16.00449418,33.80115551,34.51631143,47.42377574,48.94313966
262,26,F24 3579,ABC-12686-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),90.97090291,,10.25674321,,89.74325679,,16.00449418,,35.23146734,,50.46250358,
263,26,F24 3580,ABC-12710-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),91.68,91.725,10.74952303,11.20741346,89.25047697,88.79258654,11.49501692,11.49501692,38.95588039,38.43009228,58.26437237,58.37526429
264,26,F24 3580,ABC-12710-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),91.77,,11.6653039,,88.3346961,,11.49501692,,37.90430417,,58.4861562,
265,26,F24 3581,ABC-12758-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),91.36,91.37586083,9.466395087,9.520156742,90.53360491,90.47984326,14.95347019,14.95347019,33.00440393,34.10889047,58.26469765,56.96677962
266,26,F24 3581,ABC-12758-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),91.39172166,,9.573918397,,90.4260816,,14.95347019,,35.21337701,,55.66886158,
267,26,F25 2134,Hohenheimer Heustandard IAG 2025/1 S1,Hohenheimer,Heustandard,Hohenheimer Heustandard, Heustandard,Green meal ,0,OT-017,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
268,26,F25 2134,Hohenheimer Heustandard IAG 2025/1 S1,Hohenheimer,Heustandard,Hohenheimer Heustandard, Heustandard,Green meal ,0,OT-017,91.32173565,,10.12699803,,89.87300197,,0,,0,,0,
