31_no,31_date,31_requisitioner,31_gene_bank_id,31_tax_name,31_family,31_order,31_genus2,31_species3,31_functional_group,31_ciat_id,31_set_ciat,31_batch,31_run,31_replication,31_syrangue_no,31_sample_weight_g,31_dm_incubated_mg,31_digested_feed_mg,31_time_0h,31_gas_0h_ml,31_time_8h,31_gas_8h_ml,31_ch4_8h_percentage,31_v8_push_back_ml,31_time_24h,31_gas_24h_ml,31_ch4_24h_percentage,31_remarks_1,31_gp_8h_ml,31_gp_8_24h_ml,31_net_gas_8h_ml,31_net_gas_8_24h_ml2,31_net_gas_24h_ml,31_ch4_8h_ml,31_ch4_8_24h_ml,31_ch4_24h_ml,31_gas_ml_g_dm_incubated_24h,31_percentage_dmd_truly_digestibility,31_part_fact,31_ch4_ml_in_gas_8h,31_ch4_ml_in_gas_24h,31_ch4_ml_g_dm_incubated_24h,31_ch4_ml_g_dmd_24h,31_ch4_ml_g_ndf_digested_in_24h,31_ch4_g_g_dm_incubated_24h,31_ch4_g_g_dmd_24h,31_column8
No,Date,Requisitioner,Gene Bank ID,Tax Name,Family,Order,Genus2,Species3,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Sample weight, g","DM Incubated, mg","Digested feed, mg",Time 0h,"Gas 0h, ml",Time 8h,"Gas 8h, ml",CH4 8h %,"V8 Push back, ml",Time 24h,"Gas 24h, ml","CH4 24h, %",Remarks,"GP 8h, ml","GP 8-24h, ml","Net gas 8h, ml","Net gas 8-24h, ml2","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Column8
1147,45979,Genetic bank,ABC-12311-1,Fabales,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F24-3572,26,55,2,3,76,0.5005,459.1774123,263.0774123,0.36875,40.5,0.711805556,83.5,12.1,40.5,0.384027778,90,15.2,,43,49.5,40.71373255,46.5131022,87.22683474,35.51330021,7.069991534,42.58329174,189.9632526,57.29319545,3.016014659,87.22683474,48.8190267,92.73821099,161.8660127,743.2521682,51.47131157,89.83843747,
1148,45979,Genetic bank,ABC-12381-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3573,26,55,2,1,77,0.5,461.2308108,254.2308108,0.36875,41,0.7125,88.5,13.2,40.5,0.384722222,91,16.3,,47.5,50.5,45.21373255,47.5131022,92.72683474,41.92526306,7.744635658,49.66989872,201.042152,55.12008409,2.741717772,92.72683474,53.56583006,107.6898975,195.373246,901.1216063,59.76975624,108.4355317,
1149,45979,Genetic bank,ABC-12381-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3573,26,55,2,2,78,0.5001,461.2308108,262.0308108,0.369444444,41,0.713888889,91,12.9,40.5,0.384722222,92.5,16.3,,50,52,47.71373255,49.0131022,96.72683474,46.15198323,7.989135658,54.14111889,209.7145995,56.81121136,2.708977415,96.72683474,55.97321471,117.384003,206.6211936,953.0006066,65.15015255,114.6783372,
1150,45979,Genetic bank,ABC-12381-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3573,26,55,2,3,79,0.5002,461.2308108,265.1308108,0.369444444,40,0.713194444,90,12.7,40,0.385416667,90.5,16.3,,50,50.5,47.71373255,47.5131022,95.22683474,45.43627724,7.744635658,53.1809129,206.4624317,57.48332604,2.784202704,95.22683474,55.84656157,115.302169,200.583677,925.1537196,63.99469866,111.327411,
1151,45979,Genetic bank,ABC-12374-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3574,26,55,2,1,80,0.5002,459.8857281,287.5857281,0.369444444,41,0.713194444,90.5,13.1,41,0.386111111,93,16.6,,49.5,52,47.21373255,49.0131022,96.22683474,45.43228039,8.136174965,53.56845536,209.2407502,62.5341711,2.988622964,96.22683474,55.66893632,116.4821,186.2695194,856.6269356,64.64958076,103.3828059,
1152,45979,Genetic bank,ABC-12374-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3574,26,55,2,2,81,0.5004,459.8857281,224.3857281,0.370138889,40.5,0.713888889,91,12.8,40.5,0.386805556,93.5,16.2,,50.5,53,48.21373255,50.0131022,98.22683474,47.35882339,8.102122556,55.46094595,213.5896566,48.79162678,2.284362808,98.22683474,56.46211251,120.5972322,247.1678855,1136.68983,66.93355035,137.1824527,
1153,45979,Genetic bank,ABC-12374-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3574,26,55,2,3,82,0.5002,459.8857281,249.8857281,0.370138889,41.5,0.715277778,91,12.6,40,0.3875,92.5,16.4,,49.5,52.5,47.21373255,49.5131022,96.72683474,45.66834906,8.120148761,53.78849782,210.3279768,54.33648248,2.583416781,96.72683474,55.60866119,116.960572,215.2523805,989.9149772,64.91514101,119.4687953,
1154,45979,Genetic bank,ABC-12457-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3575,26,55,2,1,83,0.5001,468.5702552,280.7702552,0.370833333,41,0.715277778,87,13.3,41,0.388194444,95,16.1,,46,54,43.71373255,51.0131022,94.72683474,41.40863519,8.213109454,49.62174464,202.1614341,59.92063134,2.963999124,94.72683474,52.38404173,105.90033,176.7343361,828.1245297,58.77651533,98.09061423,
1155,45979,Genetic bank,ABC-12457-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3575,26,55,2,2,84,0.5,468.5702552,235.2702552,0.370833333,41,0.715972222,87.5,12.7,40.5,0.388888889,92.5,16,,46.5,52,44.21373255,49.0131022,93.22683474,41.21906338,7.842096352,49.06115973,198.9602065,50.21024117,2.52363234,93.22683474,52.62557703,104.7039567,208.5310771,977.1146003,58.11250748,115.7383556,
1156,45979,Genetic bank,ABC-12457-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3575,26,55,2,3,85,0.5004,468.5702552,300.5702552,0.370833333,41,0.715972222,87.5,12.8,40.5,0.388888889,94.5,16.1,,46.5,54,44.21373255,51.0131022,95.22683474,42.10333803,8.213109454,50.31644748,203.2285099,64.14625168,3.156360872,95.22683474,52.83851723,107.3829312,167.403283,784.4019902,59.59938466,92.91171831,
1157,45979,Genetic bank,ABC-12462-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3576,26,55,2,1,86,0.5004,463.129495,280.429495,0.370833333,41,0.716666667,88.5,12.8,40.5,0.389583333,91,16.4,,47.5,50.5,45.21373255,47.5131022,92.72683474,41.92526306,7.792148761,49.71741182,200.2179428,60.55099017,3.024253937,92.72683474,53.61706992,107.3509944,177.2902377,821.0833824,59.58165917,98.39914921,
1158,45979,Genetic bank,ABC-12462-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3576,26,55,2,2,87,0.5,463.129495,280.029495,0.371527778,41.5,0.716666667,89,12.4,41,0.390277778,91,16.5,,47.5,50,45.21373255,47.0131022,92.22683474,41.6991944,7.757161863,49.45635626,199.1383312,60.46462124,3.036312542,92.22683474,53.6246922,106.7873171,176.6112397,817.9387424,59.26880854,98.02229358,
1159,45979,Genetic bank,ABC-12462-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3576,26,55,2,3,88,0.5001,463.129495,263.629495,0.371527778,41,0.716666667,89,12.7,41,0.389583333,92,16.5,,48,51,45.71373255,48.0131022,93.72683474,42.84603456,7.922161863,50.76819642,202.3771661,56.92349502,2.812742965,93.72683474,54.16612709,109.619873,192.5740381,891.8671703,60.84092605,106.8819229,
1160,45979,Genetic bank,ABC-12485-1,Fabales,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3577,26,55,2,1,89,0.5003,470.036362,201.136362,0.371527778,41.5,0.717361111,76.5,13.2,41,0.391666667,81.5,14.8,,35,40.5,32.71373255,37.5131022,70.22683474,22.97381889,5.551939125,28.52575802,149.4072383,42.79166002,2.864095508,70.22683474,40.61945569,60.68840696,141.8229789,666.6195705,33.68311583,78.71420698,
1161,45979,Genetic bank,ABC-12485-1,Fabales,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3577,26,55,2,2,90,0.5004,470.036362,201.736362,0.372222222,41.5,0.717361111,77,12.6,40,0.391666667,80.5,14.5,,35.5,40.5,33.21373255,37.5131022,70.72683474,23.49102173,5.439399819,28.93042155,150.4709858,42.91930971,2.852331264,70.72683474,40.9044483,61.54932659,143.4070748,674.0653972,34.16094112,79.59340761,
1162,45979,Genetic bank,ABC-12485-1,Fabales,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3577,26,55,2,3,91,0.5004,470.036362,235.436362,0.372222222,40.5,0.718055556,75.5,12.7,40,0.392361111,81.5,14.6,,35,41.5,32.71373255,38.5131022,71.22683474,23.30095622,5.622912921,28.92386914,151.5347333,50.08896779,3.30544468,71.22683474,40.60810682,61.53538637,122.852175,577.449894,34.15320406,68.1850826,
1163,45979,Genetic bank,ABC-12615-1,Fabales,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F24-3578,26,55,2,1,92,0.5,448.7852299,236.5852299,0.372916667,41,0.718055556,75.5,13.2,40.5,0.393055556,89,14.7,,34.5,48.5,32.21373255,45.5131022,77.72683474,25.03871466,6.690426023,31.72914068,173.1938343,52.71680398,3.043803735,77.72683474,40.82134669,70.70005555,134.1129397,601.879065,39.23975401,74.43500184,
1164,45979,Genetic bank,ABC-12615-1,Fabales,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F24-3578,26,55,2,2,93,0.5003,448.7852299,265.2852299,0.372916667,41,0.71875,80,12.2,40,0.393055556,88,14.7,embolo duro 8H,39,48,36.71373255,45.0131022,81.72683474,30.00497153,6.616926023,36.62189755,182.1067836,59.1118451,3.245999075,81.72683474,44.81012591,81.60227901,138.0472541,619.5356868,45.29067666,76.61861439,
1165,45979,Genetic bank,ABC-12615-1,Fabales,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F24-3578,26,55,2,3,94,0.5003,448.7852299,266.5852299,0.372916667,41,0.71875,79.5,12.3,40,0.39375,90,14.7,,38.5,50,36.21373255,47.0131022,83.22683474,30.13954334,6.910926023,37.05046936,185.4491396,59.40151595,3.203116288,83.22683474,44.51745579,82.55723873,138.9817034,623.7293573,45.82069582,77.13724993,
1166,45979,Genetic bank,ABC-12686-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3579,26,55,2,1,95,0.5004,455.1410791,228.3410791,0.373611111,41,0.719444444,79,12.2,40.5,0.394444444,90.5,15.2,,38,50,35.71373255,47.0131022,82.72683474,29.54484051,7.145991534,36.69083204,181.7608617,50.16929686,2.760181503,82.72683474,44.35179002,80.61419574,160.6843245,731.3403683,44.74227335,89.18258008,
1167,45979,Genetic bank,ABC-12686-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3579,26,55,2,2,96,0.5004,455.1410791,244.3410791,0.373611111,41,0.719444444,80.5,11.6,40,0.394444444,94,15.2,,39.5,54,37.21373255,51.0131022,88.22683474,32.83249832,7.753991534,40.58648985,193.845027,53.68469038,2.769464413,88.22683474,46.00243222,89.17342713,166.1058795,756.0160926,49.49279485,92.19163695,
1168,45979,Genetic bank,ABC-12686-1,Fabales,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3579,26,55,2,3,97,0.5004,455.1410791,257.9410791,0.374305556,41.5,0.720138889,80.5,11.6,40.5,0.395138889,95.5,14.9,,39,55,36.71373255,52.0131022,88.72683474,32.57493281,7.749952228,40.32488503,194.9435874,56.67277487,2.907137168,88.72683474,45.44835297,88.59864971,156.3337068,711.5389202,49.17378344,86.76791202,
1169,45979,Genetic bank,ABC-12710-1,Fabales,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3580,26,55,2,1,98,0.5003,458.900175,233.200175,0.374305556,41.5,0.720138889,79.5,12.7,40.5,0.395833333,83,15,,38,42.5,35.71373255,39.5131022,75.22683474,26.86631056,5.92696533,32.79327589,163.9285379,50.81719025,3.099959952,75.22683474,43.59252387,71.46058703,140.6228614,645.3185572,39.66186214,78.04812101,
1170,45979,Genetic bank,ABC-12710-1,Fabales,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3580,26,55,2,2,99,0.5003,458.900175,236.200175,0.374305556,40.5,0.720833333,79.5,12.7,40,0.398611111,83.5,14.8,,39,43.5,36.71373255,40.5131022,77.22683474,28.35285356,5.995939125,34.34879269,168.2867843,51.4709272,3.058524615,77.22683474,44.47779428,74.8502497,145.4223846,667.3435774,41.54318357,80.7119394,
1171,45979,Genetic bank,ABC-12710-1,Fabales,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3580,26,55,2,3,100,0.5004,458.900175,212.400175,0.374305556,40,0.722222222,79.5,12.7,40,0.396527778,82.5,14.8,,39.5,42.5,37.21373255,39.5131022,76.72683474,28.55291907,5.847939125,34.4008582,167.1972227,46.28461408,2.768264528,76.72683474,44.83549766,74.96370686,161.9624758,743.2460848,41.60615426,89.89197618,
1172,45979,Genetic bank,ABC-12758-1,Fabales,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F24-3581,26,55,2,1,101,0.5003,457.1534317,224.6534317,0.375,41.5,0.722222222,77.5,12.1,40.5,0.397222222,87.5,11.5,,36,47,33.71373255,44.0131022,77.72683474,26.20461718,5.061506753,31.26612394,170.023518,49.14180145,2.890294355,77.72683474,40.22564927,68.39306405,139.1749224,636.242934,37.95933382,77.24448982,
1173,45979,Genetic bank,ABC-12758-1,Fabales,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F24-3581,26,55,2,2,102,0.5002,457.1534317,153.0534317,0.375,40,0.722916667,77,11.5,40,0.397916667,82,11.5,,37,42,34.71373255,39.0131022,73.72683474,25.59333623,4.486506753,30.07984298,161.2737204,33.47966374,2.075952837,73.72683474,40.79904296,65.79813449,196.5316468,898.4511677,36.51910302,109.0784642,
1174,45979,Genetic bank,ABC-12758-1,Fabales,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F24-3581,26,55,2,3,103,0.5,457.1534317,216.3534317,0.375694444,40,0.722916667,78,11.5,40,0.397916667,82,11.9,,38,42,35.71373255,39.0131022,74.72683474,26.6877419,4.642559162,31.33030106,163.4611698,47.32621844,2.89525754,74.72683474,41.92643937,68.53344827,144.8107424,662.0072783,38.03724949,80.37246739,
1175,45979,LMF,IAG 2025/1 S1,Green meal ,,,,,,F25-2134,26,55,2,1,104,0.2502,228.5152454,114.9152454,0.375694444,40.5,0.723611111,71,14.2,40,0.398611111,60.5,16.7,,30.5,20.5,28.21373255,17.5131022,45.72683474,12.90124686,2.924688067,15.82593492,200.1040878,50.28778067,2.513081128,45.72683474,34.60973193,69.25548838,137.7183233,314.7073645,38.43799424,76.43605211,
1176,45979,LMF,IAG 2025/1 S1,Green meal ,,,,,,F25-2134,26,55,2,2,105,0.2502,228.5152454,121.8152454,0.375694444,40,0.724305556,72,23.6,40,0.399305556,60,17.4,,32,20,29.71373255,17.0131022,46.72683474,13.8842867,2.960279782,16.84456649,204.4801635,53.30727287,2.606965485,46.72683474,36.04902103,73.71309715,138.2796252,315.990025,40.91204423,76.74758439,
1177,45979,LMF,IAG 2025/1 S1,Green meal ,,,,,,F25-2134,26,55,2,3,106,0.2503,228.5152454,108.8152454,0.376388889,40,0.724305556,72,13.8,40,0.4,60.5,17.6,,32,20.5,29.71373255,17.5131022,47.22683474,0,3.082305987,3.082305987,206.6682013,47.61837453,2.304097787,0,6.526598709,13.48840416,28.32604912,64.72934067,7.486297672,15.72144733,
1178,45979,,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,26,55,2,1,107,-,,,0.376388889,40.5,0.725,42.5,,40,0.400694444,43,,,2,3,,,,,,,,,,,,,,,,,
1179,45979,,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,26,55,2,2,108,-,,,0.376388889,40,0.725694444,42.5,,40,0.401388889,43.5,,,2.5,3.5,,,,,,,,,,,,,,,,,
1180,,,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,26,56,3,1,,-,,,0.334027778,39.5,0.669444444,42.5,,40,0.348611111,44,,,3,4,,,,,,,,,,,,,,,,,
1181,,,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,26,56,3,2,,-,,,0.334027778,39.5,0.669444444,43,,39.5,0.349305556,44.5,,,3.5,5,,,,,,,,,,,,,,,,,
1182,,LMF,Sample 8,Cynodon nlemfuensis ,Cynodon,nlemfuensis,Poaceae,Poales,grasses,F25-0008,26,56,3,1,,0.5,468.6546792,226.7546792,0.334722222,41,0.670138889,70,12.8,40.5,0.350694444,86.5,14.4,,29,46,26.04997748,42.34934713,68.39932461,17.81800866,6.098305987,23.91631464,145.9482379,48.38417054,3.315159623,68.39932461,34.96571754,51.03184862,105.472199,494.3003957,28.32355889,58.53889521,
1183,,LMF,Sample 8,Cynodon nlemfuensis ,Cynodon,nlemfuensis,Poaceae,Poales,grasses,F25-0008,26,56,3,2,,0.5005,468.6546792,201.7546792,0.335416667,41.5,0.670138889,69.5,14.5,41,0.350694444,87,15.8,,28,46,25.04997748,42.34934713,67.39932461,16.88351564,6.691196847,23.57471248,143.8144707,43.04975244,2.993422863,67.39932461,34.97766872,50.30294912,116.8484051,547.615518,27.91900705,64.85288641,
1184,,LMF,Sample 8,Cynodon nlemfuensis ,Cynodon,nlemfuensis,Poaceae,Poales,grasses,F25-0008,26,56,3,3,,0.5001,468.6546792,210.1546792,0.336111111,41.5,0.670833333,61.5,14,40,0.352083333,89,15.9,,20,49,17.04997748,45.34934713,62.39932461,10.63907079,7.210546194,17.84961699,133.1456345,44.84211692,3.367899902,62.39932461,28.60546504,38.08692792,84.9356153,398.0547354,21.13890394,47.14073596,
1185,,Benchmark,CIAT_6294_Marandu_Exc,Urochloa interespecifico,Urochloa,interespecifico,Poaceae,Poales,grasses,F252624,26,56,3,1,,0.5004,481.2857007,280.8857007,0.336111111,41,0.671527778,90.5,13.7,41,0.352777778,98,16.1,,49.5,57,46.54997748,53.34934713,99.89932461,46.50311311,8.589244888,55.092358,207.5676141,58.36153044,2.811687684,99.89932461,55.14787834,114.4691353,196.1379944,943.9841208,63.53235053,108.8599803,
1186,,Benchmark,CIAT_6294_Marandu_Exc,Urochloa interespecifico,Urochloa,interespecifico,Poaceae,Poales,grasses,F252624,26,56,3,2,,0.5004,481.2857007,264.2857007,0.336805556,40,0.672222222,93.5,13.4,40,0.353472222,96.5,16.2,MUESTRA EN LA MANGUERA DESPUES DEL CLICK 8H,53.5,56.5,50.54997748,52.84934713,103.3993246,52.2683353,8.561594235,60.82992954,214.8398019,54.91243565,2.555971247,103.3993246,58.83010336,126.3904775,230.1673128,1107.762364,70.14890172,127.7468407,
1187,,Benchmark,CIAT_6294_Marandu_Exc,Urochloa interespecifico,Urochloa,interespecifico,Poaceae,Poales,grasses,F252624,26,56,3,3,,0.5002,481.2857007,299.3857007,0.3375,41,0.672916667,90.5,13.7,41,0.354166667,98,16.1,,49.5,57,46.54997748,53.34934713,99.89932461,46.50311311,8.589244888,55.092358,207.5676141,62.20540113,2.996874122,99.89932461,55.14787834,114.4691353,184.0180004,885.6523227,63.53235053,102.1331739,
1188,,Benchmark,CIAT_36087_MulatoII_Exc,Urochloa interespecifico,Urochloa,interespecifico,Poaceae,Poales,grasses,F252625,26,56,3,1,,0.5004,485.4433489,281.6433489,0.338194444,40.5,0.672916667,90,12.9,40.5,0.354861111,95.5,15.4,,49.5,55,46.54997748,51.34934713,97.89932461,45.57211356,7.907799458,53.47991302,201.6699267,58.01775831,2.876867129,97.89932461,54.6274586,110.1671557,189.8852333,921.7852356,61.14467743,105.3895897,
1189,,Benchmark,CIAT_36087_MulatoII_Exc,Urochloa interespecifico,Urochloa,interespecifico,Poaceae,Poales,grasses,F252625,26,56,3,2,,0.5004,485.4433489,276.7433489,0.338194444,41,0.673611111,88,13.4,41,0.355555556,92,15.6,,47,51,44.04997748,47.34934713,91.39932461,40.26138191,7.386498152,47.64788006,188.2801048,57.00837174,3.027848949,91.39932461,52.13154502,98.1533276,172.1735328,835.8049635,54.47679497,95.55928948,
1190,,Benchmark,CIAT_36087_MulatoII_Exc,Urochloa interespecifico,Urochloa,interespecifico,Poaceae,Poales,grasses,F252625,26,56,3,3,,0.5001,485.4433489,271.8433489,0.339583333,41,0.673611111,91.5,12.6,40.5,0.35625,94,15.5,,50.5,53.5,47.54997748,49.84934713,97.39932461,46.31335692,7.726648805,54.04000572,200.6399404,55.99898516,2.791018829,97.39932461,55.48293681,111.3209314,198.7909799,965.0175904,61.78504287,110.3324332,
1191,,Benchmark,CIAT_606_Basilisk_Exc,Urochloa interespecifico,Urochloa,interespecifico,Poaceae,Poales,grasses,F252626,26,56,3,1,,0.5005,484.8656231,302.5656231,0.338888889,41,0.674305556,91.5,13.1,40.5,0.356944444,99,15.8,,50.5,58.5,47.54997748,54.84934713,102.3993246,48.69085579,8.666196847,57.35705264,211.1911419,62.401954,2.954761902,102.3993246,56.01311616,118.2947396,189.568967,919.1547533,65.65562711,105.2140564,
1192,,Benchmark,CIAT_606_Basilisk_Exc,Urochloa interespecifico,Urochloa,interespecifico,Poaceae,Poales,grasses,F252626,26,56,3,2,,0.5003,484.8656231,274.4656231,0.338888889,40.5,0.675,91,13,40,0.356944444,95,15.6,,50.5,55,47.54997748,51.34934713,98.89932461,47.02660658,8.010498152,55.03710473,203.972647,56.60653386,2.775202199,98.89932461,55.64962648,113.5100162,200.5245834,972.2747708,63.00002283,111.2946131,
1193,,Benchmark,CIAT_606_Basilisk_Exc,Urochloa interespecifico,Urochloa,interespecifico,Poaceae,Poales,grasses,F252626,26,56,3,3,,0.5001,484.8656231,277.6656231,0.339583333,40.5,0.675694444,86,13.6,40,0.357638889,98,15.4,,45.5,58,42.54997748,54.34934713,96.89932461,41.2306408,8.369799458,49.60044026,199.8477929,57.26651053,2.865506279,96.89932461,51.18760162,102.2972921,178.6337095,866.1334487,56.77676694,99.14479932,
1194,,Benchmark,BR02_1752_Cayman_Exc,Urochloa interespecifico,Urochloa,interespecifico,Poaceae,Poales,grasses,F252627,26,56,3,1,,0.5004,483.566536,238.366536,0.340972222,40,0.675694444,89,12.9,39.5,0.358333333,88,15.9,"Llenado JGonzalez,derrame oH",49,48.5,46.04997748,44.84934713,90.89932461,41.85911851,7.131046194,48.99016471,187.9768715,49.29343084,2.622313609,90.89932461,53.89497107,101.3100805,205.5245066,993.8477373,56.22884747,114.069657,
1195,,Benchmark,BR02_1752_Cayman_Exc,Urochloa interespecifico,Urochloa,interespecifico,Poaceae,Poales,grasses,F252627,26,56,3,2,,0.5,483.566536,273.666536,0.340972222,40.5,0.676388889,87.5,13.8,40.5,0.359027778,86,16.5,,47,45.5,44.04997748,41.84934713,85.89932461,37.83863315,6.905142277,44.74377542,177.6370328,56.59335699,3.185898576,85.89932461,52.08862308,92.52868446,163.4974304,790.6188606,51.35502072,90.74390255,
1196,,Benchmark,BR02_1752_Cayman_Exc,Urochloa interespecifico,Urochloa,interespecifico,Poaceae,Poales,grasses,F252627,26,56,3,3,,0.5002,483.566536,272.166536,0.340972222,40,0.676388889,87.5,13.4,40,0.359722222,87.5,15.8,,47.5,47.5,44.54997748,43.84934713,88.39932461,39.38187921,6.928196847,46.31007605,182.8069522,56.28316183,3.078830491,88.39932461,52.38736411,95.76774364,170.1534536,822.8051614,53.1527546,94.43811058,
1197,,Benchmark,BR06_423_Cayman_Exc,Urochloa interespecifico,Urochloa,interespecifico,Fabaceae,Fabales,Herbáceas ,F252628,26,56,3,1,,0.5,483.3524218,278.9524218,0.340972222,41,0.677083333,87.5,13.6,41,0.359722222,93,16.3,,46.5,52,43.54997748,48.34934713,91.89932461,40.02213517,7.880943582,47.90307875,190.1290249,57.71201492,3.035413187,91.89932461,52.12560479,99.10590409,171.7249072,830.0364979,55.00549141,95.31029454,
1198,,Benchmark,BR06_423_Cayman_Exc,Urochloa interespecifico,Urochloa,interespecifico,Fabaceae,Fabales,Herbáceas ,F252628,26,56,3,2,,0.5001,483.3524218,251.3524218,0.341666667,40,0.677083333,91,12.9,40,0.360416667,92,16.3,Feed manguera 0H JJG MUESTRA EN LA MANGUERA DESPUES DEL CLICK 8H,51,52,48.04997748,48.34934713,96.39932461,46.31985377,7.880943582,54.20079735,199.439002,52.0018956,2.607408535,96.39932461,56.22528744,112.1351521,215.6366625,1042.285031,62.23694949,119.6820784,
1199,,Benchmark,BR06_423_Cayman_Exc,Urochloa interespecifico,Urochloa,interespecifico,Fabaceae,Fabales,Herbáceas ,F252628,26,56,3,3,,0.5001,483.3524218,297.1524218,0.341666667,40.5,0.677777778,90,12.9,40,0.361805556,93,16.3,,49.5,53,46.54997748,49.34934713,95.89932461,44.64111401,8.043943582,52.68505759,198.4045601,61.47738346,3.098587221,95.89932461,54.93788179,108.9992627,177.2997752,856.9827574,60.49647659,98.40444273,
1200,,Breeding,CIAT 20692,Clitoria ternatea ,Clitoria,ternatea,Fabaceae,Fabales,Herbáceas ,F252629,26,56,3,1,,0.5,477.6056206,239.0056206,0.341666667,41,0.678472222,94.5,14.5,40.5,0.3625,80,16.8,,53.5,39.5,50.54997748,35.84934713,86.39932461,43.67483913,6.022690318,49.69752945,180.9009796,50.04246397,2.766290381,86.39932461,57.52073836,104.0555791,207.9345638,993.1071636,57.75264669,115.4072804,
1201,,Breeding,CIAT 20692,Clitoria ternatea ,Clitoria,ternatea,Fabaceae,Fabales,Herbáceas ,F252629,26,56,3,2,,0.5004,477.6056206,228.0056206,0.342361111,40.5,0.678472222,93.5,14.5,40,0.363194444,80,16.8,,53,40,50.04997748,36.34934713,86.39932461,43.24284251,6.106690318,49.34953283,180.9009796,47.73930849,2.638974571,86.39932461,57.11796134,103.3269516,216.4399838,1033.729528,57.34824579,120.1279357,
1202,,Breeding,CIAT 20692,Clitoria ternatea ,Clitoria,ternatea,Fabaceae,Fabales,Herbáceas ,F252629,26,56,3,3,,0.5002,477.6056206,254.6056206,0.342361111,40.5,0.679166667,93.5,14.9,40.5,0.363888889,81,16.9,,53,40.5,50.04997748,36.84934713,86.89932461,43.4930924,6.227539665,49.72063206,181.9478684,53.30875719,2.929891823,86.89932461,57.21636191,104.1039509,195.2848957,932.6916381,57.77949384,108.3864957,
1203,,Breeding,CIAT 20692,Clitoria ternatea ,Clitoria,ternatea,Fabaceae,Fabales,Herbáceas ,F252630,26,56,3,1,,0.5005,469.9020775,277.1020775,0.342361111,41.5,0.679861111,104,14.9,40.5,0.363888889,79.5,17.9,EMBOLO DURO 8H,62.5,39,59.54997748,35.34934713,94.89932461,56.51252643,6.327533136,62.84005957,201.9555332,58.97017502,2.919958374,94.89932461,66.21760463,133.7301165,226.7758514,1065.624437,74.22252832,125.864521,
