Obs_CH4_DMD,predCH4_Gas_DMD,gas_DMD,,Obs_CH4_DMD,predCH4_log_FP,log_FP,,Obs_CH4_DMI,predCH4_Gas_DMI,gas_DMI
37.06127543,42.7737902,263.0712565,,37.06127543,42.63276589,0.581138023,,19.10258789,19.76783682,127.3778133
41.66329172,42.98129301,264.4182501,,41.66329172,39.86642842,0.62181947,,17.99068749,17.92910646,116.4995721
49.08065254,55.84374658,347.9141923,,49.08065254,49.92065901,0.506402517,,18.45702725,18.77976173,121.5321933
59.59987178,56.37581295,351.3680732,,59.59987178,54.96100391,0.466650283,,20.67811686,23.41064883,148.9293082
52.60817434,52.30028542,324.9120001,,52.60817434,50.61054608,0.500562039,,20.3586741,20.79851012,133.4754518
39.78898786,41.81708242,256.8608381,,39.78898786,42.09085817,0.588213071,,21.08613927,21.49416907,137.5910883
43.50903541,48.44415346,299.8801219,,43.50903541,47.38940407,0.529250867,,23.89404952,25.97079994,164.0755972
43.15251079,48.63873576,301.1432427,,43.15251079,48.17208085,0.521923517,,23.06372514,25.74783732,162.7565124
49.0358581,47.74254422,295.3256624,,49.0358581,47.31793633,0.529933023,,21.11159119,23.92853966,151.9932384
49.42973751,48.82613201,302.3597156,,49.42973751,48.28449178,0.520891784,,24.7046336,24.63703567,156.1848211
45.19566798,50.80939397,315.2339565,,45.19566798,50.53057393,0.501231575,,21.34725115,21.41202713,137.1051226
44.43421886,51.19672631,317.7483041,,44.43421886,50.80052541,0.498979143,,21.92878314,24.28688314,154.1132593
47.14830808,46.17732488,285.1651232,,47.14830808,45.67296044,0.546316718,,29.98924585,25.00968528,158.3894795
43.70226169,50.7415802,314.793747,,43.70226169,50.14268643,0.504506676,,21.57098058,24.3461075,154.4636407
46.87769488,47.33714713,292.6940484,,46.87769488,46.98193231,0.533171148,,22.87311674,25.53626597,161.5048204
43.89692047,44.58662075,274.8391508,,43.89692047,44.23519778,0.561906165,,21.43210514,23.58478157,149.9595071
50.5653913,49.96126977,309.7284028,,50.5653913,49.64871655,0.508746269,,28.87701726,24.25887858,153.9475795
47.30890563,46.3954766,286.5812436,,47.30890563,46.0763898,0.542169368,,23.32740833,25.74400558,162.7338432
39.6039917,44.64540815,275.2207662,,39.6039917,44.25445355,0.561688082,,19.29973339,22.11389649,141.257501
44.91379576,48.63036293,301.0888909,,44.91379576,48.09580918,0.522626418,,22.53006771,22.18267676,141.6644168
46.71627074,47.10607807,291.1940758,,46.71627074,46.67842708,0.536141528,,22.34771663,25.00208494,158.3445146
