id,tax_name_x,functional_group_x,ch4_percentage_8h,ch4_percentage_24h,ch4_intensity_ml_g_tddm,tddm_mg_g,subset,id_lab,tax_name_y,functional_group_y,ch4_8h_percentage,ch4_24h_percentage,methane_intensity,tddm
CIAT-18016,Sesbania emerus,Shrub_Trees,14.23333333,15.96169036,42.47110245,50.30529106,1,F24-3481,Sesbania emerus,Shrub_Trees,14.23,17.79,42.47,50.31
CIAT-18044,Christia sp.,Herbaceous_legumes,15.275,18.25242849,47.46914801,58.33057617,1,F24-3482,Christia sp.,Herbaceous_legumes,15.06,21.13,47.47,58.33
CIAT-18288,Sesbania exasperata,Shrub_Trees,14.9,16.93850252,48.91039807,55.65877408,1,F24-3483,Sesbania exasperata,Shrub_Trees,14.7,19.0,48.91,55.66
CIAT-18430,Alysicarpus vaginalis,Herbaceous_legumes,14.31666667,16.15956288,56.48514037,46.58118443,2,F24-3642,Alysicarpus vaginalis,Herbaceous_legumes,15.38,18.33,46.1,62.24
CIAT-18437,Flemingia macrophylla,Shrub_Trees,13.025,14.12274822,63.25515696,40.23978297,2,F25-0983,Flemingia macrophylla,Shrub_Trees,12.13,14.32,41.87,22.61
CIAT-18447,Clitoria ternatea,Herbaceous_legumes,14.51111111,16.92415425,53.01768122,55.28237032,1,F24-3484,Clitoria ternatea,Herbaceous_legumes,14.51,20.06,53.02,55.28
CIAT-18455,Christia obcordata,Herbaceous_legumes,15.41111111,18.53525367,54.17824002,59.86128924,1,F24-3485,Christia obcordata,Herbaceous_legumes,15.41,21.57,54.18,59.86
CIAT-18700,Cajanus cajan,Shrub_Trees,12.6875,13.99887238,54.47579572,41.99638756,2,F25-0978,Cajanus cajan,Shrub_Trees,14.0,17.27,59.27,32.23
CIAT-18701,Cajanus cajan,Shrub_Trees,13.3,14.78899087,40.20085138,52.58595206,2,F25-0934,Cajanus cajan,Shrub_Trees,13.36,16.87,54.17,31.19
CIAT-18707,Crotalaria pallida,Herbaceous_legumes,16.05555556,21.49290837,60.93822877,53.89347169,1,F24-3486,Crotalaria pallida,Herbaceous_legumes,16.06,27.53,60.94,53.89
CIAT-18708,Crotalaria pallida,Herbaceous_legumes,14.3125,15.67267398,49.60794074,51.57729443,2,F24-3644,Crotalaria pallida,Herbaceous_legumes,15.06,19.79,49.94,59.88
CIAT-18749,Arachis pintoi,Herbaceous_legumes,11.68888889,15.83999024,36.23158379,61.11639727,1,F24-3487,Arachis pintoi,Herbaceous_legumes,11.69,18.39,36.23,61.12
CIAT-18813,Crotalaria nitens,Herbaceous_legumes,13.41111111,16.44899726,38.57825013,51.22777844,1,F24-3488,Crotalaria nitens,Herbaceous_legumes,13.41,19.49,38.58,51.23
CIAT-18848,Alysicarpus rugosus,Herbaceous_legumes,14.5,16.90408217,34.19370223,57.17478092,1,F24-3489,Alysicarpus rugosus,Herbaceous_legumes,14.5,20.79,34.19,57.17
CIAT-18850,Alysicarpus rugosus,Herbaceous_legumes,13.7875,15.45759494,51.55721765,49.73404386,2,F24-3645,Alysicarpus rugosus,Herbaceous_legumes,15.3,16.67,41.53,58.68
CIAT-18862,Alysicarpus rugosus,Herbaceous_legumes,15.2,17.29968002,44.90758167,49.61964804,1,F24-3490,Alysicarpus rugosus,Herbaceous_legumes,15.2,19.88,44.91,49.62
CIAT-18865,Alysicarpus rugosus,Herbaceous_legumes,13.02222222,15.50287572,45.54508362,54.80931522,2,F24-3646,Alysicarpus rugosus,Herbaceous_legumes,14.34,15.86,45.67,51.17
CIAT-18873,Alysicarpus ferrugineus,Herbaceous_legumes,12.48571429,14.08665593,45.45268969,49.17732399,2,F25-0979,Alysicarpus ferrugineus,Herbaceous_legumes,15.73,16.97,62.93,34.7
CIAT-18931,Tephrosia linearis,Herbaceous_legumes,14.05555556,16.35258888,42.05291578,49.75445109,1,F24-3491,Tephrosia linearis,Shrub_Trees,14.06,18.91,42.05,49.75
CIAT-19032,Canavalia sp.,Herbaceous_legumes,13.875,16.02639497,65.33019065,43.83397773,2,F24-3647,Canavalia sp.,Herbaceous_legumes,13.27,17.19,45.7,59.15
CIAT-19038,Canavalia sp.,Herbaceous_legumes,14.77777778,17.60100147,43.52344366,63.37333215,1,F24-3492,Canavalia sp.,Shrub_Trees,14.78,20.31,43.52,63.37
CIAT-19118,Alysicarpus rugosus,Herbaceous_legumes,15.71111111,17.70156007,44.5012621,59.74408108,1,F24-3493,Alysicarpus rugosus,Herbaceous_legumes,15.71,19.8,44.5,59.74
CIAT-19119,Alysicarpus rugosus,Herbaceous_legumes,14.18888889,16.12491815,42.54498966,59.39514318,2,F24-3648,Alysicarpus rugosus,Herbaceous_legumes,14.11,17.43,40.18,56.58
CIAT-19127,Alysicarpus rugosus,Herbaceous_legumes,15.47777778,17.95673284,49.23770162,48.76392929,1,F24-3494,Alysicarpus rugosus,Herbaceous_legumes,15.48,20.78,49.24,48.76
CIAT-19128,Alysicarpus rugosus,Herbaceous_legumes,15.18888889,17.68167099,49.0114074,46.80620446,1,F24-3495,Alysicarpus rugosus,Herbaceous_legumes,15.19,20.43,49.01,46.81
CIAT-19129,Alysicarpus rugosus,Herbaceous_legumes,15.91111111,18.2772741,49.18474562,49.89865333,1,F24-3496,Alysicarpus rugosus,Herbaceous_legumes,15.91,21.26,49.18,49.9
CIAT-19133,Alysicarpus rugosus,Herbaceous_legumes,15.61111111,18.05942482,55.11822116,48.22693495,1,F24-3497,Alysicarpus rugosus,Herbaceous_legumes,15.61,21.24,55.12,48.23
CIAT-19137,Alysicarpus rugosus,Herbaceous_legumes,15.31111111,17.59155113,48.4905984,53.19525116,1,F24-3498,Alysicarpus rugosus,Herbaceous_legumes,15.31,20.44,48.49,53.2
CIAT-19138,Alysicarpus rugosus,Herbaceous_legumes,15.25555556,17.55272699,43.21309733,54.86301277,1,F24-3499,Alysicarpus rugosus,Herbaceous_legumes,15.26,20.38,43.21,54.86
CIAT-19139,Alysicarpus ovalifolius,Herbaceous_legumes,14.24444444,17.19704331,39.74486426,52.41257244,1,F24-3500,Alysicarpus ovalifolius,Herbaceous_legumes,14.24,20.63,39.74,52.41
CIAT-19213,Clitoria ternatea,Herbaceous_legumes,14.98888889,16.08929282,39.13762571,63.65548908,1,F24-3501,Clitoria ternatea,Herbaceous_legumes,14.99,18.66,39.14,63.66
CIAT-19421,Uraria lagopodioides,Herbaceous_legumes,14.13333333,15.13180939,33.82118938,54.27384786,1,F24-3502,Uraria lagopodioides,Herbaceous_legumes,14.13,17.67,33.82,54.27
CIAT-19566,Tephrosia noctiflora,Herbaceous_legumes,15.42222222,16.28143413,37.31494782,64.10902598,1,F24-3503,Tephrosia noctiflora,Shrub_Trees,15.42,17.91,37.31,64.11
CIAT-1964,Stylosanthes guianensis,Herbaceous_legumes,13.42222222,14.60991215,48.20477239,52.85575649,2,F24-3546,Stylosanthes guianensis,Herbaceous_legumes,13.07,15.02,52.88,40.86
CIAT-19667,Indigofera hirsuta,Herbaceous_legumes,13.06666667,14.31266884,32.51575614,44.80748968,1,F24-3504,Indigofera hirsuta,Herbaceous_legumes,13.07,16.64,32.52,44.81
CIAT-19673,Alysicarpus rugosus,Herbaceous_legumes,14.37777778,15.90310011,43.95351413,51.27319613,1,F24-3505,Alysicarpus rugosus,Herbaceous_legumes,14.38,18.66,43.95,51.27
CIAT-19895,Aeschynomene americana,Shrub_Trees,14.14444444,15.61741869,38.27305028,67.4314958,1,F24-3506,Aeschynomene americana,Herbaceous_legumes,14.14,17.06,38.27,67.43
