23_no,23_date,23_requisitioner,23_set_ciat,23_ciat_lab_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_family,23_order,23_functional_group,23_replication,23_dm_percentage,23_av_dm_percentage,
166,,Genetic bank,25,F24-3554,ABC-10725-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,41.87903418,,
167,,Genetic bank,25,F24-3555,ABC-11199-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,36.49417764,36.30474699,
168,,Genetic bank,25,F24-3555,ABC-11199-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,36.11531634,,
169,,Genetic bank,25,F24-3556,ABC-11215-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,28.43807975,27.87275201,
170,,Genetic bank,25,F24-3556,ABC-11215-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,27.30742426,,
171,,Genetic bank,25,F24-3557,ABC-11220-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,25.67973267,26.31273256,
172,,Genetic bank,25,F24-3557,ABC-11220-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,26.94573244,,
173,,Genetic bank,25,F24-3558,ABC-11232-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,34.31355844,34.63570984,
174,,Genetic bank,25,F24-3558,ABC-11232-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,34.95786124,,
175,,Genetic bank,25,F24-3559,ABC-11313-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,38.48584936,38.8232651,
176,,Genetic bank,25,F24-3559,ABC-11313-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,39.16068084,,
177,,Genetic bank,25,F24-3560,ABC-11417-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,41.32332356,41.47768079,
178,,Genetic bank,25,F24-3560,ABC-11417-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,41.63203801,,
179,,Genetic bank,25,F24-3561,ABC-11624-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,33.92655369,33.73017171,
180,,Genetic bank,25,F24-3561,ABC-11624-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,33.53378972,,
181,,Genetic bank,25,F24-3562,ABC-11690-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,33.91666319,33.51359341,
182,,Genetic bank,25,F24-3562,ABC-11690-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,33.11052362,,
183,,Genetic bank,25,F24-3563,ABC-11762-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,39.51782231,39.80471006,
184,,Genetic bank,25,F24-3563,ABC-11762-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,40.09159782,,
185,,Genetic bank,25,F24-3564,ABC-11778-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,26.82255337,26.27003041,
186,,Genetic bank,25,F24-3564,ABC-11778-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,25.71750744,,
187,,Genetic bank,25,F24-3565,ABC-11784-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,35.05749648,35.90932008,
188,,Genetic bank,25,F24-3565,ABC-11784-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,36.76114368,,
189,,Genetic bank,25,F24-3566,ABC-11820-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,31.61176221,31.37797779,
190,,Genetic bank,25,F24-3566,ABC-11820-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,31.14419337,,
191,,Genetic bank,25,F24-3567,ABC-12042-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,31.69802268,31.39103807,
192,,Genetic bank,25,F24-3567,ABC-12042-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,31.08405347,,
193,,LMF-invivo,25,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,0,0,0,A,35.48,35.48,
194,,LMF-invivo,25,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,0,0,0,B,35.48,,
195,,LMF-invivo,25,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,0,0,0,A,33.91,33.91,
196,,LMF-invivo,25,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,0,0,0,B,33.91,,
197,,LMF,25,F25-0017,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,0,0,0,A,,#DIV/0!,
198,,LMF,25,F25-0017,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,0,0,0,B,,,
199,,LMF,25,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,A,,#DIV/0!,
200,,LMF,25,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,B,,,
201,,LMF,26,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,0,0,0,A,,#DIV/0!,
202,,LMF,26,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,0,0,0,B,,,
203,,Benchmark,26,F252624,CIAT_6294_Marandu_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,30.57595105,30.46681618,
204,,Benchmark,26,F252624,CIAT_6294_Marandu_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,30.35768132,,
205,,Benchmark,26,F252625,CIAT_36087_MulatoII_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,29.54307318,29.37088023,
206,,Benchmark,26,F252625,CIAT_36087_MulatoII_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,29.19868727,,
207,,Benchmark,26,F252626,CIAT_606_Basilisk_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,30.7548803,30.29630038,
208,,Benchmark,26,F252626,CIAT_606_Basilisk_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,29.83772045,,
209,,Benchmark,26,F252627,BR02_1752_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,29.51361496,29.65042301,
210,,Benchmark,26,F252627,BR02_1752_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,29.78723106,,
211,,Benchmark,26,F252628, BR06_423_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,29.82243235,29.45370158,R
212,,Benchmark,26,F252628, BR06_423_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,29.0849708,,R
213,,Breeding,26,F252629,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,30.6828915,30.20424416,
214,,Breeding,26,F252629,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,29.72559683,,
215,,Breeding,26,F252630,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,29.29073261,29.03088171,R
216,,Breeding,26,F252630,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,28.77103081,,R
217,,Breeding,26,F252631,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,33.60357368,32.84655801,
218,,Breeding,26,F252631,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,32.08954235,,
219,,Breeding,26,F252632,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,29.13530131,28.53017878,
220,,Breeding,26,F252632,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,27.92505625,,
221,,Breeding,26,F252633,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,32.1612832,32.33378701,
222,,Breeding,26,F252633,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,32.50629081,,
223,,Breeding,26,F252634,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,34.4972745,33.6978823,
224,,Breeding,26,F252634,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,32.8984901,,
225,,Breeding,26,F252635,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,34.91776872,35.28468203,
226,,Breeding,26,F252635,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,35.65159534,,
227,,Breeding,26,F252636,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,35.76739675,34.980106,
228,,Breeding,26,F252636,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,34.19281524,,
229,,Breeding,26,F25-2637,CIAT 17462,Leucaena ,leucocephala ,Leucaena leucocephala ,Leguminosae,Fabales,Arbustiva ,A,38.6732834,39.13359514,
230,,Breeding,26,F25-2637,CIAT 17462,Leucaena ,leucocephala ,Leucaena leucocephala ,Leguminosae,Fabales,Arbustiva ,B,39.59390688,,
231,,Breeding,26,F252638,N/A,Tithonia ,diversifolia ,Tithonia diversifolia,Compositae,Asterales,Arbustiva ,A,28.33401517,28.36022494,R
232,,Breeding,26,F252638,N/A,Tithonia ,diversifolia ,Tithonia diversifolia,Compositae,Asterales,Arbustiva ,B,28.38643471,,R
233,,Breeding,26,F252639,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,A,19.09963007,19.56643945,RR
234,,Breeding,26,F252639,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,B,20.03324883,,RR
235,,LMF,26,Dieta 1_2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,0,0,0,A,,#DIV/0!,
236,,LMF,26,Dieta 1_2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,0,0,0,B,,,
237,,LMF,26,Dieta 2_2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,0,0,0,A,,#DIV/0!,R
238,,LMF,26,Dieta 2_2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,0,0,0,B,,,R
239,,Genetic bank,26,F24-3568,ABC-12115-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,35.06593749,34.71126936,
240,,Genetic bank,26,F24-3568,ABC-12115-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,34.35660123,,
241,,Genetic bank,26,F24-3569,ABC-12140-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,28.380861,28.23452539,
242,,Genetic bank,26,F24-3569,ABC-12140-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,28.08818978,,
243,,Genetic bank,26,F24-3570,ABC-12184-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,25.75981408,25.67043224,
244,,Genetic bank,26,F24-3570,ABC-12184-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,25.58105041,,
245,,Genetic bank,26,F24-3571,ABC-12202-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,24.87410292,24.08270746,
246,,Genetic bank,26,F24-3571,ABC-12202-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,23.29131201,,
247,,Genetic bank,26,F24-3572,ABC-12311-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,35.04148121,34.79194319,
248,,Genetic bank,26,F24-3572,ABC-12311-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,34.54240517,,
249,,Genetic bank,26,F24-3573,ABC-12381-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,33.29359135,33.25021625,
250,,Genetic bank,26,F24-3573,ABC-12381-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,33.20684116,,
251,,Genetic bank,26,F24-3574,ABC-12374-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,30.45973111,30.51862479,
252,,Genetic bank,26,F24-3574,ABC-12374-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,30.57751847,,
253,,Genetic bank,26,F24-3575,ABC-12457-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,28.31125958,27.68868071,
254,,Genetic bank,26,F24-3575,ABC-12457-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,27.06610183,,
255,,Genetic bank,26,F24-3576,ABC-12462-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,27.16457821,26.71292012,
256,,Genetic bank,26,F24-3576,ABC-12462-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,26.26126203,,
257,,Genetic bank,26,F24-3577,ABC-12485-1,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,30.83407709,30.77609226,
258,,Genetic bank,26,F24-3577,ABC-12485-1,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,30.71810744,,
259,,Genetic bank,26,F24-3578,ABC-12615-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,35.9821802,35.31520225,
260,,Genetic bank,26,F24-3578,ABC-12615-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,34.6482243,,
261,,Genetic bank,26,F24-3579,ABC-12686-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,33.80115551,34.51631143,
262,,Genetic bank,26,F24-3579,ABC-12686-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,35.23146734,,
263,,Genetic bank,26,F24-3580,ABC-12710-1,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,38.95588039,38.43009228,
264,,Genetic bank,26,F24-3580,ABC-12710-1,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,37.90430417,,
265,,Genetic bank,26,F24-3581,ABC-12758-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,33.00440393,34.10889047,
266,,Genetic bank,26,F24-3581,ABC-12758-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,35.21337701,,
267,,LMF,26,F25-2134,Hohenheimer Heustandard IAG 2025/1 S1,Hohenheimer Heustandard, Heustandard,Green meal ,0,OT-017,#REF!,A,,#DIV/0!,
268,,LMF,26,F25-2134,Hohenheimer Heustandard IAG 2025/1 S1,Hohenheimer Heustandard, Heustandard,Green meal ,0,OT-017,#REF!,B,,,
