32_no,32_date,32_gene_bank_id,32_tax_name,32_family,32_order,32_genus2,32_species3,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_percentage_ndf_digestibility_in_24h,32_remarks2
No,Date,Gene Bank ID,Tax Name,Family,Order,Genus2,Species3,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
225,"18/11/24, Mon",ABC-13946,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Herbaceous,F25-0974,23,48,3,1,15,0.5816,0.5816,,0.385,84.218825,17.94873106,285.4258112,-99.57418875,-34.88618928,
226,"18/11/24, Mon",ABC-13946,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Herbaceous,F25-0974,23,48,3,2,16,0.5702,0.5702,,0.351,118.218825,25.19481715,285.4258112,-65.57418875,-22.97416217,
227,"18/11/24, Mon",ABC-13946,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Herbaceous,F25-0974,23,48,3,3,17,0.5965,0.5965,,0.352,117.5003,25.02667197,285.5970325,-66.40296751,-23.25058035,
228,"18/11/24, Mon",ABC-19867,Uraria lagopodioides,Uraria,lagopodioides,Fabaceae,Fabales,Herbaceous,F25-0980,23,48,3,1,18,0.619,0.619,,0.189,290.5959,60.59182324,212.3890443,23.38904431,11.01235913,
229,"18/11/24, Mon",ABC-19867,Uraria lagopodioides,Uraria,lagopodioides,Fabaceae,Fabales,Herbaceous,F25-0980,23,48,3,2,19,0.6119,0.6119,,0.208,271.7877,56.64749221,212.4739829,4.473982945,2.105661542,
230,"18/11/24, Mon",ABC-19867,Uraria lagopodioides,Uraria,lagopodioides,Fabaceae,Fabales,Herbaceous,F25-0980,23,48,3,3,20,0.5536,0.5536,,0.163,316.5,66.00625652,212.346575,49.346575,23.23869599,
231,"18/11/24, Mon",CIAT-798,Galactia striata,Galactia,striata,Fabaceae,Fabales,Climber,F25-1651,23,48,3,1,21,0.5845,0.5845,,0.189,274.2481258,59.20113014,263.5541992,74.55419922,28.2879952,
232,"18/11/24, Mon",CIAT-798,Galactia striata,Galactia,striata,Fabaceae,Fabales,Climber,F25-1651,23,48,3,2,22,0.5617,0.5617,,0.182,281.3407384,60.72005224,263.606889,81.60688898,30.9577983,
233,"18/11/24, Mon",CIAT-798,Galactia striata,Galactia,striata,Fabaceae,Fabales,Climber,F25-1651,23,48,3,3,23,0.5795,0.5795,,0.198,265.2481258,57.25832681,263.5541992,65.55419922,24.87313783,
234,"18/11/24, Mon",CIAT-822,Calopogonium mucunoides,Calopogonium,mucunoides,Fabaceae,Fabales,Climber,F25-1652,23,48,3,1,24,0.5694,0.5694,,0.223,247.4485179,52.5984265,220.1783805,-2.821619473,-1.281515227,
235,"18/11/24, Mon",CIAT-822,Calopogonium mucunoides,Calopogonium,mucunoides,Fabaceae,Fabales,Climber,F25-1652,23,48,3,2,25,0.5608,0.5608,,0.228,242.54257,51.54529802,220.2223986,-7.777601405,-3.531703157,
236,"18/11/24, Mon",CIAT-822,Calopogonium mucunoides,Calopogonium,mucunoides,Fabaceae,Fabales,Climber,F25-1652,23,48,3,3,26,0.5747,0.5747,,0.235,235.4485179,50.04766918,220.1783805,-14.82161947,-6.731641607,
237,"18/11/24, Mon",CIAT-852,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1653,23,48,3,1,27,0.5808,0.5808,,0.332,137.1234308,29.22971265,297.4755191,-34.52448088,-11.60582255,
