trial,field,plot,rep,X,Y,lab_delivery_date,sampling_date,material,requisitioner,id,genotype,state,comercial_name,type,biomass_g,dry_biomass_g,dry_matter_pct,height_cm,leaf_number,cover_m2,yield_g_m2,yield_kgDM_ha_cut,yield_ton_ha_cut,yield_ton_ha_year
FM2411,I1N,284,1,21,4,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-3341,BR09_3341,,,hybrid,878,171.84,0.19571754,43,3,0.56713505,302.9966143,3029.966143,3.029966143,18.17979686
FM2411,I1N,299,2,22,5,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-3341,BR09_3341,,,hybrid,800.3,182.23,0.227702112,44,3,0.53301122,341.8877374,3418.877374,3.418877374,20.51326424
FM2411,I1N,738,3,53,10,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-3341,BR09_3341,,,hybrid,865.6,177.57,0.205140943,44,3,0.7627657,232.7975681,2327.975681,2.327975681,13.96785409
FM2411,I1N,229,1,17,5,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-0343,BR09_343,,,hybrid,1124.4,217.87,0.193765564,49,3.5,0.71763162,303.5958756,3035.958756,3.035958756,18.21575253
FM2411,I1N,303,2,22,9,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-0343,BR09_343,,,hybrid,930.7,213.27,0.229150102,54,3.5,0.71511051,298.2336255,2982.336255,2.982336255,17.89401753
FM2411,I1N,865,3,62,11,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-0343,BR09_343,,,hybrid,432.5,92.19,0.213156069,43,2.5,0.53128329,173.5232441,1735.232441,1.735232441,10.41139464
FM2411,I1N,241,1,3,18,3/25/2025 0:00,2/24/2025 0:00,Interspecific U.,Breeding,CIAT-BR-09-3660,BR09_3660,,,hybrid,1427.4,318.9,0.223413199,51,,1.271808511,250.7452949,2507.452949,2.507452949,15.04471769
FM2411,I1N,432,2,3,31,3/25/2025 0:00,2/24/2025 0:00,Interspecific U.,Breeding,CIAT-BR-09-3660,BR09_3660,,,hybrid,320.5,90.2,0.281435257,31,,0.597207447,151.0362948,1510.362948,1.510362948,9.062177689
FM2411,I1N,20,1,2,6,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-4014,BR09_4014,,,hybrid,688.6,137.91,0.200275922,47,2.5,0.75068301,183.7126965,1837.126965,1.837126965,11.02276179
FM2411,I1N,575,2,42,1,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-4014,BR09_4014,,,hybrid,821.3,154.1,0.187629368,39,3,0.65647014,234.7403036,2347.403036,2.347403036,14.08441822
FM2411,I1N,10,1,1,10,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-4151,BR09_4151,,,hybrid,521.8,113.73,0.217957072,36,2.5,0.59154457,192.2593931,1922.593931,1.922593931,11.53556358
FM2411,I1N,307,2,22,13,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-4151,BR09_4151,,,hybrid,721.5,176.71,0.244920305,54,3.5,0.63500869,278.2796563,2782.796563,2.782796563,16.69677938
