id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
F24-3556,CIAT-11215,3,169.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.03,0.05,0.05,0.0,0.8,2.51,2
F24-3557,CIAT-11220,3,171.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.05,0.01,0.01,0.0,0.9,1.89,2
F24-3558,CIAT-11232,3,173.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.01,0.01,0.01,0.0,0.46,0.1,2
F24-3559,CIAT-11313,3,175.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.11,0.02,0.02,0.0,0.48,0.34,2
F24-3560,CIAT-11417,3,177.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.03,0.18,0.18,0.0,0.22,0.69,2
F24-3561,CIAT-11624,3,179.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.01,0.01,0.01,0.0,0.28,2.03,2
F24-3562,CIAT-11690,3,181.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.52,0.74,0.74,0.0,0.57,0.34,2
F24-3563,CIAT-11762,3,183.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.08,0.13,0.13,0.0,0.41,1.12,2
F24-3564,CIAT-11778,3,185.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.16,0.04,0.04,0.0,0.78,0.46,2
F24-3565,CIAT-11784,3,187.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.14,0.14,0.14,0.0,1.2,1.86,2
F24-3566,CIAT-11820,3,189.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.12,2.63,2.63,0.02,0.33,0.47,2
F24-3567,CIAT-12042,3,191.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.13,0.65,0.65,0.0,0.43,0.1,2
F24-3568,CIAT-12115,3,239.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.11,0.27,0.27,0.0,0.5,1.26,2
F24-3569,CIAT-12140,3,241.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.03,0.08,0.08,0.0,0.21,0.97,2
F24-3570,CIAT-12184,3,243.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.56,0.2,0.2,0.0,0.13,2.33,2
F24-3571,CIAT-12202,3,245.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.06,0.01,0.01,0.0,1.12,0.13,2
F24-3572,CIAT-12311,3,247.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.13,0.02,0.02,0.0,0.35,1.42,2
F24-3573,CIAT-12381,3,249.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.01,0.03,0.03,0.0,0.06,0.28,2
F24-3574,CIAT-12374,3,251.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.95,0.55,0.55,0.0,0.08,1.0,2
F24-3575,CIAT-12457,3,253.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.09,0.08,0.08,0.0,0.88,2.58,2
F24-3576,CIAT-12462,3,255.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.13,0.05,0.05,0.0,0.64,2.35,2
F24-3577,CIAT-12485,3,257.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.16,0.33,0.33,0.0,0.08,1.06,2
F24-3578,CIAT-12615,3,259.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.04,0.02,0.02,0.0,0.94,1.84,2
F24-3579,CIAT-12686,3,261.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.02,0.01,0.01,0.0,1.01,2.15,2
F24-3580,CIAT-12710,3,263.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.06,0.65,0.65,0.0,0.74,0.16,2
F24-3581,CIAT-12758,3,265.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.02,0.08,0.08,0.0,1.56,1.84,2
F24-3582,CIAT-BR-02-1752,1,51.0,Breeding,Urochloa interespecific,Grass,0.06,0.09,0.09,0.0,0.08,0.25,2
F24-3583,CIAT-BR-02-1794,1,53.0,Breeding,Urochloa interespecific,Grass,0.11,0.17,0.17,0.0,0.8,1.32,2
F24-3584,CIAT-BR-06-0423,1,55.0,Breeding,Urochloa interespecific,Grass,0.29,0.01,0.01,0.0,0.19,0.12,2
F24-3585,CIAT-BR-09-1232,1,57.0,Breeding,Urochloa interespecific,Grass,0.15,0.04,0.04,0.0,0.01,0.16,2
F24-3586,CIAT-BR-12-4951,1,59.0,Breeding,Urochloa interespecific,Grass,0.39,0.0,0.0,0.0,0.04,0.11,2
F24-3587,CIAT-BR-15-0722,1,61.0,Breeding,Urochloa interespecific,Grass,0.2,0.01,0.01,0.0,0.49,0.65,2
F24-3588,CIAT-BR-15-6487,1,63.0,Breeding,Urochloa interespecific,Grass,0.14,0.24,0.24,0.0,0.33,0.04,2
F24-3589,CIAT-BR-19-0029,1,65.0,Breeding,Urochloa interespecific,Grass,0.03,0.03,0.03,0.0,0.31,0.55,2
F24-3590,CIAT-BR-19-0423,1,67.0,Breeding,Urochloa interespecific,Grass,0.23,0.05,0.05,0.0,0.35,0.4,2
F24-3591,CIAT-CIAT-6962,1,69.0,Breeding,Megathyrsus maximus,Grass,0.2,0.08,0.08,0.0,0.78,0.65,2
F24-3592,CIAT-Mulato-II,1,71.0,Breeding,Urochloa interespecific,Grass,0.04,0.02,0.02,0.0,0.12,0.89,2
F24-3593,CIAT-PM-21-0215,1,73.0,Breeding,Megathyrsus maximus,Grass,0.05,0.03,0.03,0.0,0.22,0.32,2
F24-3594,CIAT-PM-21-0631,1,75.0,Breeding,Megathyrsus maximus,Grass,0.09,0.01,0.01,0.0,0.41,0.52,2
F24-3595,CIAT-PM-21-2195,1,77.0,Breeding,Megathyrsus maximus,Grass,0.14,0.06,0.06,0.0,0.3,0.28,2
