24_no,24_date,24_requisitioner,24_set_ciat,24_ciat_lab_id,24_gene_bank_breeding_program_id,24_genus,24_species,24_tax_name,24_family,24_order,24_functional_group,24_batches_ciat,24_id_lab,24_replication,24_ndf_percentage_dm,24_av_adf_percentage_dm
84,46175,GENBANK,38,F263155,CIAT25213,Centrosema,brachypodum,Centrosema brachypodum,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,62.51148883,
85,46175,GENBANK,38,F263156,CIAT32229,Calopogonium,galactioides,Calopogonium galactioides,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,61.01163886,59.70368167
86,46175,GENBANK,38,F263156,CIAT32229,Calopogonium,galactioides,Calopogonium galactioides,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,58.39572448,
87,46175,GENBANK,38,F263157,CIAT8206,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,61.21441031,61.79260985
88,46175,GENBANK,38,F263157,CIAT8206,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,62.3708094,
89,46175,GENBANK,38,F263158,CIAT8886,Zornia,myriadena,Zornia myriadena,Fabaceae,Fabales,Herbaceous,0,0,A,55.83492011,56.69123611
90,46175,GENBANK,38,F263158,CIAT8886,Zornia,myriadena,Zornia myriadena,Fabaceae,Fabales,Herbaceous,0,0,B,57.54755212,
91,46175,GENBANK,38,F263159,CIAT13701,Pseudarthria,viscida,Pseudarthria viscida,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,60.57707148,62.03438165
92,46175,GENBANK,38,F263159,CIAT13701,Pseudarthria,viscida,Pseudarthria viscida,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,63.49169182,
93,46175,GENBANK,38,F263160,CIAT18859,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,63.04845954,62.43068152
94,46175,GENBANK,38,F263160,CIAT18859,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,61.81290351,
