40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_av_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
48,46175,GENBANK,38,F263139,CIAT918,Rhynchosia,schomburgkii,Rhynchosia schomburgkii,Fabaceae,Fabales,Herbaceous_climber,91.63167367,,9.930161502,,90.0698385,,15.8405336,,44.10998297,,65.12664934,
49,46175,GENBANK,38,F263140,CIAT8215,Rhynchosia,schomburgkii,Rhynchosia schomburgkii,Fabaceae,Fabales,Herbaceous_climber,92.03318673,92.28771203,7.91771408,7.93435849,92.08228592,92.06564151,16.04760881,16.08449674,47.46126667,48.38593979,70.44457286,70.14485092
50,46175,GENBANK,38,F263140,CIAT8215,Rhynchosia,schomburgkii,Rhynchosia schomburgkii,Fabaceae,Fabales,Herbaceous_climber,92.54223733,,7.951002901,,92.0489971,,16.12138467,,49.31061291,,69.84512899,
51,46175,GENBANK,38,F263141,CIAT15008,Centrosema,triquetrum,Centrosema triquetrum,Fabaceae,Fabales,Herbaceous_climber,93.81123775,93.90121976,10.29599659,10.17355196,89.70400341,89.82644804,10.24772297,10.26453876,41.15689964,40.87831545,60.97886538,61.17232307
52,46175,GENBANK,38,F263141,CIAT15008,Centrosema,triquetrum,Centrosema triquetrum,Fabaceae,Fabales,Herbaceous_climber,93.99120176,,10.05110733,,89.94889267,,10.28135454,,40.59973125,,61.36578076,
53,46175,GENBANK,38,F263142,CIAT17334,Dunbaria,nivea,Dunbaria nivea,Fabaceae,Fabales,Herbaceous_climber,94.76,94.79,9.473573162,9.420824982,90.52642684,90.57917502,15.5607715,15.5928469,44.03834722,43.93213434,69.56401994,69.28941954
54,46175,GENBANK,38,F263142,CIAT17334,Dunbaria,nivea,Dunbaria nivea,Fabaceae,Fabales,Herbaceous_climber,94.82,,9.368076801,,90.6319232,,15.62492231,,43.82592146,,69.01481914,
55,46175,GENBANK,38,F263143,CIAT17892,Dioclea,valliana,Dioclea valliana,Fabaceae,Fabales,Herbaceous_climber,91.81,91.83622063,7.796488086,7.953161383,92.20351191,92.04683862,8.655912773,8.402727071,43.96997138,44.57869489,67.62749615,68.48698196
56,46175,GENBANK,38,F263143,CIAT17892,Dioclea,valliana,Dioclea valliana,Fabaceae,Fabales,Herbaceous_climber,91.86244127,,8.109834681,,91.89016532,,8.149541369,,45.18741839,,69.34646776,
57,46175,GENBANK,38,F263144,CIAT17916,Clitoria,falcata,Clitoria falcata,Fabaceae,Fabales,Herbaceous_climber,94.69053095,94.66633704,7.773897568,7.624903243,92.22610243,92.37509676,12.22875619,12.08078981,50.31691434,49.8299131,73.74639286,73.78827183
58,46175,GENBANK,38,F263144,CIAT17916,Clitoria,falcata,Clitoria falcata,Fabaceae,Fabales,Herbaceous_climber,94.64214314,,7.475908917,,92.52409108,,11.93282342,,49.34291186,,73.8301508,
59,46175,GENBANK,38,F263145,CIAT17969,Canavalia,grandiflora,Canavalia grandiflora,Fabaceae,Fabales,Herbaceous_climber,91.35,91.37,13.92141841,13.71347269,86.07858159,86.28652731,8.190306084,7.988300993,35.18824978,34.81698157,53.88076412,54.58460267
60,46175,GENBANK,38,F263145,CIAT17969,Canavalia,grandiflora,Canavalia grandiflora,Fabaceae,Fabales,Herbaceous_climber,91.39,,13.50552698,,86.49447302,,7.786295903,,34.44571337,,55.28844122,
61,46175,GENBANK,38,F263146,CIAT18497,Dioclea,valliana,Dioclea valliana,Fabaceae,Fabales,Herbaceous_climber,91.84326269,91.9032387,9.495323037,9.495323037,90.50467696,90.50467696,12.29281612,12.19101141,53.50310501,53.02547029,73.30908024,73.05168336
62,46175,GENBANK,38,F263146,CIAT18497,Dioclea,valliana,Dioclea valliana,Fabaceae,Fabales,Herbaceous_climber,91.96321471,,9.495323037,,90.50467696,,12.0892067,,52.54783557,,72.79428649,
63,46175,GENBANK,38,F263147,CIAT18521,Rhynchosia,phaseoloides,Rhynchosia phaseoloides,Fabaceae,Fabales,Herbaceous_climber,92.25154969,92.26154769,9.503684439,9.384482011,90.49631556,90.61551799,12.84863542,12.64828506,51.99172389,50.56944257,73.08727414,71.99397156
64,46175,GENBANK,38,F263147,CIAT18521,Rhynchosia,phaseoloides,Rhynchosia phaseoloides,Fabaceae,Fabales,Herbaceous_climber,92.27154569,,9.265279584,,90.73472042,,12.44793469,,49.14716125,,70.90066898,
65,46175,GENBANK,38,F263148,CIAT18631,Dioclea,crenata,Dioclea crenata,Fabaceae,Fabales,Herbaceous_climber,91.73082692,91.80041346,8.049267749,8.038777015,91.95073225,91.96122298,11.20109182,11.09859678,44.2839993,44.73204138,64.67906094,65.07582969
66,46175,GENBANK,38,F263148,CIAT18631,Dioclea,crenata,Dioclea crenata,Fabaceae,Fabales,Herbaceous_climber,91.87,,8.028286281,,91.97171372,,10.99610175,,45.18008346,,65.47259844,
67,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,92.99,92.99,0,0,0,0,0,0,0,0,0,0
68,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,92.99,,0,,0,,0,,0,,0,
69,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,91.52,91.52,0,0,0,0,0,0,0,0,0,0
70,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,91.52,,0,,0,,0,,0,,0,
71,46175,GENBANK,38,F263149,CIAT22303,Macrotyloma,axillare,Macrotyloma axillare,Fabaceae,Fabales,Herbaceous_climber,88.61,88.65056544,7.106553656,7.106198364,92.89344634,92.89380164,22.9365181,22.67292959,32.76627653,32.79228984,54.26694439,53.88804398
72,46175,GENBANK,38,F263149,CIAT22303,Macrotyloma,axillare,Macrotyloma axillare,Fabaceae,Fabales,Herbaceous_climber,88.69113089,,7.105843072,,92.89415693,,22.40934108,,32.81830315,,53.50914356,
73,46175,GENBANK,38,F263150,CIAT18633,Dioclea,crenata,Dioclea crenata,Fabaceae,Fabales,Herbaceous_climber,92.06079392,92.0665861,8.210627108,8.269527746,91.78937289,91.73047225,10.86540327,10.66424664,42.06780829,42.32212647,60.99949165,61.51467539
74,46175,GENBANK,38,F263150,CIAT18633,Dioclea,crenata,Dioclea crenata,Fabaceae,Fabales,Herbaceous_climber,92.07237829,,8.328428385,,91.67157162,,10.46309,,42.57644464,,62.02985914,
75,46175,GENBANK,38,F263151,CIAT21134,Cajanus,goensis,Cajanus goensis,Fabaceae,Fabales,Herbaceous_climber,92.01079892,91.9966021,9.532007582,9.482154488,90.46799242,90.51784551,16.03377967,15.77850341,55.33981103,56.40605656,73.42311255,73.82642985
76,46175,GENBANK,38,F263151,CIAT21134,Cajanus,goensis,Cajanus goensis,Fabaceae,Fabales,Herbaceous_climber,91.98240528,,9.432301393,,90.56769861,,15.52322716,,57.47230209,,74.22974715,
77,46175,GENBANK,38,F263152,CIAT21433,Calopogonium,galactioides,Calopogonium galactioides,Fabaceae,Fabales,Herbaceous_climber,92.07237829,92.04618914,10.68707893,10.68324994,89.31292107,89.31675006,12.58566212,12.5338564,31.4536264,32.17673867,54.4176691,56.32935006
78,46175,GENBANK,38,F263152,CIAT21433,Calopogonium,galactioides,Calopogonium galactioides,Fabaceae,Fabales,Herbaceous_climber,92.02,,10.67942094,,89.32057906,,12.48205069,,32.89985094,,58.24103102,
79,46175,GENBANK,38,F263153,CIAT21475,Rhynchosia,phaseoloides,Rhynchosia phaseoloides,Fabaceae,Fabales,Herbaceous_climber,92.31307477,92.28308677,8.102253033,8.183492201,91.89774697,91.8165078,11.94105956,11.58996622,45.21141224,44.47432896,66.17483555,66.67203313
80,46175,GENBANK,38,F263153,CIAT21475,Rhynchosia,phaseoloides,Rhynchosia phaseoloides,Fabaceae,Fabales,Herbaceous_climber,92.25309876,,8.264731369,,91.73526863,,11.23887288,,43.73724568,,67.16923071,
81,46175,GENBANK,38,F263154,CIAT21951,Pueraria,montana,Pueraria montana,Fabaceae,Fabales,Herbaceous_climber,94.39112178,94.40556089,13.3440026,13.32415181,86.6559974,86.67584819,15.71380752,15.56368916,37.33637905,37.07803345,63.64853067,63.98443706
82,46175,GENBANK,38,F263154,CIAT21951,Pueraria,montana,Pueraria montana,Fabaceae,Fabales,Herbaceous_climber,94.42,,13.30430102,,86.69569898,,15.4135708,,36.81968785,,64.32034345,
