10_sample_serial_no,10_date,10_requisitioner,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_observaciones
88,46203,BREEDING,39,F262915,CIAT-BR04_2515,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
89,46203,BREEDING,39,F262916,CIAT-BR05_931,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
90,46203,BREEDING,39,F262917,CIAT-BR09_5252,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
91,46203,BREEDING,"39, 43",F262918,CIAT-BR12_1176,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,43",OT-025,Batche 94 eliminado y reemplazado por Batche 43
92,46203,BREEDING,39,F262919,CIAT-BR12_1280,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
93,46203,BREEDING,39,F262920,CIAT-BR12_1282,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
94,46203,BREEDING,39,F262921,CIAT-BR12_1325,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
95,46203,BREEDING,"39,43",F262922,CIAT-BR12_1399,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,104",OT-025,Bach 94 reemplazado por Bach 104 (set 43)
96,46203,BREEDING,"39,43",F262923,CIAT-BR12_1418,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,Bach 92 reemplazado por Bach 104 (set 43)
97,46203,BREEDING,"39,43",F262924,CIAT-BR12_1509,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,Bach 94 reemplazado por Bach 104 (set 43)
98,46203,BREEDING,39,F262925,CIAT-BR12_1535,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
99,46203,BREEDING,39,F262926,CIAT-BR12_1685,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
100,46203,BREEDING,39,F262927,CIAT-BR12_1844,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
101,46203,BREEDING,39,F262928,CIAT-BR12_1888,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
102,46203,BREEDING,39,F262929,CIAT-BR12_1939,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
103,46203,BREEDING,39,F262930,CIAT-BR12_2243,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
104,46203,BREEDING,39,F262931,CIAT-BR12_2254,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
105,46203,BREEDING,39,F262932,CIAT-BR12_2255,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
106,46203,BREEDING,39,F262933,CIAT-BR12_2305,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
107,46203,BREEDING,39,F262934,CIAT-BR12_2316,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
