10_sample_serial_no,10_date,10_requisitioner_1,10_requisitioner_2,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_remarks_1,10_remarks_2
Sample serial No,"Date (M,D.Y)",Requisitioner,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Observaciones,
49,46119,Genebank,,34,F260083,CIAT16997,Chloris,gayana,Chloris gayana,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),,
50,46119,Genebank,,34,F260084,CIAT26013,Eragrostis,curvula,Eragrostis curvula,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),,
51,46119,Genebank,,34,F260085,CIAT26028,Hyparrhenia,filipendula,Hyparrhenia filipendula,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),,
52,46119,Genebank,,34,F260086,CIAT26033,Brachiaria,nigropedata,Brachiaria nigropedata,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),,
53,46119,Genebank,,34,F260087,CIAT26063,Paspalum,scrobiculatum,Paspalum scrobiculatum,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),Eliminado,Reproceso Bach 37
54,46119,Genebank,,34,F260088,CIAT26075,Setaria,incrassata,Setaria incrassata,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),,
55,46119,Genebank,,34,F260089,CIAT26079,Setaria,incrassata,Setaria incrassata,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),,
56,46119,Genebank,,34,F260090,CIAT26235,Hyparrhenia,sp.,Hyparrhenia sp.,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),,
57,46119,Genebank,,34,F260091,CIAT26661,Paspalum,virgatum,Paspalum virgatum,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),,
58,46119,Genebank,,34,F260092,CIAT26838,Echinochloa,pyramidalis,Echinochloa pyramidalis,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),,
