10_sample_serial_no,10_date,10_requisitioner_1,10_requisitioner_2,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_remarks_1,10_remarks_2
Sample serial No,"Date (M,D.Y)",Requisitioner,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Observaciones,
305,46161,BREEDING,,37,F260558,CIAT-BR09_3341,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
306,46161,BREEDING,,37,F260559,CIAT-BR09_2715,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
307,46161,BREEDING,,37,F260560,CIAT-BR15_8543,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
308,46161,BREEDING,,37,F260561,CIAT-BR02_1718,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
309,46161,BREEDING,,37,F260562,CIAT-BR12_804,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
310,46161,BREEDING,,37,F260563,CIAT-BR15_1462,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
311,46161,BREEDING,,37,F261076,CIAT-BR06_423_Opt_F,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-019 (2026) Repro Verificacion,,
312,46161,BREEDING,,37,F261077,CIAT_MulatoII_Opt_D,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-019 (2026) Repro Verificacion,,
313,46161,BREEDING,,37,F243584,ABC-BR06_0423,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-035 (2024) Repro Verificacion,,
314,46161,BREEDING,,37,F243592 ,ABC-Mulato_II,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-035 (2024) Repro Verificacion,,
315,46161,GENBANK,,37,F251772 ,CIAT-22311,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,"86,87,88",OT-010 (2025),,
316,46161,GENBANK,,37,F251692 ,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,"86,87,88",OT-008 (2025),,
317,46161,ISABEL MOLINA,Isabel Molina,37,F261072 (100%),Leu_div ILRI 15551,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,Fabales,Fabales,"86,87,88",OT-018 (2026),,
318,46161,ISABEL MOLINA,Isabel Molina,37,F263137 ( 100%) ,Estrella CIAT,Cynodon,nlenfuensis,Cynodon nlemfuensis, Poaceae,Poales,,"86,87,88",OT-027 (2026),,
319,46161,ISABEL MOLINA,Isabel Molina,37,F263138 (100%) ,CIAT17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"86,87,88",OT-027 (2026),,
320,46161,ISABEL MOLINA,Isabel Molina,37,F262902 (100%),STAR GRASS -Porvenir,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,,"86,87,88",OT-024 (2026),,
321,46161, ISABEL MOLINA/ EXP Camaras In vivo ,Isabel Molina,37,Dieta 1 : F263137 + F261072 (40%/60%) Estrella/Leucaena),Dieta 1 : F263137 + F261072 (40%/60%) Estrella/Leucaena),N/A,N/A,N/A,N/A,N/A,N/A,"86,87,88", OT-018 (2026) y OT-027 (2026),,
322,46161, ISABEL MOLINA/ EXP Camaras In vivo ,Isabel Molina,37,Dieta 2 : F263137 + F263138 (55%/45%) Estrella/Canavalia),Dieta 2 : F263137 + F263138 (55%/45%) Estrella/Canavalia),N/A,N/A,N/A,N/A,N/A,N/A,"86,87,88",OT-018 (2026) y OT-027 (2026),,
323,46161,GENBANK,,37,F260042 ,CIAT33127,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"86,87,88",OT-002 (2026) reproceso,,
324,46161,GENBANK,,37,F260048,CIAT6080,Eragrostis,curvula,Eragrostis curvula,Poaceae,Poales,Grasses,"86,87,88",OT-002 (2026) reproceso,,
325,46161,GENBANK,,37,F260059,CIAT16081,Paspalum,secans,Paspalum secans,Poaceae,Poales,Grasses,"86,87,88",OT-002 (2026) reproceso,Eliminada,Reproceso Set 32
326,46161,GENBANK,,37,F260063,CIAT16254,Hyparrhenia,hirta,Hyparrhenia hirta,Poaceae,Poales,Grasses,"86,87,88",OT-002 (2026) reproceso,,
327,46161,GENBANK,,37,F260066,CIAT16379,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,"86,87,88",OT-002 (2026) reproceso,,
328,46161,GENBANK,,37,F260068,CIAT16561,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,"86,87,88",OT-002 (2026) reproceso,,
329,46161,BREEDING,,37,F260566,CIAT_679_Tully_Exc,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-008 (2026) reproceso,Eliminada,Reproceso set 32
330,46161,BREEDING,,37,F252184,CIAT-BH22_0303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"86,87,88",OT-021(2025) reproceso,,
331,46161,BREEDING,,37,F252192,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"86,87,88",OT-021(2025) reproceso,Eliminada,Reproceso Bach 34
332,46161,GENBANK,,37,F260076,CIAT16690,Cynodon,sp.,Cynodon sp.,Poaceae,Poales,Grasses,"86,87,88",OT-002(2026)  reproceso,Eliminada,Reproceso Set 32
333,46161,GENBANK,,37,F260106,CIAT36088,Paspalum,dilatatum,Paspalum dilatatum,Poaceae,Poales,Grasses,"86,87,88",OT-002(2026)  reproceso,Eliminada,Reproceso Set 34
334,46161,LMF,JACOBO ARANGO/ ALEJANDRO MONTOYA,37,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,"86,87,88",OT-001(2025),,
