40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
46,46090,Genebank,32,F260065,CIAT16309,Brachiaria,brizantha,Brachiaria brizantha,Poaceae,Poales,Grasses,94.65160452,,18.31902815,,81.68097185,,13.64938134,,32.31832163,,64.57271673,
47,46090,Genebank,32,F260066,CIAT16379,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,,,,,,,,,,,,
48,46090,Genebank,32,F260066,CIAT16379,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,,,,,,,,,,,,
49,46090,Genebank,32,F260067,CIAT16537,Sporobolus,sp.,Sporobolus sp.,Poaceae,Poales,Grasses,96.16230262,96.71156219,15.22172424,14.43840057,84.77827576,85.56159943,14.1634369,14.1634369,33.56950963,33.40263389,68.45811919,68.48610038
50,46090,Genebank,32,F260067,CIAT16537,Sporobolus,sp.,Sporobolus sp.,Poaceae,Poales,Grasses,97.26082175,,13.6550769,,86.3449231,,14.1634369,,33.23575816,,68.51408157,
51,46090,Genebank,32,F260068,CIAT16561,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,,,,,,,,,,,,
52,46090,Genebank,32,F260068,CIAT16561,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,,,,,,,,,,,,
53,46090,Genebank,32,F260069,CIAT16569,Panicum,infestum,Panicum infestum,Poaceae,Poales,Grasses,94.32283858,94.4130683,12.77785823,11.75043564,87.22214177,88.24956436,12.55941282,12.55941282,34.7791535,34.93864354,70.49140595,70.89675529
54,46090,Genebank,32,F260069,CIAT16569,Panicum,infestum,Panicum infestum,Poaceae,Poales,Grasses,94.50329802,,10.72301306,,89.27698694,,12.55941282,,35.09813359,,71.30210463,
55,46090,Genebank,32,F260070,CIAT16629,Echinochloa,haploclada,Echinochloa haploclada,Poaceae,Poales,Grasses,93.59064094,93.64626518,12.10818829,11.86678404,87.89181171,88.13321596,12.907679,12.907679,36.03452951,35.87014961,66.88613842,66.75429913
56,46090,Genebank,32,F260070,CIAT16629,Echinochloa,haploclada,Echinochloa haploclada,Poaceae,Poales,Grasses,93.70188943,,11.62537978,,88.37462022,,12.907679,,35.70576972,,66.62245984,
57,46090,Genebank,32,F260071,CIAT16635,Cenchrus,ciliaris,Cenchrus ciliaris,Poaceae,Poales,Grasses,92.45075492,92.44726652,13.9416898,13.98214914,86.0583102,86.01785086,17.78783866,17.78783866,34.74222313,34.57432209,67.26750911,67.32981899
58,46090,Genebank,32,F260071,CIAT16635,Cenchrus,ciliaris,Cenchrus ciliaris,Poaceae,Poales,Grasses,92.44377811,,14.02260849,,85.97739151,,17.78783866,,34.40642106,,67.39212886,
59,46090,Genebank,32,F260072,CIAT16644,Cenchrus,ciliaris,Cenchrus ciliaris,Poaceae,Poales,Grasses,89.65,89.65258621,11.20993875,11.19598907,88.79006125,88.80401093,16.22808678,16.25908387,39.0251629,38.72225793,65.99777033,66.05083138
60,46090,Genebank,32,F260072,CIAT16644,Cenchrus,ciliaris,Cenchrus ciliaris,Poaceae,Poales,Grasses,89.65517241,,11.18203939,,88.81796061,,16.29008096,,38.41935296,,66.10389243,
61,46090,Genebank,32,F260073,CIAT16665,Chloris,gayana,Chloris gayana,Poaceae,Poales,Grasses,94.48220712,94.59216313,12.078622,12.11032442,87.921378,87.88967558,16.08145846,16.08145846,33.81355607,33.80982273,63.23892456,63.56925105
62,46090,Genebank,32,F260073,CIAT16665,Chloris,gayana,Chloris gayana,Poaceae,Poales,Grasses,94.70211915,,12.14202684,,87.85797316,,16.08145846,,33.8060894,,63.89957753,
63,46090,Genebank,32,F260074,CIAT16666,Chloris,gayana,Chloris gayana,Poaceae,Poales,Grasses,94.20057994,94.21173425,14.13695251,14.14473562,85.86304749,85.85526438,13.91847907,13.91847907,37.88134879,37.81039291,65.57857355,65.75635514
64,46090,Genebank,32,F260074,CIAT16666,Chloris,gayana,Chloris gayana,Poaceae,Poales,Grasses,94.22288856,,14.15251873,,85.84748127,,13.91847907,,37.73943703,,65.93413672,
65,46090,Genebank,32,F260075,CIAT16683,Cynodon,sp.,Cynodon sp.,Poaceae,Poales,Grasses,93.04139172,93.11205932,11.34964311,11.40755359,88.65035689,88.59244641,13.05790121,13.05790121,34.00054761,33.90547693,60.24721534,60.2307969
66,46090,Genebank,32,F260075,CIAT16683,Cynodon,sp.,Cynodon sp.,Poaceae,Poales,Grasses,93.18272691,,11.46546407,,88.53453593,,13.05790121,,33.81040625,,60.21437846,
67,46090,Genebank,32,F260076,CIAT16690,Cynodon,sp.,Cynodon sp.,Poaceae,Poales,Grasses,,,,,,,,,,,,
68,46090,Genebank,32,F260076,CIAT16690,Cynodon,sp.,Cynodon sp.,Poaceae,Poales,Grasses,,,,,,,,,,,,
69,46090,Genebank,32,F260077,CIAT16727,Bothriochloa,sp.,Bothriochloa sp.,Poaceae,Poales,Grasses,94.1734959,94.14263119,13.69439592,13.60087851,86.30560408,86.39912149,14.47048618,14.47048618,39.29232569,39.48677097,67.04702297,66.98698698
70,46090,Genebank,32,F260077,CIAT16727,Bothriochloa,sp.,Bothriochloa sp.,Poaceae,Poales,Grasses,94.11176647,,13.5073611,,86.4926389,,14.47048618,,39.68121625,,66.92695099,
71,46090,Genebank,32,F260078,CIAT16896,Brachiaria,bovonei,Brachiaria bovonei,Poaceae,Poales,Grasses,93.70125975,93.5875877,8.460968502,8.437919782,91.5390315,91.56208022,11.68093821,11.68093821,39.01122441,38.15674274,65.65295435,65.44821476
72,46090,Genebank,32,F260078,CIAT16896,Brachiaria,bovonei,Brachiaria bovonei,Poaceae,Poales,Grasses,93.47391565,,8.414871062,,91.58512894,,11.68093821,,37.30226107,,65.24347516,
73,46090,Genebank,32,F260079,CIAT16903,Brachiaria,nigropedata,Brachiaria nigropedata,Poaceae,Poales,Grasses,94.75104979,94.74631366,10.73178049,10.57824971,89.26821951,89.42175029,16.95741843,16.95741843,35.44999398,35.67411127,66.86212402,67.21683198
74,46090,Genebank,32,F260079,CIAT16903,Brachiaria,nigropedata,Brachiaria nigropedata,Poaceae,Poales,Grasses,94.74157753,,10.42471892,,89.57528108,,16.95741843,,35.89822856,,67.57153993,
75,46090,Breeding,32,F260564,BR02_1752_Cayman_Opt,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.39056094,94.41139403,13.14328557,13.10955174,86.85671443,86.89044826,14.98440906,14.90973138,25.67838636,25.62282053,52.16374287,52.1186293
76,46090,Breeding,32,F260564,BR02_1752_Cayman_Opt,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.43222711,,13.07581792,,86.92418208,,14.83505369,,25.56725471,,52.07351573,
77,46090,Breeding,32,F260565,BR06_423_Cayman_Opt,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.36112777,94.42083986,12.91829273,12.92423349,87.08170727,87.07576651,10.6893086,10.61701826,29.6168565,29.31210108,57.52807133,56.93511184
78,46090,Breeding,32,F260565,BR06_423_Cayman_Opt,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.48055194,,12.93017425,,87.06982575,,10.54472791,,29.00734565,,56.34215235,
79,46090,Breeding,32,F260566,CIAT_679_Tully_Exc,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,,,,,,,,,,,,
80,46090,Breeding,32,F260566,CIAT_679_Tully_Exc,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,,,,,,,,,,,,
