42_no,42_requisitioer,42_set_ciat,42_ciat_lab_id,42_gene_bank_breeding_program_id,42_genus,42_species,42_tax_name,42_family,42_order,42_functional_group,42_net_gas_8_24h_ml,42_net_gas_24h_ml,42_gas_ml_g_dm_incubated_24h,42_percentage_dmd_truly_digestibility,42_part_fact,42_ch4_percentage_in_gas_8h,42_ch4_percentage_in_gas_24h,42_ch4_ml_g_dm_incubated_24h,42_ch4_ml_g_dmd_24h,42_ch4_ml_g_ndf_digested_in_24h,42_ch4_g_g_dm_incubated_24h,42_ch4_g_g_dmd_24h
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group7,"Net gas 8-24h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
238,Breding ,21,F25-2149,CIAT-CIAT_26146,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,0.835116356,2.43289931,8.840170875,5.755056087,0.500103736,0.324703093,0.312441108,1.558935217,7.703413379,7.93369915,0.865236017,4.275527702
239,Breding ,21,F25-2150,CIAT-CIAT_26149,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,0.649488995,2.711998059,9.038471352,5.363592964,0.460111997,0.22166597,0.298366695,1.589640869,6.945963976,7.943555027,0.882278184,3.855130179
240,Breding ,21,F25-2151,CIAT-CIAT_26160,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,1.14306764,2.903562569,12.96626898,6.644506131,0.616001916,0.265739128,0.33239741,2.241117199,9.749573904,9.710674693,1.243858819,5.411182195
241,Breding ,21,F25-2152,CIAT-CIAT_26415,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,0.738324626,1.919719584,12.01748057,4.486058722,0.521943383,0.144871165,0.251502299,1.901889924,7.662112115,6.498001254,1.055581813,4.252604786
242,Breding ,21,F25-2153,CIAT-BH22_4092,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,1.104344738,2.034054255,8.349527392,4.969129495,0.401674047,0.194365063,0.392974068,1.595317852,7.684690024,7.372519677,0.885429009,4.265135916
243,Breding ,21,F25-2154,CIAT-CIAT_26438,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,0.82664036,3.866105528,9.606912056,9.006073295,0.570291857,0.365892814,0.519762597,2.09266071,17.85122539,12.41287384,1.161462899,9.907738934
244,Breding ,21,F25-2155,CIAT-CIAT_26570,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,0.822078971,2.137812443,4.871072744,4.420845414,0.325034683,0.638792263,0.739572839,1.111880594,3.446910235,6.656298731,0.617112966,1.913094815
245,Breding ,21,F25-2156,CIAT-BH22_3115,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,0.975318471,3.549404144,7.053332457,8.307540519,0.501980153,0.294811092,0.374908953,1.359324653,16.18913856,11.70253885,0.7544487,8.98525199
246,Breding ,21,F25-2157,CIAT-BH22_1375,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,1.055894802,2.34676402,11.8738952,8.140153589,0.486850751,0.328260723,0.513206237,2.452042107,13.37396424,12.03089006,1.360925792,7.422781539
247,Breding ,21,F25-2158,CIAT-CIAT_6133,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,1.277918502,1.774147746,8.479765047,8.503940402,0.639616833,0.232992949,0.321147512,1.325570283,16.37582749,11.66607247,0.735714441,9.088867575
248,Breding ,21,F25-2159,CIAT-CIAT_679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,1.188175258,3.244303017,9.60788798,8.852076179,0.592662706,0.182574186,0.369396826,1.833782875,14.82300961,12.50763195,1.017781222,8.22702679
249,Breding ,21,F25-2160,CIAT-BH22_4865,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,2.315943094,5.507016504,15.62085863,9.917842205,0.951404693,0.345506874,0.472431922,2.587356411,22.96838058,14.73010901,1.436027572,12.7478486
250,Breding ,21,F25-2161,CIAT-BH22_1706,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,2.468777989,5.791089173,14.16745472,9.098273999,0.730819394,0.264575131,0.389733297,2.131308928,18.03145974,12.57255197,1.182913329,10.00777212
251,Breding ,21,F25-2162,CIAT-BH22_4169,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,2.470213841,4.003887687,11.87847706,9.940698998,0.587816511,0.346410162,0.477626134,2.026411054,22.98474807,13.7564943,1.124693194,12.75693284
252,Breding ,21,F25-2163,CIAT-BH22_1258,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,2.310589433,2.838731459,9.426884477,7.055294246,0.383101073,0.316227766,0.44529396,1.606915518,19.99521538,9.921148429,0.891865914,11.09769048
253,Breding ,21,F25-2164,CIAT-BH22_1370,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,1.176334573,2.350686679,8.087141717,9.20290577,0.738776317,0.226778684,0.41259659,1.259239591,11.123388,13.90852183,0.698899759,6.173672788
254,Breding ,21,F25-2165,CIAT-BH22_2225,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,1.753375582,2.798448136,7.724542435,5.229697593,0.412375895,0.45,0.401874341,1.390013031,7.874582524,7.151984139,0.771481281,4.370529539
255,Breding ,21,F25-2166,CIAT-BH22_0528,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,,,,,,,,,,,
256,Breding ,21,F25-2167,CIAT-BH22_3507,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,2.065488998,3.856233775,13.06623939,9.692887558,0.747739799,0.3122499,0.414716102,2.361434317,38.46864574,13.48721167,1.310636901,21.35076394
257,Breding ,21,F25-2168,CIAT-BH22_4253,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,1.785523656,4.299815245,13.48894903,8.41425196,0.739913901,0.372677996,0.419899551,1.889754423,15.57218204,12.37137786,1.048846399,8.642830445
258,Breding ,21,F25-2169,CIAT-BH22_2189,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,1.315160934,3.27450285,13.25065652,9.306969009,0.84138586,0.329983165,0.465937175,2.246141176,27.89921547,13.64596901,1.246647213,15.48454727
259,Breding ,21,F25-2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,,,,,,,,,,,
260,Breding ,21,F25-2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,,,,,,,,,,,
261,Breding ,21,F25-2172,CIAT-BH22_0132,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,3.265284835,6.037644693,18.86802212,9.049366849,1.017516032,0.398608691,0.473784304,2.887271155,28.86125684,12.58693181,1.602485444,16.01849688
262,Breding ,21,F25-2173,CIAT-BH22_3521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,2.542939186,6.879971876,15.25020408,9.778564098,0.941811328,0.302305952,0.502881988,2.218209446,16.89855558,14.42415966,1.23114462,9.378990709
263,LMF,21,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,1.004621159,1.461427778,5.296781672,14.76774835,1.714128476,0.284583299,0.357744737,0.815658653,8.070404579,#DIV/0!,0.452704664,4.479214168
264,LMF,21,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,,,,,,,,,,,,
265,LMF,21,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,,,,,,,,,,,,
266,Breding ,22,F25-2174,CIAT-BH22_2074,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,2.428454973,10.16740853,20.9749178,2.917772324,0.269568277,0.884433277,0.419398277,3.275504615,5.445726098,3.310066542,1.817961731,3.022472201
267,Breding ,22,F25-2175,CIAT-BH22_0456,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,3.714213649,6.913552727,14.36270502,7.871763767,0.41453776,0.373956883,0.51547642,2.502497042,12.16251684,11.66652458,1.388929154,6.750407273
268,Breding ,22,F25-2176,CIAT-BH22_1832,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,3.366643921,3.84230192,7.929567604,6.402932885,0.370963188,0.335638289,0.452127042,1.874120017,11.38883819,10.94311554,1.040169034,6.321002232
269,Breding ,22,F25-2177,CIAT-BH22_1872,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,3.45625457,5.894897188,12.10277587,9.856415608,0.601327882,0.37032804,0.358632265,2.278646444,26.32336379,13.17787372,1.264688199,14.60992233
270,Breding ,22,F25-2178,CIAT-BH22_0071,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,2.703991752,4.58889877,9.433503618,2.429928688,0.215380776,0.338706691,0.488802854,2.074945122,4.443158603,3.39921873,1.151630441,2.466029896
271,Breding ,22,F25-2179,CIAT-BH22_4454,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,1.782644323,2.749682209,5.628838112,2.136921396,0.171748673,0.33374974,0.211738675,1.062179805,3.842906316,3.087807358,0.589528168,2.132879492
272,Breding ,22,F25-2180,CIAT-BH22_1267,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,3.111758161,4.852743614,9.97086212,3.392213141,0.117054961,0.353160335,0.350658472,1.89940015,2.353410274,4.804589025,1.054199945,1.306183419
273,Breding ,22,F25-2181,CIAT-BH22_1303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,3.884526937,5.269199026,10.89365082,3.267589974,0.308393254,0.346410162,0.38532284,2.194819298,7.33218678,4.443921638,1.218162683,4.069490517
274,Breding ,22,F25-2182,CIAT-BH22_2508,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,3.905114509,5.176396373,10.54928434,9.754871928,0.674640173,0.387298335,0.424104509,2.086302126,23.88644158,13.68566354,1.157933775,13.25738834
275,Breding ,22,F25-2183,CIAT-BH22_2046,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,3.622230126,5.336159006,10.99018314,8.707965888,0.587414359,0.338061702,0.366461353,2.085691048,26.05211143,12.55429184,1.157594616,14.45937257
#REF!,LMF,22,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,2.044168184,1.772412621,7.872768938,12.81143907,0.748387707,0.77172246,0.493782014,1.15509213,35.12061263,0,0.641096117,19.49254763
#REF!,LMF,22,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,5.255682746,15.57170677,33.21044087,11.41940427,0.824919284,1.600382607,0.833449196,4.895149439,15.70290343,0,2.71689263,8.715383083
