40qraw_no,40qraw_set_ciat,40qraw_sample_id,40qraw_gene_bank_breeding_program_id,40qraw_genus,40qraw_species,40qraw_tax_name,40qraw_family,40qraw_order,40qraw_functional_group,40qraw_replication_dm_percentage,40qraw_dm_percentage,40qraw_av_dm_105,40qraw_ash_dm,40qraw_av_ash_percentage,40qraw_om_percentage,40qraw_om_percentage,40qraw_pc_percentage_dm,40qraw_av_pc_percentage,40qraw_adf_percentage_dm,40qraw_av_adf_percentage_dm,40qraw_ndf_percentage_dm,40qraw_av_ndf_percentage_dm
No,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Replication,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
245,17,F25-0953,ABC-23279,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,93.34,93.49,10.56,10.63,89.44,89.37,19.89,19.89,22.15,22.24,44.14,45.635
246,17,F25-0953,ABC-23279,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,93.64,,10.7,,89.3,,19.89,,22.33,,47.13,
247,17,F25-0954,ABC-23326,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,95.77,95.84,14.95,15.05,85.05,84.95,18.11,18.11,23.08,23,40.57,40
248,17,F25-0954,ABC-23326,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,95.91,,15.15,,84.85,,18.11,,22.92,,39.43,
249,17,F25-0955,ABC-33255,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,94.85,94.96,13.82,13.77,86.18,86.23,18.56,18.56,25.84,25.18,45.1,45.4
250,17,F25-0955,ABC-33255,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,95.07,,13.72,,86.28,,18.56,,24.52,,45.7,
251,17,F25-0956,ABC-33428,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,96.1,96.18,9.54,9.495,90.46,90.505,17.04,17.04,34.21,34.06,50.61,50.625
252,17,F25-0956,ABC-33428,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,96.26,,9.45,,90.55,,17.04,,33.91,,50.64,
253,17,F25-0957,ABC-33451,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,95.89,96,7.79,7.795,92.21,92.205,14.71,14.71,34.54,34.35,46.03,45.905
254,17,F25-0957,ABC-33451,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,96.11,,7.8,,92.2,,14.71,,34.16,,45.78,
255,17,F25-0958,ABC-33463,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,96.24,96.225,15.22,15.16,84.78,84.84,16.08,16.13,24.12,23.845,40.18,39.72
256,17,F25-0958,ABC-33463,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,96.21,,15.1,,84.9,,16.18,,23.57,,39.26,
257,17,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,0,0,0,0,0,0
258,17,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,B,91.32173565,,10.12699803,,89.87300197,,0,,0,,0,
259,17,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,89.69309597,6.183844011,6.035393965,93.81615599,93.96460604,0,0,0,0,0,0
260,17,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,0,,0,,0,
261,17,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,0,0,0,0,0,0
262,17,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,0,,0,,0,
263,18,F25-0959,ABC-350,Desmodium,heterocarpon,Desmodium heterocarpon,Fabaceae,Fabales,Herbaceous,A,94.33,94.335,8.77,8.73,91.23,91.27,14.87,14.87,40.82,40.83,51.14,51.355
264,18,F25-0959,ABC-350,Desmodium,heterocarpon,Desmodium heterocarpon,Fabaceae,Fabales,Herbaceous,B,94.34,,8.69,,91.31,,14.87,,40.84,,51.57,
265,18,F25-0960,ABC-3187,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,A,93.99,94.04,11.83,11.895,88.17,88.105,20.67,20.67,22.06,22.195,35.29,35.935
266,18,F25-0960,ABC-3187,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,B,94.09,,11.96,,88.04,,20.67,,22.33,,36.58,
267,18,F25-0961,ABC-4028,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,A,94.44,94.515,11.74,11.85,88.26,88.15,12.55,12.55,47.43,46.68,64.49,65.42
268,18,F25-0961,ABC-4028,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,B,94.59,,11.96,,88.04,,12.55,,45.93,,66.35,
269,18,F25-0962,ABC-5277,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,A,91.39,91.43,7.47,7.55,92.53,92.45,19.78,19.78,32.2,31.585,62.63,61.88
270,18,F25-0962,ABC-5277,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,B,91.47,,7.63,,92.37,,19.78,,30.97,,61.13,
271,18,F25-0963,ABC-7227,Galactia,texana,Galactia texana,Fabaceae,Fabales,Climber,A,93.19,93.045,16.04,16.045,83.96,83.955,12.52,12.52,26.41,26.875,40.77,41.77
272,18,F25-0963,ABC-7227,Galactia,texana,Galactia texana,Fabaceae,Fabales,Climber,B,92.9,,16.05,,83.95,,12.52,,27.34,,42.77,
273,18,F25-0964,ABC-8013,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,A,93.67,93.735,10.67,10.605,89.33,89.395,22.95,22.95,17.69,17.85,58.43,61.05
274,18,F25-0964,ABC-8013,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,B,93.8,,10.54,,89.46,,22.95,,18.01,,63.67,
275,18,F25-0965,ABC-8156,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,A,94.04,94.11,9.99,9.97,90.01,90.03,24.22,24.22,33,33.735,59.21,58.735
276,18,F25-0965,ABC-8156,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,B,94.18,,9.95,,90.05,,24.22,,34.47,,58.26,
277,18,F25-0966,ABC-9323,Crotalaria,vitellina,Crotalaria vitellina,Fabaceae,Fabales,Herbaceous,A,92.39,92.4,6.06,6.06,93.94,93.94,25.36,25.36,17.53,17.475,44.9,45.445
278,18,F25-0966,ABC-9323,Crotalaria,vitellina,Crotalaria vitellina,Fabaceae,Fabales,Herbaceous,B,92.41,,6.06,,93.94,,25.36,,17.42,,45.99,
279,18,F25-0967,ABC-9537,Crotalaria,sagittalis,Crotalaria sagittalis,Fabaceae,Fabales,Herbaceous,A,91.79,91.78,12.96,13.025,87.04,86.975,22.86,22.86,20.06,19.84,49.8,50.48
280,18,F25-0967,ABC-9537,Crotalaria,sagittalis,Crotalaria sagittalis,Fabaceae,Fabales,Herbaceous,B,91.77,,13.09,,86.91,,22.86,,19.62,,51.16,
281,18,F25-0968,ABC-9690,Aeschynomene,histrix,Aeschynomene histrix,Fabaceae,Fabales,Herbaceous,A,93.75,93.78,11.33,11.435,88.67,88.565,20.06,20.22,17.12,17.605,48.29,49.99
282,18,F25-0968,ABC-9690,Aeschynomene,histrix,Aeschynomene histrix,Fabaceae,Fabales,Herbaceous,B,93.81,,11.54,,88.46,,20.38,,18.09,,51.69,
283,18,F25-0969,ABC-9900,Pueraria,phaseoloides,Pueraria phaseoloides,Fabaceae,Fabales,Climber,A,92.74,92.795,10.48,10.57,89.52,89.43,18.92,18.92,32.59,32.74,54.28,55.455
284,18,F25-0969,ABC-9900,Pueraria,phaseoloides,Pueraria phaseoloides,Fabaceae,Fabales,Climber,B,92.85,,10.66,,89.34,,18.92,,32.89,,56.63,
285,18,F25-0970,ABC-11998,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,94.64,94.605,12.75,12.785,87.25,87.215,14.22,14.22,32.85,33.375,62.03,63.5
286,18,F25-0970,ABC-11998,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,94.57,,12.82,,87.18,,14.22,,33.9,,64.97,
287,18,F25-0971,ABC-13149,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,A,93.7,93.775,8.14,8.185,91.86,91.815,13.45,13.45,35.26,35.325,51,49.675
288,18,F25-0971,ABC-13149,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,B,93.85,,8.23,,91.77,,13.45,,35.39,,48.35,
289,18,F25-0972,ABC-13389,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,A,93.77,93.82,8.21,8.245,91.79,91.755,14.94,14.94,48.58,48.335,57.34,57.13
290,18,F25-0972,ABC-13389,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,B,93.87,,8.28,,91.72,,14.94,,48.09,,56.92,
291,18,F25-0973,ABC-13651,Desmodium,heterocarpon,Desmodium heterocarpon,Fabaceae,Fabales,Herbaceous,A,95,95.045,9.19,9.165,90.81,90.835,16.15,16.15,37.77,38.99,54.75,55.595
292,18,F25-0973,ABC-13651,Desmodium,heterocarpon,Desmodium heterocarpon,Fabaceae,Fabales,Herbaceous,B,95.09,,9.14,,90.86,,16.15,,40.21,,56.44,
293,18,F25-0974,ABC-13946,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,A,93.83,93.825,6.83,6.805,93.17,93.195,14.37,14.37,52.96,53.08,60.63,60.83
294,18,F25-0974,ABC-13946,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,B,93.82,,6.78,,93.22,,14.37,,53.2,,61.03,
295,18,F25-0975,ABC-15160,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,A,94.51,94.535,10.15,10.005,89.85,89.995,21.46,21.46,35.06,35.17,61.9,61.86
296,18,F25-0975,ABC-15160,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,B,94.56,,9.86,,90.14,,21.46,,35.28,,61.82,
297,18,F25-0976,ABC-17000,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,A,94.53,94.575,7.86,7.84,92.14,92.16,17.38,17.38,24.57,24.195,48.01,48.795
298,18,F25-0976,ABC-17000,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,B,94.62,,7.82,,92.18,,17.38,,23.82,,49.58,
299,18,F25-0977,ABC-17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,A,94.64,94.78,11.71,11.77,88.29,88.23,22.97,22.97,15.61,15.645,39.81,39.875
300,18,F25-0977,ABC-17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,B,94.92,,11.83,,88.17,,22.97,,15.68,,39.94,
301,18,F25-0978,ABC-18700,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,A,93.86,93.9,7.37,7.355,92.63,92.645,23.27,22.875,43.33,42.285,54.44,54.12
302,18,F25-0978,ABC-18700,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,B,93.94,,7.34,,92.66,,22.48,,41.24,,53.8,
303,18,F25-0979,ABC-18873,Alysicarpus,ferrugineus,Alysicarpus ferrugineus,Fabaceae,Fabales,Herbaceous,A,95.08,95.02,9.59,9.335,90.41,90.665,15.36,15.36,34.94,34.52,51.75,51.78
304,18,F25-0979,ABC-18873,Alysicarpus,ferrugineus,Alysicarpus ferrugineus,Fabaceae,Fabales,Herbaceous,B,94.96,,9.08,,90.92,,15.36,,34.1,,51.81,
305,18,F25-0980,ABC-19867,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,A,95.86,95.9,15.49,15.455,84.51,84.545,19.32,19.32,25.22,25.83,43.08,44.285
306,18,F25-0980,ABC-19867,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,B,95.94,,15.42,,84.58,,19.32,,26.44,,45.49,
307,18,F25-0981,ABC-20207,Aeschynomene,sensitiva,Aeschynomene sensitiva,Fabaceae,Fabales,Herbaceous,A,90.66,90.74,5.97,5.985,94.03,94.015,21.92,21.92,25.28,25.335,52.56,52.9
308,18,F25-0981,ABC-20207,Aeschynomene,sensitiva,Aeschynomene sensitiva,Fabaceae,Fabales,Herbaceous,B,90.82,,6,,94,,21.92,,25.39,,53.24,
309,18,F25-0982,ABC-20709,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,A,93.88,93.935,8.98,9.01,91.02,90.99,16.64,16.64,33.42,33.13,49.09,48.825
310,18,F25-0982,ABC-20709,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,B,93.99,,9.04,,90.96,,16.64,,32.84,,48.56,
311,18,F25-0983,ABC-18437,Flemingia,macrophylla,Flemingia macrophylla,Fabaceae,Fabales,Shrub,A,95.59,95.67,4.87,4.875,95.13,95.125,17.19,17.19,47.36,47.665,64.94,65.075
312,18,F25-0983,ABC-18437,Flemingia,macrophylla,Flemingia macrophylla,Fabaceae,Fabales,Shrub,B,95.75,,4.88,,95.12,,17.19,,47.97,,65.21,
313,18,F25-0984,ABC-25522,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,A,95.26,95.305,9.96,9.9,90.04,90.1,20.98,20.98,28.78,28.86,51.41,50.65
314,18,F25-0984,ABC-25522,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,B,95.35,,9.84,,90.16,,20.98,,28.94,,49.89,
315,18,F25-0985,ABC-25704,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,A,95.73,95.745,7.13,7.195,92.87,92.805,24.11,24.11,32.1,32.585,60.31,58.64
316,18,F25-0985,ABC-25704,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,B,95.76,,7.26,,92.74,,24.11,,33.07,,56.97,
317,18,F25-0986,ABC-33729,Desmodium,cinereum,Desmodium cinereum,Fabaceae,Fabales,Shrub,A,94.11,94.15,15.68,15.73,84.32,84.27,19.2,19.2,22.75,22.875,40.13,40.07
318,18,F25-0986,ABC-33729,Desmodium,cinereum,Desmodium cinereum,Fabaceae,Fabales,Shrub,B,94.19,,15.78,,84.22,,19.2,,23,,40.01,
319,18,F25-0987,ABC-33827,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,A,93.81,93.88,15.51,15.545,84.49,84.455,16.09,16.09,40.29,40.085,49.17,49.1
320,18,F25-0987,ABC-33827,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,B,93.95,,15.58,,84.42,,16.09,,39.88,,49.03,
321,18,F25-0988,ABC-8512,Calopogonium,caeruleum,Calopogonium caeruleum,Fabaceae,Fabales,Climber,A,92.91,92.935,10.38,10.36,89.62,89.64,22.25,22.41,30.42,30.93,49.06,50.425
322,18,F25-0988,ABC-8512,Calopogonium,caeruleum,Calopogonium caeruleum,Fabaceae,Fabales,Climber,B,92.96,,10.34,,89.66,,22.57,,31.44,,51.79,
323,18,F25-0989,ABC-11833,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,94.9,94.97,9.83,9.915,90.17,90.085,13.53,13.53,41.53,41.13,63.5,64.995
324,18,F25-0989,ABC-11833,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,95.04,,10,,90,,13.53,,40.73,,66.49,
325,18,F25-2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis,Poaceae,Poales,Grasses,A,92.11,92.175,9.45,9.295,90.55,90.705,5.75,5.74,39.56,40.04,77.29,77.785
326,18,F25-2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis,Poaceae,Poales,Grasses,B,92.24,,9.14,,90.86,,5.73,,40.52,,78.28,
327,18,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,0,0,0,0,0,0
328,18,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,B,91.32173565,,10.12699803,,89.87300197,,0,,0,,0,
329,18,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,89.69309597,6.183844011,6.035393965,93.81615599,93.96460604,0,0,0,0,0,0
330,18,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,0,,0,,0,
331,18,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,0,0,0,0,0,0
332,18,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,0,,0,,0,
333,19,F25-2077,CIAT-PM21_3535,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,95.15096981,95.23688806,13.80491403,13.78641395,86.19508597,86.21358605,11.94935933,11.94955278,34.67300136,34.87636775,68.02021381,68.35141909
334,19,F25-2077,CIAT-PM21_3535,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,95.32280632,,13.76791387,,86.23208613,,11.94974623,,35.07973413,,68.68262437,
335,19,F25-2078,CIAT-PM21_6106,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.92182345,93.92273463,13.03872396,12.98888633,86.96127604,87.01111367,15.78289046,15.69078512,30.68006565,30.98964348,66.42010347,66.48146257
336,19,F25-2078,CIAT-PM21_6106,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.92364581,,12.9390487,,87.0609513,,15.59867979,,31.2992213,,66.54282167,
337,19,F25-2079,CIAT-PM21_2580,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.74062594,93.75655847,12.77649512,12.7905719,87.22350488,87.2094281,16.11512141,16.16985275,31.64792899,31.1999177,65.46164169,65.04687659
338,19,F25-2079,CIAT-PM21_2580,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.772491,,12.80464867,,87.19535133,,16.22458409,,30.7519064,,64.63211148,
339,19,F25-2080,CIAT-CIAT_16031,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.72313843,93.76718809,13.2282927,13.21428268,86.7717073,86.78571732,13.85520271,13.81829259,32.16971892,32.3727052,65.74187636,65.74011748
340,19,F25-2080,CIAT-CIAT_16031,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.81123775,,13.20027266,,86.79972734,,13.78138247,,32.57569147,,65.73835861,
341,19,F25-2081,CIAT-CIAT_26936,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,95.08049195,95.08524598,10.37912138,10.32179751,89.62087862,89.67820249,13.70022176,13.54794525,36.11869384,36.61931982,66.35439376,66.88561711
342,19,F25-2081,CIAT-CIAT_26936,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,95.09,,10.26447363,,89.73552637,,13.39566874,,37.1199458,,67.41684045,
343,19,F25-2082,CIAT-PM21_0074,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.55163451,94.59108573,13.65469596,13.60320748,86.34530404,86.39679252,13.3085608,13.09757769,31.23107192,30.94161477,64.2189463,64.42410002
344,19,F25-2082,CIAT-PM21_0074,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,94.63053695,,13.55171899,,86.44828101,,12.88659459,,30.65215761,,64.62925375,
345,19,F25-2083,CIAT-PM21_0072,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.29335332,93.40297414,14.37137145,14.40419578,85.62862855,85.59580422,14.85435615,14.70263093,29.46040652,29.07617508,66.42196818,66.22559012
346,19,F25-2083,CIAT-PM21_0072,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.51259496,,14.43702011,,85.56297989,,14.55090571,,28.69194363,,66.02921206,
347,19,F25-2084,CIAT-PM21_6598,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.66106779,94.63634215,14.54752607,14.45172655,85.45247393,85.54827345,12.94692051,12.93760614,28.89728235,28.83298392,65.51948085,65.49131011
348,19,F25-2084,CIAT-PM21_6598,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,94.61161652,,14.35592703,,85.64407297,,12.92829178,,28.7686855,,65.46313936,
349,19,F25-2085,CIAT-PM21_6647,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.17204839,93.15808096,13.10282261,13.00967033,86.89717739,86.99032967,12.3953928,12.43261804,29.36944155,29.48714945,65.69429819,66.17398685
350,19,F25-2085,CIAT-PM21_6647,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.14411353,,12.91651804,,87.08348196,,12.46984328,,29.60485736,,66.65367552,
351,19,F25-2086,CIAT-PM21_0819,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.45226432,92.49725082,14.28803026,14.12591192,85.71196974,85.87408808,15.25863791,15.22376149,28.32837063,28.56854291,64.12497436,64.82090113
352,19,F25-2086,CIAT-PM21_0819,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.54223733,,13.96379357,,86.03620643,,15.18888508,,28.8087152,,65.5168279,
353,19,F25-2087,CIAT-CIAT_16021,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.39112178,94.47664845,11.83124574,11.8194827,88.16875426,88.1805173,12.62232853,12.61425972,32.63545255,32.73112151,70.65797414,70.70047666
354,19,F25-2087,CIAT-CIAT_16021,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,94.56217513,,11.80771965,,88.19228035,,12.60619091,,32.82679047,,70.74297919,
355,19,F25-2088,CIAT-PM21_6640,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.03209037,93.04639215,15.224395,15.15069352,84.775605,84.84930648,15.92494983,15.77972035,26.4928033,26.64682894,65.84631097,65.68077158
356,19,F25-2088,CIAT-PM21_6640,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.06069393,,15.07699204,,84.92300796,,15.63449088,,26.80085457,,65.51523219,
357,19,F25-2089,CIAT-PM21_0065,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.11176647,94.03648711,13.76712015,13.68806804,86.23287985,86.31193196,14.30942397,14.18151108,31.1616676,30.72193547,65.18294898,64.86665785
358,19,F25-2089,CIAT-PM21_0065,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.96120776,,13.60901593,,86.39098407,,14.05359819,,30.28220333,,64.55036672,
359,19,F25-2090,CIAT-PM21_6629,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.83369978,93.85746177,11.34018929,11.33180456,88.65981071,88.66819544,11.22901061,11.28064926,37.9270778,37.88398585,73.26063017,73.00289439
360,19,F25-2090,CIAT-PM21_6629,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.88122376,,11.32341982,,88.67658018,,11.3322879,,37.84089391,,72.7451586,
361,19,F25-2091,CIAT-PM21_6641,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.15116977,94.15116977,15.49325688,15.34989912,84.50674312,84.65010088,15.54928312,15.59452659,28.78851284,28.72505982,62.76133027,63.06903313
362,19,F25-2091,CIAT-PM21_6641,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,94.15116977,,15.20654136,,84.79345864,,15.63977006,,28.66160681,,63.37673598,
363,19,F25-2092,CIAT-CIAT_16025,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.34,92.3965094,14.96809792,14.72709647,85.03190208,85.27290353,14.28299887,14.42724325,32.23716115,32.29916795,68.45911401,68.72612896
364,19,F25-2092,CIAT-CIAT_16025,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.45301879,,14.48609501,,85.51390499,,14.57148764,,32.36117475,,68.99314391,
365,19,F25-2093,CIAT-PM21_0070,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.3916825,94.3969608,13.46037842,13.51794696,86.53962158,86.48205304,14.84734964,14.88862415,29.56002239,29.67274596,66.1530826,66.68183337
366,19,F25-2093,CIAT-PM21_0070,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,94.4022391,,13.57551551,,86.42448449,,14.92989867,,29.78546952,,67.21058415,
367,19,F25-2094,CIAT-PM21_4926,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.68,93.66595221,11.86130044,11.76346445,88.13869956,88.23653555,14.74382631,14.67398894,30.24084285,30.02790274,72.35649109,71.36580711
368,19,F25-2094,CIAT-PM21_4926,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.65190443,,11.66562846,,88.33437154,,14.60415157,,29.81496262,,70.37512312,
369,19,F25-2095,CIAT-PM21_3662,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.27067293,93.28033647,14.34242482,14.51466791,85.65757518,85.48533209,11.67986436,11.57892028,31.4482921,32.04889937,67.23751574,68.08565132
370,19,F25-2095,CIAT-PM21_3662,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.29,,14.686911,,85.313089,,11.47797621,,32.64950664,,68.9337869,
371,19,F25-2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,95.45227386,95.49113693,11.22056248,11.26525632,88.77943752,88.73474368,11.96656091,12.02554234,30.79602825,31.22290886,71.78222876,72.06703828
372,19,F25-2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,95.53,,11.30995017,,88.69004983,,12.08452376,,31.64978948,,72.3518478,
