21_no,21_date,21_set_ciat,21_sample_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional group,21_replication,21_dm_percentage,21_av_dm_105,21_ash_dm,21_av_ash_percentage,21_om_percentage,21_om_percentage,21_remarks
No,Date,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Replication,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %",Remarks
64,,14,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,
65,,14,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,
66,,14,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,
67,,15,F24-3639,ABC-17360,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,A,92.86,92.855,23.69,21.71,76.31,78.29,
68,,15,F24-3639,ABC-17360,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,B,92.85,,19.73,,80.27,,
69,,15,F24-3640,ABC-17768,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,A,93.51,93.485,6.56,6.89,93.44,93.11,
70,,15,F24-3640,ABC-17768,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,B,93.46,,7.22,,92.78,,
71,,15,F24-3641,ABC-18004,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,A,92.81,92.94,7.37,6.785,92.63,93.215,
72,,15,F24-3641,ABC-18004,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,B,93.07,,6.2,,93.8,,
73,,15,F24-3642,ABC-18430,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,A,92.69,92.65,12.12,12.1,87.88,87.9,
74,,15,F24-3642,ABC-18430,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,B,92.61,,12.08,,87.92,,
