21_no,21_date,21_set_ciat,21_sample_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional group,21_replication,21_dm_percentage,21_av_dm_105,21_ash_dm,21_av_ash_percentage,21_om_percentage,21_om_percentage,21_remarks
No,Date,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Replication,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %",Remarks
323,,18,F25-0989,ABC-11833,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,94.9,94.97,9.83,9.915,90.17,90.085,
324,,18,F25-0989,ABC-11833,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,95.04,,10,,90,,
325,,18,F25-2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis,Poaceae,Poales,Grasses,A,92.11,92.175,9.45,9.295,90.55,90.705,
326,,18,F25-2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis,Poaceae,Poales,Grasses,B,92.24,,9.14,,90.86,,
327,,18,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,
328,,18,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,B,91.32173565,,10.12699803,,89.87300197,,
329,,18,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,89.69309597,6.183844011,6.035393965,93.81615599,93.96460604,
330,,18,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,
331,,18,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,
332,,18,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,
333,,19,F25-2077,CIAT-PM21_3535,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,95.15096981,95.23688806,13.80491403,13.78641395,86.19508597,86.21358605,
334,,19,F25-2077,CIAT-PM21_3535,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,95.32280632,,13.76791387,,86.23208613,,
335,,19,F25-2078,CIAT-PM21_6106,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.92182345,93.92273463,13.03872396,12.98888633,86.96127604,87.01111367,
336,,19,F25-2078,CIAT-PM21_6106,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.92364581,,12.9390487,,87.0609513,,
337,,19,F25-2079,CIAT-PM21_2580,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.74062594,93.75655847,12.77649512,12.7905719,87.22350488,87.2094281,
338,,19,F25-2079,CIAT-PM21_2580,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.772491,,12.80464867,,87.19535133,,
339,,19,F25-2080,CIAT-CIAT_16031,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.72313843,93.76718809,13.2282927,13.21428268,86.7717073,86.78571732,
340,,19,F25-2080,CIAT-CIAT_16031,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.81123775,,13.20027266,,86.79972734,,
341,,19,F25-2081,CIAT-CIAT_26936,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,95.08049195,95.08524598,10.37912138,10.32179751,89.62087862,89.67820249,
342,,19,F25-2081,CIAT-CIAT_26936,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,95.09,,10.26447363,,89.73552637,,
343,,19,F25-2082,CIAT-PM21_0074,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.55163451,94.59108573,13.65469596,13.60320748,86.34530404,86.39679252,
344,,19,F25-2082,CIAT-PM21_0074,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,94.63053695,,13.55171899,,86.44828101,,
345,,19,F25-2083,CIAT-PM21_0072,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.29335332,93.40297414,14.37137145,14.40419578,85.62862855,85.59580422,
346,,19,F25-2083,CIAT-PM21_0072,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.51259496,,14.43702011,,85.56297989,,
347,,19,F25-2084,CIAT-PM21_6598,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.66106779,94.63634215,14.54752607,14.45172655,85.45247393,85.54827345,
348,,19,F25-2084,CIAT-PM21_6598,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,94.61161652,,14.35592703,,85.64407297,,
349,,19,F25-2085,CIAT-PM21_6647,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.17204839,93.15808096,13.10282261,13.00967033,86.89717739,86.99032967,
350,,19,F25-2085,CIAT-PM21_6647,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.14411353,,12.91651804,,87.08348196,,
351,,19,F25-2086,CIAT-PM21_0819,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.45226432,92.49725082,14.28803026,14.12591192,85.71196974,85.87408808,
352,,19,F25-2086,CIAT-PM21_0819,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.54223733,,13.96379357,,86.03620643,,
353,,19,F25-2087,CIAT-CIAT_16021,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.39112178,94.47664845,11.83124574,11.8194827,88.16875426,88.1805173,
354,,19,F25-2087,CIAT-CIAT_16021,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,94.56217513,,11.80771965,,88.19228035,,
355,,19,F25-2088,CIAT-PM21_6640,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.03209037,93.04639215,15.224395,15.15069352,84.775605,84.84930648,
356,,19,F25-2088,CIAT-PM21_6640,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.06069393,,15.07699204,,84.92300796,,
357,,19,F25-2089,CIAT-PM21_0065,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.11176647,94.03648711,13.76712015,13.68806804,86.23287985,86.31193196,
358,,19,F25-2089,CIAT-PM21_0065,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.96120776,,13.60901593,,86.39098407,,
359,,19,F25-2090,CIAT-PM21_6629,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.83369978,93.85746177,11.34018929,11.33180456,88.65981071,88.66819544,
360,,19,F25-2090,CIAT-PM21_6629,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.88122376,,11.32341982,,88.67658018,,
361,,19,F25-2091,CIAT-PM21_6641,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.15116977,94.15116977,15.49325688,15.34989912,84.50674312,84.65010088,
362,,19,F25-2091,CIAT-PM21_6641,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,94.15116977,,15.20654136,,84.79345864,,
363,,19,F25-2092,CIAT-CIAT_16025,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.34,92.3965094,14.96809792,14.72709647,85.03190208,85.27290353,
364,,19,F25-2092,CIAT-CIAT_16025,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.45301879,,14.48609501,,85.51390499,,
365,,19,F25-2093,CIAT-PM21_0070,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.3916825,94.3969608,13.46037842,13.51794696,86.53962158,86.48205304,
366,,19,F25-2093,CIAT-PM21_0070,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,94.4022391,,13.57551551,,86.42448449,,
367,,19,F25-2094,CIAT-PM21_4926,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.68,93.66595221,11.86130044,11.76346445,88.13869956,88.23653555,
368,,19,F25-2094,CIAT-PM21_4926,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.65190443,,11.66562846,,88.33437154,,
369,,19,F25-2095,CIAT-PM21_3662,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.27067293,93.28033647,14.34242482,14.51466791,85.65757518,85.48533209,
370,,19,F25-2095,CIAT-PM21_3662,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.29,,14.686911,,85.313089,,
371,,19,F25-2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,95.45227386,95.49113693,11.22056248,11.26525632,88.77943752,88.73474368,
372,,19,F25-2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,95.53,,11.30995017,,88.69004983,,
373,,19,F25-2097,CIAT-PM21_0079,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.89061094,93.9112157,12.75545421,12.48805,87.24454579,87.51195,
374,,19,F25-2097,CIAT-PM21_0079,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.93182045,,12.2206458,,87.7793542,,
375,,19,F25-2098,CIAT-CIAT_6986,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.5714857,92.57611381,11.81494015,11.85333378,88.18505985,88.14666622,
376,,19,F25-2098,CIAT-CIAT_6986,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.58074193,,11.89172742,,88.10827258,,
377,,19,F25-2099,CIAT-PM21_4852,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.70218934,92.71682153,11.3214094,11.02004092,88.6785906,88.97995908,
378,,19,F25-2099,CIAT-PM21_4852,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.73145371,,10.71867244,,89.28132756,,
379,,19,F25-2100,CIAT-PM21_0078,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.54223733,92.59758808,13.8622932,13.65109593,86.1377068,86.34890407,
380,,19,F25-2100,CIAT-PM21_0078,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.65293882,,13.43989865,,86.56010135,,
381,,19,F25-2101,CIAT-CIAT_16071,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.96,93.03103469,13.59761293,13.62781153,86.40238707,86.37218847,
382,,19,F25-2101,CIAT-CIAT_16071,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.10206938,,13.65801013,,86.34198987,,
383,,19,F25-2102,CIAT-PM21_0876,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.4115177,92.48761792,13.29641823,13.20796993,86.70358177,86.79203007,
384,,19,F25-2102,CIAT-PM21_0876,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.56371814,,13.11952163,,86.88047837,,
385,,19,F25-2103,CIAT-PM21_3641,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.68126375,93.72156759,12.69464519,12.53401011,87.30535481,87.46598989,
386,,19,F25-2103,CIAT-PM21_3641,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.76187144,,12.37337503,,87.62662497,,
387,,19,F25-2104,CIAT-BR06_1348,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.02139572,93.09138172,14.27344002,14.47749973,85.72655998,85.52250027,
388,,19,F25-2104,CIAT-BR06_1348,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.16136773,,14.68155945,,85.31844055,,
389,,19,F25-2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.32460524,92.30730262,14.58381132,14.62610329,85.41618868,85.37389671,
390,,19,F25-2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.29,,14.66839526,,85.33160474,,
391,,19,F25-2106,CIAT-BR09_4777,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.63254698,93.67658746,13.5732037,13.67664208,86.4267963,86.32335792,
392,,19,F25-2106,CIAT-BR09_4777,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.72062794,,13.78008047,,86.21991953,,
393,,19,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,
394,,19,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,B,91.32173565,,10.12699803,,89.87300197,,
395,,19,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,89.69309597,6.183844011,6.035393965,93.81615599,93.96460604,
396,,19,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,
397,,19,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,
398,,19,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,
399,,20,F25-2107,CIAT-BR12_0255,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,91.80245926,91.85365817,14.52962949,14.2282416,85.47037051,85.7717584,
400,,20,F25-2107,CIAT-BR12_0255,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,91.90485709,,13.92685371,,86.07314629,,
401,,20,F25-2108,CIAT-BR12_0461,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.79072093,92.82036046,14.79053418,14.72124596,85.20946582,85.27875404,
402,,20,F25-2108,CIAT-BR12_0461,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.85,,14.65195775,,85.34804225,,
403,,20,F25-2109,CIAT-BR12_1620,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.64063594,93.54630017,13.86340572,13.78721298,86.13659428,86.21278702,
404,,20,F25-2109,CIAT-BR12_1620,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.45196441,,13.71102024,,86.28897976,,
405,,20,F25-2110,CIAT-BR12_1889,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,91.36,91.34586683,14.96509965,15.0894734,85.03490035,84.9105266,
406,,20,F25-2110,CIAT-BR12_1889,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,91.33173365,,15.21384715,,84.78615285,,
407,,20,F25-2111,CIAT-BR12_4039,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.10157968,92.1061843,13.67712776,13.60181991,86.32287224,86.39818009,
408,,20,F25-2111,CIAT-BR12_4039,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.11078892,,13.52651206,,86.47348794,,
409,,20,F25-2112,CIAT-BR12_4856,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.56074393,92.58148163,12.76585545,12.91035301,87.23414455,87.08964699,
410,,20,F25-2112,CIAT-BR12_4856,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.60221933,,13.05485058,,86.94514942,,
411,,20,F25-2113,CIAT-BR12_5049,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.21311475,92.25232822,14.61709034,14.47224325,85.38290966,85.52775675,
412,,20,F25-2113,CIAT-BR12_5049,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.29154169,,14.32739616,,85.67260384,,
413,,20,F25-2114,CIAT-BR15_1851,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.13157369,92.16773587,15.2083551,14.81567797,84.7916449,85.18432203,
414,,20,F25-2114,CIAT-BR15_1851,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.20389805,,14.42300085,,85.57699915,,
415,,20,F25-2115,CIAT-BR15_3025,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,91.95241428,92.02357871,14.15516801,14.13675561,85.84483199,85.86324439,
416,,20,F25-2115,CIAT-BR15_3025,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.09474315,,14.11834321,,85.88165679,,
417,,20,F25-2116,CIAT-BR15_3248,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.13393303,92.16196652,15.79037882,15.89740581,84.20962118,84.10259419,
418,,20,F25-2116,CIAT-BR15_3248,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.19,,16.0044328,,83.9955672,,
419,,20,F25-2117,CIAT-BR15_7659,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.27134573,93.33100333,13.93684634,13.72863021,86.06315366,86.27136979,
420,,20,F25-2117,CIAT-BR15_7659,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.39066093,,13.52041409,,86.47958591,,
421,,20,F25-2118,CIAT-BR15_8919,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.46130774,93.51661808,13.62052304,13.48621622,86.37947696,86.51378378,
422,,20,F25-2118,CIAT-BR15_8919,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.57192842,,13.3519094,,86.6480906,,
423,,20,F25-2119,CIAT-BR19_5515,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.39304278,92.42689835,14.48133214,14.52677724,85.51866786,85.47322276,
424,,20,F25-2119,CIAT-BR19_5515,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.46075392,,14.57222234,,85.42777766,,
425,,20,F25-2120,CIAT-BR19_5877,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.40197941,93.48727519,12.97113652,13.0079115,87.02886348,86.9920885,
426,,20,F25-2120,CIAT-BR19_5877,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.57257097,,13.04468648,,86.95531352,,
427,,20,F25-2121,CIAT-BR19_6136,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.89284286,92.92247861,14.8559083,14.78672107,85.1440917,85.21327893,
428,,20,F25-2121,CIAT-BR19_6136,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.95211437,,14.71753384,,85.28246616,,
429,,20,F25-1651,CIAT-798,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,A,92.59074093,92.61258014,11.098894,11.09612094,88.901106,88.90387906,
430,,20,F25-1651,CIAT-798,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,B,92.63441935,,11.09334788,,88.90665212,,
431,,20,F25-1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,A,94.03238705,94.05208276,6.706366116,6.642926026,93.29363388,93.35707397,
432,,20,F25-1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,B,94.07177847,,6.579485935,,93.42051406,,
433,,20,F25-1653,CIAT-852,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,A,93.72313843,93.7684251,9.540020776,9.555531325,90.45997922,90.44446867,
434,,20,F25-1653,CIAT-852,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,B,93.81371177,,9.571041874,,90.42895813,,
435,,20,F25-1654,CIAT-907,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,A,92.92212336,92.96745912,9.290787184,9.284946755,90.70921282,90.71505325,
436,,20,F25-1654,CIAT-907,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,B,93.01279488,,9.279106326,,90.72089367,,
437,,20,F25-1655,CIAT-1992,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,93.64,92.46630611,8.467949386,8.31531848,91.53205061,91.68468152,
438,,20,F25-1655,CIAT-1992,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,91.29261222,,8.162687575,,91.83731243,,
439,,20,F25-1656,CIAT-3001,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,A,94.43111378,94.49582886,6.961877939,6.972807418,93.03812206,93.02719258,
440,,20,F25-1656,CIAT-3001,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,B,94.56054395,,6.983736897,,93.0162631,,
441,,20,F25-1657,CIAT-3304,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,A,94.87102579,94.91076537,8.19553428,8.195944015,91.80446572,91.80405598,
442,,20,F25-1657,CIAT-3304,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,B,94.95050495,,8.196353751,,91.80364625,,
443,,20,F25-1658,CIAT-5713,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,A,94.60269865,94.6424129,9.377996552,9.341498746,90.62200345,90.65850125,
444,,20,F25-1658,CIAT-5713,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,B,94.68212715,,9.305000939,,90.69499906,,
445,,20,F25-1659,CIAT-7381,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,A,94.14175747,94.47087874,12.68793541,12.77452078,87.31206459,87.22547922,
446,,20,F25-1659,CIAT-7381,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,B,94.8,,12.86110616,,87.13889384,,
447,,20,F25-1660,CIAT-7799,Dioclea,guianensis,Dioclea guianensis,Fabaceae,Fabales,Climber,A,93.39198241,93.46293104,7.818936959,7.769646262,92.18106304,92.23035374,
448,,20,F25-1660,CIAT-7799,Dioclea,guianensis,Dioclea guianensis,Fabaceae,Fabales,Climber,B,93.53387967,,7.720355565,,92.27964444,,
449,,20,F25-1661,CIAT-7803,Dioclea,holtiana,Dioclea holtiana,Fabaceae,Fabales,Climber,A,94.21289355,94.24259232,11.443454,11.45463261,88.556546,88.54536739,
450,,20,F25-1661,CIAT-7803,Dioclea,holtiana,Dioclea holtiana,Fabaceae,Fabales,Climber,B,94.27229108,,11.46581123,,88.53418877,,
451,,20,F25-1662,CIAT-8182,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,A,93.16478465,93.32304419,7.26000462,7.31538588,92.73999538,92.68461412,
452,,20,F25-1662,CIAT-8182,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,B,93.48130374,,7.37076714,,92.62923286,,
453,,20,F25-1663,CIAT-8434,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,A,93.49195241,93.51597621,8.41315038,8.366292233,91.58684962,91.63370777,
454,,20,F25-1663,CIAT-8434,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,B,93.54,,8.319434086,,91.68056591,,
455,,20,F25-1664,CIAT-8702,Calopogonium,caeruleum,Calopogonium caeruleum,Fabaceae,Fabales,Climber,A,92.91495953,93.00885921,8.670523453,8.677197194,91.32947655,91.32280281,
456,,20,F25-1664,CIAT-8702,Calopogonium,caeruleum,Calopogonium caeruleum,Fabaceae,Fabales,Climber,B,93.1027589,,8.683870935,,91.31612906,,
457,,20,F25-1665,CIAT-8816,Crotalaria,micans,Crotalaria micans,Fabaceae,Fabales,Herbaceous,A,93.40065993,93.44598084,9.319961125,9.292747145,90.68003887,90.70725285,
458,,20,F25-1665,CIAT-8816,Crotalaria,micans,Crotalaria micans,Fabaceae,Fabales,Herbaceous,B,93.49130174,,9.265533166,,90.73446683,,
459,,20,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,
460,,20,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,B,91.32173565,,10.12699803,,89.87300197,,
461,,20,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,89.69309597,6.183844011,6.035393965,93.81615599,93.96460604,
462,,20,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,
463,,20,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,
464,,20,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,
465,,21,F25-2144,CIAT-BH16_1763,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.8006598,97.8306508,11.80257511,11.86388719,88.19742489,88.13611281,
466,,21,F25-2144,CIAT-BH16_1763,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.86064181,,11.92519926,,88.07480074,,
467,,21,F25-2145,CIAT-BH16B_2165,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.76111944,97.83097955,10.82959886,10.77905201,89.17040114,89.22094799,
468,,21,F25-2145,CIAT-BH16B_2165,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.90083966,,10.72850515,,89.27149485,,
469,,21,F25-2146,CIAT-BH16B_2167,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.03059082,98.09575518,11.39360922,11.50964423,88.60639078,88.49035577,
470,,21,F25-2146,CIAT-BH16B_2167,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.16091954,,11.62567925,,88.37432075,,
471,,21,F25-2147,CIAT-CIAT_16886,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.04058782,98.05048787,12.22472661,11.5625465,87.77527339,88.4374535,
472,,21,F25-2147,CIAT-CIAT_16886,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.06038792,,10.90036639,,89.09963361,,
