21_no,21_date,21_requisitioner,21_set_ciat,21_ciat_lab_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional_group,21_ot,21_replication,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_av_ash_percentage,21_om_percentage,21_av_om_percentage
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,,Replication,"DM, %",Av DM 105,"Ash, %","Av Ash, %","OM, %","Av OM, %"
55,,Breeding,23,F25-2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-013,A,92.32,92.305,14.58,14.625,85.42,85.375
56,,Breeding,23,F25-2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-013,B,92.29,,14.67,,85.33,
57,,LMF-invivo,23,F25-2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis, Poaceae,Poales,grasses,OT-016,A,92.11,92.175,9.45,9.295,90.55,90.705
58,,LMF-invivo,23,F25-2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis, Poaceae,Poales,grasses,OT-016,B,92.24,,9.14,,90.86,
59,,Breeding,23,F25-2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-020,A,97.37,97.485,10.96,10.745,89.04,89.255
60,,Breeding,23,F25-2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-020,B,97.6,,10.53,,89.47,
61,,Breeding,23,F25-2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-020,A,96.47,96.45,12.31,12.34,87.69,87.66
62,,Breeding,23,F25-2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-020,B,96.43,,12.37,,87.63,
63,,LMF,23,F25-0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,0,0,0,OT-002,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494
64,,LMF,23,F25-0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,0,0,0,OT-002,B,91.32173565,,10.12699803,,89.87300197,
