31_no,31_date,31_requisitioner,31_gene_bank,31_tax_name,31_family,31_order,31_genus2,31_species3,31_functional_group,31_ciat_id,31_set_ciat,31_batch,31_run,31_replication,31_syrange_no,31_sample_weight_g,31_dm_incubated_dm,31_digested_feed_mg,31_time_0h,31_gas_0h_ml,31_time_8h,31_gas_8h_ml,31_ch4_8h_percentage,31_v8_push_back_ml,31_time_24h,31_gas_24h_ml,31_ch4_24h_percentage,31_remarks,31_gp_8h_ml,31_gp_8_24h_ml,31_net_gas_8h_ml,31_net_gas_8_24h_ml2,31_net_gas_24h_ml,31_ch4_8h_ml,31_ch4_8_24h_ml,31_ch4_24h_ml,31_gas_ml_g_dm_incubated_24h,31_percentage_dmd_truly_digestibility,31_part_fact,31_ch4_ml_in_gas_8h,31_ch4_ml_in_gas_24h,31_ch4_ml_g_dm_incubated_24h,31_ch4_ml_g_dmd_24h,31_ch4_ml_g_ndf_digested_in_24h,31_ch4_g_g_dm_incubated_24h,31_ch4_g_g_dmd_24h,31_column8,31_column9
No,Date,Requisitioner,Gene Bank ID,Tax Name,Family,Order,Genus2,Species3,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Sample weight, g","DM Incubated, mg","Digested feed, mg",Time 0h,"Gas 0h, ml",Time 8h,"Gas 8h, ml",CH4 8h %,"V8 Push back, ml",Time 24h,"Gas 24h, ml","CH4 24h, %",Remarks,"GP 8h, ml","GP 8-24h, ml","Net gas 8h, ml","Net gas 8-24h, ml2","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Column8,Column9
816,45966,Genetic bank,ABC-11417-1,Stylosanthes guianensis,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F24-3560,25,53,2,2,69,0.5,457.5127358,116.6127358,0.346527778,41,0.698611111,71,12,40,0.35625,71.5,12.4,,30,31.5,28.0087348,28.84497973,56.85371453,3.361048176,3.576777487,6.937825663,124.266955,25.48841303,2.05110144,12,12.20294174,15.16422412,59.49457937,-87.72865572,8.416406743,33.02052087,,
817,45966,Genetic bank,ABC-11417-1,Stylosanthes guianensis,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F24-3560,25,53,2,3,70,0.5004,457.8787459,220.9787459,0.346527778,41,0.699305556,74,12.2,40,0.356944444,82,12.7,,33,42,31.0087348,39.34497973,70.35371453,3.783065645,4.996812426,8.779878071,153.6514091,48.26141154,3.140967715,12.2,12.47962262,19.17511601,39.73177617,349.4245552,10.64252113,22.05182317,,
818,45966,Genetic bank,ABC-11624-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3561,25,53,2,1,71,0.5001,460.2940277,137.4940277,0.346527778,41,0.699305556,80,12,40.5,0.357638889,90,13.6,,39,49.5,37.0087348,46.84497973,83.85371453,4.441048176,6.370917244,10.81196542,182.1742397,29.87091281,1.639689171,12,12.89384195,23.48925854,78.63589132,-154.0436973,13.03694488,43.64428017,,
819,45966,Genetic bank,ABC-11624-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3561,25,53,2,2,72,0.5,460.2019873,290.9019873,0.347222222,41,0.699305556,81,12.1,40.5,0.357638889,91.5,13.8,,40,51,38.0087348,48.34497973,86.35371453,4.599056911,6.671607203,11.27066411,187.6430718,63.21180597,3.368725814,12.1,13.0517421,24.49068979,38.74385396,135.3641081,13.59275655,21.50350926,,
820,45966,Genetic bank,ABC-11624-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3561,25,53,2,3,73,0.5002,460.3860681,136.8860681,0.347222222,41,0.7,80.5,12.2,40.5,0.358333333,89,14,,39.5,48.5,37.5087348,45.84497973,83.35371453,4.576065645,6.418297162,10.99436281,181.0517744,29.73288672,1.64223117,12.2,13.19000943,23.88074612,80.31761713,-155.2061936,13.25422726,44.57766709,,
821,45966,Genetic bank,ABC-11690-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3562,25,53,2,1,74,0.5002,453.55635,153.15635,0.347222222,40.5,0.7,80,12.6,40,0.358333333,86,14.3,,39.5,46,37.5087348,43.34497973,80.85371453,4.726100585,6.198332102,10.92443269,178.2660843,33.76787691,1.894240121,12.6,13.51135535,24.08616413,71.32863042,-202.3360793,13.36823781,39.58862394,,
822,45966,Genetic bank,ABC-11690-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3562,25,53,2,2,75,0.5001,453.465675,252.965675,0.347916667,40.5,0.700694444,81,12.3,40,0.359027778,85,14.2,,40.5,45,38.5087348,42.34497973,80.85371453,4.73657438,6.012987122,10.7495615,178.3017304,55.78496652,3.128683406,12.3,13.2950744,23.70534771,42.49415065,234.4035119,13.15687811,23.5849888,,
823,45966,Genetic bank,ABC-11690-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3562,25,53,2,3,76,0.5003,453.647025,151.147025,0.347916667,41,0.700694444,82.5,12.2,40.5,0.359027778,86,14.3,,41.5,45.5,39.5087348,42.84497973,82.35371453,4.820065645,6.126832102,10.94689775,181.536988,33.31820042,1.835339497,12.2,13.29253672,24.1308708,72.42549264,-195.3329135,13.39305078,40.19740145,,
824,45966,Genetic bank,ABC-11762-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3563,25,53,2,1,77,0.5003,453.804103,137.204103,0.347916667,41,0.701388889,83.5,13.1,40,0.359027778,91,15.3,,42.5,51,40.5087348,48.34497973,88.85371453,5.306644259,7.396781899,12.70342616,195.7975125,30.23421386,1.5441572,13.1,14.29701192,27.9931937,92.58780078,-253.5632141,15.53670681,51.3878313,,
825,45966,Genetic bank,ABC-11762-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3563,25,53,2,2,78,0.5003,453.804103,191.904103,0.348611111,40.5,0.701388889,83,13.3,40,0.359722222,83,15.4,,42.5,43,40.5087348,40.34497973,80.85371453,5.387661728,6.213126879,11.60078861,178.1687605,42.28787306,2.373472934,13.3,14.34787341,25.56342821,60.45096704,2521.714111,14.18814493,33.55133257,,
826,45966,Genetic bank,ABC-11762-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3563,25,53,2,3,79,0.5003,453.804103,215.804103,0.348611111,40.5,0.702083333,84,13.4,40,0.359722222,87,15.8,,43.5,47,41.5087348,44.34497973,85.85371453,5.562170463,7.006506798,12.56867726,189.1867305,47.55446273,2.513625697,13.4,14.63964294,27.69626184,58.24114132,441.0006744,15.37190449,32.32484106,,
827,45966,Genetic bank,ABC-11778-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3564,25,53,2,1,80,0.5002,460.4631408,247.9631408,0.348611111,41,0.702083333,85.5,12.8,80,0.360416667,98,15.2,,44.5,18,42.5087348,15.34497973,57.85371453,5.441118054,2.332436919,7.773554973,125.6424443,53.85081211,4.28603665,12.8,13.43657021,16.88203525,31.3496391,209.372362,9.369821639,17.39959208,,
828,45966,Genetic bank,ABC-11778-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3564,25,53,2,2,81,0.5002,460.4631408,169.9631408,0.349305556,41,0.702777778,85.5,12.6,40.5,0.360416667,96,15.1,,44.5,55.5,42.5087348,52.84497973,95.35371453,5.356100585,7.979591939,13.33569252,207.0821877,36.9113455,1.782449081,12.6,13.98549872,28.9614767,78.46226223,-326.2785797,16.07412063,43.54791302,,
829,45966,Genetic bank,ABC-11778-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3564,25,53,2,3,82,0.5004,460.6472524,260.1472524,0.349305556,40.5,0.702777778,82,12.8,40,0.361111111,95,15.2,,41.5,55,39.5087348,52.34497973,91.85371453,5.057118054,7.956436919,13.01355497,199.4014163,56.47428722,2.832190878,12.8,14.16769593,28.25058633,50.02380326,264.3542853,15.67956418,27.76407627,,
830,45966,Genetic bank,ABC-11784-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3565,25,53,2,1,83,0.5003,461.7807519,120.5807519,0.349305556,40.5,0.702777778,80,13,40,0.361111111,90,14.9,,39.5,50,37.5087348,47.34497973,84.85371453,4.876135524,7.05440198,11.9305375,183.7532512,26.1121217,1.421042704,13,14.06012403,25.83593503,98.94230475,-178.2351819,14.33939093,54.91469094,,
831,45966,Genetic bank,ABC-11784-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3565,25,53,2,2,84,0.5003,461.7807519,219.8807519,0.35,40.5,0.703472222,81,13.2,40,0.361805556,90,15.3,,40.5,50,38.5087348,47.34497973,85.85371453,5.083152993,7.243781899,12.32693489,185.9187811,47.61583306,2.561109361,13.2,14.35806821,26.6943454,56.06190985,380.8965304,14.81582354,31.1153299,,
832,45966,Genetic bank,ABC-11784-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3565,25,53,2,3,85,0.5002,461.6884512,142.8884512,0.35,40.5,0.703472222,78.5,13.2,40,0.361805556,89.5,15.1,,38,49.5,36.0087348,46.84497973,82.85371453,4.753152993,7.073591939,11.82674493,179.4580617,30.94910665,1.724587147,13.2,14.27424829,25.6162893,82.76907502,-265.2219941,14.21748375,45.93826863,,
833,45966,Genetic bank,ABC-11820-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3566,25,53,2,1,86,0.5003,459.302486,245.502486,0.35,40.5,0.704166667,83,12.5,40,0.3625,88,14.9,,42.5,48,40.5087348,45.34497973,85.85371453,5.06359185,6.75640198,11.81999383,186.9219461,53.4511555,2.859544137,12.5,13.76759747,25.73466112,48.14612683,405.5629682,14.28318216,26.72193337,,
834,45966,Genetic bank,ABC-11820-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3566,25,53,2,2,87,0.5001,459.1188752,190.1188752,0.350694444,41,0.704166667,78.5,12.5,40,0.3625,87,14.7,,37.5,47,35.5087348,44.34497973,79.85371453,4.43859185,6.518712021,10.95730387,173.9281891,41.40950971,2.380839468,12.5,13.72172094,23.86594074,57.63396116,-418.9779096,13.24601002,31.98784557,,
835,45966,Genetic bank,ABC-11820-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3566,25,53,2,3,88,0.5002,459.2106806,159.2106806,0.350694444,41,0.704861111,82,12.6,40,0.363194444,88.5,14.8,,41,48.5,39.0087348,45.84497973,84.85371453,4.915100585,6.785057,11.70015758,184.7816658,34.67050906,1.876295947,12.6,13.78862157,25.47884463,73.48852187,-204.8924352,14.14119958,40.78740107,,
836,45966,Genetic bank,ABC-12042-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3567,25,53,2,1,89,0.5001,456.8228127,135.7228127,0.350694444,41,0.705555556,80,12.2,40.5,0.363194444,82,14,,39,41.5,37.0087348,38.84497973,75.85371453,4.515065645,5.438297162,9.953362808,166.046249,29.71016529,1.789270487,12.2,13.12178694,21.78823502,73.33596032,-132.236259,12.0928474,40.70272677,,
837,45966,Genetic bank,ABC-12042-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3567,25,53,2,2,90,0.5004,457.0968516,217.5968516,0.351388889,40.5,0.705555556,82.5,11.8,40,0.363194444,89,14.1,,42,49,40.0087348,46.34497973,86.35371453,4.721030706,6.534642142,11.25567285,188.9177627,47.60410203,2.519831982,11.8,13.0343818,24.62426247,51.72718615,1737.542784,13.6668917,28.70948325,,
838,45966,Genetic bank,ABC-12042-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3567,25,53,2,3,91,0.5002,456.914159,170.514159,0.351388889,40,0.70625,82,12.2,40,0.363888889,82.5,14.2,,42,42.5,40.0087348,39.84497973,79.85371453,4.881065645,5.657987122,10.53905277,174.7674327,37.31864195,2.135331587,12.2,13.19794931,23.06571718,61.80749346,-260.0925994,12.8018721,34.3042282,,
839,45966,LMF-invivo,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,25,53,2,1,92,0.5004,445.356,156.856,0.351388889,40.5,0.70625,67,16,40,0.363888889,75.5,15,,26.5,35.5,24.5087348,32.84497973,57.35371453,3.921397568,4.92674696,8.848144528,128.7817264,35.22036304,2.734888251,16,15.42732602,19.86757679,56.40934697,294.7552926,11.02684885,31.30816351,,
840,45966,LMF-invivo,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,25,53,2,2,93,0.5004,445.356,134.156,0.352083333,40.5,0.706944444,68,16,40,0.363888889,76.5,15.2,,27.5,36.5,25.5087348,33.84497973,59.35371453,4.081397568,5.144436919,9.225834487,133.2725158,30.12331708,2.260279766,16,15.54381989,20.71563982,68.76945114,1260.599072,11.4975385,38.16823517,,
841,45966,LMF-invivo,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,25,53,2,3,94,0.5004,445.356,89.256,0.352083333,41,0.707638889,68,16.1,40,0.364583333,77,15,,27,37,25.0087348,34.34497973,59.35371453,4.026406303,5.15174696,9.178153262,133.2725158,20.04149489,1.503798047,16.1,15.46348587,20.60857665,102.8295382,-244.2207049,11.43811659,57.07217276,,
842,45966,LMF-invivo,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,25,53,2,1,95,0.5,445,123,0.352083333,41.5,0.707638889,73.5,13,40,0.364583333,75,14.4,,32,35,30.0087348,32.34497973,62.35371453,3.901135524,4.657677081,8.558812605,140.1207068,27.64044944,1.972617043,13,13.72622733,19.23328675,69.58384232,-427.4490638,10.6748069,38.62023636,,
843,45966,LMF-invivo,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,25,53,2,2,96,0.5007,445.623,,0.352777778,41.5,0.708333333,71.5,12.5,40,0.365277778,75,14.3,,30,35,28.0087348,32.34497973,60.35371453,3.50109185,4.625332102,8.126423951,,,,,,,,,,,Eliminado Dig 0.70%,
844,45966,LMF-invivo,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,25,53,2,3,97,0.5005,445.445,90.645,0.352777778,41.5,0.708333333,72.5,12.8,40,0.365277778,76,14.5,,31,36,29.0087348,33.34497973,62.35371453,3.713118054,4.835022061,8.548140115,139.9807261,20.34931361,1.453722536,12.8,13.70911129,19.19011352,94.30349292,-162.7565426,10.65084501,52.34007012,,
845,45966,LMF,Hohenheimer Heustandard/IAG 2025/1 S1,Hohenheimer Heustandard/Green meal ,Hohenheimer,Heustandard,,,,F25-2134,25,53,2,1,98,0.2502,228.5152454,50.91524542,0.352777778,40.5,0.709027778,69,13.6,40,0.365972222,60,16.4,A partir de la corrida #2 se reemplaza el estandar F25-001 Por el estandar F25-2134 ya que la muestra se acabó,28.5,20,26.5087348,17.34497973,43.85371453,3.605187933,2.844576676,6.449764609,191.9071721,22.28089655,1.161024692,13.6,14.70745335,28.22465782,126.6764906,#DIV/0!,15.66517341,70.30764392,,
846,45966,LMF,Hohenheimer Heustandard/IAG 2025/1 S1,Hohenheimer Heustandard/Green meal ,Hohenheimer,Heustandard,,,,F25-2134,25,53,2,2,99,0.2504,228.6979115,,0.353472222,40,0.709027778,71,13.5,40,0.365972222,60,16.7,A partir de la corrida #2 se reemplaza el estandar F25-001 Por el estandar F25-2134 ya que la muestra se acabó,31,20,,,,,,,,,,,,,,,,,Eliminado Dig -8.5,
847,45966,LMF,Hohenheimer Heustandard/IAG 2025/1 S1,Hohenheimer Heustandard/Green meal ,Hohenheimer,Heustandard,,,,F25-2134,25,53,2,3,100,0.25,228.3325794,54.73257936,0.353472222,40,0.709722222,70.5,13.7,40,0.366666667,60,16.7,A partir de la corrida #2 se reemplaza el estandar F25-001 Por el estandar F25-2134 ya que la muestra se acabó,30.5,20,28.5087348,17.34497973,45.85371453,3.905696667,2.896611615,6.802308283,200.8198508,23.97055187,1.193634582,13.7,14.83480314,29.79122954,124.2826185,#DIV/0!,16.53464781,68.97900351,,
848,45966,LMF,Sample 8,Cynodon nlemfuensis ,Cynodon,nlemfuensis,,,,F25-0008,25,53,2,1,101,0.5006,469.2170648,,0.353472222,41,0.709722222,66,14,40.5,0.366666667,82,15.4,,25,41.5,,,,,,,,,,,,,,,,,Eliminado Dig 8.7%,
849,45966,LMF,Sample 8,Cynodon nlemfuensis ,Cynodon,nlemfuensis,,,,F25-0008,25,53,2,2,102,0.5005,469.1233339,131.6233339,0.354166667,40.5,0.710416667,66,13.6,40,0.367361111,82,15.3,,25.5,42,23.5087348,39.34497973,62.85371453,3.197187933,6.019781899,9.216969832,133.9812156,28.05729845,2.094121801,13.6,14.6641609,19.64722103,70.02534853,#DIV/0!,10.90454759,38.86527995,,
850,45966,LMF,Sample 8,Cynodon nlemfuensis ,Cynodon,nlemfuensis,,,,F25-0008,25,53,2,3,103,0.5002,468.8421411,140.8421411,0.354166667,40.5,0.710416667,65,14.3,40,0.367361111,80,15.3,,24.5,40,22.5087348,37.34497973,59.85371453,3.218749076,5.713781899,8.932530975,127.6628299,30.04041846,2.353106105,14.3,14.92393755,19.05232101,63.42228899,#DIV/0!,10.57436779,35.20046766,,
851,45966,LMF,Sample 8,Cynodon nlemfuensis ,Cynodon,nlemfuensis,,,,F25-0008,25,53,2,1,106,0.5001,468.7484102,216.0484102,0.330555556,41,0.668055556,67.5,13.6,40,0.334722222,88,14.8,,26.5,48,24.5087348,45.34497973,69.85371453,3.333187933,6.711057,10.04424493,149.0217631,46.09048382,3.092869314,13.6,14.3789704,21.4277952,46.4907144,#DIV/0!,11.89279706,25.80315083,,
852,45966,LMF,Sample 8,Cynodon nlemfuensis ,Cynodon,nlemfuensis,,,,F25-0008,25,53,2,2,107,0.5002,468.8421411,227.3421411,0.330555556,41.5,0.66875,68,14.2,41,0.334722222,87,15.1,,26.5,46,24.5087348,43.34497973,67.85371453,3.480240341,6.545091939,10.02533228,144.7261425,48.49012518,3.350474512,14.2,14.77492036,21.38317229,44.09799359,#DIV/0!,11.86803057,24.47514938,,
853,45966,LMF,Sample 8,Cynodon nlemfuensis ,Cynodon,nlemfuensis,,,,F25-0008,25,53,2,3,108,0.5004,469.029603,210.829603,0.33125,41,0.669444444,68,14.7,41,0.335416667,90,15.5,,27,49,25.0087348,46.34497973,71.35371453,3.676284015,7.183471858,10.85975587,152.1305139,44.9501698,2.954710968,14.7,15.21960832,23.15366835,51.50963489,#DIV/0!,12.85068652,28.58873854,,
854,45966,,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,25,53,2,1,104,,,,0.354166667,39.5,0.711111111,41.5,,40,0.368055556,42.5,,,2,2.5,,,,,,,,,,,,,,,,,,
855,45966,,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,25,53,2,2,105,,,,0.354166667,39,0.711805556,41.5,,39.5,0.368055556,42.5,,,2.5,3,,,,,,,,,,,,,,,,,,
856,45972,,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,25,54,3,1,1,,,,0.366666667,40,0.7,42.5,,40,0.366666667,43.5,,,2.5,3.5,,,,,,,,,,,,,,,,,,
857,45972,,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,25,54,3,2,2,,,,0.366666667,40,0.700694444,42.5,,40,0.366666667,43,,,2.5,3,,,,,,,,,,,,,,,,,,
858,45972,Benchmark,CIAT_6962_Mombaza _Ex,Megathyrsus maximus,Megathyrsus,maximus,Poaceae,Poales,grasses,F25-2136,25,54,3,1,3,0.5,484.6841895,181.0841895,0.36875,40,0.703472222,79.5,12.9,39.5,0.36875,88,15.1,,39.5,48.5,37.65623592,45.73435389,83.39058981,4.857654434,6.905887437,11.76354187,172.0513927,37.36127429,2.171518272,12.9,14.10655794,24.2705294,64.96172805,394.2953454,13.47056372,36.05488297,,
859,45972,Benchmark,CIAT_6962_Mombaza _Ex,Megathyrsus maximus,Megathyrsus,maximus,Poaceae,Poales,grasses,F25-2136,25,54,3,2,4,0.5003,484.975,180.875,0.369444444,41,0.703472222,79,12.8,40.5,0.369444444,86.5,15.8,,38,46,36.15623592,43.23435389,79.39058981,4.627998198,6.831027914,11.45902611,163.7003759,37.29573689,2.278292685,12.8,14.43373344,23.62807591,63.3532888,387.9891046,13.11399092,35.16217136,,
860,45972,Benchmark,CIAT_6962_Mombaza _Ex,Megathyrsus maximus,Megathyrsus,maximus,Poaceae,Poales,grasses,F25-2136,25,54,3,3,5,0.5,484.6841895,165.0841895,0.369444444,40.5,0.703472222,78.5,12.7,40,0.369444444,88,15.7,,38,48,36.15623592,45.23435389,81.39058981,4.591841962,7.10179356,11.69363552,167.9249944,34.06015568,2.028295776,12.7,14.36730653,24.12629868,70.83437584,845.2614656,13.39051318,39.3143041,,
861,45972,Benchmark, CIAT_606_Basilisk_Opt, Brachiaria interespecifico,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2137,25,54,3,1,6,0.5001,484.0233927,269.5233927,0.369444444,41.5,0.704166667,78,12.9,40.5,0.369444444,84.5,15.4,,36.5,44,34.65623592,41.23435389,75.89058981,4.470654434,6.350090499,10.82074493,156.7911613,55.68396006,3.551473158,12.9,14.25834871,22.35583052,40.14770231,123.1451735,12.40787272,22.28266938,,
862,45972,Benchmark, CIAT_606_Basilisk_Opt, Brachiaria interespecifico,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2137,25,54,3,2,7,0.5001,484.0233927,232.9233927,0.370138889,40.5,0.704861111,78,12.8,40,0.370138889,85,15.5,,37.5,45,35.65623592,42.23435389,77.89058981,4.563998198,6.546324853,11.11032305,160.923193,48.12234206,2.990391949,12.8,14.26401197,22.9541035,47.69947288,216.7029612,12.73992457,26.4740327,,
863,45972,Benchmark, CIAT_606_Basilisk_Opt, Brachiaria interespecifico,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2137,25,54,3,3,8,0.5,483.9266073,261.2266073,0.370138889,41,0.704861111,76.5,12.9,40.5,0.370138889,84.5,15.5,,35.5,44,33.65623592,41.23435389,74.89058981,4.341654434,6.391324853,10.73297929,154.7560904,53.98062503,3.488109895,12.9,14.33154594,22.1789402,41.08685327,134.8205634,12.30969553,22.80391441,,
864,45972,Benchmark, CIAT_6294_Marandu_Opt,Brachiaria interespecifico ,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2138,25,54,3,1,9,0.5,480.57991,251.07991,0.370833333,40.5,0.705555556,77,12.6,40,0.370833333,97,14.1,,36.5,57,34.65623592,54.23435389,88.89058981,4.366685727,7.647043898,12.01372962,184.9652637,52.24519477,2.824594938,12.6,13.51518721,24.99840167,47.84823136,148.182128,13.87454542,26.55659623,,
865,45972,Benchmark, CIAT_6294_Marandu_Opt,Brachiaria interespecifico ,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2138,25,54,3,2,10,0.5,480.57991,148.27991,0.370833333,41,0.70625,76.5,12.9,40.5,0.370833333,97,13.9,,35.5,56.5,33.65623592,53.73435389,87.39058981,4.341654434,7.46907519,11.81072962,181.8440346,30.85437134,1.696749162,12.9,13.51487574,24.57599533,79.65158342,-543.6238994,13.6401026,44.20800685,,
866,45972,Benchmark, CIAT_6294_Marandu_Opt,Brachiaria interespecifico ,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2138,25,54,3,3,11,0.5001,480.676026,,0.370833333,40.5,0.706944444,75.5,12.8,40,0.371527778,96,14,,35,56,,,,,,,,,,,,,,,,,,
867,45972,Benchmark,CIAT_36087_MulatoII_Opt, Brachiaria interespecifico,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2139,25,54,3,1,12,0.5004,485.1431246,262.9431246,0.371527778,41,0.707638889,80,12.5,40.5,0.371527778,90,14.1,,39,49.5,37.15623592,46.73435389,83.89058981,4.644529491,6.589543898,11.23407339,172.9192594,54.19908296,3.1343578,12.5,13.39133914,23.15620447,42.72434736,172.4775443,12.85209411,23.71275196,,
868,45972,Benchmark,CIAT_36087_MulatoII_Opt, Brachiaria interespecifico,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2139,25,54,3,2,13,0.5,484.7553203,283.9553203,0.371527778,40.5,0.708333333,79.5,12.2,40,0.372222222,90,14.1,La manguera se cayo en el hielo a las 24H,39,50,37.15623592,47.23435389,84.39058981,4.533060783,6.660043898,11.19310468,174.089043,58.5770405,3.364774686,12.2,13.26345118,23.09021523,39.41854186,129.694139,12.81546894,21.87797272,,
869,45972,Benchmark,CIAT_36087_MulatoII_Opt, Brachiaria interespecifico,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2139,25,54,3,3,14,0.5002,484.9492224,246.2492224,0.372222222,41,0.708333333,79.5,12.4,40,0.372222222,89.5,14.5,,38.5,49.5,36.65623592,46.73435389,83.39058981,4.545373255,6.776481314,11.32185457,171.9573637,50.77835184,2.952961755,12.4,13.5768971,23.34647432,45.97721957,233.3503257,12.95769717,25.51815231,,
870,45972,Benchmark,CIAT_6133_Llanero _Opt,Brachiaria humidicola,Brachiaria,humidicola,Poaceae,Poales,grasses,F25-2140,25,54,3,1,15,0.5,486.9506349,232.9506349,0.372222222,40,0.709027778,76,13.5,40,0.372916667,89.5,14.3,,36,49.5,34.15623592,46.73435389,80.89058981,4.61109185,6.683012606,11.29410446,166.1166123,47.83865514,2.879823666,13.5,13.96219818,23.19353061,48.48282323,193.8694967,12.87281076,26.9088057,,
871,45972,Benchmark,CIAT_6133_Llanero _Opt,Brachiaria humidicola,Brachiaria,humidicola,Poaceae,Poales,grasses,F25-2140,25,54,3,2,16,0.5001,487.0480251,251.7480251,0.372222222,40.5,0.709722222,76.5,13.7,40.5,0.373611111,92,14,,36,51.5,34.15623592,48.73435389,82.89058981,4.679404322,6.822809544,11.50221387,170.1897668,51.68854242,3.037112242,13.7,13.87638077,23.61618008,45.68939066,149.3431835,13.10738853,25.35840229,,
