31_no,31_date,31_requisitioner,31_gene_bank_id,31_genus,31_species,31_tax_name,31_family,31_order,31_functional_group,31_ciat_id,31_set_ciat,31_batch,31_run,31_replication,31_syrange_no,31_sample_weight_g,31_dm_incubated_mg,31_digested_feed_mg,31_time_0h,31_gas_0h_ml,31_time_8h,31_gas_8h_ml,31_ch4_8h_percentage,31_v8_push_back_ml,31_time_24h,31_gas_24h_ml,31_ch4_24h_percentage,31_remarks,31_gp_8h_ml,31_gp_8_24h,31_net_gas_8h_ml,31_net_gas_8_24h_ml,31_net_gas_24h_ml,31_ch4_8h_ml,31_ch4_8_24h_ml,31_ch4_24h_ml,31_gas_ml_g_dm_incubated_24h,31_percentage_dmd_truly_digestibility,31_part_fact,31_ch4_ml_in_gas_8h,31_ch4_ml_in_gas_24h,31_ch4_ml_g_dm_incubated_24h,31_ch4_ml_g_dmd_24h2,31_ch4_ml_g_ndf_digested_in_24h,31_ch4_g_g_dm_incubated_24h,31_ch4_g_g_dmd_24h,31_remarks
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Sample weight, g","DM Incubated, mg","Digested feed, mg",Time 0h,"Gas 0h, ml",Time 8h,"Gas 8h, ml",CH4 8h %,"V8 Push back, ml",Time 24h,"Gas 24h, ml","CH4 24h, %",Remarks,"GP 8h, ml","GP 8-24h, ml","Net gas 8h, ml","Net gas 8-24h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h2",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Remarks
694,46076,,CIAT-BH22_1594,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252185,28,69,3,1,113,0.5002,475.56995,24.76995,0.351388889,41,0.705555556,76,14,40.5,0.384027778,91.5,14.7,,,,,,,,,,,,,,,,,,,,Elimin Dig 5.21
695,46076,,CIAT-BH22_1594,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252185,28,69,3,2,114,0.5002,475.56995,46.06995,0.352083333,41.5,0.70625,78,13.7,41,0.384027778,92,14.9,Embolo duro 24H,,,,,,,,,,,,,,,,,,,Elimin Dig 9.69
696,46076,,CIAT-BH22_0468,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252186,28,69,3,1,115,0.5002,480.2950382,138.5950382,0.352083333,40.5,0.70625,76.5,13.8,40,0.384722222,91.5,14.8,,36,51.5,32.6074741,47.18559206,79.79306617,4.499831426,6.983467625,11.48329905,166.1334384,28.85622944,1.736930849,13.8,14.39134953,23.90884381,82.85505167,-2.360423314,13.26982196,45.98598716,
697,46076,,CIAT-BH22_0468,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252186,28,69,3,2,116,0.5,480.102997,185.302997,0.352083333,40,0.706944444,74,14.5,40,0.384722222,92.5,14.9,,34,52.5,30.6074741,48.18559206,78.79306617,4.438083745,7.179653218,11.61773696,164.1170054,38.59650912,2.351767814,14.5,14.74461844,24.19842624,62.69589348,1.223936807,13.43054522,34.79730559,
698,46076,,CIAT-BH22_3830,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252187,28,69,3,1,117,0.5001,479.8979802,168.7979802,0.352083333,41,0.707638889,83.5,13.9,40,0.385416667,100,15.2,,42.5,60,39.1074741,55.68559206,94.79306617,5.4359389,8.464209994,13.90014889,197.5275373,35.17372174,1.780699655,13.9,14.66367684,28.96479974,82.34783898,3.601948109,16.07596498,45.70447534,
699,46076,,CIAT-BH22_3830,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252187,28,69,3,2,118,0.5001,479.8979802,44.0979802,0.352777778,40.5,0.708333333,81,13.5,40,0.386111111,100.5,15,,40.5,60.5,,,,,,,,,,,,,,,,,Elimin Dig 9%
700,46076,,CIAT-BH22_1710,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252188,28,69,3,1,119,0.5,486.3513649,180.4513649,0.352777778,40,0.709027778,76.5,14.1,39.5,0.386805556,84,15,,36.5,44.5,33.1074741,40.18559206,73.29306617,4.668153848,6.02783881,10.69599266,150.6998262,37.10308594,2.462052337,14.1,14.59345777,21.9923155,59.27354812,1.14281697,12.20611559,32.8978447,
701,46076,,CIAT-BH22_1710,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252188,28,69,3,2,120,0.5003,486.6431757,142.3431757,0.352777778,41,0.709027778,78.5,13.9,40.5,0.3875,93.5,15.2,,37.5,53,34.1074741,48.68559206,82.79306617,4.7409389,7.400209994,12.14114889,170.1309508,29.25000962,1.719264454,13.9,14.66445133,24.94877048,85.29491376,-6.201622315,13.84699925,47.34015283,
702,46076,,CIAT-BH22_2365,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252189,28,69,3,1,121,0.5004,485.8884,209.0884,0.352777778,40.5,0.709722222,77.5,13.9,40,0.3875,95,14.8,,37,55,33.6074741,50.68559206,84.29306617,4.6714389,7.501467625,12.17290653,173.4823597,43.03218599,2.480493468,13.9,14.44117183,25.05288565,58.21894723,1.088829239,13.90478498,32.31252296,
703,46076,,CIAT-BH22_2365,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252189,28,69,3,2,122,0.5001,485.5971,88.2971,0.353472222,40.5,0.710416667,80.5,13.8,40,0.388194444,95.5,14.8,Embolo duro 0H,40,55.5,,,,,,,,,,,,,,,,,Elimin Di 18.18%
704,46076,,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252190,28,69,3,1,123,0.5001,482.5982502,145.6982502,0.353472222,40.5,0.710416667,80.5,13.9,40,0.388888889,97.5,14.7,,40,57.5,,,,,,,,,,,,,,,,,Elimin Dig Neg
705,46076,,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252190,28,69,3,2,124,0.5001,482.5982502,206.0982502,0.353472222,40,0.711111111,80.5,13.4,39.5,0.388888889,95.5,14.6,,40.5,56,,,,,,,,,,,,,,,,,Elimin Dig Neg
706,46076,,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252191,28,69,3,1,125,0.5003,484.6241976,51.12419759,0.354166667,40.5,0.711111111,79.5,13.7,40,0.390277778,97,15.1,,,,,,,,,,,,,,,,,,,,Repetir
707,46076,,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252191,28,69,3,2,126,0.5001,484.4304641,147.8304641,0.354166667,40.5,0.711805556,79,13.7,40,0.389583333,98,14.8,,,,,,,,,,,,,,,,,,,,Repetir
708,46076,,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252192,28,69,3,1,127,0.5002,488.4720877,80.47208768,0.354166667,40,0.711805556,80,13.3,39.5,0.389583333,91.5,14.9,,40,52,,,,,,,,,,,,,,,,,Repetir
709,46076,,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252192,28,69,3,2,128,0.5002,488.4720877,182.0720877,0.354861111,41,0.7125,78.5,13.6,40,0.390277778,93,14.9,,37.5,53,,,,,,,,,,,,,,,,,Repetir
710,46076,,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252193,28,69,3,1,129,0.5003,482.9223233,201.5223233,0.354861111,41,0.713194444,81.5,13.9,40,0.390972222,95.5,15.2,,,,,,,,,,,,,,,,,,,,
711,46076,,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252193,28,69,3,2,130,0.5001,482.7292702,55.42927021,0.354861111,40.5,0.713194444,80,13.7,40,0.390972222,95.5,15.1,,39.5,55.5,36.1074741,51.18559206,87.29306617,4.946723952,7.729024402,12.67574835,180.8323455,11.4824755,0.634979073,13.7,14.52091089,26.25850375,228.6832987,-0.391709668,14.57392388,126.9231872,
712,46076,Genbank,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Tree,F252574,28,69,3,1,131,0.5001,458.4750021,148.5750021,0.355555556,40.5,0.713888889,76.5,13.9,39.5,0.391666667,76,16.8,,36,36.5,32.6074741,32.18559206,64.79306617,4.5324389,5.407179467,9.939618367,141.3230075,32.40634744,2.293069473,13.9,15.34055873,21.67973896,66.89966837,-0.46337162,12.03263021,37.13047338,
713,46076,Genbank,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Tree,F252574,28,69,3,2,132,0.5,458.3833254,30.18332542,0.355555556,42,0.713888889,76,14.3,40,0.392361111,78,16.6,,34,38,,,,,,,,,,,,,,,,,Elimin Dig 6.58%
714,46076,Jacobo Arango/Alejandro Montoya,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,grasses,F250008,28,69,3,1,133,0.5,467.75,45.45,0.355555556,41,0.714583333,65,14.4,40,0.392361111,84,15.8,,24,44,,,,,,,,,,,,,,,,,Elimin Dig 9.72%
715,46076,Jacobo Arango/Alejandro Montoya,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,grasses,F250008,28,69,3,2,134,0.5,467.75,113.25,0.355555556,41,0.715277778,64.5,14.5,40.5,0.393055556,83,16,,23.5,42.5,20.1074741,38.18559206,58.29306617,2.915583745,6.10969473,9.025278475,124.6244066,24.21165152,1.942769654,14.5,15.4825935,19.29509027,79.69340817,22.03819461,10.70910893,44.23122031,
716,46076,Genbank,BLANK 8 H,BLANK,8,BLANK 8 H,,,,BLANK8H,28,69,3,1,135,,,0,0.35625,40,0.715277778,42,,,,,,,2,,,,,,,,,,,,,,,,,,
717,46076,Genbank,BLANK 8 H,BLANK,8,BLANK 8 H,,,,BLANK8H,28,69,3,2,136,,,0,0.35625,39.5,0.715972222,41.5,,,,,,,2,,,,,,,,,,,,,,,,,,
718,46076,Genbank,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Tree,F252575,28,69,3,1,137,0.5002,459.867,254.367,0.357638889,41.5,0.715972222,72.5,11.2,38.5,0.393055556,81,16.1,,31,42.5,27.6074741,38.18559206,65.79306617,3.092037099,6.147880322,9.239917422,143.0697705,55.31316663,3.866167285,11.2,14.0439076,20.09258638,36.3251421,-1.566778952,11.15173306,20.16108233,
719,46076,Genbank,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Tree,F252575,28,69,3,2,138,0.5001,459.7750634,217.5750634,0.357638889,40.5,0.717361111,74,11.6,40,0.39375,86,15.9,,33.5,46,30.1074741,41.68559206,71.79306617,3.492466996,6.628009138,10.12047613,156.1482383,47.32206696,3.03058603,11.6,14.096732,22.01179868,46.51487159,-0.40751773,12.2169291,25.81655849,
720,46076,Genbank,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Tree,F252576,28,69,3,1,139,0.5002,457.3271364,280.5271364,0.357638889,41,0.717361111,85.5,12.6,40,0.394444444,89,16.8,,44.5,49,42.65623592,46.67685727,89.33309319,5.374685727,7.841712021,13.21639775,195.3373987,61.34058403,3.140237581,12.6,14.79451486,28.89922048,47.11272469,0.88351319,16.03956735,26.1483773,
721,46076,Genbank,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Tree,F252576,28,69,3,2,140,0.5001,457.2357076,198.1357076,0.357638889,40.5,0.718055556,83.5,12.9,40,0.394444444,89.5,16.8,,43,49.5,41.15623592,47.17685727,88.33309319,5.309154434,7.925712021,13.23486645,193.1894026,43.33338457,2.243051844,12.9,14.98290842,28.94539126,66.79697777,-0.536858281,16.06519294,37.07347832,
722,46076,Genbank,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Tree,F252577,28,69,3,1,141,0.5003,455.6888904,155.5888904,0.357638889,41,0.71875,78.5,11.8,40,0.395138889,75,15.6,,37.5,35,35.65623592,32.67685727,68.33309319,4.207435839,5.097589733,9.305025573,149.9555829,34.14366549,2.276918593,11.8,13.61715845,20.41968933,59.80520556,-0.209589604,11.33328086,33.19292378,
723,46076,Genbank,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Tree,F252577,28,69,3,2,142,0.5003,455.6888904,150.8888904,0.357638889,41.5,0.71875,78,11.6,40.5,0.395138889,75.5,15.2,,36.5,35,34.65623592,32.67685727,67.33309319,4.020123367,4.966882304,8.987005672,147.7611033,33.11226005,2.240932107,11.6,13.34708573,19.72180113,59.56041991,-0.192615023,10.94594083,33.05706351,
724,46076,Genbank,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Tree,F252578,28,69,3,1,143,0.5,464.989058,154.889058,0.358333333,41,0.719444444,76,12.5,40.5,0.395833333,82.5,15.2,,35,42,33.15623592,39.67685727,72.83309319,4.144529491,6.030882304,10.17541179,156.6339937,33.31025866,2.126630233,12.5,13.97086317,21.88312095,65.69483945,-0.34317548,12.14551073,36.46177248,
725,46076,Genbank,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Tree,F252578,28,69,3,2,144,0.5001,465.0820558,181.7820558,0.358333333,40.5,0.719444444,74.5,12.1,38.5,0.395833333,77.5,15,,34,39,32.15623592,36.67685727,68.83309319,3.890904547,5.50152859,9.392433137,148.0020404,39.08601794,2.64091075,12.1,13.64522892,20.19521721,51.66864847,-0.509844087,11.20869495,28.67699382,
726,46076,Genbank,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Tree,F252579,28,69,3,1,145,0.5002,444.4167133,96.61671333,0.359027778,41.5,0.720138889,92.5,13.2,40.5,0.396527778,92.5,15.9,,51,52,49.15623592,49.67685727,98.83309319,6.488623142,7.898620305,14.38724345,222.3883356,21.74011697,0.977574517,13.2,14.55711137,32.37331769,148.9105037,-0.270412126,17.96775141,82.64790586,
727,46076,Genbank,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Tree,F252579,28,69,3,2,146,0.5,444.2390177,200.1390177,0.359027778,40.5,0.720833333,98,13.7,40,0.397222222,91.5,16,,57.5,51.5,55.65623592,49.17685727,104.8330932,7.624904322,7.868297162,15.49320148,235.9835337,45.05210253,1.9091206,13.7,14.77892239,34.8758233,77.41219908,-2.047106714,19.35668532,42.9651098,
728,46076,Genbank,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Tree,F252580,28,69,3,1,147,0.5004,460.2319529,47.13195292,0.359027778,41,0.720833333,76.5,11.4,40,0.397222222,89,14.9,,35.5,49,,,,,,,,,,,,,,,,,Elimin Dig 10.24%
729,46076,Genbank,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Tree,F252580,28,69,3,2,148,0.5001,459.9560345,167.0560345,0.359722222,41.5,0.721527778,74.5,11,40,0.397916667,88,14.7,,33,48,31.15623592,45.67685727,76.83309319,3.427185952,6.714498018,10.14168397,167.0444291,36.3200006,2.174271887,11,13.19962994,22.04924647,60.70827672,-0.892367429,12.23771327,33.6941439,
730,46076,Genbank,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Tree,F252581,28,69,3,1,149,0.5001,455.1568066,171.0568066,0.359722222,40.5,0.721527778,81,11.4,39.5,0.398611111,82.5,15.7,,40.5,43,38.65623592,40.67685727,79.33309319,4.406810895,6.386266591,10.79307749,174.2983781,37.58195069,2.156184761,11.4,13.6047607,23.71287725,63.09645141,-2.786175014,13.16105713,35.01962217,
731,46076,Genbank,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Tree,F252581,28,69,3,2,150,0.5002,455.2478198,103.8478198,0.359722222,40.5,0.722222222,81.5,11.4,40,0.398611111,84,15.4,,41,44,39.15623592,41.67685727,80.83309319,4.463810895,6.418236019,10.88204691,177.5584411,22.81127229,1.284719113,11.4,13.46236607,23.90356734,104.7884004,-0.382435269,13.26689343,58.15937515,
732,46076,Genbank,CIAT4069,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Tree,F252582,28,69,3,1,151,0.5001,461.6077553,163.5077553,0.359722222,42,0.722916667,75,11.4,40.5,0.399305556,77.5,14.5,,33,37,31.15623592,34.67685727,65.83309319,3.551810895,5.028144303,8.579955199,142.6169566,35.42136228,2.483671166,11.4,13.03289088,18.58711233,52.47430118,-0.344683627,10.31616892,29.12414501,
733,46076,Genbank,CIAT4069,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Tree,F252582,28,69,3,2,152,0.5001,461.6077553,207.0077553,0.360416667,40.5,0.722916667,73,11.9,40,0.399305556,77,14.4,,32.5,37,30.65623592,34.67685727,65.33309319,3.648092075,4.993467446,8.641559521,141.5337858,44.84494746,3.168497698,11.9,13.22692544,18.72056832,41.74510036,-1.296079617,10.3902393,23.16925293,
734,46076,Genbank,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Tree,F252583,28,69,3,1,153,0.5002,454.8863809,206.0863809,0.361111111,40,0.723611111,78,13.8,39.5,0.4,89,15.9,,38,49.5,36.15623592,47.17685727,83.33309319,4.989560558,7.501120305,12.49068086,183.1954015,45.30502331,2.473043697,13.8,14.98886023,27.45890268,60.60895828,-1.105991901,15.24016605,33.63902045,
735,46076,Genbank,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Tree,F252583,28,69,3,2,154,0.5002,454.8863809,153.3863809,0.361111111,41,0.724305556,80.5,13.5,40.5,0.4,90,15.8,,39.5,49.5,37.65623592,47.17685727,84.83309319,5.08359185,7.453943448,12.5375353,186.4929282,33.71971273,1.808096052,13.5,14.77906183,27.56190518,81.73825619,-0.359576539,15.29733422,45.36614634,
736,46076,Genbank,CIAT4532,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Tree,F252584,28,69,3,1,155,0.5003,460.5610934,157.8610934,0.361111111,41,0.725,86,13.3,40.5,0.400694444,88,16.4,,45,47.5,43.15623592,45.17685727,88.33309319,5.739779378,7.409004592,13.14878397,191.7945186,34.27582044,1.787111576,13.3,14.88545628,28.54948922,83.29337957,-0.364954109,15.84546045,46.22926672,
737,46076,Genbank,CIAT4532,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Tree,F252584,28,69,3,2,156,0.5,460.2849224,99.28492242,0.361111111,40.5,0.725694444,85.5,13.2,40.5,0.400694444,88,16.1,,45,47.5,43.15623592,45.17685727,88.33309319,5.696623142,7.27347402,12.97009716,191.9095953,21.57031821,1.123983309,13.2,14.68316878,28.17840978,130.635114,-0.208104144,15.63950495,72.50474841,
738,46076,Genbank,CIAT4537,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Tree,F252585,28,69,3,1,157,0.5005,461.5766978,236.0766978,0.361111111,41,0.725694444,84.5,12.2,40,0.401388889,89.5,15.7,En la primera agitación se observa líquido por encima del embolo,43.5,49.5,41.65623592,47.17685727,88.83309319,5.082060783,7.406766591,12.48882737,192.4557579,51.14571401,2.657530987,12.2,14.0587555,27.05688444,52.90156754,7.990760952,15.01703898,29.36128524,
739,46076,Genbank,CIAT4537,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Tree,F252585,28,69,3,2,158,0.5,461.1155822,329.4155822,0.361805556,40.5,0.726388889,84,12.1,40.5,0.401388889,88,15.6,,43.5,47.5,41.65623592,45.17685727,86.83309319,5.040404547,7.047589733,12.08799428,188.3109063,,3.793664029,12.1,13.92095322,26.21467317,36.69527167,0.284746629,14.54959715,20.36651064,Elimine Dig 71%
740,46076,Genbank,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Tree,F252586,28,69,3,1,159,0.5004,457.3971032,136.5971032,0.361805556,41,0.727083333,82.5,14.2,40.5,0.402083333,78.8,18.2,,41.5,38.3,39.65623592,35.97685727,75.63309319,5.631185501,6.547788022,12.17897352,165.3554267,29.86400707,1.806049409,14.2,16.10270453,26.62669579,89.15982283,-0.551739134,14.77827683,49.48524423,
741,46076,Genbank,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Tree,F252586,28,69,3,2,160,0.5003,457.3056969,185.4056969,0.361805556,40,0.727777778,80.5,14.4,40,0.402083333,78.5,18,,40.5,38.5,38.65623592,36.17685727,74.83309319,5.566497973,6.511834308,12.07833228,163.6391011,40.54305428,2.477589647,14.4,16.14036219,26.41194361,65.14542153,-3.464225956,14.65908566,36.15683603,
742,46076,Genbank,CIAT7826,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Tree,F252587,28,69,3,1,161,0.5,453.7842502,191.4842502,0.361805556,40,0.727777778,76.5,13.9,40,0.402777778,79,16.3,,36.5,39,34.65623592,36.67685727,71.33309319,4.817216794,5.978327734,10.79554453,157.1960533,42.19720057,2.684367684,13.9,15.13399188,23.79003794,56.37823746,-1.365911371,13.20388265,31.2908972,
743,46076,Genbank,CIAT7826,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Tree,F252587,28,69,3,2,162,0.5002,453.9657639,134.3657639,0.3625,41,0.728472222,77.5,13.6,40,0.402777778,76,16.7,,36.5,36,34.65623592,33.67685727,68.33309319,4.713248086,5.624035163,10.33728325,150.5247722,29.59821523,1.966335162,13.6,15.12778475,22.77106353,76.93390749,-0.328974598,12.63833422,42.6996497,
744,46076,Genbank,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Tree,F252588,28,69,3,1,163,0.5002,456.752178,246.852178,0.3625,41,0.728472222,90.5,12.5,40,0.403472222,91.5,14.2,,49.5,51.5,47.65623592,49.17685727,96.83309319,5.957029491,6.983113732,12.94014322,212.0035718,54.04510146,2.549254288,12.5,13.363348,28.33077508,52.42061595,0.795804801,15.72407032,29.09434878,
745,46076,Genbank,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Tree,F252588,28,69,3,2,164,0.5005,457.0261198,306.4261198,0.3625,40.5,0.729166667,89.5,12.3,40,0.404166667,87,14.3,,49,47,47.15623592,44.67685727,91.83309319,5.800217019,6.388790589,12.18900761,200.936203,67.04783524,3.33677228,12.3,13.27300125,26.67026474,39.77796546,0.30507464,14.80245835,22.07745903,
746,46076,Genbank,CIAT8849,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Tree,F252589,28,69,3,1,165,0.5,451.2774323,204.2774323,0.363194444,41,0.729166667,78.5,12.6,40,0.404166667,74.5,17.8,,37.5,34.5,35.65623592,32.17685727,67.83309319,4.492685727,5.727480593,10.22016632,150.3135064,45.26648524,3.011471579,12.6,15.06663759,22.64719126,50.0308145,-1.911215476,12.56958297,27.76796763,
747,46076,Genbank,CIAT8849,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Tree,F252589,28,69,3,2,166,0.5002,451.4579432,162.0579432,0.363194444,40,0.729861111,77.5,13,39,0.404861111,75,17.9,,37.5,36,35.65623592,33.67685727,69.33309319,4.63531067,6.02815745,10.66346812,153.5759736,35.8965759,2.337382277,13,15.38005537,23.62006978,65.8003422,-0.456053511,13.10954738,36.52032834,
748,46076,Genbank,CIAT9326,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Tree,F252590,28,69,3,1,167,0.5,460.0289971,225.7289971,0.364583333,41.5,0.730555556,84,12.4,40.5,0.405555556,88,15.1,,42.5,47.5,40.65623592,45.17685727,85.83309319,5.041373255,6.821705447,11.8630787,186.5819193,49.06842797,2.629859751,12.4,13.82110123,25.78767594,52.55451827,-6.313359542,14.3126063,29.16866689,
749,46076,Genbank,CIAT9326,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Tree,F252590,28,69,3,2,168,0.5005,460.4890261,260.0890261,0.363888889,40.5,0.730555556,83.5,12.4,39.5,0.40625,91.5,14.7,,43,52,41.15623592,49.67685727,90.83309319,5.103373255,7.302498018,12.40587127,197.2535458,56.48104762,2.863372995,12.4,13.65787604,26.94064477,47.69855714,0.958092603,14.95252395,26.47352445,
750,46076,Genbank,CIAT9337,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Tree,F252591,28,69,3,1,169,0.5002,461.0210658,180.3210658,0.364583333,40.5,0.73125,82,12.7,40,0.407638889,80,13.9,,41.5,40,,,,,,,,,,,,,,,,,Elimin Dig Neg
751,46076,Genbank,CIAT9337,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Tree,F252591,28,69,3,2,170,0.5001,460.9288984,181.0288984,0.364583333,40.5,0.731944444,82.5,12.6,40.5,0.408333333,85,13.4,,42,44.5,,,,,,,,,,,,,,,,,Elimin Dig Neg
752,46076,Genbank,CIAT9350,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Tree,F252592,28,69,3,1,171,0.5001,456.0544037,270.2544037,0.364583333,40.5,0.731944444,87.5,13,40,0.408333333,85,15.2,,47,45,45.15623592,42.67685727,87.83309319,5.87031067,6.486882304,12.35719297,192.5934548,59.25924659,3.076908644,13,14.06894887,27.09587469,45.72429831,0.683944321,15.03867924,25.37777664,
753,46076,Genbank,CIAT9350,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Tree,F252592,28,69,3,2,172,0.5002,456.1455963,283.6455963,0.364583333,40.5,0.732638889,86.5,13.3,40,0.409027778,87.5,15.5,,46,47.5,44.15623592,45.17685727,89.33309319,5.872779378,7.002412876,12.87519225,195.8433753,62.18312719,3.175145808,13.3,14.41256739,28.22605843,45.39182847,0.53763868,15.66595077,25.19325013,
754,46076,Genbank,CIAT9352,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Tree,F252593,28,69,3,1,173,0.5001,467.1250422,266.7250422,0.365277778,41,0.732638889,90,13,40.5,0.409027778,83,16.8,,49,42.5,47.15623592,40.17685727,87.33309319,6.13031067,6.749712021,12.88002269,186.9587055,57.09928137,3.054111934,13,14.74815814,27.57296554,48.28951412,0.536690425,15.30347292,26.8015158,
755,46076,Genbank,CIAT9352,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Tree,F252593,28,69,3,2,174,0.5005,467.4986675,204.6986675,0.365277778,40.5,0.733333333,88.5,13.4,40.5,0.409722222,83,17.1,,48,42.5,46.15623592,40.17685727,86.33309319,6.184935614,6.870242592,13.05517821,184.6702444,43.78593603,2.371033632,13.4,15.1218701,27.92559448,63.77754368,31.56133233,15.49918808,35.39764016,
756,46076,Genbank,CIAT9472,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Tree,F252594,28,69,3,1,175,0.5004,460.8493012,180.5493012,0.365277778,40.5,0.734027778,77.5,12.4,40,0.410416667,71.5,18,,37,31.5,35.15623592,29.17685727,64.33309319,4.359373255,5.251834308,9.611207562,139.5968118,39.17751438,2.806476299,12.4,14.93975664,20.85542397,53.23314738,-0.41868271,11.57512112,29.54531778,
