21_no,21_date,21_requisitioner,21_set_ciat,21_ciat_lab_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional_group,21_batches_ciat,21_id_lab,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_av_ash_percentage,21_om_percentage,21_om_percentage
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,"DM, %",Av DM 105,"Ash, %","Av Ash, %","OM, %","OM, %"
54,46041,Genbank,27,F251754,CIAT-9990,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),92.98420947,,14.61894013,,85.38105987,
55,46041,Genbank,27,F251755,CIAT-13258,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.55217913,94.59742889,14.88874108,14.86686535,85.11125892,85.13313465
56,46041,Genbank,27,F251755,CIAT-13258,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.64267866,,14.84498963,,85.15501037,
57,46041,Genbank,27,F251756,CIAT-13260,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.04119176,94.07647912,9.352221123,12.08275428,90.64777888,87.91724572
58,46041,Genbank,27,F251756,CIAT-13260,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.11176647,,14.81328743,,85.18671257,
59,46041,Genbank,27,F251757,CIAT-17263,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.41335199,94.47167599,15.42394278,13.81432952,84.57605722,86.18567048
60,46041,Genbank,27,F251757,CIAT-17263,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),94.53,,12.20471626,,87.79528374,
61,46041,Isabel Molina,27,F252640, Cayman Br02_1752,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"58,59, 69",OT-034 (2025),97.01089673,97.00105012,9.625873976,90.34884451,90.37412602,90.34884451
62,46041,Isabel Molina,27,F252640, Cayman Br02_1752,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"58,59, 69",OT-034 (2025),96.99120352,,9.676436997,,90.323563,
63,46041,Mauricio Sotelo,27,F252641,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,"58,59, 69",OT-035 (2025),93.53258697,93.49727419,9.42965823,9.408744989,90.57034177,90.59125501
64,46041,Mauricio Sotelo,27,F252641,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,"58,59, 69",OT-035 (2025),93.46196141,,9.387831748,,90.61216825,
65,46041,Jacobo Arango/Alejandro Montoya,27,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"58,59, 69",OT-002,93.3,93.55,11.3,11.4,88.7,88.6
66,46041,Jacobo Arango/Alejandro Montoya,27,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"58,59, 69",OT-002,93.8,,11.5,,88.5,
67,46048,Genbank,28,F251758,CIAT-17459,Erythrina,berteroana,Erythrina berteroana,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,94.51219512,94.58716513,10.82166446,11.8678996,89.17833554,88.1321004
68,46048,Genbank,28,F251758,CIAT-17459,Erythrina,berteroana,Erythrina berteroana,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,94.66213515,,12.91413474,,87.08586526,
69,46048,Genbank,28,F251759,CIAT-17482,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,92.6214757,92.66183252,14.78198755,14.23641966,85.21801245,85.76358034
70,46048,Genbank,28,F251759,CIAT-17482,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,92.70218934,,13.69085177,,86.30914823,
71,46048,Genbank,28,F251760,CIAT-17502,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,94.22115577,94.26086286,11.15828574,12.95686503,88.84171426,87.04313497
72,46048,Genbank,28,F251760,CIAT-17502,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,94.30056994,,14.75544433,,85.24455567,
73,46048,Genbank,28,F251761,CIAT-19384,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.31334333,93.38765237,11.91210776,10.33433437,88.08789224,89.66566563
74,46048,Genbank,28,F251761,CIAT-19384,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.46196141,,8.756560989,,91.24343901,
75,46048,Genbank,28,F251762,CIAT-19571,Senna,cobanensis,Senna cobanensis,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.15410754,93.20739073,6.111727843,6.081072551,93.88827216,93.91892745
76,46048,Genbank,28,F251762,CIAT-19571,Senna,cobanensis,Senna cobanensis,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.26067393,,6.05041726,,93.94958274,
77,46048,Genbank,28,F251763,CIAT-20126,Acacia,angustissima,Acacia angustissima,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.92303848,93.97211712,5.796694305,5.776284983,94.20330569,94.22371502
78,46048,Genbank,28,F251763,CIAT-20126,Acacia,angustissima,Acacia angustissima,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,94.02119576,,5.75587566,,94.24412434,
79,46048,Genbank,28,F251764,CIAT-20788,Senna,pallida,Senna pallida,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.87183845,93.91682495,9.729096812,9.745063601,90.27090319,90.2549364
80,46048,Genbank,28,F251764,CIAT-20788,Senna,pallida,Senna pallida,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.96181146,,9.76103039,,90.23896961,
81,46048,Genbank,28,F251765,CIAT-21242,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.13206038,93.21136566,6.84260608,6.875471971,93.15739392,93.12452803
82,46048,Genbank,28,F251765,CIAT-21242,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.29067093,,6.908337861,,93.09166214,
83,46048,Genbank,28,F251766,CIAT-21512,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,92.39304278,92.78788485,4.793967142,4.783194183,95.20603286,95.21680582
84,46048,Genbank,28,F251766,CIAT-21512,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.18272691,,4.772421223,,95.22757878,
85,46048,Genbank,28,F251767,CIAT-21601,Erythrina,fusca,Erythrina fusca,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.87061294,93.23678588,7.174562061,7.044833203,92.82543794,92.9551668
86,46048,Genbank,28,F251767,CIAT-21601,Erythrina,fusca,Erythrina fusca,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,92.60295882,,6.915104345,,93.08489565,
87,46048,Genbank,28,F251768,CIAT-21809,Acacia,farnesiana,Acacia farnesiana,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,94.57162851,94.61581426,7.427819216,7.460640562,92.57218078,92.53935944
88,46048,Genbank,28,F251768,CIAT-21809,Acacia,farnesiana,Acacia farnesiana,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,94.66,,7.493461908,,92.50653809,
89,46048,Genbank,28,F251769,CIAT-21810,Acacia,angustissima,Acacia angustissima,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,94.74052595,94.78681304,5.390506218,5.3891594,94.60949378,94.6108406
90,46048,Genbank,28,F251769,CIAT-21810,Acacia,angustissima,Acacia angustissima,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,94.83310014,,5.387812581,,94.61218742,
91,46048,Genbank,28,F251770,CIAT-21888,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.67189843,93.70720071,9.057418959,9.136970806,90.94258104,90.86302919
92,46048,Genbank,28,F251770,CIAT-21888,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.742503,,9.216522654,,90.78347735,
93,46048,Genbank,28,F251771,CIAT-22310,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,94.82,94.8605099,5.650401843,5.713075036,94.34959816,94.28692496
94,46048,Genbank,28,F251771,CIAT-22310,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,94.9010198,,5.775748228,,94.22425177,
95,46048,Genbank,28,F251772,CIAT-22311,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.80371777,93.87716135,6.877206587,6.953483788,93.12279341,93.04651621
96,46048,Genbank,28,F251772,CIAT-22311,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,93.95060494,,7.029760988,,92.97023901,
97,46048,Genbank,28,F251773,CIAT-22316,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,95.54044596,95.51589927,8.667847076,8.646047909,91.33215292,91.35395209
