32_no,32_date,32_requisitioner,32_gene_bank_id,32_genus,32_species,32_tax_name,32_family,32_order,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_percentage_ndf_digestibility_in_24h,32_remarks_1,32_remarks_2
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks,
60,45635,Genbank,CIAT-33119,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251746,27,58,1,2,240,0.5841,0.8676,,0.2835,193.2214086,40.5313051,283.5460869,0.046086943,0.016253775,,
61,45635,Genbank,CIAT-33119,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251746,27,58,1,3,241,0.5681,0.9091,,0.341,135.6261215,28.45545289,283.4894117,-57.51058827,-20.28667946,,
62,45635,Genbank,CIAT-33383,Dendrolobium,sp.,Dendrolobium sp.,Fabaceae,Fabales,Tree,F251747,27,58,1,1,242,0.5915,0.9419,,0.3504,123.0524819,25.99046084,282.9256919,-67.47430812,-23.84877374,,
63,45635,Genbank,CIAT-33383,Dendrolobium,sp.,Dendrolobium sp.,Fabaceae,Fabales,Tree,F251747,27,58,1,2,243,0.5794,0.8832,,0.3038,169.9364966,35.87152305,283.0954134,-20.70458665,-7.313642565,,
64,45635,Genbank,CIAT-33383,Dendrolobium,sp.,Dendrolobium sp.,Fabaceae,Fabales,Tree,F251747,27,58,1,3,244,0.5862,0.9677,,0.3815,91.95248188,19.42169181,282.9256919,-98.57430812,-34.84105931,,
65,45635,Genbank,CIAT-33402,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251748,27,58,1,1,245,0.578,0.9216,,0.3436,130.0326144,27.45432018,284.6124647,-58.98753532,-20.72556288,,
66,45635,Genbank,CIAT-33402,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251748,27,58,1,2,246,0.5751,0.926,,0.3509,122.7326144,25.91304118,284.6124647,-66.28753532,-23.29045405,,
67,45635,Genbank,CIAT-33402,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251748,27,58,1,3,247,0.5781,0.9528,,0.3747,98.45945499,20.80893744,284.3281365,-90.37186346,-31.78435471,,
68,45635,Genbank,CIAT-33508,Dendrolobium,umbellatum,Dendrolobium umbellatum,Fabaceae,Fabales,Tree,F251749,27,58,1,1,248,0.6044,1.0062,,0.4018,67.49371343,14.38197689,273.8865697,-127.9134303,-46.70306777,*,
69,45635,Genbank,CIAT-33508,Dendrolobium,umbellatum,Dendrolobium umbellatum,Fabaceae,Fabales,Tree,F251749,27,58,1,2,249,0.5743,0.8396,,0.2653,203.8062209,43.44564447,273.7771464,8.477146408,3.096367436,,
70,45635,Genbank,CIAT-33508,Dendrolobium,umbellatum,Dendrolobium umbellatum,Fabaceae,Fabales,Tree,F251749,27,58,1,3,250,0.6061,0.9594,,0.3533,115.9937134,24.71665614,273.8865697,-79.41343027,-28.99500708,,
71,45635,Genbank,CIAT-33515,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251750,27,58,1,1,251,0.5806,1.012,,0.4314,36.12200346,7.726268111,296.0236637,-135.3763363,-45.73159273,,
72,45635,Genbank,CIAT-33515,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251750,27,58,1,2,252,0.5925,0.9714,,0.3789,88.34177049,18.90707896,295.846227,-83.05377305,-28.07329128,,
73,45635,Genbank,CIAT-33515,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251750,27,58,1,3,253,0.5981,1.1408,Embolo duro 8h,,,,,,,**,Eliminado Dig negativo
74,45635,Genbank,CIAT-7353,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,F251751,27,58,1,1,254,0.5853,0.8735,,0.2882,185.2169671,39.12343241,219.3079126,-68.89208743,-31.41340712,,
75,45635,Genbank,CIAT-7353,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,F251751,27,58,1,2,255,0.5844,0.8402,Se corroboro equipo STD 5 y STD 20: valors 4.8 y 20% respectivamente,0.2558,217.900847,45.99967435,219.4394184,-36.36058158,-16.56975845,,
76,45635,Genbank,CIAT-7353,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,F251751,27,58,1,3,256,0.5797,0.805,,0.2253,248.1169671,52.40981722,219.3079126,-5.992087429,-2.732271425,,
77,45635,Genbank,CIAT-7976,Cassia,sp.,Cassia sp.,Fabaceae,Fabales,Tree,F251752,27,58,1,1,257,0.5833,0.872,,0.2887,178.8552451,38.25328599,234.319007,-54.38099305,-23.20810153,,
78,45635,Genbank,CIAT-7976,Cassia,sp.,Cassia sp.,Fabaceae,Fabales,Tree,F251752,27,58,1,2,258,0.5975,0.8505,,0.253,214.0881569,45.83463608,234.084922,-18.91507797,-8.080434145,,
79,45635,Genbank,CIAT-7976,Cassia,sp.,Cassia sp.,Fabaceae,Fabales,Tree,F251752,27,58,1,3,259,0.5867,0.8052,,0.2185,248.8684098,53.24887275,234.225373,15.72537299,6.713778608,,
80,45635,Genbank,CIAT-8018,Acacia,aroma,Acacia aroma,Fabaceae,Fabales,Tree,F251753,27,58,1,1,260,0.596,0.9644,Muestra en la manguera despues del clip 8h,0.3684,100.5780844,21.4462227,329.8525468,-38.54745317,-11.68626816,,
81,45635,Genbank,CIAT-8018,Acacia,aroma,Acacia aroma,Fabaceae,Fabales,Tree,F251753,27,58,1,2,261,0.604,0.9745,,0.3705,99.04085808,21.09312883,330.2483699,-40.25163011,-12.18829032,,
82,45635,Genbank,CIAT-8018,Acacia,aroma,Acacia aroma,Fabaceae,Fabales,Tree,F251753,27,58,1,3,262,0.5904,0.9931,,0.4027,66.55947123,14.18393774,330.0504584,-72.64954164,-22.01164695,,
83,45635,Genbank,CIAT-9990,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,F251754,27,58,1,1,263,0.5863,0.8239,,0.2376,227.4570258,48.90949135,226.7805718,-10.81942819,-4.770879669,,
84,45635,Genbank,CIAT-9990,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,F251754,27,58,1,2,264,0.5823,0.7994,"Mtra regada, muestra en la manguera despues del clip 8h ",0.2171,247.8640516,53.30821829,226.7352338,9.635233827,4.249552954,,
85,45635,Genbank,CIAT-9990,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,F251754,27,58,1,3,265,0.5774,0.7561,,0.1787,286.6359484,61.59763702,226.9165857,48.21658574,21.24859476,,
86,45635,Genbank,CIAT-13258,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251755,27,58,1,1,266,0.5987,0.9734,,0.3747,98.76013162,20.85922869,292.6108703,-82.0891297,-28.05402602,,
87,45635,Genbank,CIAT-13258,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251755,27,58,1,2,267,0.5648,0.9683,Muestra en la maguera despues del clip 8h ,0.4035,69.5817419,14.70818587,292.3770155,-111.1229845,-38.00674426,,
88,45635,Genbank,CIAT-13258,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251755,27,58,1,3,268,0.5656,0.9091,,0.3435,129.4871445,27.3764617,292.3185517,-51.18144826,-17.50879236,,
