40_sample_serial_no,40_dat,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_av_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
213,46055,Genbank,29,F252617,CIAT34038,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,91.75494703,91.78910886,12.28167067,12.2447827,87.71832933,87.7552173,20.56824412,20.56824412,24.04917497,24.32362121,46.16750937,46.95850581
214,46055,Genbank,29,F252617,CIAT34038,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,91.82327069,,12.20789474,,87.79210526,,20.56824412,,24.59806746,,47.74950224,
215,46055,Genbank,29,F252618,CIAT34040,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,90.72185563,90.65592781,12.74896054,12.81090438,87.25103946,87.18909562,25.5636915,25.5636915,22.85370059,22.65067953,41.94484888,41.97499569
216,46055,Genbank,29,F252618,CIAT34040,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,90.59,,12.87284823,,87.12715177,,25.5636915,,22.44765848,,42.0051425,
217,46055,Genbank,29,F252619,CIAT34042,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,91.06089391,91.07089291,12.35177866,12.36824769,87.64822134,87.63175231,24.70704998,24.70704998,23.32593852,23.37035241,49.68867385,48.96011878
218,46055,Genbank,29,F252619,CIAT34042,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,91.08089191,,12.38471673,,87.61528327,,24.70704998,,23.4147663,,48.23156371,
219,46055,Genbank,29,F252620,CIAT34044,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,91.60503698,91.57463243,10.3460043,10.43929542,89.6539957,89.56070458,22.3628054,22.3628054,21.10603306,20.6723314,55.23353182,54.26696547
220,46055,Genbank,29,F252620,CIAT34044,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,91.54422789,,10.53258654,,89.46741346,,22.3628054,,20.23862974,,53.30039912,
221,46055,Genbank,29,F252621,CIAT34148,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,89.59312206,89.54261182,10.26019192,10.26070483,89.73980808,89.73929517,23.28788448,23.28788448,27.18308226,27.82137805,44.08476708,44.74617815
222,46055,Genbank,29,F252621,CIAT34148,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,89.49210158,,10.26121774,,89.73878226,,23.28788448,,28.45967384,,45.40758921,
223,46055,Genbank,29,F252622,CIAT34159,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,90.56188762,90.48238338,12.16568135,11.99382056,87.83431865,88.00617944,22.86358872,22.86358872,22.21471082,22.34221298,48.13623771,48.63590186
224,46055,Genbank,29,F252622,CIAT34159,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,90.40287914,,11.82195977,,88.17804023,,22.86358872,,22.46971514,,49.135566,
225,46055,Genbank,29,F252623,CIAT34347,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,89.46210758,89.49262532,11.92038605,11.99798549,88.07961395,88.00201451,32.50938499,32.4648997,23.31284213,25.26923463,43.22372754,42.67650731
226,46055,Genbank,29,F252623,CIAT34347,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,89.52314306,,12.07558493,,87.92441507,,32.42041442,,27.22562713,,42.12928707,
227,46055,Genbank,29,F251692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,93.76374175,93.79248875,5.199855362,5.216884679,94.80014464,94.78311532,16.813217,16.813217,58.10429458,59.1384802,64.69971686,65.41813429
228,46055,Genbank,29,F251692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,93.82123575,,5.233913996,,94.766086,,16.813217,,60.17266582,,66.13655172,
229,46055,Jacobo Arango/ Alejandro Montoya,29,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.3,93.55,11.3,11.4,88.7,88.6,0,0,0,0,76.1,76.1
230,46055,Jacobo Arango/ Alejandro Montoya,29,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.8,,11.5,,88.5,,0,,0,,76.1,
,46062,Genbank,30,F260013,CIAT590,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,92.73435938,92.60293254,10.67360319,10.54077955,89.32639681,89.45922045,18.34283136,18.46960616,35.83839106,36.08173821,55.8271184,55.46053751
,46062,Genbank,30,F260013,CIAT590,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,92.4715057,,10.4079559,,89.5920441,,18.59638097,,36.32508537,,55.09395663,
,46062,Genbank,30,F260014,CIAT778,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,92.57371314,92.58296774,12.37190073,12.35694073,87.62809927,87.64305927,22.84205672,22.84205672,35.23702913,35.74291616,52.30029735,52.82335268
,46062,Genbank,30,F260014,CIAT778,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,92.59222233,,12.34198072,,87.65801928,,22.84205672,,36.2488032,,53.34640801,
,46062,Genbank,30,F260015,CIAT827,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,94.79,94.765,11.63931831,11.78705218,88.36068169,88.21294782,21.61626081,21.61626081,28.32269691,27.75657698,47.08554151,47.59931685
,46062,Genbank,30,F260015,CIAT827,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,94.74,,11.93478605,,88.06521395,,21.61626081,,27.19045705,,48.11309219,
,46062,Genbank,30,F260016,CIAT997,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,93.58192542,93.56128568,12.29840735,12.30498063,87.70159265,87.69501937,21.4350367,21.4350367,32.7530679,32.77675966,50.53571142,50.82440462
,46062,Genbank,30,F260016,CIAT997,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,93.54064594,,12.3115539,,87.6884461,,21.4350367,,32.80045143,,51.11309781,
,46062,Genbank,30,F260017,CIAT1405,Stylosanthes,capitata,Stylosanthes capitata,Fabaceae,Fabales,Herbaceous,94.55108978,94.62686923,13.39732003,14.27728367,86.60267997,85.72271633,16.06877613,16.06877613,44.13245587,43.37542346,61.52843714,60.85475545
,46062,Genbank,30,F260017,CIAT1405,Stylosanthes,capitata,Stylosanthes capitata,Fabaceae,Fabales,Herbaceous,94.70264868,,15.1572473,,84.8427527,,16.06877613,,42.61839104,,60.18107376,
,46062,Genbank,30,F260018,CIAT1812,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,95.42183127,95.45704257,11.34088113,10.53930727,88.65911887,89.46069273,11.38570084,11.38570084,43.60282667,44.09818061,55.43478458,56.27749872
,46062,Genbank,30,F260018,CIAT1812,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,95.49225387,,9.737733407,,90.26226659,,11.38570084,,44.59353456,,57.12021285,
,46062,Genbank,30,F260019,CIAT3694,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,94.38112378,94.45110978,10.92410289,12.9300307,89.07589711,87.0699693,17.41588153,17.41588153,45.96543024,46.55894028,59.80370585,61.01002163
,46062,Genbank,30,F260019,CIAT3694,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,94.52109578,,14.93595851,,85.06404149,,17.41588153,,47.15245031,,62.21633741,
,46062,Genbank,30,F260020,CIAT4080,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,94.67213115,94.68738991,17.64048907,16.1881863,82.35951093,83.8118137,21.55350622,21.55350622,30.31303992,30.66930525,51.09512052,51.2582552
,46062,Genbank,30,F260020,CIAT4080,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,94.70264868,,14.73588352,,85.26411648,,21.55350622,,31.02557059,,51.42138988,
,46062,Genbank,30,F260021,CIAT7162,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,93.93242703,94.01709825,14.48093425,15.83738766,85.51906575,84.16261234,23.42333436,23.42333436,32.7547816,32.32618108,44.92651898,45.22297582
,46062,Genbank,30,F260021,CIAT7162,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,94.10176947,,17.19384107,,82.80615893,,23.42333436,,31.89758056,,45.51943266,
,46062,Genbank,30,F260022,CIAT8820,Tephrosia,cinerea,Tephrosia cinerea,Fabaceae,Fabales,Herbaceous,95.0409918,95.07574038,10.52634285,9.533024097,89.47365715,90.4669759,24.38627131,24.27463689,33.68961447,33.63986614,51.84466,51.88640213
,46062,Genbank,30,F260022,CIAT8820,Tephrosia,cinerea,Tephrosia cinerea,Fabaceae,Fabales,Herbaceous,95.11048895,,8.539705343,,91.46029466,,24.16300248,,33.59011781,,51.92814426,
,46062,Genbank,30,F260023,CIAT14080,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,94.68053195,94.72578887,18.53586482,18.45577814,81.46413518,81.54422186,17.22808905,17.22808905,28.67079411,27.71755267,47.66846964,46.64743066
,46062,Genbank,30,F260023,CIAT14080,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,94.77104579,,18.37569146,,81.62430854,,17.22808905,,26.76431122,,45.62639169,
,46062,Genbank,30,F260024,CIAT18950,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,93.52323838,93.51824088,16.64083792,15.89269492,83.35916208,84.10730508,21.86273111,21.86273111,31.96986787,32.77642575,41.18982428,41.87243206
,46062,Genbank,30,F260024,CIAT18950,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,93.51324338,,15.14455192,,84.85544808,,21.86273111,,33.58298363,,42.55503985,
,46062,Genbank,30,F260025,CIAT19193,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,94.32113577,94.33169943,7.122373825,7.158750153,92.87762618,92.84124985,21.65767298,21.65767298,35.02232084,35.28139765,57.97107762,58.06170212
,46062,Genbank,30,F260025,CIAT19193,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,94.34226309,,7.195126481,,92.80487352,,21.65767298,,35.54047447,,58.15232662,
,46062,Genbank,30,F260026,CIAT19641,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,96.06157537,96.04658137,8.398813551,8.33636884,91.60118645,91.66363116,20.31614144,20.31614144,40.37681224,40.9136997,61.3245639,61.48689666
,46062,Genbank,30,F260026,CIAT19641,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,96.03158737,,8.27392413,,91.72607587,,20.31614144,,41.45058715,,61.64922941,
,46062,Genbank,30,F260027,CIAT23503,Desmodium,macrodesmum,Desmodium macrodesmum,Fabaceae,Fabales,Herbaceous,93.35332334,93.32733154,12.27322444,13.2231507,87.72677556,86.7768493,20.34431216,20.34431216,40.54684301,40.30746321,56.17776724,55.64138337
,46062,Genbank,30,F260027,CIAT23503,Desmodium,macrodesmum,Desmodium macrodesmum,Fabaceae,Fabales,Herbaceous,93.30133973,,14.17307697,,85.82692303,,20.34431216,,40.06808341,,55.1049995,
,46062,Genbank,30,F260028,CIAT24333,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,94.36169149,94.41223005,9.794521141,9.692969907,90.20547886,90.30703009,15.85300644,15.85300644,35.60478419,35.22678654,55.38347234,55.05017813
,46062,Genbank,30,F260028,CIAT24333,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,94.46276862,,9.591418674,,90.40858133,,15.85300644,,34.84878888,,54.71688391,
,46062,Genbank,30,F260029,CIAT33235,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,93.25337331,93.33168666,15.72098844,15.45169958,84.27901156,84.54830042,20.05227466,20.05227466,42.48758016,43.50623775,55.28578059,56.61392534
,46062,Genbank,30,F260029,CIAT33235,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,93.41,,15.18241072,,84.81758928,,20.05227466,,44.52489534,,57.9420701,
,46062,Genbank,30,F260030,CIAT33605,Desmodium,sandwicense x intortum,Desmodium sandwicense x intortum,Fabaceae,Fabales,Herbaceous,95.5922039,95.55244814,11.08784009,10.57478615,88.91215991,89.42521385,19.32230436,19.32230436,46.64076047,46.45560853,60.38181453,59.61207668
,46062,Genbank,30,F260030,CIAT33605,Desmodium,sandwicense x intortum,Desmodium sandwicense x intortum,Fabaceae,Fabales,Herbaceous,95.51269238,,10.06173222,,89.93826778,,19.32230436,,46.27045659,,58.84233884,
,46062,Genbank,30,F260031,CIAT34144,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,90.84274718,90.89863496,11.40489067,11.67864493,88.59510933,88.32135507,24.93033588,24.93033588,21.64260736,21.59042769,49.03854788,48.92808471
,46062,Genbank,30,F260031,CIAT34144,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,90.95452274,,11.9523992,,88.0476008,,24.93033588,,21.53824801,,48.81762153,
,46062,Genbank,30,F260032,CIAT7934,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,96.33220068,96.46644027,15.02212083,12.95746146,84.97787917,87.04253854,26.7015145,26.817681,19.53361176,19.2567034,48.26924806,48.67231746
,46062,Genbank,30,F260032,CIAT7934,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,96.60067986,,10.89280209,,89.10719791,,26.9338475,,18.97979504,,49.07538686,
,46062,Genbank,30,F260033,CIAT7937,Mimosa,nuda,Mimosa nuda,Fabaceae,Fabales,Shurb_Tree,96.18038196,96.20113551,6.693638313,8.193610872,93.30636169,91.80638913,14.64673735,14.64673735,42.24165306,42.43263596,61.9745792,62.25922773
,46062,Genbank,30,F260033,CIAT7937,Mimosa,nuda,Mimosa nuda,Fabaceae,Fabales,Shurb_Tree,96.22188906,,9.69358343,,90.30641657,,14.64673735,,42.62361886,,62.54387625,
,46062,Genbank,30,F260034,CIAT8056,Mimosa,diplotricha,Mimosa diplotricha,Fabaceae,Fabales,Shurb_Tree,95.31140658,95.2918852,11.99112811,9.918385946,88.00887189,90.08161405,18.61665369,18.61665369,36.51060581,39.25609615,53.93183451,54.43280223
,46062,Genbank,30,F260034,CIAT8056,Mimosa,diplotricha,Mimosa diplotricha,Fabaceae,Fabales,Shurb_Tree,95.27236382,,7.845643785,,92.15435621,,18.61665369,,42.0015865,,54.93376996,
,46062,Genbank,30,F260035,CIAT17514,Mimosa,pudica,Mimosa pudica,Fabaceae,Fabales,Shurb_Tree,96.38,96.43587706,8.803777452,10.03494151,91.19622255,89.96505849,19.83297352,19.83297352,41.7560847,41.15272519,59.10010519,59.39065915
,46062,Genbank,30,F260035,CIAT17514,Mimosa,pudica,Mimosa pudica,Fabaceae,Fabales,Shurb_Tree,96.49175412,,11.26610557,,88.73389443,,19.83297352,,40.54936567,,59.6812131,
,46062,Genbank,30,F260036,CIAT17725,Mimosa,polycarpa,Mimosa polycarpa,Fabaceae,Fabales,Shurb_Tree,95.73170732,95.66717287,9.780008353,7.997879094,90.21999165,92.00212091,21.37591113,21.37591113,35.5817939,35.15439028,60.31573107,61.08402371
,46062,Genbank,30,F260036,CIAT17725,Mimosa,polycarpa,Mimosa polycarpa,Fabaceae,Fabales,Shurb_Tree,95.60263842,,6.215749836,,93.78425016,,21.37591113,,34.72698666,,61.85231634,
,46062,Genbank,30,F260037,CIAT18947,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,95.52,95.48091164,9.247921756,9.727651968,90.75207824,90.27234803,28.7937842,28.7937842,20.43736611,20.46950827,44.9274122,46.00442211
,46062,Genbank,30,F260037,CIAT18947,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,95.44182327,,10.20738218,,89.79261782,,28.7937842,,20.50165043,,47.08143203,
,46062,Genbank,30,F260038,CIAT19165,Sesbania,keniensis,Sesbania keniensis,Fabaceae,Fabales,Shurb_Tree,96.40143942,96.44159927,12.29268074,10.39549328,87.70731926,89.60450672,25.52109302,25.52109302,30.66274946,30.39548954,50.45526667,50.40359431
,46062,Genbank,30,F260038,CIAT19165,Sesbania,keniensis,Sesbania keniensis,Fabaceae,Fabales,Shurb_Tree,96.48175912,,8.498305825,,91.50169417,,25.52109302,,30.12822962,,50.35192195,
,46062,Genbank,30,F260039,CIAT21899,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,95.88164734,95.83687564,7.958261545,7.989151378,92.04173846,92.01084862,18.3249602,18.3249602,41.75912475,41.36942105,63.16837771,63.02658913
,46062,Genbank,30,F260039,CIAT21899,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,95.79210395,,8.02004121,,91.97995879,,18.3249602,,40.97971735,,62.88480054,
,46062,Genbank,30,F260040,CIAT23414,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,96.47211673,96.30663719,9.432942044,9.335742891,90.56705796,90.66425711,15.86640488,16.19449371,42.72209983,43.81515927,61.39164182,62.85339032
,46062,Genbank,30,F260040,CIAT23414,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,96.14115765,,9.238543739,,90.76145626,,16.52258254,,44.9082187,,64.31513883,
,46062,Genbank,30,F260041,CIAT23767,Desmodium,nicaraguense,Desmodium nicaraguense,Fabaceae,Fabales,Shurb_Tree,94.95201919,94.9960096,10.04903424,10.09841445,89.95096576,89.90158555,19.05313828,19.05313828,27.53672068,26.89918452,55.90629074,54.7173096
,46062,Genbank,30,F260041,CIAT23767,Desmodium,nicaraguense,Desmodium nicaraguense,Fabaceae,Fabales,Shurb_Tree,95.04,,10.14779467,,89.85220533,,19.05313828,,26.26164836,,53.52832846,
,46062,Genbank,30,F260042,CIAT33127,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,95.53223388,95.60154985,9.304820097,9.531062323,90.6951799,90.46893768,13.66830468,13.66206871,43.8186202,45.26605268,62.43368834,64.59261822
,46062,Genbank,30,F260042,CIAT33127,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,95.67086583,,9.757304549,,90.24269545,,13.65583273,,46.71348515,,66.75154809,
,46062,Breeding,30,F252104,CIAT-BR06_1348,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,93.02,93.09,14.27,14.475,85.73,85.525,12.27,12.225,25.43,25.64,59.24,59.76
,46062,Breeding,30,F252104,CIAT-BR06_1348,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,93.16,,14.68,,85.32,,12.18,,25.85,,60.28,
,46062,Breeding,30,F252166,CIAT-BH22_0528,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,98.22,98.21,15.08,13.78,84.92,86.22,8.73,8.765,36.96,36.795,73.74,73.555
,46062,Breeding,30,F252166,CIAT-BH22_0528,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,98.2,,12.48,,87.52,,8.8,,36.63,,73.37,
,46062,Jacobo Arango/ Alejandro Montoya,30,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.6,93.7,11.3,11.4,88.7,88.6,13.1,13.1,37.8,37.8,76.1,76.1
,46062,Jacobo Arango/ Alejandro Montoya,30,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.8,,11.5,,88.5,,13.1,,37.8,,76.1,
