40_sample_serial_no,40_dat,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_av_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
54,46041,Genbank,27,F251754,CIAT-9990,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,92.98420947,,14.61894013,,85.38105987,,31.75200833,,28.54378984,,48.36170515,
55,46041,Genbank,27,F251755,CIAT-13258,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,94.55217913,94.59742889,14.88874108,14.86686535,85.11125892,85.13313465,15.55026437,15.55026437,53.99040149,54.95714405,60.14888741,61.80264203
56,46041,Genbank,27,F251755,CIAT-13258,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,94.64267866,,14.84498963,,85.15501037,,15.55026437,,55.92388662,,63.45639665,
57,46041,Genbank,27,F251756,CIAT-13260,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,94.04119176,94.07647912,9.352221123,12.08275428,90.64777888,87.91724572,15.81342541,15.81342541,57.3984177,57.39257655,63.65754994,65.19358019
58,46041,Genbank,27,F251756,CIAT-13260,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,94.11176647,,14.81328743,,85.18671257,,15.81342541,,57.38673539,,66.72961043,
59,46041,Genbank,27,F251757,CIAT-17263,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,94.41335199,94.47167599,15.42394278,13.81432952,84.57605722,86.18567048,27.42940648,13.71470324,36.70931262,36.26730838,58.98462636,57.7622396
60,46041,Genbank,27,F251757,CIAT-17263,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,94.53,,12.20471626,,87.79528374,,0,,35.82530414,,56.53985285,
61,46041,Isabel Molina,27,F252640, Cayman Br02_1752,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,97.01089673,97.00105012,9.625873976,9.651155486,90.37412602,90.34884451,8.04101047,8.054385693,26.26702185,26.24181561,62.42092434,62.13365081
62,46041,Isabel Molina,27,F252640, Cayman Br02_1752,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,96.99120352,,9.676436997,,90.323563,,8.067760916,,26.21660937,,61.84637727,
63,46041,Mauricio Sotelo,27,F252641,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,93.53258697,93.49727419,9.42965823,9.408744989,90.57034177,90.59125501,22.32,22.375,22.47,21.94,47.82,47.205
64,46041,Mauricio Sotelo,27,F252641,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,93.46196141,,9.387831748,,90.61216825,,22.43,,21.41,,46.59,
65,46041,Jacobo Arango/Alejandro Montoya,27,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.3,93.55,11.3,11.4,88.7,88.6,0,0,0,0,76.1,76.1
66,46041,Jacobo Arango/Alejandro Montoya,27,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.8,,11.5,,88.5,,0,,0,,76.1,
67,46048,Genbank,28,F251758,CIAT-17459,Erythrina,berteroana,Erythrina berteroana,Fabaceae,Fabales,Tree,94.51219512,94.58716513,10.82166446,11.8678996,89.17833554,88.1321004,24.25144619,24.25144619,37.93629902,38.2553787,50.64633656,51.97675719
68,46048,Genbank,28,F251758,CIAT-17459,Erythrina,berteroana,Erythrina berteroana,Fabaceae,Fabales,Tree,94.66213515,,12.91413474,,87.08586526,,24.25144619,,38.57445837,,53.30717782,
69,46048,Genbank,28,F251759,CIAT-17482,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,92.6214757,92.66183252,14.78198755,14.23641966,85.21801245,85.76358034,26.54232304,26.54232304,32.66674732,33.11227347,49.50527116,51.04728157
70,46048,Genbank,28,F251759,CIAT-17482,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,92.70218934,,13.69085177,,86.30914823,,26.54232304,,33.55779961,,52.58929198,
71,46048,Genbank,28,F251760,CIAT-17502,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,94.22115577,94.26086286,11.15828574,12.95686503,88.84171426,87.04313497,28.85997135,28.85997135,36.63350994,35.48454206,46.33599486,46.08725603
72,46048,Genbank,28,F251760,CIAT-17502,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,94.30056994,,14.75544433,,85.24455567,,28.85997135,,34.33557418,,45.8385172,
73,46048,Genbank,28,F251761,CIAT-19384,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,93.31334333,93.38765237,11.91210776,10.33433437,88.08789224,89.66566563,36.9549258,36.9549258,30.7280142,31.53690347,50.9933827,52.4552947
74,46048,Genbank,28,F251761,CIAT-19384,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,93.46196141,,8.756560989,,91.24343901,,36.9549258,,32.34579273,,53.91720671,
75,46048,Genbank,28,F251762,CIAT-19571,Senna,cobanensis,Senna cobanensis,Fabaceae,Fabales,Tree,93.15410754,93.20739073,6.111727843,6.081072551,93.88827216,93.91892745,23.20097285,23.20097285,42.54798474,42.26941462,54.1642212,55.70472427
76,46048,Genbank,28,F251762,CIAT-19571,Senna,cobanensis,Senna cobanensis,Fabaceae,Fabales,Tree,93.26067393,,6.05041726,,93.94958274,,23.20097285,,41.99084451,,57.24522735,
77,46048,Genbank,28,F251763,CIAT-20126,Acacia,angustissima,Acacia angustissima,Fabaceae,Fabales,Tree,93.92303848,93.97211712,5.796694305,5.776284983,94.20330569,94.22371502,29.90215547,29.90215547,48.09788855,47.80217801,56.32151399,58.28687767
78,46048,Genbank,28,F251763,CIAT-20126,Acacia,angustissima,Acacia angustissima,Fabaceae,Fabales,Tree,94.02119576,,5.75587566,,94.24412434,,29.90215547,,47.50646746,,60.25224135,
79,46048,Genbank,28,F251764,CIAT-20788,Senna,pallida,Senna pallida,Fabaceae,Fabales,Tree,93.87183845,93.91682495,9.729096812,9.745063601,90.27090319,90.2549364,24.3024932,24.3024932,30.23235074,30.6851654,51.62772455,53.35979886
80,46048,Genbank,28,F251764,CIAT-20788,Senna,pallida,Senna pallida,Fabaceae,Fabales,Tree,93.96181146,,9.76103039,,90.23896961,,24.3024932,,31.13798006,,55.09187316,
81,46048,Genbank,28,F251765,CIAT-21242,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,Fabales,Tree,93.13206038,93.21136566,6.84260608,6.875471971,93.15739392,93.12452803,23.2758353,23.2758353,45.04834391,45.75577483,62.13108195,63.44228662
82,46048,Genbank,28,F251765,CIAT-21242,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,Fabales,Tree,93.29067093,,6.908337861,,93.09166214,,23.2758353,,46.46320574,,64.75349129,
83,46048,Genbank,28,F251766,CIAT-21512,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,92.39304278,92.78788485,4.793967142,4.783194183,95.20603286,95.21680582,24.06932164,24.06932164,46.57195406,46.72379852,53.94479295,53.36598593
84,46048,Genbank,28,F251766,CIAT-21512,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,93.18272691,,4.772421223,,95.22757878,,24.06932164,,46.87564298,,52.78717892,
85,46048,Genbank,28,F251767,CIAT-21601,Erythrina,fusca,Erythrina fusca,Fabaceae,Fabales,Tree,93.87061294,93.23678588,7.174562061,7.044833203,92.82543794,92.9551668,23.75160561,23.41084859,56.10895442,54.96760817,66.49491261,68.4912054
86,46048,Genbank,28,F251767,CIAT-21601,Erythrina,fusca,Erythrina fusca,Fabaceae,Fabales,Tree,92.60295882,,6.915104345,,93.08489565,,23.07009157,,53.82626191,,70.48749818,
87,46048,Genbank,28,F251768,CIAT-21809,Acacia,farnesiana,Acacia farnesiana,Fabaceae,Fabales,Tree,94.57162851,94.61581426,7.427819216,7.460640562,92.57218078,92.53935944,31.00065629,31.00065629,49.04035979,48.0901506,60.94700222,62.84366025
88,46048,Genbank,28,F251768,CIAT-21809,Acacia,farnesiana,Acacia farnesiana,Fabaceae,Fabales,Tree,94.66,,7.493461908,,92.50653809,,31.00065629,,47.1399414,,64.74031829,
89,46048,Genbank,28,F251769,CIAT-21810,Acacia,angustissima,Acacia angustissima,Fabaceae,Fabales,Tree,94.74052595,94.78681304,5.390506218,5.3891594,94.60949378,94.6108406,31.66393985,31.66393985,40.17316966,38.91628757,51.00059153,52.36756439
90,46048,Genbank,28,F251769,CIAT-21810,Acacia,angustissima,Acacia angustissima,Fabaceae,Fabales,Tree,94.83310014,,5.387812581,,94.61218742,,31.66393985,,37.65940547,,53.73453725,
91,46048,Genbank,28,F251770,CIAT-21888,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,93.67189843,93.70720071,9.057418959,9.136970806,90.94258104,90.86302919,29.90458835,29.90458835,31.16669959,30.16310697,55.7508662,56.66599971
92,46048,Genbank,28,F251770,CIAT-21888,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,93.742503,,9.216522654,,90.78347735,,29.90458835,,29.15951436,,57.58113322,
93,46048,Genbank,28,F251771,CIAT-22310,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,94.82,94.8605099,5.650401843,5.713075036,94.34959816,94.28692496,21.75470624,21.75470624,52.18036474,50.76841218,55.49850701,55.00206234
94,46048,Genbank,28,F251771,CIAT-22310,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,94.9010198,,5.775748228,,94.22425177,,21.75470624,,49.35645961,,54.50561768,
95,46048,Genbank,28,F251772,CIAT-22311,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,93.80371777,93.87716135,6.877206587,6.953483788,93.12279341,93.04651621,21.51362159,21.51362159,48.23549136,49.18254638,53.94942876,54.92959614
96,46048,Genbank,28,F251772,CIAT-22311,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,93.95060494,,7.029760988,,92.97023901,,21.51362159,,50.1296014,,55.90976352,
97,46048,Genbank,28,F251773,CIAT-22316,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,95.54044596,95.51589927,8.667847076,8.646047909,91.33215292,91.35395209,20.81595568,20.81595568,43.60548667,44.54158614,55.27365589,54.35653644
98,46048,Genbank,28,F251773,CIAT-22316,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,95.49135259,,8.624248742,,91.37575126,,20.81595568,,45.47768561,,53.439417,
99,46048,Genbank,28,F251774,CIAT-23239,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.85041496,95.85582829,7.573117047,7.551501552,92.42688295,92.44849845,20.35537133,20.35537133,53.21545699,52.75794079,63.33418795,65.19334123
100,46048,Genbank,28,F251774,CIAT-23239,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.86124163,,7.529886057,,92.47011394,,20.35537133,,52.3004246,,67.05249452,
