requisitioner,gen_bank_id,tax_name,functional_group,%_DMD_truly_digestibility,CH4_ml_in_gas_8h,CH4_ml_in_gas_24h,CH4_ml/g_DMD_24h
Breeding,CIAT-PM21_4448,Megathyrsus maximus,Grasses,50.15184836,14,14.99410384,45.68110752
Breeding,CIAT-CIAT_16071,Megathyrsus maximus,Grasses,52.91841342,11.7,14.4752399,44.6641569
Breeding,CIAT-CIAT_16071,Megathyrsus maximus,Grasses,41.98901491,13.7,15.41513183,62.27523767
Breeding,CIAT-CIAT_16071,Megathyrsus maximus,Grasses,44.60050068,13.9,15.57282978,59.56800163
Breeding,CIAT-BR09_4467,Brachiaria interespecifico,Grasses,53.41530795,12.9,14.05145699,52.41029588
Breeding,CIAT-BR09_4467,Brachiaria interespecifico,Grasses,45.44205381,12.4,13.74421215,58.57392517
Breeding,CIAT-BR09_4467,Brachiaria interespecifico,Grasses,52.38907612,12.7,13.92168559,51.44225133
LMF-invivo,Muestra # 02,Cynodon nlemfuensis,Grasses,33.80131391,14.8,15.16789593,59.36381012
LMF-invivo,Muestra # 02,Cynodon nlemfuensis,Grasses,28.12941049,14.1,14.7629707,63.75933892
LMF-invivo,Muestra # 02,Cynodon nlemfuensis,Grasses,19.87840625,14.8,15.1185617,96.52586501
Breeding,CIAT-BH22_0765,Urochloa humidicola,Grasses,44.81202236,14.1,14.5141738,58.44273201
Breeding,CIAT-BH22_0765,Urochloa humidicola,Grasses,42.35010514,13.9,14.36882482,60.17674973
Breeding,CIAT-BH22_0765,Urochloa humidicola,Grasses,51.37713494,13.5,14.15296191,51.96678819
Breeding,CIAT-BH22_2531,Urochloa humidicola,Grasses,44.21980301,12.9,14.30306191,66.36818588
Breeding,CIAT-BH22_2531,Urochloa humidicola,Grasses,46.30415545,12.9,14.22145754,63.6431961
Breeding,CIAT-BH22_2531,Urochloa humidicola,Grasses,43.00982915,13.1,14.35369934,67.39838189
Standard,Hohenheimer Heustandard,Hohenheimer Heustandard,,36.9593146,14.4,15.65351283,95.39810264
Standard,Hohenheimer Heustandard,Hohenheimer Heustandard,,43.08827012,14.8,15.94546899,84.97477658
Standard,Hohenheimer Heustandard,Hohenheimer Heustandard,,48.84080959,14.8,15.98192986,75.76313269
Standard,Sample 8,Cynodon nlemfuensis ,,41.53477771,15,15.71708716,55.67336449
Standard,Sample 8,Cynodon nlemfuensis ,,35.98698289,14.6,15.44873612,59.95294409
Standard,Sample 8,Cynodon nlemfuensis ,,37.71890912,15.2,15.77017986,57.92104514
Standard,BLANK 24 H,BLANK 24 H,BLANK 24 H,,,,
Standard,BLANK 24 H,BLANK 24 H,BLANK 24 H,,,,
Standard,BLANK 24 H,BLANK 24 H,BLANK 24 H,,,,
Standard,BLANK 24 H,BLANK 24 H,BLANK 24 H,,,,
Genetic bank,ABC-1467-1,Stylosanthes hamata,Herbaceous,59.6177725,13.1,14.78304992,52.51239574
Genetic bank,ABC-1467-1,Stylosanthes hamata,Herbaceous,57.5007943,13.5,15.00574326,53.52172306
Genetic bank,ABC-1467-1,Stylosanthes hamata,Herbaceous,57.49230125,13.5,14.98582781,55.71900919
Genetic bank,ABC-1475-1,Stylosanthes hamata,Herbaceous,53.55626502,13.5,14.8572653,54.99727004
Genetic bank,ABC-1475-1,Stylosanthes hamata,Herbaceous,49.99449279,13.5,14.92283915,60.53790277
Genetic bank,ABC-1475-1,Stylosanthes hamata,Herbaceous,45.15911225,13.4,14.91997993,67.3575464
Genetic bank,ABC-23326,Desmodium velutinum,Shrub,59.31531557,14.6,16.13971104,44.14922582
Genetic bank,ABC-23326,Desmodium velutinum,Shrub,64.76107928,14.9,16.6743392,41.91219687
Genetic bank,ABC-23326,Desmodium velutinum,Shrub,62.45241469,14.7,16.4493608,42.89229425
Genetic bank,ABC-13149,Desmodium strigillosum,Herbaceous,44.34597485,13.4,14.49800184,46.75432506
Genetic bank,ABC-13149,Desmodium strigillosum,Herbaceous,47.79946793,13.3,14.33286015,42.20910775
Genetic bank,ABC-13149,Desmodium strigillosum,Herbaceous,39.44159715,13,14.20097166,49.5716364
Genetic bank,ABC-13946,Desmodium sequax,Herbaceous,17.71915801,12.1,12.89558209,38.11266533
Genetic bank,ABC-13946,Desmodium sequax,Herbaceous,,,,
Genetic bank,ABC-13946,Desmodium sequax,Herbaceous,16.71996802,11.8,12.43885206,36.551779
Genetic bank,ABC-19867,Uraria lagopodioides,Herbaceous,42.69443673,15.4,14.61019115,50.67799407
Genetic bank,ABC-19867,Uraria lagopodioides,Herbaceous,57.03858186,16.7,17.04916093,44.30129221
Genetic bank,ABC-19867,Uraria lagopodioides,Herbaceous,46.0285786,16,16.68248514,54.80738985
Genetic bank,CIAT-798,Galactia striata,Climber,56.37741661,13.2,14.70539766,51.57897652
Genetic bank,CIAT-798,Galactia striata,Climber,55.53139052,12.7,14.36600047,50.29809187
Genetic bank,CIAT-798,Galactia striata,Climber,56.83522224,12.7,14.4319315,51.27801322
Genetic bank,CIAT-822,Calopogonium mucunoides,Climber,57.47037298,13.5,14.58598995,43.75220744
Genetic bank,CIAT-822,Calopogonium mucunoides,Climber,45.37128077,13.9,14.88097857,56.16916271
