32_no,32_date,32_gene_bank_id,32_name,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_ndf_digestibility_in_24h,32_remarks_2,,
No,Date,Gene Bank ID,Name,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks,,
96,45635,,Brachiaria decumbens,F24 1084,1,2,2,2,45,0.5626,0.7641,,0.2015,525.3411733,72.27729972,424.7766523,223.2766523,52.56330618,,,
97,45635,,Brachiaria decumbens,F24 1084,1,2,2,3,46,0.5577,0.7527,,0.195,534.6051903,73.27321645,426.3919845,231.3919845,54.267433,,,
98,45635,,Setaria sphacelata,F24 1095,1,2,2,1,47,0.5661,0.7773,,0.2112,537.5830511,71.79423336,435.3827667,224.1827667,51.49096011,,,
99,45635,,Setaria sphacelata,F24 1095,1,2,2,2,48,0.5762,0.8002,,0.224,541.3845101,70.73366432,445.0357486,221.0357486,49.66696479,,,
100,45635,,Setaria sphacelata,F24 1095,1,2,2,3,49,0.5785,0.8125,,0.234,565.8277672,70.74370138,465.062912,231.062912,49.68422681,,,
101,45635,Blank,Blank,Blank,1,2,2,1,50,,,,,,,,,,,,
102,45635,Blank,Blank,Blank,1,2,2,2,51,,,,,,,,,,,,
103,45635,Blank,Blank,Blank,,2,,,,,,,,,,,,,,,
104,45635,Blank,Blank,Blank,,3,,,,,,,,,,,,,,,
105,45635,ABC-705-1,Indigofera suffruticosa,F24 3416,1,3,3,1,3,0.5548,0.6668,,0.112,348.4038397,75.67353042,208.2071576,96.20715764,46.20742088,,,
106,45635,ABC-705-1,Indigofera suffruticosa,F24 3416,1,3,3,2,4,0.5339,0.6669,,0.133,327.4038397,71.11231738,208.2071576,75.20715764,36.1213123,,,
107,45635,ABC-705-1,Indigofera suffruticosa,F24 3416,1,3,3,3,5,0.5477,0.6747,,0.127,333.1279285,72.39898034,208.0823831,81.08238307,38.96648139,,,
108,45635,ABC-707-1,Alysicarpus ovalifolius,F24 3417,1,3,3,1,6,0.5309,0.6626,,0.1317,319.1226166,70.78673626,243.9322985,112.2322985,46.00960971,,,
109,45637,ABC-707-1,Alysicarpus ovalifolius,F24 3417,1,3,3,2,7,0.5504,0.6815,,0.1311,319.9028015,70.93144443,244.0297934,112.9297934,46.2770516,,,
110,45637,ABC-707-1,Alysicarpus ovalifolius,F24 3417,1,3,3,3,8,0.5604,0.6985,,0.1381,312.9028015,69.37934764,244.0297934,105.9297934,43.4085494,,,
111,45637,ABC-712-1,Clitoria ternatea,F24 3418,1,3,3,1,9,0.5383,0.6763,,0.138,318.6956259,69.78293809,250.6295645,112.6295645,44.93865867,,,
112,45637,ABC-712-1,Clitoria ternatea,F24 3418,1,3,3,2,10,0.5579,0.7043,,0.1464,310.3869285,67.9500461,250.6796704,104.2796704,41.59877434,,,
