41_no,41_requisitioner,41_set_ciat,41_ciat_lab_id,41_gene_bank_breeding_program_id,41_genus,41_species,41_tax_name,41_family,41_order,41_functional_group,41_ch4_percentage_in_gas_8h,41_ch4_percentage_in_gas_24h,41_percentage_dmd_truly_digestibility_24h,41_ch4_ml_g_percentage_truly_dmd_24h,41_part_fact,41_date_of_report
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"CH4 % in gas, h8","CH4 % in gas, 24h","% DMD, Truly digestibility 24h","CH4 ml/g % Truly DMD, 24h",Part Fact,Date of report
65,Breeding,9,F25 0997,ABC-CIAT_16051,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.805536398,0.140514336,4.735708334,5.994905263,0.34769426,
66,Breeding,9,F25 0998,ABC-PM21_6080,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.608783446,0.11089737,5.209456155,10.61579115,0.652866728,
67,Breeding,9,F25 0999,ABC-PM21_3684,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.57628011,0.16732244,7.72696283,5.975707788,0.461410303,
68,Breeding,9,F25 1000,ABC-PM21_0076,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.655649711,0.121598373,8.104233072,15.96576181,0.551004202,
69,Breeding,9,F25 1001,ABC-CIAT_6890,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.614636297,0.144247111,3.535476,2.847947003,0.218706469,
70,Breeding,9,F25 1002,ABC-PM21_6638,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.580640345,0.242584756,5.24520993,4.919712977,0.373754385,
71,Breeding,9,F25 1003,ABC-PM21_0052,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.667406996,0.103526149,3.913850285,3.30213528,0.251101894,
72,Breeding,9,F25 1004,ABC-PM21_4449,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.641371986,0.195973941,4.203544067,5.450183197,0.30705677,
73,Breeding,9,F25 1005,ABC-CIAT_6799,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.617841723,0.202401618,4.632050339,4.567431765,0.26947101,
74,Breeding,9,F25 1006,ABC-PM21_0055,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.64654829,0.118778975,2.578502778,3.92288099,0.269369098,
75,Breeding,9,F25 1007,ABC-PM21_6529,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.53748385,0.182334833,5.029381075,2.944617121,0.224660433,
76,Breeding,9,F25 1008,ABC-PM21_0047,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.54160256,0.172597707,7.035233443,5.619945142,0.31961315,
77,Breeding,9,F25 1009,ABC-PM21_2195,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.40582183,0.160287641,6.989439027,5.585632113,0.368670866,
78,Breeding,9,F25 1010,ABC-PM21_2627,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.721281439,0.255766265,1.504359999,2.502932719,0.170301032,
79,Breeding,9,F25 1011,ABC-PM21_0059,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.718021974,0.091227415,6.466551364,8.676580286,0.495857057,
80,Breeding,9,F25 1012,ABC-PM21_3522,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.537713495,0.179452042,6.809287348,8.1812446,0.509631858,
81,Breeding,9,F25 1013,ABC-PM21_0062,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.512317417,0.20080326,1.997738708,4.223665439,0.249025006,
82,Breeding,9,F25 1014,ABC-PM21_0906,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.53748385,0.233133305,4.08543851,2.012749449,0.161856068,
83,Genetic bank,9,F24 3501,ABC-19213-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,0.412160822,0.197291602,7.302971914,3.740343034,0.442837077,
84,Genetic bank,9,F24 3502,ABC-19421-1,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,0.221108319,0.132216941,3.046296415,2.25404937,0.294738142,
85,Genetic bank,9,F24 3503,ABC-19566-1,Tephrosia,noctiflora,Tephrosia noctiflora,Fabaceae,Fabales,Shrub,0.219988776,0.097035438,4.395489222,3.01759831,0.340432894,
86,Genetic bank,9,F24 3504,ABC-19667-1,Indigofera,hirsuta,Indigofera hirsuta,Fabaceae,Fabales,Herbaceous,0.249443826,0.145410676,2.451099188,3.131986552,0.417281464,
87,Genetic bank,9,F24 3505,ABC-19673-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,0.489393679,0.202965377,2.230927201,3.624427104,0.284576229,
88,LMF,9,F25 0017,Hohenheimer Heustandard,,,Hohenheimer Heustandard,,,,0.431477508,0.398427591,3.362927835,2.64483852,0.153358247,
89,LMF,9,F25 0018,Homenheim Concentrate,,,Homenheim Concentrate,,,,0.322413736,0.203259417,4.227466615,5.240486083,0.211217943,
90,LMF,9,F25 0019,Sample 8,,,Cynodon nlemfuensis ,,,,0.555777733,0.144858431,6.56330052,6.371945958,0.468322724,
91,Genetic bank,10,F24-3506,ABC-19895-1,,,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,0.598351645,0.327962811,11.3005373,6.943844341,0.847155535,
92,Genetic bank,10,F24-3507,ABC-20093-1,,,Canavalia sp.,Fabaceae,Fabales,Climber,0.213148068,0.154906491,4.080061086,4.285640889,0.487844918,
93,Genetic bank,10,F24-3508,ABC-20113-1,,,Canavalia sp.,Fabaceae,Fabales,Climber,0.423681688,0.283103494,4.367279562,3.247528147,0.305884713,
94,Genetic bank,10,F24-3509,ABC-20125-1,,,Coursetia caribaea,Fabaceae,Fabales,Herbaceous,0.326598632,0.459348226,3.310397387,5.660970047,0.665745508,
95,Genetic bank,10,F24-3510,ABC-20298-1,,,Canavalia sp.,Fabaceae,Fabales,Climber,0.292287699,0.833689261,4.396920043,5.798407154,0.614813801,
96,Genetic bank,10,F24-3511,ABC-20305-1,,,Canavalia sp.,Fabaceae,Fabales,Climber,0.440818543,0.704984759,4.039706231,8.304992646,1.779059725,
97,Genetic bank,10,F24-3512,ABC-20803-1,,,Canavalia sp.,Fabaceae,Fabales,Climber,0.253859104,0.31470849,6.232124712,7.595893669,0.632560501,
98,Genetic bank,10,F24-3513,ABC-21031-1,,,Christia obcordata,Fabaceae,Fabales,Climber,0.163299316,0.355312024,6.357261445,7.337696406,0.765232453,
99,Genetic bank,10,F24-3514,ABC-21128-1,,,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,0.394405319,1.22172701,3.732024794,4.97410608,0.480844427,
100,Genetic bank,10,F24-3515,ABC-21212-1,,,Canavalia sp.,Fabaceae,Fabales,Climber,0.206080411,1.116355079,4.38435623,6.383481817,0.450449704,
101,Genetic bank,10,F24-3516,ABC-21263-1,,,Sesbania rostrata,Fabaceae,Fabales,Shrub,0.335915921,0.519787469,4.98889924,7.147714336,0.667982403,
102,Genetic bank,10,F24-3517,ABC-21514-1,,,Desmanthus virgatus,Fabaceae,Fabales,Shrub,0.279329002,0.428204708,7.336960507,17.4659344,1.260320143,
103,Genetic bank,10,F24-3518,ABC-21565-1,,,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,0.176383421,0.405623711,4.549288996,7.570342403,0.627782304,
104,Genetic bank,10,F24-3519,ABC-21709-1,,,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,0.311903752,0.219039902,4.598185234,5.563011052,0.529764845,
105,Genetic bank,10,F24-3520,ABC-22286-1,,,Crotalaria micans,Fabaceae,Fabales,Herbaceous,0.3022549,0.190413536,6.746467046,5.628517805,0.523183248,
106,Genetic bank,10,F24-3521,ABC-22475-1,,,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,0.205480467,0.340321854,3.809152711,7.205867075,0.536105996,
107,Genetic bank,10,F24-3522,ABC-22481-1,,,Sesbania cochinchinensis,Fabaceae,Fabales,Shrub,0.381355607,0.153447467,5.134500501,4.221853037,0.601341249,
108,Genetic bank,10,F24-3523,ABC-22520-1,,,Arachis pusilla,Fabaceae,Fabales,Herbaceous,0.435748257,0.380148512,8.834487392,7.083999073,0.593734496,
109,Genetic bank,10,F24-3524,ABC-22570-1,,,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,0.3230712,1.105719028,2.893356125,7.928459323,1.943783838,
110,Genetic bank,10,F24-3525,ABC-22594-1,,,Desmanthus pernambucanus,Fabaceae,Fabales,Shrub,0.326976422,0.498611853,6.024414845,4.860098773,0.476738702,
111,Genetic bank,10,F24-3526,ABC-22754-1,,,Lablab purpureus,Fabaceae,Fabales,Climber,0.286138079,0.292969599,4.73445961,4.022719746,0.286592755,
112,Genetic bank,10,F24-3527,ABC-22915-1,,,Aeschynomene villosa,Fabaceae,Fabales,Herbaceous,0.264341717,0.247827144,7.436701399,2.865803981,0.233718939,
113,Genetic bank,10,F24-3528,ABC-23259-1,,,Desmodium gangeticum,Fabaceae,Fabales,Shrub,0.370599177,0.111401557,4.363688932,4.322384519,0.501784226,
114,Genetic bank,10,F24-3529,ABC-23339-1,,,Desmodium gangeticum,Fabaceae,Fabales,Shrub,0.343547219,0.215348243,5.183635611,4.868861059,0.62742195,
115,Genetic bank,10,F24-3530,ABC-23761-1,,,Uraria picta,Fabaceae,Fabales,Herbaceous,0.211403307,0.347840484,3.311833689,6.821221241,0.765745844,
116,Genetic bank,10,F24-3531,ABC-24360-1,,,Vigna umbellata,Fabaceae,Fabales,Climber,0.288461222,0.250500833,6.012146142,3.471322762,0.375254413,
117,Genetic bank,10,F24-3532,ABC-24466-1,,,Vigna umbellata,Fabaceae,Fabales,Herbaceous,0.362092683,0.259015418,10.35863203,6.515148122,1.083312726,
118,Genetic bank,10,F24-3533,ABC-32246-1,,,Chamaecrista nictitans,Fabaceae,Fabales,Herbaceous,0.352066212,0.49291434,6.091750029,10.05516535,0.777251042,
119,Genetic bank,10,F24-3534,ABC-32365-1,,,Desmanthus virgatus,Fabaceae,Fabales,Shrub,0.187082869,0.790853872,3.288303063,7.47677904,0.635144864,
120,Genetic bank,10,F24-3535,ABC-32373-1,,,Desmanthus pubescens,Fabaceae,Fabales,Shrub,0.377450839,0.647551655,6.042163511,5.861102031,0.942242853,
121,LMF,10,F25 0017,Hohenheimer Heustandard,,,Hohenheimer Heustandard,Forage,Forage,Forage,0.544144971,0.601236714,4.857871804,13.02348706,0.720420321,
122,LMF,10,F25 0018,Homenheim Concentrate,,,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,0.349776714,0.524041515,6.900367076,12.53504149,0.57500254,
123,LMF,10,F25 0019,Sample 8,,,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,0.582035593,0.228205317,7.442170349,20.79103843,0.823987002,
124,LMF,11,F25-0769,AMC-ICARDA-156302,,,Trifolium repens,Fabaceae,Fabales,Legume,0.124721913,0.05631216,9.117640013,4.951678579,0.389218277,
125,LMF,11,F25-0848,ILRI-2273-27,,,Trifolium burchellianum,Fabaceae,Fabales,Legume,0,0.035018565,2.527214532,2.108021029,0.433971692,
126,LMF,11,F25-0845,ILRI-21682-24,,,Leucaena pallida,Fabaceae,Fabales,Tree,0.496655481,0.296982548,2.450689295,7.490079125,0.227191029,
127,LMF,11,F25-0907,ABC-17488-1,,,Leucaena leucocephala,Fabaceae,Fabales,Tree,0.081649658,0.051215037,7.993830944,9.701403897,0.547358546,
128,LMF,11,F25-0863,ILRI-10299-42,,,Erythrina abyssinica,0,0,0,0.047140452,0.143353098,3.221512094,16.20154457,0.505166591,
129,LMF,11,F25-0897,ABC-21694-1,,,Erythrina velutina,0,0,0,0.188561808,0.100847744,4.818298916,4.825550371,0.365753567,
130,LMF,11,F25-0878,ILRI-7153-57,,,Panicum coloratum,0,0,0,0.047140452,2.784275567,2.489765203,12.36773378,0.194645039,
131,LMF,11,F25-0850,ILRI-13946-29,,,Stylosanthes fructicosa,Fabaceae,Fabales,Herbaceous,1.25607E-15,0.095490836,1.221464875,0.719725032,0.016556693,
132,LMF,11,F25-0773,AMC-ICARDA-168125,,,Lathyrus sylvestris,0,0,0,0.286744176,0.116834624,7.198442078,9.121706651,0.561420966,
133,LMF,11,F25-0798,ICARDA-IFLA-ENT27,,,Lathyrus sativus,0,0,0,0.163299316,0.119944166,4.69931993,5.202509738,0.220097852,
134,LMF,11,F25-0814,ICARDA-T-216004,,,Vicia narbonensis L.,0,0,0,0.047140452,0.078879641,4.00989121,4.067960931,0.233064362,
135,LMF,11,F25-0770,AMC-ICARDA-165072,,,Vicia tenuifolia,0,0,0,0.094280904,0.092099609,3.24246443,3.308528182,0.169177463,
136,LMF,11,F25-0891,ABC-23890-1,,,Desmodium heterocarpon,Fabaceae,Fabales,0,0.282842712,0.241936735,2.100448996,5.292373706,0.290535591,
137,LMF,11,F25-0893,ABC-43253-1,,,Desmodium scorpiurus,Fabaceae,Fabales,0,0.262466929,0.030390071,2.158205187,1.393096805,0.077033582,
138,LMF,11,F25-0873,ILRI-7384-52,,,Chloris gayana,0,0,0,0.262466929,0.048285319,5.949666798,5.493973768,0.294330069,
139,LMF,11,F25-0924,ABC-16666-1,,,Chloris gayana,0,0,0,0.262466929,0.114254586,3.469124438,4.967885864,0.224212109,
140,LMF,11,F25-0923,ABC-36099-1,,,Cenchrus ciliaris,0,0,0,0.496655481,0.067687325,3.196810945,3.388251721,0.266406093,
141,LMF,11,F25-0874,ILRI-16791-53,,,Cenchrus Purpureues,0,0,0,0.355902608,0.160234227,7.263587316,19.84461926,0.52750786,
142,LMF,11,F25-0867,ILRI-20145-46,,,Flemingia macrophylla,0,0,0,0.081649658,0.045552058,2.192638145,18.46412122,0.290617323,
143,LMF,11,F25-0899,ABC-32055-1,,,Flemingia macrophylla,0,0,0,0.249443826,0.225178947,2.376948847,9.730863619,0.266834159,
144,LMF,11,F25-0883,ABC-20893-1,,,Cajanus cajan,Fabaceae,Fabales,Browse,0.43204938,0.351508482,5.047547913,10.40897022,0.66633241,
145,LMF,11,F25-0869,ILRI-16555-48,,,Cajanus cajan,Fabaceae,Fabales,Browse,0.496655481,0.288367924,7.93334584,41.07440623,0.754712687,
146,LMF,11,F25-0818,ICARDA-T-216008,,,Hedysarum coronarium L.,0,0,0,0.188561808,0.148743982,2.264207948,1.328656133,0.115413786,
147,LMF,11,F25-0819,ICARDA-T-216009,,,Hedysarum carnosum Desf.,0,0,0,0.094280904,0.185410115,4.199641719,1.911780121,0.229612927,
148,LMF,11,F25-0001,Sample 1,,,Cynodon nlemfuensis ,Poaceae,Poales,Grass,0.294392029,0.102331159,9.345325594,51.38721922,0.608592384,
149,LMF,11,F25-0002,Sample 2,,,Cynodon nlemfuensis ,Poaceae,Poales,Grass,0.169967317,0.12079986,13.03201726,12.89817976,0.937594995,
150,LMF,11,F25-0003,Sample 3,,,Cynodon nlemfuensis ,Poaceae,Poales,Grass,0.081649658,0.260693665,2.185998753,4.33565069,0.130104014,
151,LMF,11,F25-0004,Sample 4,,,Cynodon nlemfuensis ,Poaceae,Poales,Grass,0.169967317,0.149248826,2.502716739,2.9582301,0.129782593,
152,LMF,11,F25-0005,Sample 5,,,Cynodon nlemfuensis ,Poaceae,Poales,Grass,0.169967317,0.102547534,7.03291384,17.44309682,0.510554951,
153,LMF,11,F25-0006,Sample 6,,,Cynodon nlemfuensis ,Poaceae,Poales,Grass,0.141421356,0.039142028,7.671855884,17.84434587,0.53822574,
154,LMF,11,F25-0007,Sample 7,,,Cynodon nlemfuensis ,Poaceae,Poales,Grass,0.21602469,0.277769491,6.880223742,20.6830554,0.47267356,
155,LMF,11,F25 0017,Hohenheimer Heustandard,,,Hohenheimer Heustandard,Forage,Forage,Forage,0.205480467,0.070720816,10.10712416,15.90364192,0.455418497,
156,LMF,11,F25 0018,Homenheim Concentrate,,,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,0.163299316,0.39707749,1.255127591,1.508401958,0.060784235,
