41_no,41_requisitioner,41_set_ciat,41_ciat_lab_id,41_gene_bank_breeding_program_id,41_genus,41_species,41_tax_name,41_family,41_order,41_functional_group,41_ch4_percentage_in_gas_8h,41_ch4_percentage_in_gas_24h,41_percentage_dmd_truly_digestibility_24h,41_ch4_ml_g_percentage_truly_dmd_24h,41_part_fact,41_date_of_report
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"CH4 % in gas, h8","CH4 % in gas, 24h","% DMD, Truly digestibility 24h","CH4 ml/g % Truly DMD, 24h",Part Fact,Date of report
11,Genetic bank,6,F24 3466,ABC-9530-1,Crotalaria,maypurensis,Crotalaria maypurensis,Fabaceae,Fabales,Herbaceous,0.343592135,0.155570517,5.819653293,5.368231379,0.381651018,
12,Genetic bank,6,F24 3467,ABC-9562-1,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,0.516139516,0.362076707,1.795818573,3.247370484,0.274358208,
13,Genetic bank,6,F24 3468,ABC-9982-1,Crotalaria,incana,Crotalaria incana,Fabaceae,Fabales,Herbaceous,0.411298756,0.179458168,2.522054451,1.422256031,0.112979141,
14,Genetic bank,6,F24 3469,ABC-10647-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,0.4,0.159752844,9.295926405,5.643224012,0.547883596,
15,Genetic bank,6,F24 3470,ABC-11194-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,0.414996653,0.12835325,2.576626747,1.812377145,0.156094668,
16,LMF,6,F25 0017,Hohenheimer Heustandard,,,Hohenheimer Heustandard,,,,0.141421356,0.131187503,2.300800723,2.506024267,0.09646726,
17,LMF,6,F25 0018,Homenheim Concentrate,,,Homenheim Concentrate,,,,,,,,,
18,LMF,6,F25 0019,Sample 8,,,Cynodon nlemfuensis ,,,,0.43204938,0.29141391,3.479230946,3.087676071,0.207121759,
1,Genetic bank,7,F24 3471,ABC-11999-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,1.623287322,1.61659985,2.990545124,5.9214152,0.207036854,
2,Genetic bank,7,F24 3472,ABC-12318-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,1.6292087,1.610957413,3.46879764,5.181358458,0.150220528,
3,Genetic bank,7,F24 3473,ABC-13575-1,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,1.852325865,1.635792974,4.491958212,7.675187773,0.450728256,
4,Genetic bank,7,F24 3474,ABC-13609-1,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,1.697783595,1.512409444,3.825172323,8.792540982,0.387456352,
5,Genetic bank,7,F24 3475,ABC-15551-1,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,1.784777885,1.696727855,5.391908583,8.622100191,0.367713187,
6,Genetic bank,7,F24 3476,ABC-17024-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,Fabaceae,Fabales,Shrub,1.618641406,1.577607742,3.670717612,8.334844962,0.355766921,
7,Genetic bank,7,F24 3477,ABC-17091-1,Crotalaria,micans,Crotalaria micans,Fabaceae,Fabales,Herbaceous,1.734614911,1.540223565,3.410416235,5.409380018,0.154809246,
8,Genetic bank,7,F24 3478,ABC-17365-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,1.841966207,1.713484857,3.357749165,5.18186357,0.145826914,
9,Genetic bank,7,F24 3479,ABC-17451-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,1.764464036,1.715939706,2.699051728,5.37495864,0.204951696,
10,Genetic bank,7,F24 3480,ABC-17775-1,Christia,obcordata,Christia obcordata,Fabaceae,Fabales,Herbaceous,1.745541057,1.628751406,3.365296686,6.235747817,0.179832354,
11,Genetic bank,7,F24 3481,ABC-18016-1,Sesbania,emerus,Sesbania emerus,Fabaceae,Fabales,Shrub,1.680608355,1.467134949,3.677354266,6.741391886,0.287925307,
12,Genetic bank,7,F24 3482,ABC-18044-1,Christia,sp.,Christia sp.,Fabaceae,Fabales,Climber,1.792867814,1.58589665,4.9473522,6.019239467,0.237814596,
13,Genetic bank,7,F24 3483,ABC-18288-1,Sesbania,exasperata,Sesbania exasperata,Fabaceae,Fabales,Shrub,1.7958285,1.525977856,7.035273471,5.924547994,0.354141221,
14,Genetic bank,7,F24 3484,ABC-18447-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,1.835116977,1.709986758,2.949670952,5.702331176,0.128355898,
15,Genetic bank,7,F24 3485,ABC-18455-1,Christia,obcordata,Christia obcordata,Fabaceae,Fabales,Climber,2.034941683,1.924016918,3.872385768,9.996160262,0.340995832,
16,Genetic bank,7,F24 3486,ABC-18707-1,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,1.828242089,1.980211686,6.552617758,10.97473139,0.467606093,
17,Genetic bank,7,F24 3487,ABC-18749-1,Arachis,pintoi,Arachis pintoi,Fabaceae,Fabales,Herbaceous,1.650888276,1.890769745,4.572965716,5.864222715,0.344983321,
18,Genetic bank,7,F24 3488,ABC-18813-1,Crotalaria,nitens,Crotalaria nitens,Fabaceae,Fabales,Herbaceous,1.687499428,1.611624344,3.824743925,7.359445756,0.544519974,
19,Genetic bank,7,F24 3489,ABC-18848-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,1.58113883,1.441671831,7.976703447,5.33422417,0.756921134,
20,Genetic bank,7,F24 3490,ABC-18862-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,1.526797665,1.655181938,3.644491873,7.622739766,0.361700209,
21,Genetic bank,7,F24 3491,ABC-18931-1,Tephrosia,linearis,Tephrosia linearis,Fabaceae,Fabales,Shrub,1.744904398,1.639465442,6.525719691,7.09780871,0.423283104,
22,Genetic bank,7,F24 3492,ABC-19038-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Shrub,1.817065875,1.645183009,6.769635968,8.886104061,0.587176859,
23,Genetic bank,7,F24 3493,ABC-19118-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Climber,1.817473487,1.83570578,4.688819978,7.013060534,0.38289816,
24,Genetic bank,7,F24 3494,ABC-19127-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,1.724192421,1.719105079,2.243239198,6.132743566,0.194019359,
25,Genetic bank,7,F24 3495,ABC-19128-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,1.800274328,1.717002319,1.70081925,5.803944281,0.160589383,
26,Genetic bank,7,F24 3496,ABC-19129-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,1.841765122,1.818152963,4.302361372,7.083805469,0.312066314,
27,Genetic bank,7,F24 3497,ABC-19133-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,1.724621984,1.672653557,7.692571625,14.43868855,0.580168692,
28,Genetic bank,7,F24 3498,ABC-19137-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,1.613446583,1.469929166,5.009628962,7.798063755,0.345317593,
29,Genetic bank,7,F24 3499,ABC-19138-1,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,1.75062599,1.694431758,2.468625139,4.394205461,0.214170324,
30,Genetic bank,7,F24 3500,ABC-19139-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,1.396910171,1.538253224,5.30482534,5.061984961,0.470597319,
31,LMF,7,F25 0017,Hohenheimer Heustandard,,,Hohenheimer Heustandard,,,,2.208128921,1.907175398,2.289412007,4.488472628,0.195160575,
32,LMF,7,F25 0018,Homenheim Concentrate,,,Homenheim Concentrate,,,,1.945788722,1.912155639,2.050439016,7.892101889,0.10983025,
33,LMF,7,F25 0019,Sample 8,,,Cynodon nlemfuensis ,,,,2.7,2.327896224,2.187253677,3.757682609,0.283428655,
34,LMF,8,F25 0772,ICARDA 165563,Trifolium ,pratense,Trifolium pratense,Fabaceae,Fabales,Legume,0.169967317,0.16488082,2.297181171,1.17498065,0.116290161,Piloto
35,LMF,8,F25 0783,ICARDA J8,Daucus ,carota,Daucus carota,Fabaceae,Fabales,Herbaceous,0.094280904,0.078632383,1.289913381,0.648036604,0.089183546,Piloto
36,LMF,8,F25 0784,ICARDA J9,Fumaria , bracteosa,Fumaria bracteosa,Fabaceae,Fabales,Herbaceous,0.081649658,0.026296842,2.756949569,1.514207622,0.189932561,Piloto
37,LMF,8,F25 0788,ICARDA J13,Cichorium ,pumilum,Cichorium pumilum,Fabaceae,Fabales,Herbaceous,0.21602469,0.1305631,2.307098885,1.134090098,0.132819578,Piloto
38,LMF,8,F25 0813,ICARDA T216003,Rhus ,tripartita (Ucria) Grande,Rhus tripartita (Ucria) Grande,Fabaceae,Fabales,Shrub,0.23570226,0.17315972,3.958723847,3.32189785,0.283692616,Piloto
39,LMF,8,F25 0820,ICARDA T216010,Retama ,raetam (Forssk.) Webb.,Retama raetam (Forssk.) Webb.,Fabaceae,Fabales,Shrub,0.081649658,0.105968346,0.887787969,0.75597886,0.070435209,Piloto
40,LMF,8,F25 0823,ILRI 6529 2 119707,Labalab , purpureues,Labalab purpureues,Fabaceae,Fabales,Legume,0.141421356,0.116185047,6.735914005,6.215064843,0.325814423,Piloto
41,LMF,8,F25 0824,ILRI 10925 3 119708,Arachis , glabrata,Arachis glabrata,Fabaceae,Fabales,Legume,0.124721913,0.079267909,0.890600318,1.120520948,0.06974625,Piloto
42,LMF,8,F25 0825,ILRI 6984 4 119709,Medicago ,sativa,Medicago sativa,Fabaceae,Fabales,Legume,0.778888096,0.440544735,2.734822422,2.15515806,0.120390479,Piloto
43,LMF,8,F25 0837,ILRI 10920 16 119721,Arachis , pintoi,Arachis pintoi,Fabaceae,Fabales,Legume,0.163299316,0.074427163,1.718354799,1.012934504,0.091638863,Piloto
44,LMF,8,F25 0839,ILRI 7049 18 119723,Trifolium repens, repens,Trifolium repens,Fabaceae,Fabales,Legume,0.05,0.072568967,1.532362366,1.905805157,0.175933308,Piloto
45,LMF,8,F25 0873,ILRI 7384 52 120169,Chloris gayana, gayana,Chloris gayana,Poaceae,Poales,Grass,0.05,0.07157087,1.562781167,2.128897621,0.138480107,Piloto
46,LMF,8,F25 0904,CIAT ABC 22752 1,Labalab , purpureues,Labalab purpureues,Fabaceae,Fabales,Legume,1.111555467,0.614023217,6.516540892,2.39961805,0.335815783,Piloto
47,LMF,8,F25 0913,CIAT ABC 1853 1,Stylosanthes , guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,0.169967317,0.091494701,6.463921278,4.116849654,0.367123661,Piloto
48,LMF,8,F25 0914,CIAT ABC 10625 1,Stylosanthes, scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,0.124721913,0.112081165,7.432243575,6.90093706,0.42752476,Piloto
49,LMF,8,F25 0926,CIAT ABC 6818 1,Panicum , maximum,Panicum maximum,Poaceae,Poales,Grass,0.3,0.083076645,0.661714068,0.312538938,0.00668942,Piloto
50,LMF,8,F25 0845,ILRI 21682 24 119729,Leucaena, pallida,Leucaena pallida,Fabaceae,Fabales,Tree,0.339934634,0.344775406,1.986592784,2.667184287,0.162232221,Piloto
51,LMF,8,F25 0848,ILRI 2273 27 119732,Trifolium ,burchellianum,Trifolium burchellianum,Fabaceae,Fabales,Herbaceous,0.124721913,0.171995024,0.63803741,0.900039819,0.186112179,Piloto
52,LMF,8,F25 0861,ILRI 14539 40 119745,Centrosema , virginianum,Centrosema virginianum,Fabaceae,Fabales,Legume,0.163299316,0.097181877,2.638055876,3.647289187,0.193967737,Piloto
53,LMF,8,F25 0868,ILRI 70 47 120164,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,0.21602469,0.205995711,6.788910838,10.57996023,0.536673476,Piloto
