23_set_ciat,23_sample_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_replication,23_bag_weight,23_sample_weight_with_bag_g,23_sample_weight_105_g,23_adf_percentage,23_adf_percentage_dm,23_av_adf_percentage_dm
Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Bag weight (g),Sample weight with bag (g),Sample weight 105 (g),"ADF, %","ADF, % (DM)"," Av ADF, % (DM)"
3,F24 3453,ABC-8719,Canavalia,sp.,Canavalia sp. ,A,0.5344,0.5003,0.6094,15.1031621,16.15254503,15.80770956
3,F24 3453,ABC-8719,Canavalia,sp.,Canavalia sp. ,B,0.5507,0.5006,0.6225,14.45829704,15.46287409,
3,F24 3454,ABC-8797,Desmanthus,virgatus,Desmanthus virgatus,A,0.5487,0.5005,0.6884,27.99261688,30.1458951,30.2474918
3,F24 3454,ABC-8797,Desmanthus,virgatus,Desmanthus virgatus,B,0.5707,0.5004,0.7113,28.18129647,30.34908851,
3,F24 3455,ABC-8819,Coursetia,caribaea,Coursetia caribaea,A,0.5348,0.5003,0.6389,20.88603582,22.76303077,20.9311004
3,F24 3455,ABC-8819,Coursetia,caribaea,Coursetia caribaea,B,0.5569,0.5005,0.6442,17.52428986,19.09917003,
4,F24 3582,ABC-BR02_1752,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,21.19578114,21.14081447
4,F24 3582,ABC-BR02_1752,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,21.08584781,
4,F24 3583,ABC-BR02_1794,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,21.26984722,21.83535497
4,F24 3583,ABC-BR02_1794,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,22.40086272,
4,F24 3584,ABC-BR06_0423,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,22.15456453,22.02334064
4,F24 3584,ABC-BR06_0423,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,21.89211675,
4,F24 3585,ABC-BR09_1232,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,21.0430635,21.03258278
4,F24 3585,ABC-BR09_1232,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,21.02210206,
