43_no,43_requisitioner,43_set_ciat,43_ciat_lab_id,43_gene_bank_breeding_program_id,43_genus,43_species,43_tax_name,43_family,43_order,43_functional_group,43_dm_105_c,43_ash_dm,43_protein,43_adf,43_ndf,43_ch4_8h_percentage,43_ch4_24h_percentage,43_net_gas_8h,43_net_gas_24h_ml,43_gas_ml_g_dm_incubated_24h,43_dmd_truly_digestibility,43_part_fact,43_ch4_percentage_in_gas_8h,43_ch4_percentage_in_gas_24h,43_ch4_ml_g_dm_incubated_24h,43_ch4_ml_g_dmd_24h,43_ch4_ml_g_ndf_digested_in_24h,43_ch4_g_g_dm_incubated_24h,43_ch4_g_g_dmd_24h
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, 105C",Ash (DM),Protein,ADF, NDF,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
12,Genetic bank,3,F24 3452,ABC-8409,Chamaecrista,nictitans,Chamaecrista nictitans,Fabaceae,Fabales,Herbaceous,91.95,7.667183139,27.7836572,38.02222478,61.8471383,14.11111111,22.13333333,30.18856379,50.81413791,110.5064516,52.34747294,4.761216028,14.11111111,17.36362207,19.18598396,36.68801261,136.4123264,10.64855304,20.36248174
13,Genetic bank,3,F24 3453,ABC-8719,Canavalia,sp.,Canavalia sp. ,Fabaceae,Fabales,Climber,93.5032967,17.10315828,20.28346797,15.80770956,40.19522125,12.81111111,16.97777778,35.25276912,63.45006771,135.647577,72.63644703,5.358667093,12.81111111,14.67435593,19.89969192,27.65090022,201.7401535,11.0446733,15.34672801
14,Genetic bank,3,F24 3454,ABC-8797,Desmanthus,virgatus,Desmanthus virgatus,Fabaceae,Fabales,Shrub,92.85714286,7.046730897,25.88000034,30.2474918,60.00899649,11.74444444,16.8,27.92687986,49.6341289,106.863876,50.0136554,4.685702804,11.74444444,13.97172395,14.92750283,29.85733469,151.2381697,8.285022333,16.57133731
15,Genetic bank,3,F24 3455,ABC-8819,Coursetia,caribaea,Coursetia caribaea,Fabaceae,Fabales,Herbaceous,91.7541958,13.94313434,21.83464401,20.9311004,36.01389313,14.55555556,18.16666667,29.10688887,60.69671336,132.217721,66.93516357,5.066648494,14.55555556,16.44121329,21.73487316,32.47657183,1002.210417,12.06323064,18.02505924
1,Breeding,4,F24 3582,ABC-BR02_1752,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grass,96.02539292,15.70260308,10.91797301,21.14081447,55.41185871,13.97777778,15.23333333,37.04736615,74.97973906,156.0585911,67.38520137,4.320928297,13.97777778,14.6106914,22.79089876,33.82558661,100.2753571,12.64934312,18.77378578
2,Breeding,4,F24 3583,ABC-BR02_1794,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grass,97.04515148,15.01802548,9.392254149,21.83535497,55.76175346,13.78888889,15.24444444,38.6207115,76.60225144,157.7534493,63.96971335,4.059078815,13.78888889,14.50946411,22.88225142,35.76781532,116.139978,12.70004543,19.85175632
3,Breeding,4,F24 3584,ABC-BR06_0423,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grass,96.76581878,15.96755672,11.00867792,22.02334064,57.36436861,14.6125,15.5875,33.98057191,73.81970416,152.4598324,64.27344606,4.224929846,14.6125,15.14085715,23.12171242,35.98065725,108.270091,12.83295042,19.96988728
4,Breeding,4,F24 3585,ABC-BR09_1232,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grass,97.23582925,13.79735773,10.08023483,21.03258278,55.65771615,13.7625,14.95,39.80686638,81.29155808,167.084249,66.64386119,3.99110969,13.7625,14.37004035,24.02374564,36.04397144,108.1966359,13.33359446,20.00502775
5,Breeding,4,F24 3586,ABC-BR12_4951,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grass,95.7458233,15.47538705,11.10404195,23.28964746,56.86413105,14.34444444,15.64444444,35.71985602,75.12724018,156.8643655,65.93328643,4.206734389,14.34444444,15.02145326,23.58534482,35.75599615,103.446458,13.09027442,19.84519648
6,Breeding,4,F24 3587,ABC-BR15_0722,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grass,95.2154929,14.05618126,10.31254646,26.17777008,60.21275449,14.27777778,15.11111111,31.68815857,71.09554274,149.2690415,60.89206522,4.092346184,14.27777778,14.73888445,22.00332048,36.15030967,105.0022714,12.21222355,20.06404731
