21_no,21_date,21_set_ciat,21_sample_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_replication,21_empty_crucible_g,21_sample_weight_g,21_weight_105_g,21_weight_505,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_ash_dm,21_av_ash_percentage,21_om_percentage,21_av_om_percentage,
No,Date,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Empty crucible (g),Sample weight (g),Weight 105 (g),Weight 505 (g),"DM, %",Av DM 105,"Ash, %",Ash/DM,"Av Ash, %","OM, %","OM, %",
282,,7,F24 3484,ABC-18447-1,Clitoria,ternatea,Clitoria ternatea,B,16.4612,1.0005,17.3921,93.04,93.04347826,,7.02,7.55,,92.45,,
283,,7,F24 3485,ABC-18455-1,Christia,obcordata,Christia obcordata,A,17.4891,1.0005,18.4217,93.21,93.2133933,93.2033983,13.51,14.5,14.45,85.5,85.55,
284,,7,F24 3485,ABC-18455-1,Christia,obcordata,Christia obcordata,B,15.9678,1.0005,16.9002,93.19,93.1934033,,13.42,14.4,,85.6,,
285,,7,F24 3486,ABC-18707-1,Crotalaria,pallida,Crotalaria pallida,A,18.6772,1.0002,19.605,92.76,92.76144771,92.82607932,6.8,7.32,7.44,92.68,92.56,
286,,7,F24 3486,ABC-18707-1,Crotalaria,pallida,Crotalaria pallida,B,16.3725,1.0001,17.3015,92.89,92.89071093,,7.02,7.56,,92.44,,
287,,7,F24 3487,ABC-18749-1,Arachis,pintoi,Arachis pintoi,A,17.8269,1.0005,18.7554,92.8,92.8035982,92.69753995,13.29,14.34,14.32,85.66,85.68,
288,,7,F24 3487,ABC-18749-1,Arachis,pintoi,Arachis pintoi,B,16.8406,1.0002,17.7667,92.59,92.5914817,,13.26,14.3,,85.7,,
289,,7,F24 3488,ABC-18813-1,Crotalaria,nitens,Crotalaria nitens,A,17.3317,1.0001,18.2483,91.65,91.65083492,91.79702881,15.67,17.07,16.91,82.93,83.09,
290,,7,F24 3488,ABC-18813-1,Crotalaria,nitens,Crotalaria nitens,B,18.2501,1.0004,19.1699,91.94,91.94322271,,15.37,16.75,,83.25,,
291,,7,F24 3489,ABC-18848-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,19.0588,1.0002,20.0029,94.39,94.39112178,94.4269452,23.11,24.47,24.505,75.53,75.495,
292,,7,F24 3489,ABC-18848-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,19.4847,1.0005,20.4298,94.46,94.46276862,,23.17,24.54,,75.46,,
293,,7,F24 3490,ABC-18862-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,11.7968,1.0001,12.7272,93.03,93.03069693,93.06534847,15.27,16.41,16.355,83.59,83.645,
294,,7,F24 3490,ABC-18862-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,12.3367,1,13.2677,93.1,93.1,,15.17,16.3,,83.7,,
295,,7,F24 3491,ABC-18931-1,Tephrosia,linearis,Tephrosia linearis,A,12.8749,1,13.8099,93.5,93.5,93.53564287,10.17,10.87,10.785,89.13,89.215,
296,,7,F24 3491,ABC-18931-1,Tephrosia,linearis,Tephrosia linearis,B,12.9954,1.0002,13.9313,93.57,93.57128574,,10.01,10.7,,89.3,,
297,,7,F24 3492,ABC-19038-1,Canavalia,sp.,Canavalia sp.,A,11.9402,1.0002,12.842,90.16,90.16196761,90.17147475,14.57,16.15,16.035,83.85,83.965,
298,,7,F24 3492,ABC-19038-1,Canavalia,sp.,Canavalia sp.,B,13.6013,1.0001,14.5032,90.18,90.1809819,,14.36,15.92,,84.08,,
299,,7,F24 3493,ABC-19118-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,11.9396,1,12.8683,92.87,92.87,92.92035146,10.61,11.42,11.39,88.58,88.61,
300,,7,F24 3493,ABC-19118-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,10.8982,1.0001,11.828,92.97,92.97070293,,10.56,11.36,,88.64,,
301,,7,F24 3494,ABC-19127-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,12.2819,1,13.204,92.21,92.21,92.25154138,9.5,10.3,10.385,89.7,89.615,
302,,7,F24 3494,ABC-19127-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,7.6425,1.0004,8.5658,92.29,92.29308277,,9.66,10.47,,89.53,,
303,,7,F24 3495,ABC-19128-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,13.0216,1.0001,13.9481,92.64,92.64073593,92.68536796,8.78,9.47,9.45,90.53,90.55,
304,,7,F24 3495,ABC-19128-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,12.5353,1,13.4626,92.73,92.73,,8.74,9.43,,90.57,,
305,,7,F24 3496,ABC-19129-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,11.0661,1.0002,12.0003,93.4,93.40131974,93.45695735,10.8,11.55,11.985,88.45,88.015,
306,,7,F24 3496,ABC-19129-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,7.6201,1.0004,8.5556,93.51,93.51259496,,11.61,12.42,,87.58,,
307,,7,F24 3497,ABC-19133-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,12.2348,1.0004,13.1666,93.14,93.1427429,93.12740464,11.18,12,11.81,88,88.19,
308,,7,F24 3497,ABC-19133-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,12.1415,1.0003,13.0729,93.11,93.11206638,,10.82,11.62,,88.38,,
309,,7,F24 3498,ABC-19137-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,11.4637,1.0003,12.4019,93.79,93.79186244,93.77186844,10.35,11.03,10.965,88.97,89.035,
310,,7,F24 3498,ABC-19137-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,8.444,1.0003,9.3818,93.75,93.75187444,,10.22,10.9,,89.1,,
311,,7,F24 3499,ABC-19138-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,8.2007,1,9.1266,92.59,92.59,92.69072086,10.52,11.35,11.37,88.65,88.63,
312,,7,F24 3499,ABC-19138-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,7.3983,1.0002,8.3264,92.79,92.79144171,,10.56,11.39,,88.61,,
313,,7,F24 3500,ABC-19139-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,A,12.0743,1.0002,13.0206,94.61,94.61107778,94.60553889,10.74,11.35,12.045,88.65,87.955,
314,,7,F24 3500,ABC-19139-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,B,12.7912,1,13.7372,94.6,94.6,,12.05,12.74,,87.26,,
315,,7,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,17.4943,1.0005,18.4082,17.5856,91.34432784,91.33303174,,,,,,
316,,7,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,15.9691,1.0002,16.8825,16.0616,91.32173565,,,,,,,
317,,7,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,18.6767,1.0002,19.5742,18.7322,89.73205359,89.69309597,,,,,,
318,,7,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,16.3743,1.0004,17.2712,16.4271,89.65413834,,,,,,,
319,,7,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,19.0575,1.0001,19.994,19.1636,93.64063594,93.73093584,10.60893911,11.32941805,11.41385651,88.67058195,88.58614349,
320,,7,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,B,19.4849,1.0002,20.4233,19.5928,93.82123575,,10.78784243,11.49829497,,88.50170503,,
321,17/02/2025,8,F25 0772,ICARDA 165563,Trifolium ,pratense,Trifolium pratense,A,8.2765,1.0003,9.183,90.62,90.62281316,90.56425487,10.60893911,11.32941805,11.41385651,88.67058195,88.58614349,
322,17/02/2025,8,F25 0772,ICARDA 165563,Trifolium ,pratense,Trifolium pratense,B,12.237,1.0006,13.1426,90.51,90.50569658,,10.78784243,11.49829497,,88.50170503,,
323,17/02/2025,8,F25 0783,ICARDA J8,Daucus ,carota,Daucus carota,A,11.684,1.0005,12.5934,90.89,90.89455272,90.88455772,,,,,,
324,17/02/2025,8,F25 0783,ICARDA J8,Daucus ,carota,Daucus carota,B,7.559,1.0005,8.4682,90.87,90.87456272,,,,,,,
325,17/02/2025,8,F25 0784,ICARDA J9,Fumaria , bracteosa,Fumaria bracteosa,A,7.7388,1.0002,8.6655,92.65,92.65146971,92.62184602,,,,,,
326,17/02/2025,8,F25 0784,ICARDA J9,Fumaria , bracteosa,Fumaria bracteosa,B,8.1993,1.0003,9.1255,92.59,92.59222233,,,,,,,
327,17/02/2025,8,F25 0788,ICARDA J13,Cichorium ,pumilum,Cichorium pumilum,A,13.3736,1.0006,14.2809,90.68,90.67559464,90.75825528,,,,,,
328,17/02/2025,8,F25 0788,ICARDA J13,Cichorium ,pumilum,Cichorium pumilum,B,7.6301,1.0001,8.5386,90.84,90.84091591,,,,,,,
329,17/02/2025,8,F25 0813,ICARDA T216003,Rhus ,tripartita (Ucria) Grande,Rhus tripartita (Ucria) Grande,A,7.6819,1.0001,8.6171,93.51,93.51064894,93.54532447,,,,,,
330,17/02/2025,8,F25 0813,ICARDA T216003,Rhus ,tripartita (Ucria) Grande,Rhus tripartita (Ucria) Grande,B,7.7764,1,8.7122,93.58,93.58,,,,,,,
331,17/02/2025,8,F25 0820,ICARDA T216010,Retama ,raetam (Forssk.) Webb.,Retama raetam (Forssk.) Webb.,A,7.7023,1.0002,8.6406,93.81,93.81123775,93.71125775,,,,,,
332,17/02/2025,8,F25 0820,ICARDA T216010,Retama ,raetam (Forssk.) Webb.,Retama raetam (Forssk.) Webb.,B,7.7238,1.0002,8.6601,93.61,93.61127774,,,,,,,
333,17/02/2025,8,F25 0823,ILRI 6529 2 119707,Labalab , purpureues,Labalab purpureues,A,12.4257,1.0003,13.3382,91.22,91.22263321,91.25305991,,,,,,
334,17/02/2025,8,F25 0823,ILRI 6529 2 119707,Labalab , purpureues,Labalab purpureues,B,7.4949,1.0004,8.4081,91.28,91.28348661,,,,,,,
335,17/02/2025,8,F25 0824,ILRI 10925 3 119708,Arachis , glabrata,Arachis glabrata,A,7.5933,1.0003,8.4928,89.92,89.92302309,89.92902779,,,,,,
336,17/02/2025,8,F25 0824,ILRI 10925 3 119708,Arachis , glabrata,Arachis glabrata,B,7.8466,1.0005,8.7464,89.94,89.93503248,,,,,,,
337,17/02/2025,8,F25 0825,ILRI 6984 4 119709,Medicago ,sativa,Medicago sativa,A,8.6394,1.0005,9.5428,90.29,90.29485257,90.28742629,,,,,,
338,17/02/2025,8,F25 0825,ILRI 6984 4 119709,Medicago ,sativa,Medicago sativa,B,11.9399,1,12.8427,90.28,90.28,,,,,,,
339,17/02/2025,8,F25 0837,ILRI 10920 16 119721,Arachis , pintoi,Arachis pintoi,A,11.6281,1.0004,12.5349,90.64,90.6437425,90.69733371,,,,,,
340,17/02/2025,8,F25 0837,ILRI 10920 16 119721,Arachis , pintoi,Arachis pintoi,B,11.1382,1.0001,12.0458,90.75,90.75092491,,,,,,,
341,17/02/2025,8,F25 0839,ILRI 7049 18 119723,Trifolium repens, repens,Trifolium repens,A,7.3603,1.0005,8.2503,88.96,88.95552224,88.91942862,,,,,,
342,17/02/2025,8,F25 0839,ILRI 7049 18 119723,Trifolium repens, repens,Trifolium repens,B,7.6069,1.0003,8.496,88.88,88.883335,,,,,,,
343,17/02/2025,8,F25 0845,ILRI 21682 24 119729,Leucaena, pallida,Leucaena pallida,A,12.6436,1.0001,13.5519,90.82,90.82091791,90.91725624,,,,,,
344,17/02/2025,8,F25 0845,ILRI 21682 24 119729,Leucaena, pallida,Leucaena pallida,B,7.6448,1.0004,8.5553,91.01,91.01359456,,,,,,,
345,17/02/2025,8,F25 0848,ILRI 2273 27 119732,Trifolium ,burchellianum,Trifolium burchellianum,A,7.6855,1.0004,8.5982,91.23,91.2335066,91.28891722,,,,,,
346,17/02/2025,8,F25 0848,ILRI 2273 27 119732,Trifolium ,burchellianum,Trifolium burchellianum,B,8.5314,1.0005,9.4453,91.34,91.34432784,,,,,,,
347,17/02/2025,8,F25 0861,ILRI 14539 40 119745,Centrosema , virginianum,Centrosema virginianum,A,7.6174,1.0003,8.5458,92.81,92.81215635,92.7875256,,,,,,
348,17/02/2025,8,F25 0861,ILRI 14539 40 119745,Centrosema , virginianum,Centrosema virginianum,B,7.4055,1.0004,8.3335,92.76,92.76289484,,,,,,,
349,17/02/2025,8,F25 0868,ILRI 70 47 120164,Leucaena,leucocephala,Leucaena leucocephala,A,11.5833,1.0003,12.5013,91.77,91.77246826,91.77246826,,,,,,
350,17/02/2025,8,F25 0868,ILRI 70 47 120164,Leucaena,leucocephala,Leucaena leucocephala,B,7.9503,1.0003,8.8683,91.77,91.77246826,,,,,,,
351,17/02/2025,8,F25 0873,ILRI 7384 52 120169,Chloris gayana, gayana,Chloris gayana,A,8.3386,1.0005,9.2598,92.07,92.07396302,92.08816615,,,,,,
352,17/02/2025,8,F25 0873,ILRI 7384 52 120169,Chloris gayana, gayana,Chloris gayana,B,8.3682,1.0003,9.2895,92.1,92.10236929,,,,,,,
353,17/02/2025,8,F25 0904,CIAT ABC 22752 1,Labalab , purpureues,Labalab purpureues,A,7.8665,1.0001,8.764,89.74,89.7410259,89.7410259,,,,,,
354,17/02/2025,8,F25 0904,CIAT ABC 22752 1,Labalab , purpureues,Labalab purpureues,B,7.8665,1.0001,8.764,89.74,89.7410259,,,,,,,
355,17/02/2025,8,F25 0908,CIAT ABC 22192 1,Leucaena ,diversifolia,Leucaena diversifolia,A,12.8896,1.0001,13.7999,91.02,91.02089791,91.10044896,,,,,,
356,17/02/2025,8,F25 0908,CIAT ABC 22192 1,Leucaena ,diversifolia,Leucaena diversifolia,B,11.9395,1,12.8513,91.18,91.18,,,,,,,
357,17/02/2025,8,F25 0913,CIAT ABC 1853 1,Stylosanthes , guianensis,Stylosanthes guianensis,A,8.4453,1.0006,9.3675,92.16,92.16470118,92.16470118,,,,,,
358,17/02/2025,8,F25 0913,CIAT ABC 1853 1,Stylosanthes , guianensis,Stylosanthes guianensis,B,8.4453,1.0006,9.3675,92.16,92.16470118,,,,,,,
359,17/02/2025,8,F25 0914,CIAT ABC 10625 1,Stylosanthes, scabra,Stylosanthes scabra,A,7.7771,1.0005,8.7014,92.38,92.3838081,92.44302871,,,,,,
360,17/02/2025,8,F25 0914,CIAT ABC 10625 1,Stylosanthes, scabra,Stylosanthes scabra,B,8.0774,1.0003,9.0027,92.5,92.50224933,,,,,,,
361,17/02/2025,8,F25 0926,CIAT ABC 6818 1,Panicum , maximum,Panicum maximum,A,8.0474,1.0004,8.9624,91.46,91.46341463,91.38301193,,,,,,
362,17/02/2025,8,F25 0926,CIAT ABC 6818 1,Panicum , maximum,Panicum maximum,B,7.4472,1.0003,8.3605,91.3,91.30260922,,,,,,,
363,,8,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,17.4943,1.0005,18.4082,17.5856,91.34432784,91.33303174,,,,,,
364,,8,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,15.9691,1.0002,16.8825,16.0616,91.32173565,,,,,,,
365,,8,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,18.6767,1.0002,19.5742,18.7322,89.73205359,89.69309597,,,,,,
366,,8,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,16.3743,1.0004,17.2712,16.4271,89.65413834,,,,,,,
367,,8,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,19.0575,1.0001,19.994,19.1636,93.64063594,93.73093584,10.60893911,11.32941805,11.41385651,88.67058195,88.58614349,
368,,8,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,B,19.4849,1.0002,20.4233,19.5928,93.82123575,,10.78784243,11.49829497,,88.50170503,,
369,28-02-2025,9,F25 0990,ABC-PM21_0053,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,95.81083783,95.80083983,10.60893911,11.32941805,11.41385651,88.67058195,88.58614349,
370,28-02-2025,9,F25 0990,ABC-PM21_0053,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,95.79084183,,10.78784243,11.49829497,,88.50170503,,
371,28-02-2025,9,F25 0991,ABC-PM21_3550,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,96.61067786,96.67566487,,14.45783133,14.27167899,85.54216867,85.72832101,
372,28-02-2025,9,F25 0991,ABC-PM21_3550,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,96.74065187,,,14.08552666,,85.91447334,,
373,28-02-2025,9,F25 0992,ABC-PM21_3595,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,95.85248851,95.88144873,,16.73980732,16.60842131,83.26019268,83.39157869,
374,28-02-2025,9,F25 0992,ABC-PM21_3595,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,95.91040896,,,16.4770353,,83.5229647,,
375,28-02-2025,9,F25 0993,ABC-PM21_0086,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,96.84189486,97.47142219,,14.85698155,15.36018425,85.14301845,84.63981575,
376,28-02-2025,9,F25 0993,ABC-PM21_0086,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,98.10094953,,,15.86338695,,84.13661305,,
377,28-02-2025,9,F25 0994,ABC-CIAT_16048,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,97.4005199,97.56082966,,15.36170064,15.2774384,84.63829936,84.7225616,
378,28-02-2025,9,F25 0994,ABC-CIAT_16048,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,97.72113943,,,15.19317615,,84.80682385,,
379,28-02-2025,9,F25 0995,ABC-PM21_0185,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,96.40107968,96.48588277,,13.85279361,13.88457253,86.14720639,86.11542747,
380,28-02-2025,9,F25 0995,ABC-PM21_0185,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,96.57068586,,,13.91635144,,86.08364856,,
381,28-02-2025,9,F25 0996,ABC-PM21_0215,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,95.47090582,95.59088182,,13.56552662,13.71195482,86.43447338,86.28804518,
382,28-02-2025,9,F25 0996,ABC-PM21_0215,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,95.71085783,,,13.85838301,,86.14161699,,
383,28-02-2025,9,F25 0997,ABC-CIAT_16051,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,95.99160336,96.15135501,,13.92039263,13.97827277,86.07960737,86.02172723,
384,28-02-2025,9,F25 0997,ABC-CIAT_16051,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,96.31110667,,,14.03615291,,85.96384709,,
385,28-02-2025,9,F25 0998,ABC-PM21_6080,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,96.23188406,96.34700339,,15.38458715,15.44086948,84.61541285,84.55913052,
386,28-02-2025,9,F25 0998,ABC-PM21_6080,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,96.46212273,,,15.4971518,,84.5028482,,
387,28-02-2025,9,F25 0999,ABC-PM21_3684,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,97.17113155,97.38068626,,13.43671584,13.45926704,86.56328416,86.54073296,
388,28-02-2025,9,F25 0999,ABC-PM21_3684,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,97.59024098,,,13.48181825,,86.51818175,,
389,28-02-2025,9,F25 1000,ABC-PM21_0076,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,94.86205518,94.90703719,,15.38785613,15.42471957,84.61214387,84.57528043,
390,28-02-2025,9,F25 1000,ABC-PM21_0076,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,94.95201919,,,15.46158302,,84.53841698,,
391,28-02-2025,9,F25 1001,ABC-CIAT_6890,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,96.18076385,96.16595925,,12.257604,12.31936474,87.742396,87.68063526,
392,28-02-2025,9,F25 1001,ABC-CIAT_6890,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,96.15115465,,,12.38112547,,87.61887453,,
393,28-02-2025,9,F25 1002,ABC-PM21_6638,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,95.58044196,95.66649521,,16.63948086,16.6457702,83.36051914,83.3542298,
394,28-02-2025,9,F25 1002,ABC-PM21_6638,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,95.75254847,,,16.65205953,,83.34794047,,
395,28-02-2025,9,F25 1003,ABC-PM21_0052,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,95.44091182,95.43591282,,14.00659997,14.13231366,85.99340003,85.86768634,
396,28-02-2025,9,F25 1003,ABC-PM21_0052,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,95.43091382,,,14.25802734,,85.74197266,,
397,28-02-2025,9,F25 1004,ABC-PM21_4449,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,96.06157537,96.14097667,,12.77819967,12.80091692,87.22180033,87.19908308,
398,28-02-2025,9,F25 1004,ABC-PM21_4449,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,96.22037796,,,12.82363416,,87.17636584,,
399,28-02-2025,9,F25 1005,ABC-CIAT_6799,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,96.48070386,96.01124357,,12.7147176,12.65618459,87.2852824,87.34381541,
400,28-02-2025,9,F25 1005,ABC-CIAT_6799,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,95.54178329,,,12.59765157,,87.40234843,,
401,28-02-2025,9,F25 1006,ABC-PM21_0055,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,96.09195402,96.30167473,,13.64818247,13.33227816,86.35181753,86.66772184,
402,28-02-2025,9,F25 1006,ABC-PM21_0055,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,96.51139544,,,13.01637385,,86.98362615,,
403,28-02-2025,9,F25 1007,ABC-PM21_6529,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,96.59034097,96.55621386,,14.84996726,14.92388537,85.15003274,85.07611463,
404,28-02-2025,9,F25 1007,ABC-PM21_6529,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,96.52208675,,,14.99780349,,85.00219651,,
405,28-02-2025,9,F25 1008,ABC-PM21_0047,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,96.09,96.13019148,,15.07330816,14.93213407,84.92669184,85.06786593,
406,28-02-2025,9,F25 1008,ABC-PM21_0047,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,96.17038296,,,14.79095997,,85.20904003,,
407,28-02-2025,9,F25 1009,ABC-PM21_2195,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,97.01149425,96.99650175,,14.12746664,13.99866042,85.87253336,86.00133958,
408,28-02-2025,9,F25 1009,ABC-PM21_2195,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,96.98150925,,,13.86985419,,86.13014581,,
409,28-02-2025,9,F25 1010,ABC-PM21_2627,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,97.25027497,97.37051387,,14.80793063,14.90398649,85.19206937,85.09601351,
410,28-02-2025,9,F25 1010,ABC-PM21_2627,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,97.49075277,,,15.00004235,,84.99995765,,
411,28-02-2025,9,F25 1011,ABC-PM21_0059,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,97.47025297,97.53036744,,14.00449367,14.03454709,85.99550633,85.96545291,
412,28-02-2025,9,F25 1011,ABC-PM21_0059,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,97.5904819,,,14.0646005,,85.9353995,,
413,28-02-2025,9,F25 1012,ABC-PM21_3522,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,97.04118353,97.17612955,,14.40106979,14.59651288,85.59893021,85.40348712,
414,28-02-2025,9,F25 1012,ABC-PM21_3522,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,97.31107557,,,14.79195597,,85.20804403,,
415,28-02-2025,9,F25 1013,ABC-PM21_0062,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,98.04078369,98.12048183,,17.22702375,15.74178972,82.77297625,84.25821028,
416,28-02-2025,9,F25 1013,ABC-PM21_0062,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,98.20017998,,,14.25655569,,85.74344431,,
417,28-02-2025,9,F25 1014,ABC-PM21_0906,Megathyrsus ,maximus,Megathyrsus maximus,A,,,,,97.30134933,97.40642121,,15.21726034,15.32423106,84.78273966,84.67576894,
418,28-02-2025,9,F25 1014,ABC-PM21_0906,Megathyrsus ,maximus,Megathyrsus maximus,B,,,,,97.5114931,,,15.43120179,,84.56879821,,
419,28-02-2025,9,F24 3501,ABC-19213-1,Clitoria,ternatea,Clitoria ternatea,A,,,,,93.79,93.84,12.46,13.28,11.79,86.72,88.21,
420,28-02-2025,9,F24 3501,ABC-19213-1,Clitoria,ternatea,Clitoria ternatea,B,,,,,93.89,,9.67,10.3,,89.7,,
421,28-02-2025,9,F24 3502,ABC-19421-1,Uraria,lagopodioides,Uraria lagopodioides,A,,,,,93.99,94.09,17.81,18.93,18.675,81.07,81.325,
422,28-02-2025,9,F24 3502,ABC-19421-1,Uraria,lagopodioides,Uraria lagopodioides,B,,,,,94.19,,17.33,18.42,,81.58,,
423,28-02-2025,9,F24 3503,ABC-19566-1,Tephrosia,noctiflora,Tephrosia noctiflora,A,,,,,95.26,93.745,13.28,14.16,12.425,85.84,87.575,
424,28-02-2025,9,F24 3503,ABC-19566-1,Tephrosia,noctiflora,Tephrosia noctiflora,B,,,,,92.23,,10.02,10.69,,89.31,,
425,28-02-2025,9,F24 3504,ABC-19667-1,Indigofera,hirsuta,Indigofera hirsuta,A,,,,,92.42,92.42,9.19,9.94,9.955,90.06,90.045,
426,28-02-2025,9,F24 3504,ABC-19667-1,Indigofera,hirsuta,Indigofera hirsuta,B,,,,,92.42,,9.21,9.97,,90.03,,
427,28-02-2025,9,F24 3505,ABC-19673-1,Alysicarpus,rugosus,Alysicarpus rugosus,A,,,,,92.5,92.51,10.9,11.78,11.98,88.22,88.02,
428,28-02-2025,9,F24 3505,ABC-19673-1,Alysicarpus,rugosus,Alysicarpus rugosus,B,,,,,92.52,,11.27,12.18,,87.82,,
429,28-02-2025,9,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,17.4943,1.0005,18.4082,17.5856,91.34432784,91.33303174,,,,,,
430,28-02-2025,9,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,15.9691,1.0002,16.8825,16.0616,91.32173565,,,,,,,
431,28-02-2025,9,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,18.6767,1.0002,19.5742,18.7322,89.73205359,89.69309597,,,,,,
432,28-02-2025,9,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,16.3743,1.0004,17.2712,16.4271,89.65413834,,,,,,,
433,28-02-2025,9,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,19.0575,1.0001,19.994,19.1636,93.64063594,93.73093584,10.60893911,11.32941805,11.41385651,88.67058195,88.58614349,
434,28-02-2025,9,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,B,19.4849,1.0002,20.4233,19.5928,93.82123575,,10.78784243,11.49829497,,88.50170503,,
435,45754,10,F24-3506,ABC-19895-1,Aeschynomene ,americana,Aeschynomene americana,A,,,,,93.29,93.355,10.60893911,11.32941805,11.41385651,88.67058195,88.58614349,
