21_no,21_date,21_set_ciat,21_sample_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_replication,21_empty_crucible_g,21_sample_weight_g,21_weight_105_g,21_weight_505,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_ash_dm,21_av_ash_percentage,21_om_percentage,21_av_om_percentage,
No,Date,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Empty crucible (g),Sample weight (g),Weight 105 (g),Weight 505 (g),"DM, %",Av DM 105,"Ash, %",Ash/DM,"Av Ash, %","OM, %","OM, %",
47,45572,2,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,A,12.6958,1.0002,13.6154,12.7829,91.94161168,92.00080584,8.708258348,9.471509352,9.417483983,90.52849065,90.58251602,
48,45572,2,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,B,7.8471,1,8.7677,7.9333,92.06,,8.62,9.363458614,,90.63654139,,
49,45572,2,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,A,7.758,1.0002,8.6762,7.933,91.80163967,92.45081984,17.4965007,19.05902853,19.06227474,80.94097147,80.93772526,
50,45572,2,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,B,7.8674,1,8.7984,8.0449,93.1,,17.75,19.06552095,,80.93447905,,
51,45572,2,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,A,13.1794,1.0001,14.0723,13.3145,89.28107189,89.36711797,13.50864914,15.13047374,15.19263964,84.86952626,84.80736036,
52,45572,2,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,B,7.8321,1.0003,8.7269,7.9686,89.45316405,,13.64590623,15.25480554,,84.74519446,,
53,45572,2,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,A,8.1119,1.0002,9.0316,8.2645,91.95160968,91.98580484,15.25694861,16.59236708,16.46288643,83.40763292,83.53711357,
54,45572,2,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,B,7.9123,1,8.8325,8.0626,92.02,,15.03,16.33340578,,83.66659422,,
55,45572,2,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,A,7.9504,1,8.8716,8.0252,92.12,92.165,7.48,8.119843682,8.094191443,91.88015632,91.90580856,
56,45572,2,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,B,7.6452,1,8.5673,7.7196,92.21,,7.44,8.068539204,,91.9314608,,
57,45572,2,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,A,7.5075,1.0002,8.4463,7.5765,93.86122775,93.8215466,6.898620276,7.349808266,7.352550439,92.65019173,92.64744956,
58,45572,2,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,B,12.0221,1.0003,12.9602,12.0911,93.78186544,,6.897930621,7.355292613,,92.64470739,,
59,45572,2,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,A,8.0758,1,8.9945,8.1573,91.87,91.94619664,8.15,8.871231087,8.846261932,91.12876891,91.15373807,
60,45572,2,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,B,8.0067,1.0003,8.9272,8.0879,92.02239328,,8.117564731,8.821292776,,91.17870722,,
61,45621,3,F24 3441,ABC-7714,Alysicarpus,glumaceus,Alysicarpus glumaceus,A,7.502,1,8.432,7.665,93,93.05,16.3,17.52688172,17.46376309,82.47311828,82.53623691,
62,45621,3,F24 3441,ABC-7714,Alysicarpus,glumaceus,Alysicarpus glumaceus,B,11.276,1,12.207,11.438,93.1,,16.2,17.40064447,,82.59935553,,
63,45621,3,F24 3442,ABC-7757,Clitoria,ternatea,Clitoria ternatea,A,8.446,1,9.366,8.522,92,92.1,7.6,8.260869565,8.251909837,91.73913043,91.74809016,
64,45621,3,F24 3442,ABC-7757,Clitoria,ternatea,Clitoria ternatea,B,12.89,1,13.812,12.966,92.2,,7.6,8.242950108,,91.75704989,,
65,45621,3,F24 3443,ABC-7759,Clitoria,ternatea,Clitoria ternatea,A,12.514,1,13.449,12.569,93.5,93.55,5.5,5.882352941,5.879210659,94.11764706,94.12078934,
66,45621,3,F24 3443,ABC-7759,Clitoria,ternatea,Clitoria ternatea,B,7.971,1,8.907,8.026,93.6,,5.5,5.876068376,,94.12393162,,
67,45621,3,F24 3444,ABC-7790,Crotalaria,pallida,Crotalaria pallida,A,8.222,1,9.144,8.277,92.2,92.15,5.5,5.965292842,5.859953696,94.03470716,94.1400463,
68,45621,3,F24 3444,ABC-7790,Crotalaria,pallida,Crotalaria pallida,B,8.126,1,9.047,8.179,92.1,,5.3,5.754614549,,94.24538545,,
69,45621,3,F24 3445,ABC-7792,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,A,8.065,1,8.994,8.14,92.9,92.95,7.5,8.073196986,8.068856558,91.92680301,91.93114344,
70,45621,3,F24 3445,ABC-7792,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,B,7.777,1,8.707,7.852,93,,7.5,8.064516129,,91.93548387,,
71,45621,3,F24 3446,ABC-7816,Indigofera,spicata,Indigofera spicata,A,7.144,1,8.068,7.306,92.4,92.5,16.2,17.53246753,17.62152534,82.46753247,82.37847466,
72,45621,3,F24 3446,ABC-7816,Indigofera,spicata,Indigofera spicata,B,12.105,1,13.031,12.269,92.6,,16.4,17.71058315,,82.28941685,,
73,45621,3,F24 3447,ABC-7858,Crotalaria,incana,Crotalaria incana,A,13.374,1,14.305,13.459,93.1,93.2,8.5,9.129967777,9.173772741,90.87003222,90.82622726,
74,45621,3,F24 3447,ABC-7858,Crotalaria,incana,Crotalaria incana,B,8.532,1,9.465,8.618,93.3,,8.6,9.217577706,,90.78242229,,
75,45621,3,F24 3448,ABC-7972,Canavalia,brasiliensis,Canavalia brasiliensis,A,8.368,1,9.287,8.529,91.9,91.95,16.1,17.51904244,17.83560818,82.48095756,82.16439182,
76,45621,3,F24 3448,ABC-7972,Canavalia,brasiliensis,Canavalia brasiliensis,B,8.051,1,8.971,8.218,92,,16.7,18.15217391,,81.84782609,,
77,45621,3,F24 3449,ABC-8205,Indigofera,suffruticosa,Indigofera suffruticosa,A,12.314,1,13.235,12.448,92.1,92.2,13.4,14.54940282,14.64198202,85.45059718,85.35801798,
78,45621,3,F24 3449,ABC-8205,Indigofera,suffruticosa,Indigofera suffruticosa,B,7.992,1,8.915,8.128,92.3,,13.6,14.73456121,,85.26543879,,
